#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	0.3	94.5	-0.27	0.29	0	0	36
0.5	0.3	94.5	-0.27	0.29	0	0	36
1.5	-0.2	94.6	-0.03	0.4	0	0	26
2.5	-0.5	94.3	0.14	0.38	0	0	20
3.5	-1.0	94.0	0.33	0.22	0	0	15
4.5	-1.3	93.6	0.4	0.0	0	0	13
5.5	-1.5	92.5	0.36	-0.18	0	0	13
6.5	-1.9	91.3	0.28	-0.28	0	0	13
7.5	-2.3	90.3	0.35	-0.2	0	0	15
8.5	-2.4	88.1	0.5	-0.5	0	16	17
9.5	-2.4	87.3	0.21	0.21	0	56	19
10.5	-0.7	83.2	0.41	1.02	476	171	21
11.5	0.4	81.0	0.18	0.57	564	101	23
12.5	1.5	73.9	-1.02	0.41	691	98	25
13.5	1.4	77.9	-0.22	0.67	510	90	35
14.5	1.5	79.2	-0.11	0.69	459	70	46
15.5	0.7	85.8	-0.93	-0.36	0	34	56
16.5	0.2	90.0	0.24	0.97	0	0	67
17.5	-0.1	91.4	-0.67	0.22	0	0	77
18.5	-0.1	91.9	0.17	0.25	0	0	88
19.5	-0.1	93.8	0.14	0.27	0	0	83
20.5	0.3	90.9	0.3	0.4	0	0	79
21.5	-0.3	94.6	0.28	0.28	0	0	75
22.5	-0.6	93.5	-0.0	-0.1	0	0	71
23.5	-1.3	92.9	0.12	-0.38	0	0	67
24.5	-1.2	90.3	0.5	-0.5	0	0	62
25.5	-1.4	90.3	0.1	0.0	0	0	58
26.5	-0.8	91.2	-0.0	-0.1	0	0	54
27.5	-0.3	91.9	0.21	-0.21	0	0	50
28.5	-0.1	91.4	0.21	0.21	0	0	46
29.5	-0.4	90.1	0.12	0.48	0	0	42
30.5	-1.5	93.7	0.09	-0.18	0	0	38
31.5	-2.3	93.7	0.38	-0.12	0	0	33
32.5	-2.6	93.3	0.3	0.0	0	16	29
33.5	-2.1	86.2	0.32	0.62	0	52	25
34.5	0.0	76.6	0.51	1.2	478	127	21
35.5	1.4	72.5	0.19	0.78	665	73	17
36.5	2.1	70.2	-0.18	0.57	677	88	12
37.5	1.7	71.1	0.32	0.84	396	104	10
38.5	1.5	73.7	0.27	0.54	522	68	8
39.5	0.5	76.9	0.14	0.14	0	54	6
40.5	-0.5	76.7	0.14	-0.14	0	0	4
41.5	-0.5	79.6	0.39	-0.1	0	0	2
42.5	-0.8	78.0	0.4	0.0	0	0	0
43.5	-0.6	73.7	0.5	0.0	0	0	0
44.5	-0.2	72.2	0.45	-0.23	0	0	0
45.5	0.2	68.8	0.27	-0.14	0	0	0
46.5	-0.2	70.7	0.3	0.0	0	0	0
47.5	0.0	70.6	0.4	0.0	0	0	0
48.5	0.4	70.5	0.21	-0.21	0	0	0
49.5	0.3	70.6	0.27	-0.14	0	0	0
50.5	0.5	71.4	0.28	-0.28	0	0	0
51.5	0.8	68.7	0.38	-0.12	0	0	0
52.5	0.9	66.6	0.14	-0.27	0	0	0
53.5	0.7	67.1	0.4	0.0	0	0	0
54.5	0.7	65.9	0.14	-0.27	0	0	0
55.5	0.1	69.5	0.3	0.0	0	0	0
56.5	0.8	66.7	0.39	-0.1	0	16	0
57.5	1.5	64.6	0.0	-0.6	0	53	0
58.5	4.1	62.4	0.41	0.8	477	149	0
59.5	4.1	60.1	-0.12	0.38	774	69	0
60.5	4.4	59.5	-0.36	0.48	772	70	0
61.5	4.7	64.5	0.12	0.38	710	74	0
62.5	5.3	65.9	0.42	0.42	529	68	0
63.5	5.9	54.1	2.27	0.78	0	54	0
64.5	4.1	54.9	2.5	0.72	0	0	0
65.5	3.5	53.4	0.34	-0.5	0	0	0
66.5	2.9	55.1	0.45	-0.23	0	0	0
67.5	2.8	54.0	0.21	-0.21	0	0	0
68.5	2.1	56.9	0.5	0.0	0	0	0
69.5	2.2	55.4	-0.12	-0.48	0	0	0
70.5	2.7	52.9	0.21	-0.21	0	0	0
71.5	2.5	52.2	0.27	0.14	0	0	0
72.5	2.5	52.2	0.14	-0.27	0	0	0
73.5	2.3	52.0	0.4	0.0	0	0	0
74.5	2.0	52.1	-0.54	-0.44	0	0	0
75.5	-0.2	61.0	-0.62	-0.32	0	0	0
76.5	-0.4	59.4	0.66	0.45	0	0	0
77.5	0.1	58.5	-0.57	-0.57	0	0	0
78.5	-0.8	61.2	0.0	-0.6	0	0	0
79.5	-1.1	60.9	0.35	0.35	0	0	0
80.5	-1.0	62.9	0.27	-0.14	0	18	0
81.5	-0.2	62.9	0.58	0.14	0	49	0
82.5	1.5	63.2	0.22	0.77	477	150	0
83.5	3.1	56.2	-0.0	0.7	777	71	0
84.5	4.1	51.4	-0.0	0.6	774	72	0
85.5	4.5	49.0	-0.97	0.22	662	89	4
86.5	3.4	52.7	-0.0	0.7	249	76	8
87.5	3.9	52.6	0.74	0.3	0	54	12
88.5	5.1	45.0	1.83	0.52	0	0	17
89.5	6.4	41.4	2.82	2.54	0	0	21
90.5	5.5	45.7	3.67	2.04	0	0	25
91.5	5.1	50.1	3.87	0.48	0	0	29
92.5	6.0	53.5	3.38	1.5	0	0	33
93.5	6.4	57.2	2.27	2.8	0	0	38
94.5	5.3	66.8	4.75	1.18	0	0	42
95.5	4.9	73.4	3.86	2.32	0	0	46
96.5	5.1	76.2	3.24	1.79	0	0	50
