#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-2.5	55.2	1.75	3.03	0	0	50	0.0	50
0.5	-2.5	55.2	1.75	3.03	0	0	50	0.0	50
1.5	0.3	54.8	2.17	3.48	0	0	58	0.0	50
2.5	2.1	56.9	2.41	3.44	0	0	67	0.0	50
3.5	3.9	60.5	2.38	4.29	0	0	75	0.0	50
4.5	4.8	64.3	2.71	3.47	0	0	83	0.1	50
5.5	4.5	72.8	3.56	2.4	0	0	92	0.1	50
6.5	4.3	83.0	2.45	3.03	0	0	100	0.4	50
7.5	4.3	89.0	3.4	2.95	0	0	100	3.0	50
8.5	4.4	92.0	4.77	3.47	0	10	100	2.9	50
9.5	5.0	91.4	4.01	3.61	0	25	100	4.0	50
10.5	5.3	91.2	3.4	2.95	0	33	100	3.6	50
11.5	5.4	92.0	4.16	2.6	0	44	100	3.6	50
12.5	5.7	90.4	4.06	3.41	0	51	100	2.8	50
13.5	6.1	89.3	3.49	3.14	0	46	98	1.9	50
14.5	7.3	79.0	3.46	3.46	0	35	96	0.1	50
15.5	7.4	75.3	2.46	2.63	0	22	94	0.0	50
16.5	7.4	70.6	3.6	3.02	0	0	92	0.0	50
17.5	7.3	73.7	3.55	3.94	0	0	90	0.0	50
18.5	7.0	74.3	3.28	5.26	0	0	88	0.1	50
19.5	6.3	78.6	3.74	4.3	0	0	89	0.3	50
20.5	6.3	77.6	2.8	4.14	0	0	90	0.0	50
21.5	6.7	72.0	3.43	4.55	0	0	91	0.0	50
22.5	7.1	68.9	4.53	5.21	0	0	92	0.0	50
23.5	7.3	65.3	3.34	5.34	0	0	93	0.0	50
24.5	5.9	75.3	1.16	5.99	0	0	94	0.3	50
25.5	5.4	76.2	2.36	5.3	0	0	95	0.3	50
26.5	4.0	85.5	2.02	4.13	0	0	96	2.4	50
27.5	2.9	82.3	1.42	2.18	0	0	97	0.5	50
28.5	2.1	78.8	2.06	2.45	0	0	98	0.4	50
29.5	1.4	71.3	1.55	1.26	0	0	99	0.2	50
30.5	0.5	71.8	1.94	1.57	0	0	100	0.5	50
31.5	-0.2	71.2	2.01	0.9	0	0	100	0.0	50
32.5	0.2	69.5	0.93	1.99	0	31	100	0.0	50
33.5	-0.2	70.1	1.63	3.65	0	48	100	0.0	50
34.5	-1.3	87.0	1.4	2.42	0	49	100	0.3	50
35.5	-0.8	87.4	1.16	3.2	0	49	100	0.7	50
36.5	-1.1	90.6	0.62	2.32	0	38	100	0.5	50
37.5	-1.4	92.6	0.85	2.46	0	22	100	1.0	50
38.5	-1.2	91.3	1.09	2.69	0	18	100	0.8	50
39.5	-1.6	94.5	1.2	1.84	0	8	100	1.0	50
40.5	-1.7	96.2	0.62	1.03	0	0	100	2.0	50
41.5	-0.9	89.9	0.49	1.42	0	0	100	0.3	50
42.5	-1.5	93.1	-1.07	-1.32	0	0	100	0.9	50
43.5	-1.8	96.4	-0.35	-0.48	0	0	100	2.2	50
44.5	-1.4	95.1	0.65	1.01	0	0	100	0.8	50
45.5	-0.8	90.3	1.58	1.06	0	0	100	0.6	50
46.5	-0.5	85.5	1.54	1.12	0	0	100	0.4	50
47.5	-1.0	88.5	1.46	1.06	0	0	100	0.2	50
48.5	-1.7	95.1	-0.19	-0.46	0	0	100	1.7	50
49.5	-1.7	95.7	-1.12	-1.28	0	0	100	1.1	50
50.5	-1.7	96.3	-1.15	-0.96	0	0	100	2.2	50
51.5	-1.9	96.6	-0.88	-0.19	0	0	100	1.3	50
52.5	-1.9	96.2	-0.59	-0.12	0	0	100	0.7	50
53.5	-2.0	96.1	-0.84	-0.32	0	0	100	0.7	50
54.5	-2.0	96.1	-1.38	-1.0	0	0	100	1.6	50
55.5	-2.1	95.7	-1.23	-1.82	0	0	100	0.3	50
56.5	-2.1	96.2	-1.1	-0.69	0	15	100	0.1	50
57.5	-2.0	97.0	-1.21	-0.47	0	37	100	0.1	50
58.5	-1.9	95.9	-1.29	-0.77	0	40	100	0.5	50
59.5	-1.9	94.5	-1.37	-0.82	0	34	100	1.1	50
60.5	-1.9	93.8	-1.75	-0.97	0	66	100	0.6	50
61.5	-2.0	93.2	-1.88	-1.94	0	43	100	0.6	50
62.5	-2.2	91.5	-1.53	-2.1	0	49	100	0.4	50
