#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.5	77.4	0.67	0.22	0	0	50	0.0	50
0.5	0.5	77.4	0.67	0.22	0	0	50	0.0	50
1.5	0.3	73.8	0.42	0.28	0	0	44	0.0	50
2.5	0.1	71.6	0.4	0.0	0	0	38	0.0	50
3.5	-0.1	69.5	0.27	-0.14	0	0	31	0.0	50
4.5	-0.3	68.9	0.14	-0.14	0	0	25	0.0	50
5.5	-0.4	69.7	0.28	-0.09	0	0	19	0.0	50
6.5	-0.6	69.9	0.28	0.28	0	0	12	0.0	50
7.5	-0.3	69.5	0.4	0.0	0	0	15	0.0	50
8.5	-0.1	69.1	0.57	0.18	0	33	17	0.0	50
9.5	1.2	65.9	0.4	0.3	0	119	19	0.0	50
10.5	2.8	70.7	0.45	0.23	167	148	21	0.0	50
11.5	4.0	68.9	-0.42	0.42	496	136	23	0.0	50
12.5	4.3	66.2	-0.36	0.48	226	147	25	0.0	50
13.5	4.6	60.5	0.22	0.56	57	129	29	0.0	50
14.5	4.1	60.8	0.18	0.36	147	93	33	0.0	50
15.5	4.0	59.7	0.74	0.3	0	54	38	0.0	50
16.5	2.7	62.6	0.49	0.1	0	0	42	0.0	50
17.5	2.1	64.0	0.18	-0.36	0	0	46	0.0	50
18.5	2.3	65.6	0.62	0.32	0	0	50	0.0	50
19.5	2.4	65.0	0.71	-0.36	0	0	51	0.0	50
20.5	2.8	62.8	0.45	-0.89	0	0	52	0.0	50
21.5	3.6	60.7	1.9	0.89	0	0	53	0.0	50
22.5	1.6	70.6	0.0	-0.8	0	0	54	0.0	50
23.5	5.1	55.8	3.91	0.83	0	0	55	0.0	50
24.5	5.9	53.8	6.02	1.5	0	0	56	0.0	50
25.5	6.2	52.0	5.83	1.78	0	0	57	0.0	50
26.5	6.7	49.7	5.53	2.58	0	0	58	0.0	50
27.5	4.9	55.7	6.28	2.04	0	0	59	0.0	50
28.5	4.7	57.1	5.71	2.66	0	0	60	0.0	50
29.5	4.7	58.4	3.9	2.63	0	0	61	0.0	50
30.5	5.1	57.7	5.08	2.59	0	0	62	0.0	50
31.5	5.9	53.0	4.79	1.74	0	0	69	0.0	50
32.5	5.8	53.7	5.75	2.81	0	34	75	0.0	50
33.5	4.2	58.7	4.03	4.03	0	33	81	0.1	50
34.5	3.4	66.1	2.66	2.85	0	33	88	0.4	50
35.5	5.3	63.6	4.39	1.68	12	141	94	0.0	50
