#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.2	70.8	-0.1	-0.49	0	0	50	0.0	50
0.5	0.2	70.8	-0.1	-0.49	0	0	50	0.0	50
1.5	1.0	75.6	0.14	0.27	0	0	58	0.0	50
2.5	1.5	79.2	0.2	0.0	0	0	67	0.0	50
3.5	1.9	83.6	0.42	-0.42	0	0	75	0.0	50
4.5	2.0	86.3	-0.36	-0.48	0	0	83	0.0	50
5.5	1.8	88.3	0.32	0.62	0	0	92	0.0	50
6.5	1.4	91.2	-0.0	0.1	0	0	100	0.1	50
7.5	1.2	93.7	-0.0	0.1	0	0	100	0.6	50
8.5	1.0	95.6	0.07	0.07	0	19	100	0.2	50
9.5	1.6	94.8	-0.0	0.1	0	65	100	0.0	50
10.5	2.4	93.1	-0.27	-0.14	0	108	100	0.0	50
11.5	2.2	93.8	-0.68	-0.59	0	49	100	0.0	50
12.5	2.1	94.9	-1.27	-0.59	0	76	100	0.0	50
13.5	1.9	95.3	-0.8	-0.0	0	55	90	0.0	50
14.5	2.3	93.7	0.3	0.0	0	63	79	0.1	50
15.5	2.5	80.7	1.76	1.14	0	20	69	0.0	50
16.5	1.5	85.0	0.65	1.46	0	0	58	0.0	50
17.5	1.2	85.2	1.41	1.41	0	0	48	0.0	50
18.5	1.4	79.9	0.87	0.97	0	0	38	0.0	50
19.5	1.5	77.7	1.01	1.24	0	0	43	0.0	50
20.5	1.6	74.0	0.56	0.42	0	0	48	0.0	50
21.5	3.3	64.7	1.94	1.41	0	0	53	0.0	50
22.5	3.8	56.1	0.56	0.83	0	0	58	0.0	50
23.5	4.2	54.7	1.01	2.17	0	0	64	0.0	50
24.5	3.1	74.4	4.49	3.51	0	0	69	0.0	50
25.5	3.3	80.6	3.06	1.7	0	0	74	0.0	50
26.5	5.1	81.0	2.95	2.06	0	0	79	0.0	50
27.5	6.1	81.1	3.24	0.63	0	0	84	0.0	50
28.5	6.6	80.5	2.85	1.45	0	0	90	0.0	50
29.5	6.7	81.5	2.78	2.59	0	0	95	0.0	50
30.5	6.6	83.8	2.39	2.56	0	0	100	0.0	50
31.5	7.4	79.8	2.41	3.44	0	0	100	0.0	50
32.5	7.8	76.2	1.66	2.38	0	39	100	0.0	50
33.5	8.2	74.1	3.2	2.88	0	75	100	0.0	50
34.5	9.5	68.5	3.21	3.57	308	138	100	0.0	50
35.5	7.0	77.7	0.85	-0.85	61	131	100	0.0	50
36.5	6.8	82.7	-0.2	-0.0	241	140	100	0.0	50
37.5	10.8	60.7	0.62	2.32	421	122	96	0.0	50
38.5	11.7	46.3	2.37	5.08	43	83	92	0.0	50
39.5	10.4	53.5	2.19	5.7	0	46	88	0.0	50
40.5	10.0	56.5	2.03	4.35	0	0	83	0.0	50
41.5	8.6	65.6	3.34	4.12	0	0	79	0.0	50
42.5	8.3	72.1	0.71	5.76	0	0	75	0.0	50
43.5	8.4	72.9	0.99	5.61	0	0	75	0.0	50
44.5	7.9	76.6	2.46	5.03	0	0	75	1.2	50
45.5	6.5	86.0	2.33	3.73	0	0	75	0.9	50
46.5	7.0	80.2	0.97	5.01	0	0	75	0.4	50
47.5	3.8	89.2	0.78	4.94	0	0	75	4.4	50
48.5	5.0	76.7	1.79	5.2	0	0	75	0.0	50
49.5	4.0	83.2	0.74	4.64	0	0	75	0.2	50
50.5	3.8	75.0	0.9	5.12	0	0	75	0.0	50
51.5	3.9	69.4	1.27	3.9	0	0	75	0.0	50
52.5	4.0	70.8	2.04	5.32	0	0	75	0.0	50
53.5	3.6	70.5	1.88	4.42	0	0	75	0.0	50
54.5	4.5	61.3	4.46	4.31	0	0	75	0.0	50
55.5	4.2	62.4	3.96	3.82	0	0	67	0.0	50
56.5	2.3	77.8	3.73	3.48	0	16	58	0.0	50
57.5	2.9	74.0	4.95	3.73	0	39	50	0.0	50
58.5	3.4	71.9	2.72	4.9	0	94	42	0.0	50
59.5	3.8	63.6	3.3	5.49	26	154	33	0.0	50
60.5	4.9	57.8	2.58	3.19	253	153	25	0.0	50
61.5	5.1	54.4	3.67	4.23	499	94	25	0.0	50
62.5	4.4	55.6	3.26	4.18	117	90	25	0.0	50
63.5	3.6	59.3	2.41	2.68	0	26	25	0.0	50
64.5	2.9	61.2	2.99	2.17	0	0	25	0.0	50
65.5	2.0	66.9	-1.16	-0.78	0	0	25	0.0	50
66.5	1.8	71.3	0.36	0.71	0	0	25	0.0	50
67.5	2.6	74.1	2.56	2.08	0	0	31	0.0	50
68.5	1.1	84.4	-0.96	-1.28	0	0	38	0.0	50
69.5	0.2	95.3	-1.31	-1.51	0	0	44	2.1	50
70.5	-0.2	95.7	0.6	0.0	0	0	50	0.5	50
71.5	-0.5	93.5	-0.21	1.18	0	0	56	0.4	50
72.5	0.1	79.5	2.28	3.65	0	0	62	0.4	50
73.5	0.1	71.3	1.38	4.81	0	0	69	0.0	50
74.5	0.0	71.3	1.9	4.08	0	0	75	0.0	50
75.5	0.0	67.2	3.73	2.52	0	0	81	0.0	50
76.5	0.2	62.6	4.58	2.24	0	0	88	0.0	50
77.5	1.8	49.6	5.42	3.94	0	0	94	0.0	50
78.5	3.2	48.2	5.44	4.25	0	0	100	0.0	50
79.5	2.5	71.0	5.73	4.01	0	0	100	0.0	50
80.5	1.6	89.4	3.27	4.67	0	10	100	0.7	50
81.5	2.2	87.7	2.15	5.92	0	24	100	0.8	50
82.5	2.8	84.7	1.73	5.01	0	39	100	0.7	50
83.5	3.0	86.5	1.48	5.92	0	37	100	1.5	50
84.5	3.2	86.8	1.57	5.48	0	36	100	1.4	50
85.5	3.6	84.3	1.61	5.26	0	32	100	0.5	50
86.5	3.8	84.6	1.5	5.6	0	22	100	0.9	50
87.5	3.5	86.7	0.99	6.22	0	8	100	1.5	50
88.5	3.9	86.5	2.6	4.5	0	0	100	0.5	50
89.5	4.7	83.0	1.64	5.36	0	0	100	0.3	50
90.5	4.8	83.0	2.02	5.01	0	0	100	0.3	50
91.5	4.5	83.8	1.76	4.58	0	0	98	0.6	50
92.5	5.1	81.3	2.25	4.24	0	0	96	0.0	50
93.5	5.4	79.2	1.72	4.48	0	0	94	0.0	50
94.5	5.3	80.0	2.3	3.98	0	0	92	0.0	50
95.5	5.4	80.1	2.92	4.18	0	0	90	0.1	50
96.5	5.5	79.3	3.74	4.3	0	0	88	0.0	50
97.5	5.5	78.0	2.42	4.37	0	0	85	0.0	50
98.5	5.6	75.1	2.06	5.1	0	0	83	0.0	50
99.5	5.4	75.8	0.51	4.87	0	0	81	0.0	50
100.5	5.3	75.3	0.1	5.9	0	0	79	0.0	50
