#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.8	95.8	-0.13	0.69	0	0	32
0.5	3.8	95.8	-0.13	0.69	0	0	32
1.5	5.2	96.6	-0.19	0.67	0	0	39
2.5	5.9	97.3	-0.31	0.74	0	0	44
3.5	6.6	97.8	-0.32	0.84	0	0	48
4.5	6.7	98.4	-0.42	0.91	0	0	50
5.5	6.2	98.4	-0.52	0.86	0	0	49
6.5	5.7	98.2	-0.71	1.09	0	0	49
7.5	5.9	96.7	-0.48	1.32	0	0	48
8.5	5.8	96.1	0.11	0.59	0	52	46
9.5	7.9	91.4	-1.41	1.94	490	66	44
10.5	10.0	78.5	-1.58	1.81	655	53	42
11.5	10.9	73.6	-1.27	1.27	551	84	40
12.5	11.7	67.7	-2.18	3.11	459	102	38
13.5	11.6	65.3	-1.76	1.64	88	114	48
14.5	10.5	79.2	0.92	-1.06	0	62	58
15.5	10.4	76.8	1.02	1.36	0	17	69
16.5	9.7	85.0	1.58	-1.06	0	0	79
17.5	10.3	73.8	-0.0	2.0	0	0	90
18.5	11.0	67.2	-2.35	3.36	0	0	100
19.5	11.1	66.5	-1.51	2.24	0	0	100
20.5	10.8	70.4	-2.5	3.86	0	0	100
21.5	10.7	70.3	-2.63	4.37	0	0	100
22.5	10.5	72.7	-4.98	5.34	0	0	100
23.5	10.2	75.0	-4.5	5.36	0	0	100
24.5	9.8	79.3	-3.21	4.59	0	0	100
25.5	9.4	84.9	-2.92	4.18	0	0	100
26.5	9.4	85.7	-1.64	5.04	0	0	100
27.5	9.6	85.4	-2.72	6.12	0	0	100
28.5	9.7	86.4	-1.91	4.29	0	0	100
29.5	9.9	90.3	-0.41	3.38	0	0	100
30.5	9.6	91.7	-1.92	5.58	0	0	100
31.5	9.5	89.8	-1.82	6.34	0	0	100
32.5	9.6	89.8	-3.25	5.86	0	9	100
33.5	10.0	88.8	-4.12	6.86	0	24	100
34.5	10.8	87.5	-3.92	6.28	0	62	100
35.5	11.1	86.1	-6.04	6.26	0	46	100
36.5	11.6	84.0	-4.01	5.73	0	23	100
37.5	11.0	86.9	-0.52	5.98	0	18	100
38.5	12.1	82.6	-0.33	2.68	0	36	100
39.5	13.0	77.1	-2.12	2.12	0	14	100
40.5	17.0	52.8	-1.18	-2.65	0	0	100
41.5	18.9	37.8	1.96	-1.71	0	0	100
42.5	17.6	43.0	4.42	-2.55	0	0	100
43.5	15.4	57.6	1.76	-4.36	0	0	99
44.5	15.1	51.7	0.53	-5.07	0	0	98
45.5	14.4	52.2	-0.3	-5.79	0	0	97
46.5	14.1	51.6	-0.09	-5.0	0	0	96
47.5	13.6	46.4	0.0	-4.1	0	0	95
48.5	12.0	57.6	0.82	-1.01	0	0	94
49.5	11.7	58.8	0.6	-0.8	0	0	93
50.5	12.3	51.6	0.74	-1.19	0	0	92
51.5	11.4	60.4	1.84	-0.46	0	0	91
52.5	11.4	62.2	1.32	-2.58	0	0	90
53.5	10.4	68.8	0.72	-0.96	0	0	89
54.5	9.3	75.5	-0.5	-0.0	0	0	88
55.5	7.8	83.2	-0.57	-0.57	0	0	90
56.5	8.4	82.1	1.5	0.0	0	48	92
57.5	9.1	84.0	-0.96	0.53	0	60	94
58.5	9.6	80.9	-0.34	1.77	0	66	96
59.5	10.5	70.0	-1.23	2.63	0	55	98
60.5	11.0	64.4	-1.56	2.08	0	62	100
61.5	12.1	57.5	-3.52	2.96	0	82	100
62.5	12.5	54.8	-2.43	1.76	0	50	100
63.5	11.6	63.1	-3.64	2.64	0	10	100
64.5	9.9	73.9	-3.46	4.27	0	0	100
65.5	9.5	77.1	-2.11	4.53	0	0	100
66.5	9.1	83.7	-2.23	3.56	0	0	100
67.5	8.7	89.3	-0.72	4.54	0	0	100
68.5	8.7	87.5	-2.46	3.65	0	0	100
69.5	8.7	90.3	0.52	2.95	0	0	100
70.5	8.7	88.8	0.44	4.18	0	0	100
71.5	9.0	88.1	0.52	2.95	0	0	100
72.5	8.7	91.7	-0.13	3.6	0	0	100
73.5	8.5	91.4	-0.62	3.54	0	0	100
74.5	8.4	92.2	-1.22	3.17	0	0	100
75.5	8.3	92.5	-0.11	3.1	0	0	100
76.5	8.3	93.5	-0.85	1.47	0	0	100
77.5	8.1	94.1	-0.8	1.15	0	0	100
78.5	8.0	95.3	-0.0	1.2	0	0	100
79.5	8.1	95.0	-0.68	1.77	0	0	100
80.5	8.3	94.0	-1.4	2.07	0	13	100
81.5	8.5	93.4	-0.0	2.4	0	35	100
82.5	8.8	90.6	-0.1	2.9	0	40	100
83.5	9.0	89.5	-1.26	4.11	0	72	100
84.5	9.5	87.0	-0.61	3.14	0	64	100
85.5	9.5	87.8	0.54	2.34	0	36	100
86.5	9.2	89.4	-0.0	1.6	0	20	100
87.5	9.0	91.9	0.21	1.69	0	13	100
88.5	8.3	92.1	-1.7	-2.83	0	0	100
89.5	5.9	84.2	1.1	-4.77	0	0	100
90.5	5.5	81.3	2.52	0.63	0	0	100
91.5	5.1	88.0	-1.26	1.68	0	0	100
92.5	4.1	91.3	-0.39	1.03	0	0	100
93.5	4.2	84.7	-1.9	0.62	0	0	100
94.5	4.4	75.0	-0.36	-1.56	0	0	100
95.5	3.0	87.8	-0.79	-5.64	0	0	100
96.5	3.6	67.8	-0.17	-4.9	0	0	100
97.5	3.0	65.5	-0.84	-6.85	0	0	100
98.5	1.6	77.9	1.54	-5.38	0	0	100
99.5	1.1	79.8	1.08	-5.09	0	0	100
100.5	0.9	78.1	2.2	-4.93	0	0	100
101.5	0.1	88.3	1.43	-4.16	0	0	100
102.5	0.1	87.9	1.92	-3.62	0	0	100
103.5	0.2	81.9	1.91	-2.94	0	0	92
104.5	0.1	77.5	0.73	-1.43	0	41	83
105.5	1.1	69.1	0.93	-1.99	346	79	75
106.5	1.5	63.2	0.81	-2.36	405	107	67
107.5	1.6	61.9	1.36	-2.67	109	143	58
108.5	2.1	62.5	2.32	-2.49	403	125	50
109.5	2.3	60.6	2.3	-2.07	443	99	48
110.5	1.7	61.4	2.1	-1.36	0	120	46
111.5	1.2	66.8	1.24	0.84	0	27	44
112.5	0.4	77.0	0.19	1.18	0	0	42
113.5	-0.1	80.7	0.3	1.57	0	0	40
114.5	-0.5	83.0	0.1	1.5	0	0	38
115.5	-0.6	85.4	0.48	2.45	0	0	34
116.5	-1.1	84.4	0.1	1.2	0	0	31
117.5	-0.8	76.1	-0.52	0.86	0	0	28
118.5	-1.1	77.9	-0.63	1.36	0	0	25
119.5	-1.1	76.8	0.1	0.69	0	0	22
120.5	-1.8	82.4	0.32	0.62	0	0	19
121.5	-1.2	77.6	-0.8	1.15	0	0	16
122.5	-1.6	82.2	0.66	0.88	0	0	12
123.5	-0.9	75.0	1.16	-0.29	0	0	9
124.5	-1.2	76.9	-1.2	1.2	0	0	6
125.5	-1.8	81.5	-0.3	-0.0	0	0	3
126.5	-1.5	79.0	-1.52	0.49	0	0	0
127.5	-2.4	88.4	-0.38	1.66	0	0	15
128.5	-2.2	87.4	-0.0	0.8	0	37	29
129.5	-0.8	79.5	-0.83	0.72	46	92	44
130.5	-0.1	73.6	0.57	-0.18	61	129	58
131.5	0.3	71.0	0.75	-0.5	22	131	73
132.5	1.0	68.3	0.69	-0.98	105	151	88
133.5	1.4	67.6	0.55	-1.07	53	126	81
134.5	1.6	68.5	0.45	-0.23	0	107	75
135.5	1.4	71.7	0.25	0.76	0	42	69
136.5	0.9	76.4	-0.22	0.67	0	0	62
137.5	0.2	84.6	-0.23	0.45	0	0	56
138.5	-0.5	89.0	-0.53	0.96	0	0	50
139.5	-0.5	88.0	0.31	0.95	0	0	53
140.5	0.3	82.4	-0.58	0.69	0	0	56
141.5	0.2	86.3	0.32	0.84	0	0	59
142.5	0.4	84.6	0.18	-0.36	0	0	62
