#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.8	93.7	-0.78	1.16	0	0	50	0.0	14
0.5	3.8	93.7	-0.78	1.16	0	0	50	0.0	14
1.5	3.5	93.0	-0.93	1.99	0	0	58	0.0	14
2.5	3.3	92.6	0.31	-0.74	0	0	67	0.0	14
3.5	3.1	92.2	-0.84	1.12	0	0	75	0.0	14
4.5	3.0	92.0	-1.15	-0.35	0	0	83	0.1	14
5.5	3.1	91.7	0.32	0.62	0	0	92	0.0	30
6.5	3.2	92.3	-0.47	2.96	0	0	100	0.7	30
7.5	3.7	90.9	-0.98	3.67	0	0	100	0.3	30
8.5	5.0	85.1	-0.64	4.05	0	8	100	0.1	30
9.5	4.9	88.4	-2.1	2.42	0	20	100	0.7	30
10.5	4.2	93.6	-1.02	3.56	0	29	100	0.4	30
11.5	4.6	93.8	-0.26	2.08	0	43	100	0.4	30
12.5	5.0	93.4	-1.07	0.9	0	52	100	0.4	30
13.5	4.8	94.1	-2.01	1.94	0	41	100	0.2	30
14.5	4.1	95.3	-0.53	2.75	0	42	100	0.0	30
15.5	4.2	94.9	-0.13	2.5	0	25	100	0.0	30
16.5	4.2	94.6	0.92	-0.77	0	0	100	0.1	30
17.5	3.6	94.7	-0.86	1.23	0	0	100	0.1	14
18.5	4.1	94.6	0.25	1.07	0	0	100	0.3	14
19.5	3.4	95.9	-0.64	1.25	0	0	98	0.4	14
20.5	4.3	94.2	1.21	-1.05	0	0	96	0.1	14
21.5	3.9	95.6	-0.39	1.45	0	0	94	0.1	14
22.5	4.3	95.4	-1.21	2.19	0	0	92	0.2	14
23.5	4.4	95.6	1.75	-0.44	0	0	90	1.1	14
24.5	4.1	95.3	-0.41	1.54	0	0	88	0.6	14
25.5	5.2	94.9	-2.07	1.4	0	0	85	1.1	14
26.5	8.0	91.7	0.73	-4.14	0	0	83	2.3	14
27.5	8.5	65.1	-0.35	-4.99	0	0	81	0.0	14
28.5	8.5	51.6	0.06	-3.2	0	0	79	0.0	14
29.5	8.4	44.4	1.68	-2.24	0	0	77	0.0	14
30.5	7.5	48.8	-0.37	-4.18	0	0	75	0.0	14
31.5	6.0	61.3	0.4	-4.58	0	0	79	0.0	14
32.5	4.3	82.8	1.76	-0.37	0	19	83	0.0	14
33.5	3.8	88.3	-0.83	0.56	0	21	88	0.1	14
34.5	4.1	89.8	0.68	1.99	0	87	92	0.4	14
35.5	4.3	90.1	1.74	-0.47	0	86	96	0.5	14
36.5	4.9	88.8	-1.2	1.6	1	122	100	0.3	14
37.5	4.8	88.6	0.07	1.9	0	56	100	0.2	14
38.5	4.8	87.7	0.22	2.09	0	22	100	0.1	14
39.5	4.6	86.8	-2.02	1.47	0	10	100	0.1	14
40.5	3.7	92.3	-0.13	1.09	0	0	100	0.4	14
