#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.5	69.4	-3.18	3.18	0	0	50	0.0	14
0.5	3.5	69.4	-3.18	3.18	0	0	50	0.0	14
1.5	2.5	62.1	-4.01	4.46	0	0	42	0.0	14
2.5	2.0	56.6	-2.19	2.19	0	0	33	0.0	14
3.5	1.5	51.7	-2.75	3.93	0	0	25	0.0	14
4.5	1.3	48.7	-3.21	3.57	0	0	17	0.0	14
5.5	1.5	46.9	-4.86	3.16	0	0	8	0.0	14
6.5	1.9	45.9	-1.26	-2.83	0	0	0	0.0	14
7.5	2.2	47.2	-0.68	1.34	0	0	17	0.0	14
8.5	2.7	42.8	-1.3	1.39	0	63	33	0.0	14
9.5	2.9	65.8	0.99	-3.25	68	95	50	0.0	14
10.5	2.9	77.0	1.29	-1.66	2	111	67	0.0	14
11.5	3.9	71.5	-1.49	-0.16	57	153	83	0.0	14
12.5	3.6	75.3	1.23	-2.41	6	127	100	0.0	14
13.5	4.0	74.2	0.9	-2.22	63	134	100	0.0	14
14.5	3.7	75.9	0.94	-1.77	0	86	100	0.0	14
15.5	3.1	80.9	1.24	-0.84	0	15	100	0.0	14
16.5	2.7	82.6	-1.02	2.28	0	0	100	0.0	14
17.5	2.4	82.9	-0.54	2.54	0	0	100	0.0	14
18.5	3.6	70.0	2.9	0.0	0	0	100	0.0	14
19.5	3.3	76.7	2.38	-0.77	0	0	100	0.0	14
20.5	3.6	70.4	0.82	-1.93	0	0	100	0.0	14
21.5	4.6	60.7	0.93	-1.99	0	0	100	0.0	14
22.5	2.5	75.0	-1.34	2.23	0	0	100	0.0	14
23.5	3.0	72.3	-1.29	1.53	0	0	100	0.0	14
24.5	3.5	68.6	-0.44	2.77	0	0	100	0.0	14
25.5	4.3	63.1	-1.51	1.74	0	0	100	0.0	14
26.5	3.4	69.1	0.46	1.84	0	0	100	0.0	14
27.5	3.4	71.0	0.26	-2.49	0	0	100	0.0	14
28.5	4.9	80.5	1.01	-2.5	0	0	100	0.0	14
29.5	3.9	87.4	0.59	-1.81	0	0	100	0.0	14
30.5	4.3	86.2	-1.8	-0.0	0	0	100	0.0	14
31.5	3.5	89.4	-0.82	2.15	0	0	100	0.0	14
32.5	3.9	88.8	-0.74	2.6	0	20	100	0.1	14
33.5	6.2	81.2	1.46	-5.1	0	19	100	0.3	14
34.5	6.5	89.0	0.0	-2.2	0	101	100	1.1	14
35.5	5.1	94.7	-0.81	1.83	0	20	100	2.5	14
36.5	5.3	96.5	-0.36	1.86	0	18	100	3.4	14
37.5	5.0	95.9	-1.08	2.03	0	21	100	2.0	14
38.5	5.2	95.7	0.18	2.09	0	27	100	0.9	14
39.5	5.7	90.9	-0.42	2.36	0	9	100	0.7	14
40.5	5.8	89.4	-1.48	3.17	0	0	100	1.4	14
41.5	5.9	87.5	-2.22	4.37	0	0	100	0.4	14
42.5	5.7	88.8	-1.75	3.03	0	0	100	0.4	14
43.5	5.9	87.4	-1.2	3.71	0	0	100	0.1	14
44.5	6.3	82.8	-3.45	3.33	0	0	100	0.2	14
45.5	6.2	86.0	-2.66	0.47	0	0	100	1.5	14
46.5	5.4	92.7	-1.47	3.83	0	0	100	1.1	14
47.5	5.6	90.3	-1.04	2.05	0	0	100	3.6	14
48.5	5.0	94.5	0.1	2.9	0	0	100	0.8	14
49.5	5.0	92.6	-0.89	1.9	0	0	100	0.4	14
50.5	4.5	95.4	-0.64	1.68	0	0	100	0.5	14
51.5	3.9	95.7	-0.94	2.32	0	0	100	0.0	14
52.5	4.2	95.1	-0.3	1.67	0	0	100	1.2	14
53.5	4.3	95.2	0.27	3.09	0	0	100	0.1	14
54.5	4.5	93.8	-0.24	2.79	0	0	100	0.1	14
55.5	4.9	90.8	-0.39	3.18	0	0	96	0.0	14
56.5	5.2	89.0	-0.25	1.58	0	61	92	0.0	14
57.5	5.8	87.6	0.31	0.95	19	91	88	0.0	14
58.5	6.4	87.0	-1.23	1.7	16	120	83	0.0	14
59.5	7.6	81.6	-0.52	2.24	413	167	79	0.0	14
60.5	8.2	78.6	0.53	-0.96	84	133	75	0.0	14
61.5	8.6	75.0	0.3	1.06	79	132	62	0.0	14
62.5	8.1	76.5	-0.17	0.88	0	70	50	0.0	14
63.5	6.0	89.5	0.41	0.8	0	22	38	0.0	14
64.5	4.1	93.2	-0.34	1.36	0	0	25	0.0	14
65.5	3.2	90.8	-0.1	1.9	0	0	12	0.0	14
66.5	3.3	86.3	0.38	3.08	0	0	0	0.0	14
67.5	4.2	79.1	-0.56	3.56	0	0	8	0.0	14
68.5	5.2	71.4	-2.77	3.55	0	0	17	0.0	14
69.5	4.3	73.2	-2.7	3.22	0	0	25	0.0	14
70.5	4.7	69.0	-1.86	3.65	0	0	33	0.0	14
