#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	1.6	91.4	-0.43	1.33	0	0	71
0.5	1.6	91.4	-0.43	1.33	0	0	71
1.5	2.4	91.9	-0.44	1.22	0	0	83
2.5	3.0	92.4	-0.58	1.05	0	0	90
3.5	3.5	92.8	-0.56	1.06	0	0	97
4.5	3.7	93.2	-0.66	0.88	0	0	100
5.5	3.7	93.7	-0.46	0.77	0	0	99
6.5	3.6	94.4	-0.29	0.85	0	0	99
7.5	3.7	94.3	-0.34	1.05	0	0	98
8.5	3.7	94.7	-0.62	0.91	0	26	96
9.5	4.3	90.7	-0.84	1.81	0	78	94
10.5	4.9	83.4	2.59	-1.88	0	82	92
11.5	5.9	68.7	-0.56	-2.64	14	129	90
12.5	4.4	75.7	0.52	-5.98	0	57	88
13.5	5.1	64.2	0.42	-5.98	0	53	90
14.5	3.5	77.6	1.06	-6.72	0	22	92
15.5	3.8	69.3	2.32	-4.54	0	12	94
16.5	3.2	76.8	2.89	-3.7	0	0	96
17.5	3.1	77.1	0.18	-5.2	0	0	98
18.5	3.2	68.0	-1.16	-8.22	0	0	100
19.5	2.6	65.8	-0.87	-8.26	0	0	100
20.5	2.4	63.3	1.17	-7.41	0	0	100
21.5	2.4	56.7	-0.14	-8.0	0	0	100
22.5	2.3	53.8	0.11	-6.1	0	0	100
23.5	2.1	51.2	0.99	-3.04	0	0	100
24.5	1.5	57.7	1.69	-0.15	0	0	100
25.5	1.3	64.2	-0.0	3.1	0	0	100
26.5	1.1	64.8	-1.54	2.46	0	0	100
27.5	1.0	65.7	-2.08	1.2	0	0	100
28.5	1.1	63.9	-1.27	1.27	0	0	100
29.5	0.3	75.4	0.47	-1.21	0	0	100
30.5	0.6	75.7	-0.85	0.85	0	0	100
31.5	0.2	83.6	-0.9	-2.76	0	0	100
32.5	-0.4	89.5	0.0	-2.0	0	10	100
33.5	-0.1	83.7	4.08	-0.43	0	39	100
34.5	-0.2	85.0	5.02	-1.35	0	61	100
35.5	-0.2	85.4	5.14	-0.81	0	84	100
36.5	0.0	83.0	4.38	-0.46	0	94	100
37.5	0.3	78.1	4.88	-0.43	0	88	100
38.5	0.6	72.7	4.16	-0.58	0	68	100
39.5	0.0	76.5	1.7	-1.7	0	9	100
40.5	-1.2	90.0	1.98	0.31	0	0	100
41.5	-1.4	93.6	0.69	0.4	0	0	100
42.5	-1.1	92.1	0.5	0.0	0	0	100
43.5	-0.6	87.5	-0.09	0.59	0	0	100
44.5	-0.3	87.1	0.82	1.01	0	0	100
45.5	-0.5	91.3	1.38	-0.22	0	0	100
46.5	-0.2	89.8	-0.27	-2.59	0	0	100
47.5	0.8	79.0	0.08	-4.6	0	0	100
48.5	1.1	76.0	0.7	-4.95	0	0	100
49.5	0.8	82.2	0.0	-6.0	0	0	100
50.5	0.5	90.1	0.09	-5.4	0	0	100
51.5	-0.2	91.5	4.92	-7.3	0	0	100
52.5	0.0	78.6	6.89	-5.78	0	0	100
53.5	0.1	78.9	4.66	-5.36	0	0	100
54.5	0.0	75.3	6.07	-5.66	0	0	100
55.5	0.1	68.0	3.94	-5.04	0	0	96
56.5	-0.1	73.2	2.03	-4.35	0	26	92
57.5	-0.8	85.1	2.05	-3.55	0	60	88
58.5	-0.4	79.9	-0.69	-0.41	6	120	83
59.5	0.3	71.3	0.6	0.0	24	127	79
60.5	0.4	69.7	1.85	-0.99	109	147	75
61.5	0.1	72.2	-0.71	0.36	0	125	79
62.5	-0.1	72.1	-0.25	-1.78	0	78	83
63.5	-0.5	76.1	1.0	-1.38	0	26	88
64.5	-1.1	85.0	1.84	-1.02	0	0	92
65.5	-1.2	86.3	-0.42	-0.42	0	0	96
66.5	-1.5	90.2	0.92	-0.92	0	0	100
67.5	-1.8	89.1	-0.39	0.1	0	0	92
68.5	-1.8	81.2	-1.1	0.1	0	0	83
69.5	-2.5	80.4	-1.89	-0.2	0	0	75
70.5	-2.5	76.8	-1.47	-0.31	0	0	67
71.5	-2.8	72.1	-2.19	-0.19	0	0	58
72.5	-3.8	74.6	-1.48	-0.21	0	0	50
73.5	-4.5	80.2	-1.78	0.28	0	0	42
74.5	-5.4	86.6	-1.31	0.5	0	0	33
75.5	-5.6	86.7	-1.97	0.72	0	0	25
76.5	-6.4	92.0	-1.87	0.72	0	0	17
77.5	-6.1	84.5	-2.24	0.52	0	0	8
78.5	-6.4	89.1	-1.16	0.78	0	0	0
79.5	-6.4	92.3	-0.97	0.87	0	0	2
80.5	-7.2	92.5	-0.8	1.15	0	25	4
81.5	-6.2	89.0	-1.63	0.5	0	77	6
82.5	-5.0	77.6	-0.88	0.2	480	107	8
83.5	-3.2	68.4	-1.2	0.51	690	60	10
84.5	-3.2	69.4	-0.0	-0.0	566	92	12
85.5	-3.3	69.4	-0.41	0.91	0	151	27
86.5	-3.0	67.3	-1.87	0.95	0	65	42
87.5	-3.4	66.3	-3.28	0.4	0	18	56
88.5	-3.4	63.5	-4.3	0.08	0	0	71
89.5	-3.4	67.0	-3.19	0.28	0	0	85
90.5	-4.6	62.6	-4.89	0.34	0	0	100
91.5	-5.6	65.8	-3.56	0.5	0	0	92
92.5	-6.6	75.4	-2.35	0.5	0	0	83
93.5	-6.9	78.9	-2.16	0.79	0	0	75
94.5	-6.9	80.4	-1.56	1.09	0	0	67
