#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.4	83.0	0.06	0.7	0	0	50	0.0	14
0.5	-0.4	83.0	0.06	0.7	0	0	50	0.0	14
1.5	-1.0	80.9	0.19	0.06	0	0	58	0.0	14
2.5	-1.4	80.7	0.61	-1.26	0	0	67	0.0	14
3.5	-1.8	80.6	1.84	-2.11	0	0	75	0.0	14
4.5	-2.0	82.5	1.17	-1.87	0	0	83	0.0	14
5.5	-2.1	85.3	0.6	-0.67	0	0	92	0.1	14
6.5	-2.1	88.2	0.6	-0.8	0	0	100	0.0	14
7.5	-1.9	88.0	-0.8	-0.03	0	0	92	0.0	14
8.5	-1.7	87.4	-0.2	0.56	0	25	83	0.0	14
9.5	-1.4	83.5	-0.17	1.19	0	84	75	0.0	14
10.5	-1.0	77.1	-0.5	0.75	120	138	67	0.0	14
11.5	-0.4	67.6	0.16	0.25	350	141	58	0.0	14
12.5	0.0	63.3	0.12	0.79	379	128	50	0.0	14
13.5	-0.4	66.0	0.71	0.71	0	173	42	0.0	14
14.5	-1.0	72.8	-0.31	1.47	0	40	33	0.0	14
15.5	-1.5	76.4	-0.67	1.11	0	12	25	0.0	14
16.5	-2.0	78.9	-1.45	2.51	0	0	17	0.0	14
17.5	-2.4	80.8	-0.82	1.26	0	0	8	0.0	14
18.5	-2.6	80.2	-1.22	1.95	0	0	0	0.0	14
19.5	-2.5	80.0	-1.8	2.77	0	0	8	0.0	14
20.5	-2.7	80.3	-1.22	1.95	0	0	17	0.0	14
21.5	-3.5	82.4	-0.02	0.4	0	0	25	0.0	14
22.5	-3.1	84.0	-0.7	1.21	0	0	33	0.0	14
23.5	-2.8	84.2	-0.75	0.8	0	0	42	0.0	14
24.5	-1.9	82.0	-0.82	1.13	0	0	50	0.0	14
25.5	-0.9	79.4	0.98	-0.85	0	0	58	0.0	14
26.5	-0.8	87.9	-0.81	1.83	0	0	67	0.6	14
27.5	-0.9	93.4	-0.72	1.97	0	0	75	0.8	14
28.5	0.7	92.3	-2.32	2.49	0	0	83	0.6	14
29.5	3.8	80.2	-4.11	1.83	0	0	92	0.0	50
30.5	4.2	77.4	-2.91	0.73	0	0	100	0.0	50
31.5	2.6	83.3	4.68	-4.51	0	0	90	0.0	50
32.5	2.5	85.2	2.9	-2.9	0	39	79	0.0	50
33.5	2.8	83.9	0.59	0.68	0	91	69	0.0	50
34.5	2.8	82.7	-0.47	0.65	16	128	58	0.0	50
35.5	4.2	72.8	-1.25	1.93	386	140	48	0.0	30
36.5	4.2	74.2	1.7	0.0	80	155	38	0.0	30
37.5	4.3	73.9	-0.32	1.05	0	142	38	0.0	30
38.5	3.6	79.2	0.33	-0.62	0	70	38	0.0	30
39.5	3.4	82.7	-0.6	1.04	0	18	38	0.0	30
40.5	2.8	85.4	-0.64	1.58	0	0	38	0.0	30
41.5	1.9	88.3	-0.25	0.86	0	0	38	0.0	14
42.5	2.2	89.8	-0.94	1.29	0	0	38	0.0	14
43.5	2.3	88.9	-0.92	1.89	0	0	42	0.0	14
44.5	2.2	88.1	0.19	-0.98	0	0	46	0.0	14
45.5	2.4	88.5	-0.75	1.3	0	0	50	0.0	14
46.5	1.7	87.7	-1.41	1.94	0	0	54	0.0	14
47.5	0.9	88.6	-0.75	1.06	0	0	58	0.0	14
48.5	0.4	89.3	-0.61	0.66	0	0	62	0.0	14
49.5	0.9	89.0	-0.84	1.59	0	0	67	0.0	14
50.5	0.8	87.0	-0.89	1.68	0	0	71	0.0	14
51.5	0.9	84.6	-1.75	0.74	0	0	75	0.0	14
52.5	0.5	83.2	-0.86	1.23	0	0	79	0.0	14
53.5	0.9	82.3	-1.06	1.46	0	0	83	0.0	14
54.5	0.2	80.9	-0.78	1.84	0	0	88	0.0	14
55.5	1.1	75.0	-1.01	1.24	0	0	77	0.0	14
56.5	1.5	65.5	-1.36	0.63	0	25	67	0.0	14
57.5	3.5	55.3	-2.49	-0.26	0	81	56	0.0	14
58.5	5.1	46.5	-3.59	0.25	539	115	46	0.0	14
59.5	7.1	38.6	-2.3	0.7	458	129	35	0.0	14
60.5	7.3	38.5	-2.75	0.53	510	117	25	0.0	14
61.5	7.8	34.8	-1.93	1.25	0	164	21	0.0	14
62.5	7.4	34.5	-0.65	5.26	0	33	17	0.0	14
63.5	7.8	32.2	-3.42	7.67	0	15	12	0.0	14
64.5	7.6	31.7	-3.13	6.15	0	0	8	0.0	14
65.5	6.2	35.3	-0.09	4.9	0	0	4	0.0	14
66.5	6.2	35.6	-0.63	5.16	0	0	0	0.0	14
67.5	6.1	35.9	-1.49	3.06	0	0	8	0.0	14
68.5	5.9	36.4	-3.71	1.2	0	0	17	0.0	14
69.5	4.8	39.2	-2.48	-0.3	0	0	25	0.0	14
70.5	3.5	48.9	0.17	-1.59	0	0	33	0.0	14
71.5	2.3	68.5	1.9	-3.29	0	0	42	0.0	14
72.5	1.5	74.8	0.65	-1.01	0	0	50	0.0	14
73.5	1.7	73.0	-0.82	0.37	0	0	58	0.0	14
74.5	1.8	71.5	-0.92	1.66	0	0	67	0.0	14
75.5	1.2	75.1	-0.88	1.21	0	0	75	0.0	14
76.5	1.7	75.9	-0.55	1.18	0	0	83	0.0	14
77.5	1.7	79.0	0.82	-1.6	0	0	92	0.1	14
78.5	0.6	94.5	0.51	-7.28	0	0	100	0.8	14
79.5	0.1	91.5	-0.61	-6.97	0	0	90	0.0	14
80.5	-0.3	83.3	-0.41	-4.68	0	18	79	0.0	14
81.5	0.2	66.8	0.0	-3.2	0	63	69	0.0	14
82.5	0.1	66.2	3.31	-2.59	13	126	58	0.0	14
83.5	0.9	60.6	1.38	-1.97	582	124	48	0.0	65
84.5	1.2	59.6	2.85	-1.85	544	126	38	0.0	65
85.5	0.4	61.9	3.03	-1.75	0	130	42	0.0	65
86.5	0.3	61.1	1.35	-1.73	0	71	46	0.0	65
87.5	-0.5	60.1	-2.6	0.09	0	19	50	0.0	65
88.5	-1.1	59.8	-2.3	-0.12	0	0	54	0.0	65
89.5	-1.6	58.3	-5.0	0.09	0	0	58	0.0	30
90.5	-1.7	59.1	-3.48	0.93	0	0	62	0.0	30
91.5	-2.4	59.6	-3.49	0.87	0	0	66	0.0	30
92.5	-3.0	63.5	-2.98	0.85	0	0	69	0.0	30
93.5	-3.7	71.0	-2.1	0.94	0	0	72	0.0	30
94.5	-3.7	68.9	-2.13	0.86	0	0	75	0.0	30
95.5	-4.3	67.8	-2.14	0.5	0	0	78	0.0	30
96.5	-4.5	66.8	-1.71	0.56	0	0	81	0.0	30
97.5	-4.8	68.1	-1.87	0.72	0	0	84	0.0	30
