#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.2	80.2	-1.2	1.72	0	0	50	0.0	14
0.5	0.2	80.2	-1.2	1.72	0	0	50	0.0	14
1.5	1.3	82.4	1.2	0.0	0	0	58	0.0	14
2.5	2.0	83.9	0.61	-0.51	0	0	67	0.0	14
3.5	2.9	85.4	0.48	-0.16	0	0	75	0.0	14
4.5	3.2	86.9	-0.0	0.3	0	0	83	0.0	14
5.5	3.2	87.6	-0.0	-0.1	0	0	92	0.0	14
6.5	3.2	88.3	-0.59	1.16	0	0	100	0.0	14
7.5	3.3	88.6	-0.47	1.63	0	0	98	0.0	14
8.5	3.0	89.1	-0.29	1.16	0	18	96	0.0	14
9.5	4.0	89.5	0.35	0.35	0	53	94	0.0	14
10.5	5.3	86.7	-0.62	0.32	35	132	92	0.0	14
11.5	6.2	77.7	0.61	-0.51	5	124	90	0.0	14
12.5	5.9	78.9	0.67	-1.0	0	67	88	0.0	14
13.5	6.4	80.0	0.35	0.35	0	60	88	0.0	14
14.5	6.4	81.1	-0.63	1.36	0	36	88	0.0	14
15.5	6.0	81.0	-1.15	1.64	0	13	88	0.0	14
16.5	5.2	87.1	-1.02	0.41	0	0	88	0.0	14
17.5	4.9	89.6	-0.57	1.28	0	0	88	0.0	14
18.5	4.3	90.0	-0.48	0.36	0	0	88	0.0	14
19.5	3.7	91.0	-0.76	0.66	0	0	89	0.0	14
20.5	3.3	91.6	-1.31	2.36	0	0	90	0.0	14
21.5	2.5	92.2	-0.73	1.31	0	0	91	0.0	14
22.5	3.0	91.8	-0.59	1.16	0	0	92	0.0	14
23.5	3.0	92.2	-0.71	-0.36	0	0	93	0.0	14
24.5	3.5	90.9	-1.27	2.38	0	0	94	0.0	14
25.5	3.2	90.1	-0.36	0.93	0	0	95	0.0	14
26.5	3.2	90.1	-0.45	1.0	0	0	96	0.0	14
27.5	3.7	89.2	-0.72	0.96	0	0	97	0.0	14
