#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.5	89.0	1.99	1.34	0	0	100
0.5	3.5	89.0	1.99	1.34	0	0	100
1.5	2.2	89.4	1.96	0.38	0	0	100
2.5	1.2	89.5	1.6	0.03	0	0	100
3.5	0.3	89.4	1.16	-0.29	0	0	100
4.5	-0.1	89.1	0.91	-0.41	0	0	100
5.5	-0.2	89.1	0.71	-0.36	0	0	100
6.5	-0.2	89.2	0.59	-0.37	0	0	100
7.5	-0.2	89.4	0.7	-0.04	0	0	100
8.5	0.0	89.4	0.66	-0.76	0	29	100
9.5	0.2	88.2	-0.31	-0.95	0	59	100
10.5	1.3	82.4	-1.6	0.11	0	78	100
11.5	1.5	80.1	-1.5	-0.0	0	85	100
12.5	1.6	80.3	-1.28	-0.2	0	59	100
13.5	1.3	84.3	0.72	-1.2	0	36	100
14.5	0.7	89.4	0.95	-0.74	0	22	100
15.5	0.6	89.8	0.93	-0.38	0	5	100
16.5	0.5	90.6	0.21	-0.21	0	0	100
17.5	0.4	93.7	0.07	-0.07	0	0	100
18.5	0.5	96.1	-0.45	0.23	0	0	100
19.5	0.6	96.4	-0.46	0.19	0	0	100
20.5	0.5	96.4	-0.2	-0.0	0	0	100
21.5	0.4	96.2	-0.27	0.14	0	0	100
22.5	0.4	95.4	-0.28	0.28	0	0	100
23.5	0.3	95.1	-0.0	0.1	0	0	100
24.5	0.2	94.8	0.07	0.07	0	0	100
25.5	0.3	94.7	0.21	0.21	0	0	100
26.5	0.5	94.0	0.3	0.4	0	0	100
27.5	0.1	94.3	0.22	0.33	0	0	100
28.5	0.1	93.6	-0.0	0.3	0	0	100
29.5	-0.2	95.3	-0.0	-0.0	0	0	100
30.5	0.1	96.0	0.18	-0.09	0	0	100
31.5	0.2	95.6	0.1	0.0	0	0	100
32.5	0.4	95.9	0.33	-0.22	0	14	100
33.5	0.3	95.8	0.54	-0.44	0	27	100
34.5	0.4	94.9	0.45	-0.23	0	29	100
35.5	0.5	94.5	0.61	-0.51	0	56	100
36.5	0.4	93.9	0.19	-0.78	0	39	100
37.5	0.5	94.4	0.1	-1.1	0	31	100
38.5	0.1	96.1	0.2	-0.88	0	10	100
