#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	5.1	68.5	6.54	0.92	0	0	50	0.0	14
0.5	5.1	68.5	6.54	0.92	0	0	50	0.0	14
1.5	6.6	64.3	6.89	1.22	0	0	58	0.0	14
2.5	7.5	61.7	5.89	1.58	0	0	67	0.0	14
3.5	8.5	59.4	5.11	1.76	0	0	75	0.0	14
4.5	8.9	58.5	4.42	1.88	0	0	83	0.0	14
5.5	8.8	60.2	2.72	0.99	0	0	92	0.0	14
6.5	8.8	61.3	2.97	1.2	0	0	100	0.0	14
7.5	8.6	66.4	1.58	1.06	0	0	100	0.0	14
8.5	8.1	72.9	-1.9	-0.03	0	11	100	0.3	14
9.5	7.2	84.9	-3.02	1.34	0	30	100	0.0	14
10.5	7.1	87.7	-3.13	0.66	0	26	100	0.1	14
11.5	7.1	90.9	-3.42	1.11	0	22	100	0.2	14
12.5	8.4	90.5	-2.61	0.7	0	22	100	0.1	14
13.5	12.0	82.7	4.66	2.07	0	28	98	0.5	14
14.5	12.9	74.9	5.3	2.36	0	17	96	0.0	14
15.5	12.1	78.6	5.74	3.05	0	6	94	0.9	14
16.5	11.9	81.9	5.77	3.2	0	0	92	0.3	14
17.5	12.5	71.7	7.95	3.54	0	0	90	0.0	14
18.5	12.5	65.4	7.0	2.97	0	0	88	0.0	14
19.5	12.7	61.3	6.75	2.19	0	0	81	0.0	14
20.5	12.7	59.3	7.27	3.09	0	0	75	0.0	14
21.5	12.9	56.2	7.63	5.14	0	0	69	0.0	14
22.5	11.6	60.1	9.45	5.02	0	0	62	0.1	14
23.5	10.9	63.7	9.71	5.38	0	0	56	0.2	14
24.5	9.7	76.2	10.04	2.32	0	0	50	1.4	14
25.5	8.4	82.7	9.59	-0.5	0	0	44	0.9	14
26.5	7.0	82.8	8.09	0.42	0	0	38	0.7	14
27.5	6.8	74.6	8.87	0.78	0	0	31	0.0	14
28.5	6.1	68.5	10.39	0.36	0	0	25	0.0	14
29.5	5.8	68.7	8.07	0.71	0	0	19	0.0	14
30.5	5.9	67.8	7.19	2.47	0	0	12	0.0	14
31.5	5.7	67.8	3.46	4.27	0	0	25	0.0	14
32.5	6.3	61.6	4.02	3.75	0	25	38	0.0	14
33.5	6.6	60.6	3.27	2.12	0	55	50	0.0	14
34.5	6.5	63.4	4.63	2.36	0	48	62	0.0	14
35.5	5.1	77.6	5.84	2.36	0	72	75	0.3	14
36.5	4.6	81.1	7.96	0.84	0	53	88	1.2	14
37.5	5.1	81.8	5.28	1.12	369	119	85	0.0	14
38.5	5.5	75.9	4.86	0.6	0	45	83	0.0	14
39.5	4.8	78.2	4.83	1.29	163	40	81	0.0	14
40.5	4.6	79.7	4.85	0.68	0	0	79	0.0	14
41.5	4.3	83.4	4.06	2.16	0	0	77	0.0	14
42.5	4.3	83.3	4.11	2.28	0	0	75	0.0	14
43.5	4.6	82.9	2.61	1.27	0	0	77	0.0	14
44.5	4.5	84.1	3.89	1.57	0	0	79	0.0	14
45.5	3.9	87.2	3.82	1.17	0	0	81	0.1	14
46.5	4.1	87.9	2.74	1.84	0	0	83	0.0	14
47.5	4.4	87.9	2.64	1.99	0	0	85	0.0	14
48.5	4.7	88.0	4.24	0.75	0	0	88	0.2	14
49.5	4.7	88.7	4.3	-0.08	0	0	90	0.0	14
50.5	4.7	88.7	3.1	-1.13	0	0	92	0.4	14
51.5	4.2	92.7	2.16	-1.62	0	0	94	1.2	14
52.5	3.9	93.7	1.62	1.18	0	0	96	0.0	14
53.5	3.6	93.9	1.02	1.84	0	0	98	0.2	14
54.5	4.1	93.0	1.49	-0.18	0	0	100	1.3	14
55.5	3.8	92.9	-1.04	-1.08	0	0	100	2.8	14
56.5	2.5	94.7	1.6	2.66	0	14	100	0.0	14
57.5	2.2	94.8	1.59	-2.18	0	13	100	0.2	14
58.5	0.5	95.0	2.76	-3.8	0	33	100	0.1	14
59.5	-0.1	95.0	3.16	-3.06	0	32	100	0.3	30
60.5	-0.5	94.5	3.15	-3.75	0	21	100	0.0	30
61.5	-0.8	94.5	3.81	-3.68	0	17	100	0.1	30
62.5	-1.1	94.5	3.33	-3.45	0	11	100	0.0	30
63.5	-1.3	93.7	3.79	-3.41	0	4	100	0.0	30
64.5	-1.5	89.7	3.68	-3.08	0	0	100	0.0	30
65.5	-1.6	82.1	3.29	-2.76	0	0	100	0.0	30
66.5	-1.6	80.6	2.7	-1.32	0	0	100	0.0	30
67.5	-2.0	77.4	2.68	-0.28	0	0	99	0.0	30
68.5	-2.4	77.5	2.33	0.58	0	0	98	0.0	30
69.5	-2.5	75.3	1.73	1.67	0	0	97	0.0	30
70.5	-2.9	76.8	1.27	1.27	0	0	96	0.0	30
71.5	-3.3	81.3	1.25	1.3	0	0	95	0.0	30
72.5	-3.4	82.5	0.75	1.85	0	0	94	0.0	30
73.5	-3.9	85.4	0.55	0.23	0	0	93	0.0	30
74.5	-3.6	87.1	0.58	1.91	0	0	92	0.0	30
75.5	-3.2	85.0	-0.11	1.3	0	0	91	0.0	30
76.5	-2.9	82.2	-0.0	2.1	0	0	90	0.0	30
77.5	-2.8	80.8	-0.25	0.65	0	0	89	0.0	30
78.5	-2.7	81.4	-0.07	1.3	0	0	88	0.0	30
79.5	-2.6	80.2	-0.8	1.72	0	0	75	0.0	30
80.5	-2.3	82.5	-1.49	0.16	316	34	62	0.0	30
81.5	-1.4	72.9	-1.18	1.36	584	58	50	0.0	30
82.5	-0.2	67.2	-0.04	2.1	638	65	38	0.0	30
83.5	1.0	57.4	-0.2	0.88	700	67	25	0.0	30
84.5	1.6	53.6	-0.2	0.67	692	67	12	0.0	30
85.5	2.2	54.5	-0.27	0.75	641	63	27	0.0	30
86.5	2.3	59.3	-0.78	1.16	528	52	42	0.0	30
87.5	1.8	64.7	-0.9	1.33	31	31	56	0.0	30
88.5	1.3	72.8	-0.3	1.88	0	0	71	0.0	30
