#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-1.6	90.3	-2.47	0.39	0	0	50	0.0	14
0.5	-1.6	90.3	-2.47	0.39	0	0	50	0.0	14
1.5	-0.4	90.1	-2.05	0.47	0	0	58	0.0	14
2.5	0.5	90.0	-1.88	0.3	0	0	67	0.0	14
3.5	1.4	90.0	-2.1	-0.0	0	0	75	0.0	14
4.5	1.9	90.1	-2.38	0.29	0	0	83	0.0	14
5.5	2.0	90.2	-1.91	0.58	0	0	92	0.0	14
6.5	2.0	90.3	-1.84	0.49	0	0	100	0.0	14
7.5	2.1	90.4	-1.86	0.4	0	0	100	0.1	14
8.5	2.2	90.7	-1.78	0.28	0	20	100	0.0	14
9.5	2.7	88.9	-1.78	0.28	0	71	100	0.0	14
10.5	3.4	87.9	-1.48	0.21	18	120	100	0.0	14
11.5	3.7	86.5	-1.78	0.28	1	117	100	0.0	14
12.5	3.7	86.2	-1.5	-0.1	0	58	100	0.0	14
13.5	3.7	85.0	-1.5	0.1	0	50	100	0.0	14
14.5	3.7	85.3	-1.36	0.32	0	20	100	0.0	14
15.5	3.7	86.0	-1.34	0.41	0	8	100	0.0	14
16.5	3.6	87.8	-1.7	0.12	0	0	100	0.0	14
17.5	3.4	88.4	-1.96	0.42	0	0	100	0.0	14
18.5	3.5	88.5	-2.09	0.18	0	0	100	0.0	14
19.5	3.5	89.3	-1.27	0.29	0	0	100	0.0	14
20.5	3.5	90.5	-1.99	0.21	0	0	100	0.2	14
21.5	3.6	91.1	-1.8	0.09	0	0	100	0.0	14
22.5	3.5	90.7	-1.89	0.2	0	0	100	0.0	14
23.5	3.6	90.7	-1.67	0.32	0	0	100	0.0	14
24.5	3.6	90.3	-2.58	0.32	0	0	100	0.0	14
25.5	3.6	90.1	-2.18	0.31	0	0	100	0.0	14
26.5	3.6	90.0	-1.79	0.19	0	0	100	0.0	14
27.5	3.6	90.1	-1.69	0.21	0	0	100	0.0	14
28.5	3.6	89.7	-1.6	-0.0	0	0	100	0.0	14
29.5	3.6	90.0	-1.66	0.38	0	0	100	0.0	14
30.5	3.6	89.7	-2.1	-0.11	0	0	100	0.0	14
31.5	3.6	90.5	-2.49	0.22	0	0	98	0.0	14
32.5	3.7	90.3	-2.7	0.09	0	33	96	0.0	14
33.5	3.4	91.4	-2.59	-0.23	9	82	94	0.0	14
34.5	3.7	89.2	-1.65	-0.41	0	99	92	0.0	14
35.5	4.4	86.0	-1.6	-0.11	21	136	90	0.0	14
36.5	4.7	83.4	-2.36	0.42	0	83	88	0.0	14
37.5	4.7	83.1	-2.63	1.64	0	85	90	0.0	14
38.5	4.4	82.1	-2.47	0.39	0	50	92	0.0	14
