#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.9	81.3	-2.72	0.99	0	0	50	0.0	14
0.5	2.9	81.3	-2.72	0.99	0	0	50	0.0	14
1.5	3.8	83.6	-2.79	0.8	0	0	58	0.0	14
2.5	4.4	85.5	-2.33	0.9	0	0	67	0.0	14
3.5	4.9	87.5	-1.68	0.89	0	0	75	0.1	14
4.5	5.2	89.4	-2.85	0.93	0	0	83	0.1	14
5.5	5.2	90.6	-2.76	0.9	0	0	92	0.0	14
6.5	5.2	92.0	-1.93	0.82	0	0	100	0.0	14
7.5	5.4	92.3	-1.31	0.5	0	0	100	0.1	14
8.5	5.6	92.5	-0.74	1.19	0	7	100	0.1	14
9.5	5.9	93.2	-1.16	0.31	0	30	100	0.0	14
10.5	6.2	92.8	1.74	-1.17	0	22	100	0.0	14
11.5	7.5	84.9	4.22	0.82	0	106	100	0.0	14
12.5	7.8	79.2	3.98	0.42	0	68	100	0.0	14
13.5	8.7	70.9	3.42	0.73	110	114	88	0.0	14
14.5	8.4	70.5	3.18	-0.39	264	69	75	0.0	14
15.5	7.7	70.6	3.08	-0.38	92	29	62	0.0	14
16.5	7.0	68.4	3.2	0.8	0	0	50	0.0	14
17.5	6.3	67.8	2.24	1.51	0	0	38	0.0	14
18.5	4.6	71.5	0.25	0.76	0	0	25	0.0	14
19.5	5.3	73.7	-0.75	1.06	0	0	31	0.0	14
20.5	4.6	82.2	-1.92	0.55	0	0	38	0.0	14
21.5	4.5	85.0	-3.26	0.52	0	0	44	0.0	14
22.5	5.0	83.5	-3.04	0.59	0	0	50	0.0	14
23.5	5.1	81.4	-3.35	0.59	0	0	56	0.0	14
24.5	5.0	82.0	-3.2	0.8	0	0	62	0.0	14
25.5	4.9	86.6	-3.47	0.43	0	0	69	0.0	14
26.5	5.7	91.3	-1.27	3.15	0	0	75	0.0	14
27.5	5.6	92.6	-3.51	0.81	0	0	81	0.1	14
28.5	6.0	93.2	-3.87	0.48	0	0	88	1.2	14
29.5	6.4	93.1	-3.33	1.08	0	0	94	0.3	14
30.5	7.2	92.6	-2.85	0.93	0	0	100	0.0	14
31.5	10.1	81.5	2.11	3.51	0	0	100	0.0	14
32.5	10.4	75.4	1.42	4.38	0	27	100	0.0	14
33.5	11.2	70.0	0.92	4.71	3	78	100	0.0	14
34.5	12.3	65.6	2.01	3.22	0	66	100	0.0	14
35.5	13.6	59.9	4.55	3.43	31	134	100	0.0	14
36.5	15.1	51.6	5.38	2.17	420	136	100	0.0	14
37.5	15.3	48.7	7.05	0.86	312	116	98	0.0	14
38.5	14.5	50.7	3.12	2.35	0	39	96	0.0	14
39.5	14.6	50.9	3.7	2.89	0	8	94	0.0	14
40.5	14.6	51.6	4.73	3.69	0	0	92	0.0	14
41.5	14.6	51.4	7.04	5.11	0	0	90	0.0	14
42.5	14.6	51.7	7.3	5.92	0	0	88	0.0	14
43.5	12.8	64.7	5.74	4.17	0	0	88	0.6	14
44.5	12.9	63.9	6.15	4.63	0	0	88	0.0	14
45.5	10.7	79.1	9.29	0.32	0	0	88	2.1	14
46.5	9.1	76.3	9.31	1.31	0	0	88	0.1	14
47.5	9.3	66.0	7.76	1.94	0	0	88	0.0	14
48.5	9.5	60.1	7.73	1.64	0	0	88	0.0	14
49.5	9.3	59.8	5.35	2.49	0	0	88	0.0	14
50.5	9.5	57.1	5.95	3.3	0	0	88	0.0	14
51.5	9.7	51.0	6.21	4.03	0	0	88	0.0	14
52.5	9.7	50.4	6.65	3.24	0	0	88	0.0	14
53.5	9.7	50.8	6.62	4.3	0	0	88	0.0	14
54.5	8.2	65.0	7.87	-0.69	0	0	88	0.0	14
55.5	6.1	88.3	4.26	-1.72	0	0	88	0.4	14
56.5	6.5	89.1	2.23	1.14	0	5	88	0.3	14
57.5	8.1	65.6	5.58	1.6	0	27	88	0.0	14
58.5	8.8	57.8	6.04	3.34	85	129	88	0.0	14
59.5	9.5	50.2	6.73	1.93	0	103	88	0.0	14
60.5	9.2	52.5	8.68	0.61	15	136	88	0.0	14
61.5	8.9	56.1	7.43	1.58	183	125	90	0.0	14
62.5	8.6	57.7	3.94	1.13	0	60	92	0.0	14
63.5	8.7	54.5	2.81	0.7	0	22	94	0.0	14
64.5	8.0	56.9	3.39	1.72	0	0	96	0.0	14
65.5	6.8	72.3	4.7	-0.16	0	0	98	0.0	14
66.5	5.8	86.1	4.05	1.72	0	0	100	1.9	14
67.5	4.7	91.4	3.24	2.82	0	0	100	2.3	14
68.5	4.4	89.4	3.54	4.21	0	0	100	0.3	14
69.5	5.1	83.1	2.85	2.66	0	0	100	0.0	14
70.5	5.5	79.5	3.94	2.56	0	0	100	0.0	14
71.5	5.8	76.9	2.82	2.54	0	0	100	0.0	14
