#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-4.6	83.0	-0.64	-0.28	0	0	50	0.0	30
0.5	-4.6	83.0	-0.64	-0.28	0	0	50	0.0	30
1.5	-4.7	80.7	0.99	0.48	0	0	58	0.0	30
2.5	-4.7	79.7	1.38	1.0	0	0	67	0.0	30
3.5	-4.7	79.4	1.3	1.25	0	0	75	0.0	30
4.5	-4.6	79.8	0.83	0.86	0	0	83	0.1	30
5.5	-4.4	82.0	-0.46	-0.19	0	0	92	0.0	30
6.5	-4.3	84.2	-0.49	-0.34	0	0	100	0.0	30
7.5	-3.8	85.2	1.18	1.22	0	0	98	0.0	30
8.5	-3.3	87.3	1.64	0.95	0	18	96	0.1	30
9.5	-2.5	83.0	1.62	0.79	219	77	94	0.0	30
10.5	-0.4	74.1	1.81	1.42	498	155	92	0.0	30
11.5	0.6	70.3	3.9	1.82	70	150	90	0.0	30
12.5	1.0	65.5	2.76	2.31	6	129	88	0.0	30
13.5	0.9	63.6	3.17	1.48	0	61	90	0.0	30
14.5	0.0	76.7	3.71	1.2	0	49	92	0.0	30
15.5	0.0	76.9	3.55	2.05	0	30	94	0.0	30
16.5	-0.2	72.8	3.39	1.72	0	0	96	0.0	30
17.5	-0.4	73.2	3.0	1.6	0	0	98	0.0	30
18.5	-0.1	72.9	4.53	2.94	0	0	100	0.0	30
19.5	-0.2	72.7	5.07	2.81	0	0	100	0.0	30
20.5	-0.3	73.1	5.02	3.64	0	0	100	0.0	30
21.5	-0.6	77.4	4.68	4.07	0	0	100	0.0	30
22.5	-0.8	82.0	5.39	2.63	0	0	100	0.0	30
23.5	-0.9	81.6	4.22	2.06	0	0	100	0.0	30
24.5	-1.3	90.2	3.54	1.65	0	0	100	0.1	30
25.5	-1.1	81.2	3.98	2.68	0	0	100	0.0	30
26.5	-1.0	82.3	4.59	2.44	0	0	100	0.0	30
27.5	-1.0	83.7	4.11	1.83	0	0	100	0.0	30
28.5	-1.2	87.2	3.36	1.78	0	0	100	0.0	30
29.5	-1.2	89.2	2.86	0.45	0	0	100	0.2	50
30.5	-1.0	88.7	4.23	1.8	0	0	100	0.4	50
31.5	-1.1	87.0	3.75	1.67	0	0	100	0.0	50
32.5	-0.9	82.4	3.65	1.86	0	23	100	0.0	50
33.5	-0.7	76.6	3.88	2.07	0	59	100	0.0	50
34.5	-0.7	77.3	3.53	1.88	0	94	100	0.0	50
