#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.2	89.1	0.15	0.14	0	0	50	0.1	14
0.5	-0.2	89.1	0.15	0.14	0	0	50	0.1	14
1.5	1.2	91.4	0.36	0.17	0	0	56	0.0	14
2.5	2.2	93.0	-0.04	0.09	0	0	62	0.1	14
3.5	3.1	94.4	-0.03	-0.09	0	0	69	0.5	14
4.5	3.7	95.4	0.19	-0.07	0	0	75	0.2	14
5.5	3.8	95.6	-0.37	-0.34	0	0	81	0.0	14
6.5	3.9	95.6	0.73	0.68	0	0	88	0.0	14
7.5	4.0	95.6	0.27	0.75	0	0	88	0.0	14
8.5	4.3	95.5	0.53	0.73	0	22	88	0.1	14
9.5	4.5	95.6	0.14	0.38	0	18	88	0.2	14
10.5	4.9	95.2	0.56	-0.2	0	42	88	0.0	14
11.5	5.0	95.1	-0.54	-0.25	0	56	88	0.0	14
12.5	5.9	92.4	0.71	-1.09	0	86	88	0.0	14
13.5	6.5	85.6	2.3	0.98	0	50	85	0.0	14
14.5	6.7	84.5	2.39	1.02	0	46	83	0.0	14
15.5	6.6	81.8	2.38	0.33	0	29	81	0.0	14
16.5	6.1	82.3	3.08	1.18	0	0	79	0.0	14
17.5	5.4	83.7	1.87	0.95	0	0	77	0.0	14
18.5	5.5	79.4	3.48	1.26	0	0	75	0.0	14
19.5	5.5	77.2	3.02	1.34	0	0	77	0.0	14
20.5	5.4	75.8	1.81	1.42	0	0	79	0.0	14
21.5	5.7	72.9	2.31	0.66	0	0	81	0.0	14
22.5	3.9	86.6	-1.09	-0.88	0	0	83	0.0	14
23.5	4.3	85.9	0.53	0.73	0	0	85	0.0	14
24.5	3.7	90.5	-0.63	-0.3	0	0	88	0.0	14
25.5	3.6	92.1	-0.18	-0.08	0	0	90	0.0	14
26.5	3.9	93.1	0.34	0.5	0	0	92	0.0	14
27.5	4.4	91.7	0.51	0.48	0	0	94	0.0	14
28.5	4.6	90.2	0.7	0.72	0	0	96	0.0	14
29.5	4.6	90.4	0.55	0.58	0	0	98	0.0	14
30.5	4.7	89.1	0.83	0.72	0	0	100	0.0	14
31.5	4.8	88.3	0.79	0.62	0	0	98	0.0	14
32.5	5.2	86.7	0.4	0.29	0	23	96	0.0	14
33.5	6.3	81.2	-0.85	0.31	20	88	94	0.0	14
34.5	8.1	76.2	0.91	0.42	143	134	92	0.0	14
35.5	8.8	75.4	-1.36	-0.63	95	152	90	0.0	14
