#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.8	76.2	0.58	2.02	0	0	49
0.5	3.8	76.2	0.58	2.02	0	0	49
1.5	1.6	80.5	0.41	1.65	0	0	40
2.5	-0.1	83.7	0.14	1.59	0	0	34
3.5	-1.8	87.5	-0.25	1.28	0	0	28
4.5	-2.8	89.2	-0.37	0.93	0	0	25
5.5	-2.9	89.3	-0.53	0.96	0	0	24
6.5	-2.9	89.6	-0.86	1.1	0	0	24
7.5	-2.7	89.5	-0.87	0.97	0	0	23
8.5	-2.7	88.8	0.15	0.58	182	39	21
9.5	-2.5	89.7	-0.25	0.87	190	87	19
10.5	-1.5	83.6	0.16	0.99	610	81	17
11.5	-0.9	83.0	-0.17	0.68	704	62	15
12.5	0.5	78.3	-0.99	0.99	728	64	12
13.5	1.6	74.3	-1.49	-0.21	607	77	23
14.5	1.8	76.0	-2.47	0.39	295	68	33
15.5	1.5	75.9	-2.86	0.5	0	30	44
16.5	0.8	77.4	-2.6	0.0	0	0	54
17.5	0.3	78.9	-3.2	-0.11	0	0	65
18.5	-0.1	79.6	-2.55	0.5	0	0	75
19.5	0.0	78.7	-0.64	1.25	0	0	71
20.5	-0.8	83.1	-0.49	1.21	0	0	67
21.5	-0.8	81.5	-2.79	0.2	0	0	62
22.5	-1.0	82.7	-3.06	0.94	0	0	58
23.5	-1.0	81.6	-2.99	-0.21	0	0	54
24.5	-1.2	82.6	-1.77	1.77	0	0	50
25.5	-1.2	82.1	-2.1	0.64	0	0	46
26.5	-1.3	81.4	-2.28	0.74	0	0	42
27.5	-1.4	83.0	-2.76	0.9	0	0	38
28.5	-1.8	83.2	-2.15	0.82	0	0	33
29.5	-2.0	83.5	-2.14	0.49	0	0	29
30.5	-2.2	83.8	0.71	0.97	0	0	25
31.5	-2.3	83.2	-0.65	1.46	0	0	38
32.5	-2.1	82.8	-2.52	0.63	149	50	50
33.5	-1.2	80.3	-1.77	0.68	10	82	62
34.5	-0.7	81.1	-1.02	0.41	0	63	75
35.5	0.2	81.7	-1.07	0.54	0	58	88
36.5	1.3	78.8	0.62	0.91	0	59	100
37.5	1.7	79.9	-1.03	1.59	0	29	100
38.5	2.0	81.8	-0.9	0.0	0	19	100
39.5	2.4	84.8	-1.1	0.0	0	5	100
40.5	2.3	88.4	0.11	1.6	0	0	100
41.5	2.4	88.4	-0.35	-0.35	0	0	100
42.5	2.5	91.0	0.51	1.2	0	0	100
43.5	2.4	92.2	-0.33	1.15	0	0	100
44.5	2.7	90.6	-0.85	0.98	0	0	100
45.5	3.1	90.1	0.12	1.39	0	0	100
46.5	3.0	90.2	-0.43	1.12	0	0	100
47.5	3.2	90.3	-1.24	0.4	0	0	100
48.5	3.1	90.1	-0.7	0.57	0	0	100
49.5	3.2	90.6	-0.49	0.1	0	0	100
50.5	3.1	90.2	-1.06	0.28	0	0	100
51.5	3.2	90.9	-1.59	0.19	0	0	100
52.5	3.2	92.1	-1.65	0.41	0	0	100
53.5	3.4	91.7	-0.71	0.84	0	0	100
54.5	3.4	89.9	-0.75	0.66	0	0	100
55.5	3.3	90.1	-1.16	0.31	0	0	100
56.5	3.4	90.3	0.0	0.7	0	13	100
57.5	3.7	89.0	-0.56	0.42	0	52	100
58.5	3.9	87.8	-0.57	0.57	0	52	100
59.5	3.9	89.3	-2.87	0.4	0	78	100
60.5	4.2	89.5	-3.45	0.61	0	37	100
61.5	4.6	90.3	-2.59	0.18	0	29	92
62.5	4.8	90.9	-2.29	0.2	0	23	83
63.5	8.6	86.9	4.79	2.03	0	5	75
64.5	11.2	84.4	5.71	2.42	0	0	67
65.5	11.6	80.1	5.98	2.54	0	0	58
66.5	12.1	75.2	4.9	2.71	0	0	50
67.5	12.7	72.5	6.94	2.26	0	0	52
68.5	12.4	76.3	6.55	0.8	0	0	54
69.5	11.9	80.9	6.01	1.06	0	0	56
