#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	5.4	75.1	2.49	0.26	0	0	93
0.5	5.4	75.1	2.49	0.26	0	0	93
1.5	3.7	79.1	2.15	-0.46	0	0	96
2.5	2.5	82.2	1.8	-0.62	0	0	98
3.5	1.1	85.5	1.29	-0.55	0	0	99
4.5	0.4	86.8	0.91	-0.41	0	0	100
5.5	0.4	86.7	0.71	-0.36	0	0	100
6.5	0.4	86.7	0.59	-0.37	0	0	100
7.5	0.4	87.0	0.7	-0.04	0	0	100
8.5	0.3	88.1	0.66	-0.75	0	29	100
9.5	0.7	86.8	-0.31	-0.95	0	59	100
10.5	1.9	78.9	-1.6	0.11	0	78	100
11.5	2.0	76.3	-1.5	0.0	0	85	100
12.5	2.2	75.6	-1.28	-0.2	0	59	100
13.5	1.8	80.6	0.72	-1.2	0	37	100
14.5	1.1	87.5	0.95	-0.74	0	22	100
15.5	0.8	87.8	0.93	-0.37	0	5	100
16.5	0.9	88.0	0.21	-0.21	0	0	100
17.5	1.0	90.1	0.07	-0.07	0	0	100
18.5	1.0	91.8	-0.45	0.23	0	0	100
19.5	1.0	91.7	-0.46	0.19	0	0	100
20.5	1.2	92.3	-0.2	0.0	0	0	100
21.5	1.1	93.5	-0.27	0.14	0	0	100
22.5	1.1	92.3	-0.28	0.28	0	0	100
23.5	1.1	91.8	0.0	0.1	0	0	100
24.5	0.9	94.3	0.07	0.07	0	0	100
25.5	1.0	93.9	0.21	0.21	0	0	100
26.5	0.9	93.8	0.3	0.4	0	0	100
27.5	0.9	93.0	0.22	0.33	0	0	100
28.5	1.0	91.5	0.0	0.3	0	0	100
29.5	0.9	92.6	0.0	0.0	0	0	100
30.5	0.7	94.4	0.18	-0.09	0	0	100
31.5	0.7	94.9	0.1	0.0	0	0	100
32.5	0.8	95.2	0.33	-0.22	0	14	100
33.5	0.6	92.9	0.54	-0.44	0	27	100
34.5	0.8	88.4	0.45	-0.23	0	29	100
35.5	0.6	88.3	0.61	-0.51	0	56	100
36.5	0.7	91.4	0.19	-0.78	0	40	100
37.5	0.7	92.3	0.1	-1.1	0	31	100
38.5	0.4	94.5	0.2	-0.88	0	10	100
39.5	0.0	95.7	0.41	-0.8	0	0	100
40.5	0.0	95.1	0.64	-0.64	0	0	100
41.5	-0.1	94.3	0.8	-0.6	0	0	100
42.5	-0.2	93.7	0.66	-0.45	0	0	100
43.5	-0.1	92.7	0.56	-0.22	0	0	100
44.5	0.1	90.1	0.51	-0.31	0	0	100
45.5	-0.3	86.7	0.73	-0.53	0	0	100
46.5	-0.6	87.4	0.61	-0.51	0	0	100
47.5	-0.7	87.9	0.39	-0.1	0	0	100
48.5	-0.9	89.5	0.61	-0.51	0	0	100
49.5	-1.1	89.9	0.88	-0.66	0	0	100
50.5	-1.1	89.0	0.85	-0.53	0	0	100
51.5	-1.5	88.3	0.75	-0.66	0	0	100
52.5	-1.9	87.1	1.2	-0.9	0	0	100
53.5	-2.2	86.3	1.51	-1.31	0	0	100
54.5	-2.9	86.9	1.23	-1.32	0	0	100
55.5	-3.4	92.3	0.97	-0.87	0	0	100
