#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.0	82.8	-1.15	1.11	0	0	100
0.5	3.0	82.8	-1.15	1.11	0	0	100
1.5	2.7	82.0	-1.56	0.33	0	0	100
2.5	2.5	81.5	-1.68	-0.24	0	0	100
3.5	2.3	80.8	-1.44	-0.7	0	0	100
4.5	2.1	80.3	-1.2	-0.9	0	0	100
5.5	1.9	80.4	-1.21	-0.7	0	0	100
6.5	1.8	80.5	-1.05	-0.58	0	0	100
7.5	1.7	80.7	-1.0	-0.46	0	0	100
8.5	1.7	81.4	-0.67	-0.22	0	24	100
9.5	1.8	81.0	-0.98	-0.69	0	42	100
10.5	2.0	80.9	-1.43	-0.73	0	57	100
11.5	2.0	80.6	-0.73	-0.53	0	52	100
12.5	2.2	80.7	-0.88	-0.48	0	57	100
13.5	2.2	80.8	-0.32	-0.38	0	33	100
14.5	2.1	81.8	-0.19	-0.07	0	16	100
15.5	2.1	81.6	-0.36	-0.17	0	4	100
16.5	2.0	83.0	-0.23	-0.19	0	0	100
17.5	1.9	85.9	-0.13	-0.15	0	0	100
18.5	1.6	92.4	-0.28	-0.28	0	0	100
19.5	1.4	94.3	-0.13	-0.15	0	0	100
20.5	1.4	94.8	-0.25	-0.17	0	0	100
21.5	1.5	94.8	-0.52	-0.3	0	0	100
22.5	1.3	95.5	-0.26	-0.31	0	0	100
23.5	1.3	95.0	-0.47	-0.17	0	0	100
24.5	1.4	94.8	-0.28	-0.28	0	0	100
25.5	1.3	95.1	-0.29	-0.41	0	0	100
26.5	1.3	95.2	-0.26	-0.15	0	0	100
27.5	1.3	95.6	-0.33	-0.23	0	0	100
28.5	1.3	95.6	-0.29	-0.41	0	0	100
29.5	1.4	94.7	-0.19	-0.23	0	0	100
30.5	1.3	94.9	-0.16	-0.12	0	0	100
31.5	1.5	93.6	-0.26	-0.15	0	0	100
32.5	1.3	94.2	-0.1	-0.0	0	25	100
33.5	1.5	92.4	-0.59	-0.11	0	62	100
34.5	1.9	89.9	-0.98	-0.69	0	105	100
35.5	2.2	88.4	-1.34	-1.05	0	111	100
36.5	2.0	87.0	-1.56	-1.56	0	80	100
37.5	1.7	85.1	-1.63	-1.63	0	77	100
38.5	1.5	83.6	-1.48	-1.48	0	46	100
39.5	1.4	83.1	-2.36	-1.31	0	23	100
40.5	1.1	82.1	-2.92	-1.3	0	0	100
41.5	0.7	80.5	-3.44	-1.61	0	0	100
42.5	0.3	79.9	-3.3	-1.68	0	0	100
43.5	0.2	80.6	-2.15	-1.45	0	0	100
44.5	0.2	80.7	-2.01	-1.81	0	0	100
45.5	0.2	80.2	-2.23	-2.15	0	0	100
46.5	0.0	79.9	-2.68	-2.09	0	0	100
47.5	-0.3	80.1	-1.6	-1.2	0	0	100
48.5	-0.5	79.8	-1.54	-1.12	0	0	100
49.5	-0.6	79.4	-1.36	-1.18	0	0	100
50.5	-0.8	78.5	-1.06	-1.7	0	0	100
51.5	-0.9	78.4	-1.32	-1.63	0	0	100
52.5	-1.0	78.2	-1.43	-0.93	0	0	100
53.5	-1.1	77.6	-0.93	-1.43	0	0	100
54.5	-1.1	78.5	-0.99	-0.99	0	0	100
55.5	-1.2	77.2	-1.38	-1.16	0	0	100
56.5	-1.3	77.7	-1.5	-1.17	0	12	100
57.5	-1.1	76.8	-1.34	-0.87	0	35	100
58.5	-1.0	76.3	-1.53	-0.95	0	63	100
59.5	-0.9	74.9	-1.81	-1.42	0	88	100
60.5	-0.9	74.4	-1.51	-1.74	0	75	100
61.5	-0.9	74.6	-1.89	-1.13	0	57	100
62.5	-1.1	75.2	-1.87	-0.72	0	34	100
63.5	-1.5	75.8	-1.44	-1.66	0	10	100
64.5	-2.0	74.8	-2.1	-1.7	0	0	100
65.5	-2.5	75.0	-1.73	-1.0	0	0	100
66.5	-3.0	76.7	-1.63	-1.63	0	0	100
67.5	-3.5	76.7	-1.2	-1.48	0	0	100
68.5	-3.8	79.0	-1.16	-0.78	0	0	100
69.5	-4.1	78.3	-1.13	-0.82	0	0	100
70.5	-4.6	79.9	-0.78	-0.78	0	0	100
71.5	-5.5	85.0	-0.4	-0.0	0	0	100
72.5	-5.9	85.8	-0.14	-0.27	0	0	100
73.5	-5.9	87.6	-0.0	0.3	0	0	100
74.5	-6.5	90.2	-0.09	0.18	0	0	100
75.5	-6.7	89.2	-0.28	0.28	0	0	100
76.5	-7.5	89.7	-0.14	-0.14	0	0	100
77.5	-7.2	88.8	-0.18	-0.57	0	0	100
78.5	-6.2	87.0	-0.35	0.35	0	0	100
79.5	-6.3	88.0	-0.22	-0.33	0	0	98
80.5	-5.7	85.8	0.0	-0.4	0	36	96
81.5	-4.8	84.3	0.0	-0.1	44	91	94
82.5	-3.5	79.8	0.38	0.12	103	137	92
83.5	-2.1	75.9	0.71	-0.36	81	153	90
84.5	-1.2	73.0	0.8	0.6	17	138	88
85.5	-0.4	69.5	1.48	0.21	0	85	90
86.5	0.0	69.2	1.0	0.0	0	33	92
87.5	0.3	70.8	0.79	0.1	0	14	94
88.5	0.3	71.7	1.3	0.11	0	0	96
89.5	0.1	75.0	0.35	0.35	0	0	98
90.5	0.0	78.7	-0.0	0.3	0	0	100
91.5	-0.2	80.5	0.28	0.28	0	0	100
92.5	-1.0	82.3	0.74	0.31	0	0	100
93.5	-2.9	90.4	0.27	0.14	0	0	100
94.5	-3.3	90.3	-0.09	0.59	0	0	100
95.5	-2.2	86.0	-0.0	1.0	0	0	100
96.5	-1.9	85.3	-0.1	0.49	0	0	100
97.5	-1.7	84.3	-0.0	0.9	0	0	100
98.5	-1.5	85.0	-0.0	0.2	0	0	100
99.5	-1.3	83.7	-0.1	0.79	0	0	100
100.5	-1.3	83.8	0.71	0.71	0	0	100
101.5	-1.1	84.7	0.62	0.32	0	0	100
102.5	-1.0	83.7	0.9	0.09	0	0	100
103.5	-0.9	84.1	0.67	0.22	0	0	100
104.5	-0.6	83.2	0.58	0.39	0	21	100
105.5	-0.2	81.0	1.08	-0.21	0	63	100
106.5	0.4	78.8	0.9	-0.09	0	71	100
107.5	1.1	77.1	1.05	-0.32	0	81	100
108.5	1.4	76.6	0.69	-0.4	0	94	100
109.5	2.0	75.3	0.76	-0.66	0	70	100
110.5	2.3	74.8	0.22	-0.67	0	48	100
111.5	2.1	77.1	0.0	-0.2	0	14	100
112.5	1.8	79.4	0.0	-0.3	0	0	100
113.5	1.4	83.1	-0.0	0.1	0	0	100
114.5	1.4	84.9	0.28	0.09	0	0	100
115.5	1.3	86.3	-0.0	0.1	0	0	94
116.5	1.4	88.0	-0.14	0.27	0	0	88
117.5	1.3	88.6	-0.09	0.18	0	0	81
118.5	1.1	89.1	-0.14	0.14	0	0	75
119.5	0.7	91.2	-0.3	-0.0	0	0	69
120.5	0.1	92.3	-0.0	0.1	0	0	62
121.5	-1.2	95.4	0.09	0.28	0	0	56
122.5	-2.2	95.2	-0.0	0.4	0	0	50
123.5	-2.3	93.7	-0.1	0.39	0	0	44
124.5	-1.5	92.3	-0.0	0.3	0	0	38
125.5	-0.8	91.6	-0.0	0.3	0	0	31
126.5	-1.0	92.0	0.18	0.36	0	0	25
127.5	-1.1	92.1	0.69	0.1	0	0	38
128.5	-0.3	89.9	0.42	0.42	0	43	50
129.5	0.3	88.1	0.69	0.1	4	88	62
130.5	1.1	85.9	0.6	0.0	9	131	75
131.5	1.8	83.2	0.67	-0.22	3	131	88
132.5	2.3	80.5	1.18	-0.21	0	112	100
133.5	2.4	80.6	1.28	-0.2	0	56	100
134.5	2.5	80.9	0.87	-0.22	0	31	100
135.5	2.5	81.2	0.45	-0.23	0	13	100
136.5	2.3	83.3	0.09	-0.18	0	0	100
137.5	2.3	85.6	0.36	-0.18	0	0	100
138.5	2.3	85.7	0.69	-0.41	0	0	100
139.5	1.9	86.7	0.78	0.63	0	0	100
140.5	1.7	87.5	0.71	0.36	0	0	100
141.5	1.9	86.7	0.49	0.1	0	0	100
142.5	1.2	89.6	0.3	0.0	0	0	100
143.5	1.2	89.7	0.6	0.0	0	0	100
144.5	1.7	88.7	1.0	-0.1	0	0	100
145.5	1.7	89.4	0.27	-0.14	0	0	100
146.5	1.9	88.7	0.28	-0.09	0	0	100
147.5	1.9	89.7	0.07	-0.07	0	0	100
148.5	1.8	90.9	-0.0	-0.0	0	0	100
149.5	1.4	91.7	-0.0	-0.0	0	0	100
150.5	1.7	91.2	0.27	0.14	0	0	100
151.5	1.8	91.1	0.4	0.0	0	0	90
152.5	2.0	91.5	-0.0	-0.0	0	35	79
153.5	2.8	88.7	0.07	0.07	12	88	69
154.5	3.6	85.3	0.83	-0.72	226	129	58
155.5	4.4	81.5	0.58	-0.39	320	142	48
156.5	5.1	78.5	-0.0	-0.0	308	135	38
157.5	5.7	75.1	-0.0	-0.0	158	135	35
158.5	6.0	73.6	0.07	-0.07	79	89	33
159.5	4.5	82.1	0.27	0.14	0	37	31
160.5	3.0	89.1	-0.0	-0.0	0	0	29
161.5	1.5	93.8	-0.0	0.3	0	0	27
162.5	1.1	94.9	-0.0	-0.0	0	0	25
163.5	0.3	95.6	-0.0	-0.0	0	0	31
164.5	-0.5	96.3	-0.0	0.1	0	0	38
165.5	0.0	94.7	-0.0	-0.0	0	0	44
166.5	0.6	96.7	-0.0	-0.0	0	0	50
167.5	0.6	99.0	-0.0	-0.0	0	0	56
168.5	1.0	97.6	-0.0	-0.0	0	0	62
169.5	1.2	96.4	0.1	0.0	0	0	69
170.5	1.3	97.3	0.27	0.14	0	0	75
171.5	1.5	95.6	0.51	0.31	0	0	81
172.5	1.6	94.7	0.57	0.57	0	0	88
173.5	1.5	92.3	1.01	0.82	0	0	94
174.5	1.4	93.7	0.4	0.3	0	0	100
175.5	1.3	94.1	0.74	0.31	0	0	100
176.5	1.4	92.2	1.66	0.38	0	17	100
177.5	1.6	92.1	1.61	1.01	0	38	100
178.5	1.7	91.5	1.97	0.72	0	58	100
179.5	1.8	89.9	1.55	0.69	0	62	100
180.5	1.8	90.2	1.52	0.49	0	62	100
181.5	2.0	89.4	1.36	0.85	0	54	100
182.5	2.2	89.1	0.95	0.74	0	37	100
183.5	2.3	89.1	1.36	1.18	0	12	100
184.5	2.3	89.4	0.75	1.06	0	0	100
185.5	2.4	89.0	0.64	0.77	0	0	100
186.5	2.5	88.5	1.31	1.51	0	0	100
187.5	2.5	90.5	1.36	0.85	0	0	100
188.5	3.2	90.5	1.3	0.75	0	0	100
189.5	3.7	91.7	1.54	0.72	0	0	100
190.5	4.5	89.7	2.63	1.64	0	0	100
191.5	4.8	89.8	2.55	2.55	0	0	100
192.5	5.4	89.1	3.21	3.96	0	0	100
193.5	5.8	88.8	2.6	2.03	0	0	100
194.5	6.1	88.9	3.17	4.37	0	0	100
195.5	6.2	89.1	3.14	3.49	0	0	100
196.5	6.4	89.4	3.22	3.7	0	0	100
197.5	6.8	88.8	3.26	3.38	0	0	100
198.5	7.2	89.6	2.66	2.57	0	0	100
199.5	7.3	88.6	3.02	2.92	0	0	96
200.5	7.3	88.0	3.64	3.28	0	18	92
201.5	7.5	87.9	3.24	2.35	0	33	88
202.5	7.8	87.8	3.58	3.34	0	77	83
203.5	8.6	82.9	4.43	3.59	253	149	79
204.5	9.3	79.7	3.47	3.02	340	123	75
205.5	9.6	77.8	3.66	3.41	250	114	77
206.5	8.5	83.7	3.72	2.7	0	36	79
207.5	8.1	83.6	3.31	2.07	0	10	81
208.5	7.1	87.7	3.07	2.07	0	0	83
209.5	7.4	85.4	3.44	2.41	0	0	85
210.5	7.8	85.8	3.27	3.51	0	0	88
211.5	7.7	86.9	3.55	3.8	0	0	86
212.5	7.9	84.9	3.75	3.15	0	0	85
213.5	7.7	85.0	3.41	3.66	0	0	84
214.5	7.5	85.2	3.74	4.3	0	0	83
215.5	7.5	84.0	4.14	3.47	0	0	82
216.5	7.5	83.0	4.61	3.35	0	0	81
217.5	7.8	82.4	4.67	3.27	0	0	80
218.5	6.9	85.5	3.4	-0.85	0	0	79
219.5	5.7	88.4	2.19	0.98	0	0	78
220.5	6.0	89.2	1.98	1.84	0	0	77
221.5	6.0	83.8	2.13	3.85	0	0	76
222.5	6.1	83.7	2.06	2.45	0	0	75
223.5	5.8	87.2	1.08	0.19	0	0	77
224.5	4.7	92.7	-0.0	0.1	0	40	79
225.5	5.8	88.6	-0.0	-0.0	188	96	81
226.5	7.3	84.9	-0.48	0.12	76	131	83
227.5	8.6	78.4	0.59	0.81	123	149	85
228.5	8.9	76.0	1.63	0.76	0	113	88
229.5	9.1	77.1	2.38	1.27	0	86	88
230.5	9.1	78.6	1.58	1.38	0	59	88
231.5	8.9	80.5	0.83	0.72	0	24	88
232.5	8.3	83.4	0.28	0.28	0	0	88
233.5	7.9	86.6	-0.0	0.2	0	0	88
234.5	7.4	89.9	0.18	-0.09	0	0	88
235.5	6.8	92.6	-0.0	-0.0	0	0	89
236.5	7.0	90.4	0.5	0.0	0	0	90
237.5	6.8	92.3	-0.0	-0.0	0	0	91
238.5	7.0	91.4	0.6	0.36	0	0	92
239.5	7.9	87.1	2.01	1.81	0	0	93
240.5	8.0	89.3	2.22	2.3	0	0	94
241.5	8.0	88.4	2.01	1.81	0	0	95
242.5	7.9	86.7	1.48	0.21	0	0	96
243.5	7.5	87.4	1.2	0.1	0	0	97
244.5	6.9	92.0	0.0	-0.1	0	0	98
245.5	7.0	90.0	0.71	-0.36	0	0	99
246.5	7.2	86.9	0.78	0.19	0	0	100
247.5	7.6	86.0	1.04	-0.6	0	0	100
248.5	8.5	81.9	2.53	2.12	0	21	100
249.5	8.9	80.5	2.41	3.44	0	36	100
250.5	9.2	79.9	3.28	3.91	0	55	100
251.5	9.5	80.6	3.17	2.76	0	56	100
252.5	9.8	83.8	3.02	2.62	0	52	100
253.5	10.0	88.1	3.49	3.14	0	46	100
254.5	10.1	89.2	3.22	2.01	0	25	100
255.5	10.4	89.8	3.85	3.35	0	7	100
256.5	10.9	89.9	4.24	4.1	0	0	100
257.5	11.3	89.1	3.96	3.21	0	0	100
258.5	11.6	89.0	3.68	3.81	0	0	100
259.5	11.8	87.7	3.75	2.83	0	0	99
260.5	11.5	88.3	3.18	3.18	0	0	98
261.5	11.4	87.7	2.49	1.68	0	0	97
262.5	11.1	88.3	2.38	1.27	0	0	96
263.5	11.4	82.6	4.11	2.28	0	0	95
264.5	11.5	79.0	4.98	4.18	0	0	94
265.5	11.3	79.0	6.04	3.92	0	0	93
266.5	10.3	78.4	6.45	0.79	0	0	92
267.5	9.8	79.6	2.42	0.65	0	0	91
268.5	9.4	81.0	3.97	0.49	0	0	90
269.5	8.7	83.6	2.54	1.78	0	0	89
270.5	8.4	86.7	2.86	0.45	0	0	88
271.5	8.0	88.4	1.77	0.94	0	0	90
272.5	8.4	89.5	2.44	1.91	0	13	92
273.5	8.2	88.5	2.42	2.1	0	26	94
274.5	8.4	89.6	1.74	1.51	0	39	96
275.5	8.5	90.6	1.74	2.07	0	37	98
276.5	8.7	87.4	1.19	0.74	0	31	100
277.5	8.9	86.0	2.15	1.94	0	26	100
278.5	8.4	86.5	5.44	4.4	0	13	100
