#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-2.8	82.8	1.57	0.87	0	0	50	0.0	30
0.5	-2.8	82.8	1.57	0.87	0	0	50	0.0	30
1.5	-3.2	81.9	1.41	0.95	0	0	58	0.0	30
2.5	-3.4	81.8	1.82	1.05	0	0	67	0.0	30
3.5	-3.6	82.1	2.32	1.18	0	0	75	0.0	30
4.5	-3.5	82.9	2.64	1.99	0	0	83	0.0	30
5.5	-3.3	84.6	2.56	2.39	0	0	92	0.0	80
6.5	-3.1	86.6	1.82	1.23	0	0	100	0.0	80
7.5	-2.7	87.7	1.57	0.87	0	0	100	0.1	80
8.5	-2.4	88.7	1.66	0.7	0	18	100	0.0	80
9.5	-2.0	89.7	1.27	0.29	0	32	100	0.1	80
10.5	-1.3	89.2	0.82	0.74	0	81	100	0.0	80
11.5	-0.7	87.8	1.72	2.46	0	81	100	0.0	80
12.5	0.2	83.5	2.45	1.36	0	112	100	0.0	80
13.5	-0.1	88.6	3.52	2.47	0	54	100	0.0	80
14.5	0.3	86.0	3.83	1.95	0	40	100	0.0	80
15.5	0.5	83.2	3.69	2.58	0	13	100	0.0	80
16.5	0.5	83.2	3.27	2.94	0	0	100	0.0	80
17.5	0.4	81.0	3.2	2.41	0	0	100	0.0	50
18.5	0.4	80.7	3.52	2.29	0	0	100	0.0	50
19.5	0.2	82.8	3.52	2.29	0	0	100	0.0	50
20.5	-0.2	90.6	3.65	2.28	0	0	100	0.2	50
21.5	-0.4	96.4	2.82	1.9	0	0	100	0.7	50
22.5	-0.5	96.1	2.87	2.01	0	0	100	0.5	50
23.5	-0.4	92.6	3.48	1.77	0	0	100	0.0	50
24.5	-0.4	91.4	3.31	2.59	0	0	100	0.0	50
25.5	-0.3	91.8	3.43	2.06	0	0	100	0.0	50
26.5	-0.5	94.8	2.88	2.17	0	0	100	0.4	50
27.5	-0.4	92.7	3.36	2.18	0	0	100	0.2	50
28.5	-0.5	93.0	3.03	2.45	0	0	100	0.6	50
29.5	-0.5	95.7	2.36	1.85	0	0	100	1.0	80
30.5	-0.2	95.0	2.27	1.06	0	0	100	0.2	80
31.5	-0.4	94.9	2.14	1.09	0	0	100	0.5	80
32.5	-0.2	90.6	2.87	0.4	0	37	100	0.2	80
33.5	0.0	85.3	2.76	0.9	2	82	100	0.0	80
34.5	-0.1	86.7	2.65	1.41	0	91	100	0.0	80
35.5	-0.3	89.0	2.5	1.27	0	103	100	0.1	80
36.5	-0.8	91.3	2.6	0.04	0	79	100	0.2	80
37.5	-0.7	88.1	1.34	0.68	0	87	100	0.0	80
38.5	-0.7	89.0	0.86	0.52	0	47	100	0.0	80
39.5	-1.2	88.1	1.89	0.23	0	10	100	0.1	80
40.5	-1.6	90.2	1.38	0.22	0	0	100	0.0	80
41.5	-1.5	87.0	1.9	-0.07	0	0	100	0.0	80
42.5	-1.9	85.5	2.48	-0.35	0	0	100	0.0	80
43.5	-2.3	80.0	2.49	-0.17	0	0	100	0.0	80
44.5	-2.8	83.6	1.78	0.25	0	0	100	0.0	80
45.5	-3.2	88.3	1.19	0.15	0	0	100	0.1	80
46.5	-3.3	90.3	0.66	0.61	0	0	100	0.1	80
47.5	-3.4	91.0	1.0	-0.09	0	0	100	0.1	80
