#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	4.0	76.6	1.79	0.22	0	0	100
0.5	4.0	76.6	1.79	0.22	0	0	100
1.5	3.3	82.2	2.15	0.46	0	0	100
2.5	2.6	85.6	2.52	0.63	0	0	100
3.5	1.9	89.4	2.76	0.9	0	0	100
4.5	1.3	90.9	2.95	0.96	0	0	100
5.5	1.1	90.4	3.01	1.09	0	0	100
6.5	1.0	90.3	2.61	1.0	0	0	100
7.5	0.9	90.0	2.6	1.05	0	0	100
8.5	0.7	89.5	3.14	1.02	0	12	100
9.5	0.8	88.5	3.06	1.49	0	47	100
10.5	0.9	89.6	2.7	0.09	2	107	100
11.5	1.1	87.4	2.83	0.65	14	138	100
12.5	1.1	86.5	2.1	0.64	109	158	100
13.5	0.9	88.6	3.63	0.71	11	131	100
14.5	0.7	86.3	3.75	0.59	34	84	100
15.5	0.5	85.5	2.89	0.2	0	29	100
16.5	0.2	85.5	3.56	0.5	0	0	100
17.5	0.1	86.4	2.8	0.1	0	0	100
18.5	-0.1	87.0	2.6	0.09	0	0	100
19.5	-0.2	86.6	2.18	1.59	0	0	100
20.5	-0.3	88.3	2.52	1.63	0	0	100
21.5	-0.6	82.8	2.15	1.45	0	0	100
22.5	-2.0	84.4	1.41	1.41	0	0	100
23.5	-4.2	89.9	1.21	0.7	0	0	100
24.5	-3.9	88.4	1.83	0.81	0	0	100
25.5	-2.6	82.7	1.82	1.23	0	0	100
26.5	-1.2	78.9	1.95	1.22	0	0	100
27.5	0.1	67.4	3.44	3.2	0	0	100
28.5	0.2	75.4	3.89	3.89	0	0	100
29.5	0.6	89.1	2.71	3.59	0	0	100
30.5	1.4	90.3	2.82	3.24	0	0	100
31.5	2.5	90.3	3.79	3.41	0	0	100
32.5	3.4	92.0	4.07	3.07	0	13	100
33.5	4.0	94.3	3.62	3.88	0	41	100
34.5	4.8	92.8	4.17	3.89	0	63	100
35.5	5.5	91.2	5.74	4.17	0	69	100
36.5	5.7	87.8	7.2	4.33	0	78	100
37.5	5.7	89.0	5.17	3.23	0	48	100
38.5	5.5	92.3	4.04	2.94	0	26	100
39.5	5.8	89.0	5.66	3.4	0	11	100
40.5	5.5	88.8	6.2	3.02	0	0	100
41.5	4.9	90.7	5.31	3.19	0	0	100
42.5	4.9	91.4	3.82	2.38	0	0	100
43.5	4.9	91.0	4.02	2.23	0	0	100
44.5	4.7	92.5	3.44	2.23	0	0	100
45.5	4.6	92.2	3.1	2.02	0	0	100
46.5	4.7	92.6	3.07	2.4	0	0	100
47.5	4.7	92.3	3.86	2.5	0	0	100
48.5	4.4	93.5	3.96	2.88	0	0	100
49.5	4.1	93.8	3.2	2.24	0	0	100
50.5	4.0	92.9	3.51	2.65	0	0	100
51.5	4.2	93.3	3.69	2.58	0	0	100
52.5	4.3	90.1	3.56	2.4	0	0	100
53.5	3.9	91.5	2.15	1.94	0	0	100
54.5	3.9	90.7	2.85	1.21	0	0	100
55.5	3.6	91.0	2.58	1.32	0	0	100
56.5	2.9	91.2	1.03	1.23	342	34	100
57.5	4.1	86.4	1.24	1.16	335	78	100
58.5	5.1	83.5	2.1	1.7	6	114	100
59.5	6.0	77.2	2.77	3.42	0	107	100
60.5	6.6	71.8	3.81	3.68	0	98	100
61.5	7.2	67.5	3.0	2.8	0	61	100
62.5	7.3	75.2	3.53	1.88	0	31	100
63.5	6.5	86.4	2.82	1.03	0	13	100
64.5	6.3	86.3	1.29	0.55	0	0	100
65.5	7.5	77.0	2.94	1.91	0	0	100
66.5	7.8	76.0	3.98	2.68	0	0	100
67.5	7.7	75.9	4.19	2.72	0	0	100
68.5	8.0	74.5	4.9	3.96	0	0	100
69.5	7.2	80.0	5.46	3.15	0	0	100
70.5	4.5	90.8	6.21	2.77	0	0	100
71.5	3.1	92.9	4.48	3.02	0	0	100
72.5	3.7	91.7	3.4	2.29	0	0	100
73.5	4.5	93.7	3.82	2.38	0	0	100
74.5	5.0	91.3	4.89	2.94	0	0	100
75.5	4.9	90.3	4.68	2.7	0	0	100
76.5	4.5	92.6	3.02	1.96	0	0	100
77.5	4.3	92.2	1.92	1.61	0	0	100
78.5	3.3	93.5	1.72	1.2	0	0	100
79.5	2.3	96.5	1.84	2.11	0	0	100
80.5	3.2	93.7	1.3	1.39	3	37	100
81.5	3.4	92.2	1.23	1.03	8	93	100
