#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.7	93.8	2.56	2.39	0	0	50	0.2	14
0.5	2.7	93.8	2.56	2.39	0	0	50	0.2	14
1.5	3.0	93.2	1.87	2.08	0	0	58	0.0	14
2.5	3.1	92.8	0.93	1.43	0	0	67	0.0	14
3.5	3.3	92.4	0.62	1.03	0	0	75	0.0	14
4.5	3.4	92.2	1.23	1.03	0	0	83	0.2	14
5.5	3.5	91.9	1.32	1.76	0	0	92	0.0	14
6.5	3.5	91.7	1.64	2.02	0	0	100	0.1	14
7.5	3.5	90.6	1.24	1.16	0	0	96	0.0	14
8.5	3.6	87.8	1.72	2.21	0	31	92	0.0	14
9.5	3.7	86.3	0.98	2.19	67	89	88	0.0	14
10.5	4.9	82.7	1.85	3.2	382	103	83	0.0	14
11.5	6.2	78.7	1.46	3.29	541	96	79	0.0	14
12.5	6.3	72.5	2.15	4.4	296	142	75	0.0	14
13.5	6.8	65.6	2.6	4.16	446	97	79	0.0	14
14.5	6.1	62.5	2.15	4.62	0	70	83	0.0	14
15.5	6.2	60.6	2.23	3.44	0	19	88	0.0	14
16.5	6.4	66.3	2.52	3.6	0	0	92	0.1	14
17.5	6.2	82.3	3.14	3.49	0	0	96	0.1	14
18.5	6.6	86.1	4.38	3.8	0	0	100	0.2	14
19.5	7.3	89.0	2.65	3.51	0	0	100	0.2	14
20.5	7.8	88.4	3.43	4.55	0	0	100	0.0	14
21.5	8.3	85.6	4.43	5.29	0	0	100	0.0	14
22.5	8.4	83.5	4.43	5.29	0	0	100	0.0	14
23.5	8.5	82.6	3.9	4.82	0	0	100	0.0	14
24.5	8.5	84.0	3.47	4.14	0	0	100	0.2	14
25.5	8.5	87.5	5.13	4.46	0	0	100	0.9	14
26.5	8.6	87.6	6.07	4.57	0	0	100	0.1	14
27.5	8.5	90.4	4.35	3.52	0	0	100	2.1	14
28.5	8.3	89.5	3.88	3.75	0	0	100	3.5	14
29.5	7.9	89.2	3.45	3.33	0	0	100	2.0	14
30.5	8.9	89.3	5.5	4.95	0	0	100	0.8	14
31.5	9.2	88.4	6.24	5.62	0	0	100	1.6	14
32.5	9.0	88.6	4.31	4.46	0	5	100	1.5	14
33.5	9.1	85.7	2.8	4.85	0	42	100	0.2	14
34.5	9.0	83.9	2.68	6.03	0	27	100	0.2	14
35.5	9.5	82.9	3.24	6.65	0	25	100	0.2	14
36.5	10.1	82.1	5.41	6.68	0	25	100	2.3	14
37.5	8.6	89.3	7.07	5.73	0	17	100	6.0	14
38.5	9.5	82.1	8.2	7.92	0	33	100	1.1	14
39.5	9.7	76.3	9.36	8.43	0	22	100	0.2	14
40.5	8.6	79.7	8.98	7.81	0	0	100	0.4	14
41.5	8.1	74.1	9.74	8.46	0	0	100	0.0	14
42.5	6.7	76.9	9.9	7.46	0	0	100	0.2	14
43.5	5.6	83.2	7.35	5.54	0	0	100	0.7	14
44.5	5.0	78.4	7.77	6.29	0	0	100	0.0	14
45.5	4.4	83.6	5.89	5.12	0	0	100	0.8	14
46.5	3.8	88.0	5.89	5.12	0	0	100	1.5	14
47.5	3.7	86.5	5.74	4.82	0	0	100	0.1	14
48.5	3.4	88.0	5.44	4.56	0	0	100	0.2	14
49.5	3.5	87.3	5.67	4.27	0	0	100	0.1	14
50.5	3.4	85.5	5.06	4.4	0	0	100	0.0	14
51.5	3.4	84.3	5.29	4.43	0	0	100	0.0	14
52.5	3.4	81.7	4.53	4.08	0	0	100	0.0	14
53.5	3.4	82.9	3.88	3.62	0	0	100	0.0	14
54.5	3.4	83.2	3.66	3.41	0	0	100	0.0	14
55.5	3.3	83.3	2.66	2.85	0	0	96	0.0	14
56.5	3.2	83.9	2.32	2.49	0	29	92	0.0	14
57.5	3.8	76.7	2.39	2.95	0	77	88	0.0	14
58.5	4.4	71.1	3.32	3.32	0	83	83	0.0	14
59.5	4.8	67.4	3.61	3.74	0	117	79	0.0	14
60.5	4.6	70.6	3.0	5.2	0	86	75	0.0	14
61.5	4.9	69.3	1.87	4.2	0	73	79	0.0	14
62.5	4.1	75.9	3.05	5.28	0	31	83	0.2	14
63.5	3.7	86.0	3.15	3.62	0	21	88	0.2	14
64.5	4.5	82.1	3.12	4.29	0	0	92	0.0	14
65.5	4.7	83.3	3.81	4.24	0	0	96	0.8	14
66.5	4.7	84.5	4.68	4.51	0	0	100	0.2	14
67.5	4.6	85.7	3.75	4.02	0	0	100	0.8	14
68.5	4.4	85.1	3.55	4.71	0	0	100	0.2	14
69.5	3.6	88.4	3.81	4.24	0	0	100	1.7	14
70.5	2.8	90.4	3.75	3.75	0	0	100	2.5	14
71.5	2.9	89.6	2.83	3.5	0	0	100	0.9	14
72.5	3.4	88.8	3.8	3.55	0	0	100	0.8	14
73.5	2.3	89.6	3.72	3.35	0	0	100	2.0	14
74.5	1.9	90.7	2.95	3.4	0	0	100	1.8	14
75.5	2.6	89.9	5.34	3.88	0	0	100	1.4	14
76.5	2.3	88.9	4.04	2.94	0	0	100	0.0	14
77.5	2.3	91.8	2.3	2.64	0	0	100	0.0	14
78.5	2.2	91.3	1.2	1.72	0	0	100	0.0	14
79.5	2.2	90.2	0.41	1.44	0	0	100	0.0	14
80.5	2.2	90.2	0.85	0.85	0	14	100	0.7	14
81.5	3.1	87.0	2.3	2.07	0	64	100	0.0	14
82.5	3.6	86.2	1.99	3.59	0	72	100	0.1	14
83.5	3.5	86.6	2.11	3.97	0	51	100	0.3	14
84.5	3.2	87.1	3.08	3.94	0	56	100	0.2	14
85.5	2.9	87.4	4.31	4.46	0	43	100	0.3	14
86.5	1.5	90.5	4.1	4.1	0	27	100	1.2	14
87.5	1.4	89.4	4.82	3.9	0	15	100	0.2	14
88.5	0.6	88.9	4.97	2.99	0	0	100	0.8	14
89.5	-0.9	81.7	6.17	3.71	0	0	100	0.0	50
90.5	-1.5	86.4	3.88	4.31	0	0	100	0.1	50
91.5	-2.4	87.5	4.02	3.75	0	0	100	0.5	50
92.5	-3.3	85.4	6.47	3.16	0	0	100	0.2	50
93.5	-4.6	85.3	6.09	3.66	0	0	100	0.0	50
94.5	-5.1	85.7	4.76	4.28	0	0	100	0.1	50
95.5	-6.1	81.7	4.42	3.1	0	0	100	0.0	50
96.5	-6.6	82.9	3.2	2.88	0	0	100	0.0	50
97.5	-7.0	84.1	2.68	2.97	0	0	100	0.1	50
