#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.5	94.4	0.69	0.4	0	0	50	0.2	14
0.5	3.5	94.4	0.69	0.4	0	0	50	0.2	14
1.5	3.6	94.7	1.01	1.49	0	0	56	1.0	14
2.5	3.6	94.8	0.95	0.74	0	0	62	0.2	14
3.5	3.7	94.9	0.98	0.5	0	0	69	0.0	14
4.5	3.7	94.6	1.61	1.92	0	0	75	0.0	14
5.5	3.7	94.3	1.56	1.56	0	0	81	0.0	14
6.5	3.7	93.8	2.06	1.24	0	0	88	0.0	14
7.5	3.6	93.9	3.07	2.23	0	0	90	0.3	14
8.5	3.6	94.2	3.12	2.35	0	11	92	0.0	14
9.5	3.3	94.6	3.77	2.27	0	20	94	0.0	14
10.5	2.9	95.4	4.2	1.87	0	24	96	0.1	14
11.5	2.6	95.1	3.6	3.02	0	47	98	0.0	14
12.5	2.7	93.2	4.03	2.61	0	60	100	0.2	14
13.5	2.8	90.0	4.77	2.54	0	79	94	0.0	14
14.5	2.8	83.5	4.73	3.19	6	76	88	0.0	14
15.5	2.3	84.7	3.96	3.21	4	31	81	0.0	14
16.5	1.8	84.1	2.52	3.11	0	0	75	0.0	14
17.5	1.5	86.8	2.42	2.1	0	0	69	0.0	14
18.5	1.3	88.0	2.09	2.02	0	0	62	0.0	14
19.5	1.7	84.1	2.47	1.32	0	0	66	0.0	14
20.5	1.9	80.0	2.84	2.22	0	0	69	0.0	14
21.5	2.5	74.8	2.83	3.37	0	0	72	0.0	14
22.5	3.0	71.9	4.77	3.47	0	0	75	0.0	14
23.5	2.6	77.1	4.0	3.48	0	0	78	0.4	14
24.5	2.7	85.6	3.93	2.75	0	0	81	0.3	14
25.5	3.1	93.9	3.09	2.69	0	0	84	1.2	14
26.5	3.7	95.3	3.4	3.52	0	0	88	0.5	14
27.5	4.3	95.4	4.43	4.75	0	0	91	0.2	14
28.5	4.6	95.2	3.34	3.58	0	0	94	0.4	14
29.5	4.9	95.1	3.27	3.51	0	0	97	0.0	14
30.5	5.1	95.1	2.88	3.2	0	0	100	0.0	14
31.5	5.5	94.7	3.48	3.73	0	0	98	0.1	14
32.5	5.8	93.5	4.46	4.31	0	24	96	0.0	14
33.5	6.7	88.3	4.82	5.35	0	70	94	0.0	14
34.5	6.9	88.2	4.53	5.6	0	74	92	0.0	14
35.5	8.0	79.8	4.8	6.15	44	142	90	0.0	14
36.5	9.2	71.0	5.54	5.35	234	137	88	0.0	14
37.5	9.1	71.7	4.67	4.67	22	114	90	0.0	14
38.5	8.5	74.3	2.68	3.98	0	29	92	0.0	14
39.5	8.5	73.7	4.95	5.5	0	12	94	0.0	14
40.5	8.5	74.6	5.4	5.21	0	0	96	0.0	14
41.5	7.8	81.9	5.35	5.94	0	0	98	0.0	14
42.5	7.8	81.7	5.08	5.65	0	0	100	0.5	14
43.5	7.2	87.5	5.08	5.65	0	0	100	1.5	14
44.5	7.0	87.6	6.21	6.66	0	0	100	1.1	14
45.5	4.5	92.4	9.24	5.78	0	0	100	3.3	14
