#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	0.8	79.4	1.06	1.46	0	0	61
0.5	0.8	79.4	1.06	1.46	0	0	61
1.5	2.7	83.4	0.84	1.12	0	0	76
2.5	4.0	86.0	0.7	0.97	0	0	85
3.5	5.2	88.7	0.57	0.82	0	0	95
4.5	5.7	89.9	0.52	0.74	0	0	99
5.5	5.6	89.6	0.48	0.88	0	0	97
6.5	5.6	88.7	0.47	1.1	0	0	96
7.5	5.4	88.1	0.46	1.32	0	4	91
8.5	5.2	88.1	0.44	1.22	0	54	83
9.5	5.6	84.9	0.62	1.8	0	69	75
10.5	6.9	78.3	1.09	2.69	220	124	67
11.5	8.4	65.9	0.98	3.67	659	94	58
12.5	9.4	58.1	0.83	3.6	578	101	50
13.5	9.5	56.0	0.19	3.7	271	114	52
14.5	8.8	60.5	-0.0	3.4	293	69	54
15.5	7.9	62.0	0.13	3.7	0	29	56
16.5	7.3	64.0	0.8	3.2	0	0	58
17.5	7.5	60.8	1.55	3.47	0	0	60
18.5	7.7	56.4	0.99	6.22	0	0	62
19.5	7.5	57.1	2.03	4.79	0	0	66
20.5	6.7	62.7	3.41	3.92	0	0	69
21.5	6.6	61.9	2.37	5.08	0	0	72
22.5	6.5	60.7	1.75	3.6	0	0	75
23.5	7.1	57.0	1.71	4.7	0	0	78
24.5	6.9	58.5	2.4	3.56	0	0	81
25.5	6.1	63.4	1.91	2.44	0	0	84
26.5	6.2	63.6	1.54	3.03	0	0	88
27.5	7.2	58.3	1.06	4.99	0	0	91
28.5	7.6	57.7	0.27	5.09	0	0	94
29.5	7.5	62.7	0.34	4.89	0	0	97
30.5	8.0	65.5	0.38	4.38	0	0	100
31.5	8.1	65.8	0.73	3.42	0	0	100
32.5	7.6	73.3	1.59	2.18	0	21	100
33.5	7.9	72.0	0.84	1.59	0	52	100
34.5	8.8	69.6	0.7	2.3	0	85	100
35.5	10.3	62.4	1.75	3.03	0	109	100
36.5	10.6	63.9	0.8	3.2	0	52	100
37.5	11.4	63.4	0.92	3.69	0	99	100
38.5	12.7	53.7	2.3	3.98	0	44	100
39.5	12.0	59.4	2.0	3.92	0	10	100
40.5	11.5	62.6	1.14	3.52	0	0	100
41.5	11.2	65.2	0.61	4.36	0	0	100
42.5	10.9	64.9	0.62	3.54	0	0	100
43.5	9.9	70.9	1.41	2.65	0	0	97
44.5	9.8	71.7	0.74	2.28	0	0	94
45.5	9.4	74.1	0.37	1.14	0	0	91
46.5	8.8	83.3	0.5	2.14	0	0	88
47.5	8.3	85.0	0.72	0.54	0	0	84
48.5	7.3	87.2	-0.6	-0.36	0	0	81
49.5	6.7	87.6	-0.0	0.6	0	0	78
50.5	6.8	86.6	-0.34	1.05	0	0	75
51.5	6.6	87.8	0.5	0.0	0	0	72
52.5	6.5	86.5	0.14	0.99	0	0	69
53.5	6.2	85.7	-0.12	1.09	0	0	66
54.5	5.6	86.6	0.25	0.76	0	0	62
