#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	2.0	80.3	1.06	1.46	0	0	61
0.5	2.0	80.3	1.06	1.46	0	0	61
1.5	3.9	84.6	0.84	1.12	0	0	76
2.5	5.1	87.4	0.7	0.97	0	0	85
3.5	6.4	90.4	0.57	0.82	0	0	95
4.5	6.9	91.7	0.52	0.74	0	0	99
5.5	6.8	91.4	0.48	0.88	0	0	97
6.5	6.8	90.5	0.47	1.1	0	0	96
7.5	6.6	89.9	0.46	1.32	0	4	91
8.5	6.4	89.8	0.44	1.22	0	54	83
9.5	6.8	86.6	0.62	1.8	0	69	75
10.5	8.1	79.8	1.09	2.69	218	123	67
11.5	9.6	67.2	0.98	3.67	654	93	58
12.5	10.6	59.2	0.83	3.6	574	100	50
13.5	10.7	57.1	0.19	3.7	269	114	52
14.5	10.0	61.7	-0.0	3.4	291	69	54
15.5	9.1	63.2	0.13	3.7	0	28	56
16.5	8.5	65.3	0.8	3.2	0	0	58
17.5	8.7	62.0	1.55	3.47	0	0	60
18.5	8.9	57.5	0.99	6.22	0	0	62
19.5	8.7	58.2	2.03	4.79	0	0	66
20.5	7.9	63.9	3.41	3.92	0	0	69
21.5	7.8	63.1	2.37	5.08	0	0	72
22.5	7.7	61.9	1.75	3.6	0	0	75
23.5	8.3	58.1	1.71	4.7	0	0	78
24.5	8.1	59.6	2.4	3.56	0	0	81
25.5	7.3	64.6	1.91	2.44	0	0	84
26.5	7.4	64.8	1.54	3.03	0	0	88
27.5	8.4	59.4	1.06	4.99	0	0	91
28.5	8.8	58.8	0.27	5.09	0	0	94
29.5	8.7	63.9	0.34	4.89	0	0	97
30.5	9.2	66.8	0.38	4.38	0	0	100
31.5	9.3	67.1	0.73	3.42	0	0	100
32.5	8.8	74.7	1.59	2.18	0	21	100
33.5	9.1	73.4	0.84	1.59	0	52	100
34.5	10.0	71.0	0.7	2.3	0	84	100
35.5	11.5	63.6	1.75	3.03	0	109	100
36.5	11.8	65.1	0.8	3.2	0	52	100
37.5	12.6	64.6	0.92	3.69	0	98	100
38.5	13.9	54.7	2.3	3.98	0	44	100
39.5	13.2	60.6	2.0	3.92	0	10	100
40.5	12.7	63.8	1.14	3.52	0	0	100
41.5	12.4	66.5	0.61	4.36	0	0	100
42.5	12.1	66.2	0.62	3.54	0	0	100
43.5	11.1	72.3	1.41	2.65	0	0	97
44.5	11.0	73.1	0.74	2.28	0	0	94
