#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.0	84.7	0.01	0.7	0	0	50	0.0	50
0.5	0.0	84.7	0.01	0.7	0	0	50	0.0	50
1.5	0.8	86.9	0.29	0.75	0	0	54	0.0	50
2.5	1.2	89.0	-0.13	1.9	0	0	58	0.0	50
3.5	1.7	91.4	0.48	0.76	0	0	62	0.0	50
4.5	1.9	92.6	0.32	1.05	0	0	67	0.0	50
5.5	2.0	92.2	-0.0	1.3	0	0	71	0.0	50
6.5	2.1	91.9	-0.04	1.3	0	0	75	0.0	50
7.5	2.3	90.8	0.58	1.6	0	0	79	0.0	50
8.5	2.5	88.4	0.82	1.49	0	19	83	0.0	50
9.5	2.7	87.5	0.29	2.08	0	36	88	0.1	50
10.5	2.7	88.6	0.53	2.75	0	68	92	0.8	50
11.5	2.7	89.5	0.88	2.87	0	114	96	0.4	50
12.5	3.0	89.5	0.47	2.05	3	123	100	0.6	50
13.5	3.1	89.1	0.25	1.78	5	104	100	0.4	50
14.5	2.8	91.1	0.26	1.88	0	49	100	0.8	50
15.5	3.1	92.2	0.1	1.9	0	24	100	0.7	50
16.5	3.0	92.7	-0.0	2.6	0	0	100	0.8	50
17.5	3.3	92.9	-0.29	3.29	0	0	100	0.2	50
18.5	3.4	91.8	0.39	2.77	0	0	100	0.0	50
19.5	2.6	92.4	0.56	1.39	0	0	95	0.0	50
20.5	2.8	93.1	0.84	1.81	0	0	90	0.0	50
21.5	2.9	93.2	0.53	2.13	0	0	84	0.0	50
22.5	2.6	93.4	1.14	2.23	0	0	79	0.0	50
23.5	2.6	93.6	-0.16	1.49	0	0	74	0.0	50
24.5	2.8	93.1	0.32	1.67	0	0	69	0.0	50
25.5	2.8	93.2	0.05	1.5	0	0	64	0.7	50
26.5	2.3	93.7	0.64	0.28	0	0	58	0.2	50
27.5	3.1	93.6	-0.46	-2.15	0	0	53	2.4	50
28.5	3.5	93.2	0.07	0.7	0	0	48	0.0	50
29.5	3.8	92.5	0.03	1.6	0	0	43	0.0	50
30.5	3.2	75.8	-7.09	-7.88	0	0	38	0.1	50
31.5	3.8	61.8	-2.35	-4.07	0	0	48	0.0	50
32.5	2.5	75.9	0.7	1.32	0	39	58	0.0	50
