#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.8	83.5	0.48	0.12	0	0	50	0.0	50
0.5	-0.8	83.5	0.48	0.12	0	0	50	0.0	50
1.5	-1.0	81.5	0.57	0.57	0	0	58	0.0	50
2.5	-1.1	79.7	0.35	0.35	0	0	67	0.0	50
3.5	-1.3	78.1	0.28	0.28	0	0	75	0.0	50
4.5	-1.4	77.1	-0.0	0.4	0	0	83	0.0	50
5.5	-1.4	76.6	-0.35	-0.35	0	0	92	0.0	50
6.5	-1.5	76.0	-0.34	-0.5	0	0	100	0.0	50
7.5	-1.6	75.8	-0.48	-0.64	0	4	96	0.0	50
8.5	-1.9	76.4	-0.57	-0.7	0	51	92	0.0	50
9.5	-1.2	74.9	-0.64	-0.77	15	100	88	0.0	50
10.5	-0.5	72.8	-0.71	-0.71	14	127	83	0.0	50
11.5	0.6	70.0	-0.66	-0.45	317	147	79	0.0	50
12.5	1.9	65.5	0.09	-0.28	633	118	75	0.0	50
13.5	1.6	66.8	0.14	0.14	117	124	77	0.0	50
14.5	1.5	69.3	0.09	0.18	27	74	79	0.0	50
15.5	1.1	76.5	0.21	0.21	0	28	81	0.0	50
16.5	0.8	80.6	0.33	0.22	0	0	83	0.0	50
17.5	0.9	82.1	0.48	0.12	0	0	85	0.0	50
18.5	1.0	84.2	0.59	0.11	0	0	88	0.0	50
19.5	1.1	83.8	0.7	0.0	0	0	89	0.0	50
20.5	1.0	87.7	0.8	0.0	0	0	90	0.0	50
21.5	0.9	90.4	1.0	0.0	0	0	91	0.0	50
22.5	0.9	91.1	1.1	0.0	0	0	92	0.0	50
23.5	1.0	90.2	1.19	0.12	0	0	93	0.0	50
24.5	1.1	90.3	1.24	0.38	0	0	94	0.0	50
25.5	1.0	90.3	1.32	0.48	0	0	95	0.0	50
26.5	1.1	90.3	1.37	0.61	0	0	96	0.0	50
27.5	1.1	91.3	1.39	0.8	0	0	97	0.2	50
28.5	1.1	92.2	1.41	0.95	0	0	98	0.0	50
29.5	1.1	91.0	1.38	1.16	0	0	99	0.0	50
30.5	1.1	91.5	1.46	1.22	0	0	100	0.1	50
31.5	1.0	91.7	1.46	1.36	0	4	92	0.2	50
32.5	1.4	88.8	1.41	1.41	0	39	83	0.0	50
33.5	1.7	85.8	1.41	1.41	10	93	75	0.0	50
34.5	2.5	79.8	1.26	1.14	304	123	67	0.0	50
35.5	3.6	73.2	1.09	0.88	680	94	58	0.0	50
36.5	4.2	71.8	0.96	0.53	722	65	50	0.0	50
37.5	4.6	69.6	0.74	0.31	677	57	46	0.0	50
38.5	4.3	68.7	0.6	0.0	448	54	42	0.0	50
39.5	2.7	74.9	0.5	0.0	0	30	38	0.0	50
40.5	1.5	79.0	0.58	0.39	0	0	33	0.0	50
41.5	-0.3	83.8	0.3	1.06	0	0	29	0.0	50
42.5	0.2	84.4	0.13	1.49	0	0	25	0.0	50
43.5	0.4	75.9	-0.0	1.9	0	0	25	0.0	50
44.5	0.8	71.3	-0.0	2.2	0	0	25	0.0	50
45.5	0.5	71.4	-0.0	2.5	0	0	25	0.0	50
46.5	0.2	70.3	0.12	2.3	0	0	25	0.0	50
47.5	0.0	69.5	0.31	1.98	0	0	25	0.0	50
48.5	-0.2	69.2	0.52	1.62	0	0	25	0.0	50
49.5	-0.6	70.7	0.69	1.1	0	0	25	0.0	50
50.5	-0.6	69.7	0.76	0.66	0	0	25	0.0	50
51.5	-1.0	71.1	0.35	-0.35	0	0	25	0.0	50
52.5	-1.2	72.0	0.21	-0.21	0	0	25	0.0	50
53.5	-2.0	74.3	0.18	-0.09	0	0	25	0.0	50
54.5	-2.0	75.5	0.0	-0.2	0	0	25	0.0	50
55.5	-2.0	75.9	0.0	-0.2	0	0	27	0.0	50
56.5	-2.5	77.3	-0.07	-0.29	0	25	29	0.0	50
57.5	-1.5	74.4	-0.18	-0.36	14	96	31	0.0	50
58.5	0.3	67.9	-0.25	-0.43	355	118	33	0.0	50
59.5	2.5	59.9	-0.34	-0.5	704	92	35	0.0	50
60.5	3.5	56.6	-0.45	-0.66	784	60	38	0.0	50
61.5	4.2	56.7	-0.71	-0.71	703	58	35	0.0	50
62.5	4.1	59.7	-0.37	1.14	562	45	33	0.0	50
63.5	1.8	70.9	0.24	1.48	0	35	31	0.0	50
64.5	0.0	78.9	0.31	1.26	0	0	29	0.0	50
65.5	-1.1	81.7	0.31	0.95	0	0	27	0.0	50
66.5	-0.9	81.5	0.36	0.6	0	0	25	0.0	50
67.5	-0.3	78.3	0.45	0.23	0	0	23	0.0	50
68.5	-0.5	76.4	0.46	-0.19	0	0	21	0.0	50
69.5	-0.1	73.4	0.53	-0.46	0	0	19	0.0	50
70.5	-0.1	71.6	0.67	-0.74	0	0	17	0.0	50
71.5	-0.2	71.1	0.82	-1.01	0	0	15	0.0	50
72.5	-0.3	69.8	0.94	-1.29	0	0	12	0.0	50
73.5	-0.4	68.3	1.12	-1.54	0	0	10	0.0	50
74.5	-1.4	71.9	1.23	-1.82	0	0	8	0.0	50
75.5	-2.2	77.2	1.32	-1.88	0	0	6	0.0	50
76.5	-3.8	82.1	1.34	-1.99	0	0	4	0.0	50
77.5	-4.6	84.7	1.31	-1.51	0	0	2	0.0	50
78.5	-4.7	88.0	-0.0	1.0	0	0	0	0.0	50
79.5	-5.7	87.9	-0.0	0.8	0	0	0	0.0	50
80.5	-5.3	85.4	0.14	0.89	0	24	0	0.0	50
81.5	-3.7	79.9	0.62	0.91	7	91	0	0.0	50
82.5	-1.7	72.2	0.99	0.99	344	120	0	0.0	50
83.5	0.6	63.9	0.75	1.41	706	92	0	0.0	50
84.5	2.3	58.1	0.77	1.52	788	60	0	0.0	50
85.5	3.6	53.8	0.5	1.63	707	59	12	0.0	50
86.5	3.4	56.5	0.53	0.96	565	46	25	0.0	50
87.5	1.7	64.2	0.12	1.09	0	37	38	0.0	50
88.5	-0.7	73.0	0.41	1.34	0	0	50	0.0	50
89.5	-0.6	76.2	-0.0	0.8	0	0	62	0.0	50
90.5	-1.0	78.6	-0.1	1.2	0	0	75	0.0	50
91.5	-0.7	77.4	0.41	1.54	0	0	75	0.0	50
92.5	-0.7	77.6	0.72	1.87	0	0	75	0.0	50
93.5	-0.3	75.4	1.2	1.2	0	0	75	0.0	50
94.5	0.6	72.6	0.44	1.43	0	0	75	0.0	50
95.5	1.1	70.8	-0.31	1.47	0	0	75	0.0	50
96.5	1.0	72.8	-0.12	2.2	0	0	75	0.0	50
97.5	1.1	71.9	0.64	1.58	0	0	75	0.0	50
98.5	1.0	72.6	0.62	1.8	0	0	75	0.0	50
99.5	1.2	72.0	0.52	1.83	0	0	75	0.0	50
100.5	0.7	72.6	0.64	1.68	0	0	75	0.0	50
101.5	0.7	75.3	-0.5	0.34	0	0	75	0.0	50
102.5	0.4	78.8	0.12	0.48	0	0	75	0.0	50
103.5	0.6	76.8	0.6	1.48	0	5	73	0.0	50
104.5	1.0	75.7	0.53	1.19	0	34	71	0.0	50
105.5	1.6	72.9	0.51	1.41	0	79	69	0.0	50
106.5	2.7	68.1	0.4	1.24	132	150	67	0.0	50
107.5	3.7	63.9	0.66	0.88	275	151	65	0.0	50
108.5	5.2	57.4	0.66	0.88	612	102	62	0.0	50
109.5	5.8	55.8	0.85	0.53	670	59	52	0.0	50
110.5	5.5	64.9	0.29	1.47	472	55	42	0.0	50
111.5	3.9	73.4	0.28	1.78	0	35	31	0.0	50
112.5	2.7	77.1	0.82	2.26	0	0	21	0.0	50
113.5	2.0	79.9	0.7	2.3	0	0	10	0.0	50
114.5	1.8	80.0	0.93	2.43	0	0	0	0.0	50
115.5	1.9	79.2	1.41	2.76	0	0	0	0.0	50
116.5	2.3	76.2	1.49	2.49	0	0	0	0.0	50
117.5	2.5	73.8	1.85	3.09	0	0	0	0.0	50
118.5	2.3	73.0	1.35	3.34	0	0	0	0.0	50
119.5	2.7	69.2	1.22	3.17	0	0	0	0.0	50
120.5	2.1	70.7	1.61	2.29	0	0	0	0.0	50
121.5	2.1	68.9	1.5	2.6	0	0	0	0.0	50
122.5	1.7	68.6	1.0	2.61	0	0	0	0.0	50
123.5	1.7	67.0	1.14	2.23	0	0	0	0.0	50
124.5	1.6	66.7	0.93	2.85	0	0	0	0.0	50
125.5	1.6	66.3	0.22	1.79	0	0	0	0.0	50
126.5	-0.7	79.1	-0.16	-0.48	0	0	0	0.0	50
127.5	-2.0	85.2	-0.22	-0.56	0	0	6	0.0	50
128.5	-2.3	87.8	0.0	-0.2	0	26	12	0.0	50
129.5	-1.1	81.0	-0.31	0.95	10	95	19	0.0	50
130.5	1.3	70.2	0.45	1.0	320	124	25	0.0	50
131.5	2.9	63.5	0.53	0.96	689	95	31	0.0	50
132.5	4.5	58.9	0.55	1.07	717	77	38	0.0	50
133.5	5.4	56.5	-0.9	-2.01	387	111	42	0.0	50
134.5	4.4	62.7	-1.02	-2.39	107	84	46	0.0	50
135.5	3.1	72.4	-0.34	-1.46	0	29	50	0.0	50
136.5	1.2	81.2	-0.5	-0.5	0	0	54	0.0	50
137.5	0.3	82.3	0.45	0.66	0	0	58	0.0	50
138.5	0.5	81.8	0.19	1.08	0	0	62	0.0	50
139.5	0.2	82.1	0.09	1.3	0	0	65	0.0	50
140.5	-0.8	84.7	0.12	0.38	0	0	67	0.0	50
141.5	-1.1	85.2	-0.0	0.6	0	0	69	0.0	50
142.5	-0.9	85.8	0.11	0.89	0	0	71	0.0	50
143.5	-0.5	84.7	0.34	0.5	0	0	73	0.0	50
144.5	-0.8	84.6	0.28	0.28	0	0	75	0.0	50
145.5	-0.6	83.5	0.3	0.74	0	0	77	0.0	50
146.5	-1.7	85.4	0.23	0.45	0	0	79	0.0	50
147.5	-1.6	84.2	0.22	0.87	0	0	81	0.0	50
148.5	-1.6	85.0	0.54	0.44	0	0	83	0.0	50
149.5	-1.1	82.0	0.1	1.2	0	0	85	0.0	50
150.5	-0.6	78.3	0.41	1.34	0	0	88	0.0	50
151.5	-0.7	78.5	0.1	1.2	0	0	73	0.0	50
152.5	-0.7	78.0	-0.25	0.86	0	31	58	0.0	50
153.5	-0.5	75.2	0.24	1.68	8	93	44	0.0	50
154.5	1.7	65.1	0.81	1.83	295	127	29	0.0	50
155.5	3.8	55.7	0.53	0.73	653	100	15	0.0	50
156.5	5.5	49.7	0.55	1.29	754	62	0	0.0	50
157.5	6.5	44.9	0.19	0.67	678	60	0	0.0	50
158.5	6.2	50.5	-0.82	-1.6	488	55	0	0.0	50
159.5	4.4	59.1	-0.31	-1.16	0	38	0	0.0	50
160.5	1.9	68.7	-0.41	-0.91	0	0	0	0.0	50
161.5	-0.5	76.7	0.23	0.45	0	0	0	0.0	50
162.5	-0.7	79.3	0.6	0.8	0	0	0	0.0	50
163.5	-1.1	80.6	0.41	1.44	0	0	0	0.0	50
164.5	-0.8	77.1	0.52	2.44	0	0	0	0.0	50
165.5	-0.2	69.7	0.52	2.24	0	0	0	0.0	50
166.5	-0.3	67.4	1.0	1.96	0	0	0	0.0	50
167.5	0.1	65.4	0.97	0.87	0	0	0	0.0	50
168.5	-0.1	66.1	0.45	0.89	0	0	0	0.0	50
169.5	-1.5	74.4	-0.64	0.64	0	0	0	0.0	50
170.5	-3.0	80.9	-0.1	-0.79	0	0	0	0.0	50
171.5	-3.4	81.3	0.0	-0.4	0	0	0	0.0	50
172.5	-3.8	81.2	0.09	0.9	0	0	0	0.0	50
173.5	-3.7	81.4	0.62	0.5	0	0	0	0.0	50
174.5	-3.8	81.9	0.22	0.87	0	0	0	0.0	50
175.5	-4.7	84.1	0.61	0.51	0	0	2	0.0	50
