#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.1	73.5	0.2	0.46	0	0	50	0.0	14
0.5	-0.1	73.5	0.2	0.46	0	0	50	0.0	14
1.5	0.9	77.3	0.08	0.8	0	0	56	0.0	14
2.5	1.7	78.9	0.05	1.0	0	0	62	0.0	14
3.5	2.6	80.2	-0.02	1.2	0	0	69	0.0	14
4.5	3.2	79.4	0.73	1.64	0	0	75	0.0	14
5.5	3.6	76.2	0.44	1.75	0	0	81	0.0	14
6.5	4.0	73.0	0.35	1.15	0	0	88	0.0	14
7.5	4.3	70.7	0.46	0.53	0	0	81	0.0	14
8.5	4.6	68.9	-0.36	1.46	0	44	75	0.0	14
9.5	5.2	66.3	-0.32	0.51	106	102	69	0.0	14
10.5	6.9	52.6	0.06	0.19	443	115	62	0.0	14
11.5	9.3	46.6	-0.58	-1.91	491	121	56	0.0	14
12.5	9.1	51.2	-2.06	-2.95	62	144	50	0.0	14
13.5	7.6	64.9	-3.46	-3.46	0	43	56	0.0	14
14.5	6.9	72.5	-3.35	-3.72	0	30	62	0.0	14
15.5	7.0	74.3	-2.06	-2.95	0	14	69	0.0	14
16.5	6.6	73.2	-1.75	-0.97	0	0	75	0.0	14
17.5	5.6	79.5	-0.0	-0.5	0	0	81	0.0	14
18.5	5.0	83.1	-0.72	-0.54	0	0	88	0.0	14
19.5	3.9	87.8	-0.32	0.73	0	0	89	0.0	14
20.5	2.8	91.1	-0.04	0.2	0	0	90	0.0	14
21.5	2.5	93.9	1.08	1.44	0	0	91	0.0	14
22.5	3.7	84.4	1.37	3.22	0	0	92	0.0	14
23.5	3.9	79.2	1.27	3.9	0	0	93	0.0	14
24.5	4.4	75.3	1.91	3.17	0	0	94	0.0	14
25.5	4.5	73.3	0.97	1.75	0	0	95	0.0	14
26.5	4.4	73.0	0.92	1.18	0	0	96	0.0	14
27.5	4.5	71.0	0.34	1.36	0	0	97	0.0	14
28.5	4.6	69.9	0.4	1.86	0	0	98	0.0	14
29.5	4.6	68.1	0.22	2.49	0	0	99	0.0	14
30.5	4.3	68.9	0.83	3.09	0	0	100	0.0	14
31.5	4.1	67.8	1.06	2.91	0	0	96	0.0	14
32.5	5.0	63.1	1.18	2.54	0	55	92	0.0	14
33.5	6.0	58.1	1.08	3.75	61	105	88	0.0	14
34.5	7.3	51.5	0.31	4.39	26	137	83	0.0	14
35.5	8.7	44.9	0.99	3.25	186	161	79	0.0	14
36.5	9.6	41.4	0.94	3.06	81	153	75	0.0	14
37.5	10.0	40.0	0.75	2.8	72	129	75	0.0	14
38.5	10.2	38.2	1.84	2.74	45	79	75	0.0	14
39.5	9.0	41.6	0.41	1.34	0	41	75	0.0	14
40.5	6.2	55.9	-0.5	-0.98	0	0	75	0.0	14
41.5	6.2	61.4	0.62	2.32	0	0	75	0.0	14
42.5	9.1	48.4	1.07	3.12	0	0	75	0.0	14
43.5	9.6	45.1	1.91	4.29	0	0	69	0.0	14
44.5	10.5	42.7	0.44	4.98	0	0	62	0.0	14
45.5	11.4	37.3	-1.9	6.22	0	0	56	0.0	14
46.5	11.8	34.5	2.64	5.94	0	0	50	0.0	14
47.5	11.2	36.9	3.15	5.68	0	0	44	0.0	14
48.5	8.3	70.5	-2.24	-5.03	0	0	38	0.4	14
49.5	6.5	93.5	1.63	0.98	0	0	31	1.0	14
50.5	6.0	95.2	-0.54	0.72	0	0	25	0.0	14
51.5	4.8	95.9	0.01	0.8	0	0	19	0.0	14
52.5	3.8	95.8	0.29	1.16	0	0	12	0.0	14
53.5	3.0	94.3	0.06	0.4	0	0	6	0.0	14
54.5	2.7	94.2	0.05	0.9	0	0	0	0.0	14
55.5	2.4	94.7	0.78	1.84	0	4	15	0.0	14
56.5	2.7	95.2	1.27	2.61	0	23	29	0.0	14
57.5	4.4	84.1	2.04	3.67	2	85	44	0.0	14
58.5	6.0	73.6	2.0	1.5	279	121	58	0.0	14
59.5	7.1	62.1	-0.71	-0.38	153	162	73	0.0	14
60.5	7.5	66.4	-1.91	-3.17	67	145	88	0.0	14
61.5	8.2	61.2	-1.35	-2.9	263	121	75	0.0	14
62.5	8.0	62.1	-1.38	-3.11	438	62	62	0.0	14
63.5	6.2	69.0	-2.41	-2.68	0	34	50	0.0	14
64.5	4.3	78.5	-0.84	-1.0	0	0	38	0.0	14
65.5	2.6	87.7	-0.69	-0.12	0	0	25	0.0	14
66.5	1.8	90.7	-0.16	0.12	0	0	12	0.0	14
67.5	1.8	91.7	0.17	0.88	0	0	19	0.0	14
68.5	1.7	92.5	0.52	1.62	0	0	25	0.0	14
69.5	1.5	93.5	-1.34	0.41	0	0	31	0.0	14
70.5	1.7	94.0	-0.26	-0.86	0	0	38	0.0	14
71.5	1.5	94.4	0.09	-0.49	0	0	44	0.0	14
72.5	3.0	87.4	-0.36	-1.86	0	0	50	0.0	14
73.5	3.9	78.5	-1.38	-1.97	0	0	56	0.0	14
74.5	2.9	82.1	-0.56	1.06	0	0	62	0.0	14
75.5	1.5	87.7	0.26	1.48	0	0	69	0.0	14
76.5	0.9	90.0	0.48	1.32	0	0	75	0.0	14
77.5	1.4	88.1	0.46	2.15	0	0	81	0.0	14
78.5	2.5	78.7	1.43	4.16	0	0	88	0.0	14
79.5	3.5	67.3	-0.37	7.09	0	4	90	0.0	14
80.5	4.3	59.7	-0.5	7.18	0	26	92	0.0	14
81.5	4.4	58.6	0.78	7.46	0	25	94	0.0	14
82.5	2.8	83.9	1.79	6.25	0	21	96	1.3	14
83.5	2.5	91.6	1.22	5.26	0	21	98	1.7	14
84.5	2.2	93.8	1.71	3.5	0	24	100	1.5	14
85.5	2.2	95.5	1.3	3.57	0	19	100	1.3	14
86.5	2.4	95.9	1.65	2.74	0	18	100	0.3	14
87.5	2.8	95.1	-0.08	2.3	0	7	100	0.0	14
88.5	2.8	94.8	-0.31	3.59	0	0	100	0.0	14
89.5	2.6	94.7	0.94	2.1	0	0	100	0.0	14
90.5	2.8	91.7	0.1	3.0	0	0	100	0.0	14
91.5	2.7	89.1	0.17	1.99	0	0	95	0.0	14
92.5	2.7	89.1	0.04	2.0	0	0	90	0.0	14
93.5	2.3	90.4	0.07	1.4	0	0	84	0.0	14
94.5	1.5	93.5	-0.0	-0.3	0	0	79	0.0	14
95.5	1.7	94.5	-0.1	0.59	0	0	74	0.0	14
96.5	1.5	94.9	-0.16	0.36	0	0	69	0.0	14
97.5	2.2	93.8	-0.24	1.38	0	0	64	0.0	14
98.5	2.8	93.1	-0.24	1.38	0	0	58	0.0	14
99.5	2.4	92.6	0.49	1.1	0	0	53	0.0	14
100.5	2.8	91.3	-0.0	2.5	0	0	48	0.0	14
101.5	2.5	90.4	0.22	1.58	0	0	43	0.0	14
102.5	1.9	90.7	0.13	1.8	0	0	38	0.0	14
103.5	1.5	91.6	0.16	1.49	0	3	33	0.0	14
104.5	1.9	92.8	0.24	2.69	0	30	29	0.0	14
105.5	2.9	86.5	0.59	3.35	171	104	25	0.0	14
106.5	5.0	72.6	1.2	2.08	414	120	21	0.0	14
107.5	7.9	57.7	2.37	3.94	460	131	17	0.0	14
108.5	9.1	50.6	1.13	5.79	323	142	12	0.0	14
109.5	10.1	46.8	0.32	6.19	474	96	12	0.0	14
110.5	10.1	47.9	1.76	6.57	510	50	12	0.0	14
111.5	9.1	50.7	1.78	5.83	0	36	12	0.0	14
112.5	8.6	49.4	0.58	5.57	0	0	12	0.0	14
113.5	8.9	43.5	-2.08	6.79	0	0	12	0.0	14
114.5	8.7	42.3	-1.89	7.57	0	0	12	0.0	14
115.5	8.1	44.4	-0.65	7.47	0	0	17	0.0	14
116.5	7.8	44.4	-1.22	7.7	0	0	21	0.0	14
117.5	7.8	43.7	-1.46	8.27	0	0	25	0.0	14
118.5	7.0	44.9	-1.0	8.14	0	0	29	0.0	14
119.5	7.0	45.2	-0.56	8.08	0	0	33	0.0	14
120.5	6.2	47.5	2.25	7.36	0	0	38	0.0	14
121.5	7.1	45.3	3.8	7.15	0	0	42	0.0	14
122.5	7.1	44.9	2.95	5.11	0	0	46	0.0	14
123.5	8.7	40.8	2.44	7.51	0	0	50	0.0	14
124.5	7.9	43.9	2.93	6.9	0	0	54	0.0	14
125.5	8.3	43.8	3.35	5.57	0	0	58	0.0	14
126.5	7.8	45.5	3.61	4.79	0	0	62	0.0	14
127.5	9.1	43.4	2.36	6.48	0	0	62	0.0	14
128.5	9.4	43.0	3.05	7.18	0	36	62	0.0	14
129.5	10.2	41.2	3.51	7.19	0	85	62	0.0	14
130.5	12.6	35.9	3.05	7.94	467	127	62	0.0	14
131.5	13.6	33.2	2.25	9.74	405	139	62	0.0	14
132.5	13.7	33.6	2.7	6.35	171	158	62	0.0	14
133.5	14.1	32.7	5.91	4.62	0	94	67	0.0	14
134.5	14.0	32.6	5.74	4.17	0	66	71	0.0	14
135.5	13.8	32.3	6.47	4.36	0	25	75	0.0	14
136.5	12.5	34.8	2.11	4.97	0	0	79	0.0	14
137.5	9.0	55.5	-2.56	-5.76	0	0	83	0.0	14
138.5	8.0	60.5	-3.55	-6.15	0	0	88	0.0	14
139.5	6.6	63.5	-5.11	-7.04	0	0	89	0.0	14
140.5	5.3	74.5	-3.92	-6.28	0	0	90	0.2	14
141.5	4.5	82.3	-3.76	-5.18	0	0	91	0.7	14
142.5	3.8	90.5	-3.35	-4.61	0	0	92	1.3	14
143.5	3.3	94.0	-2.68	-3.98	0	0	93	0.9	14
144.5	3.3	95.4	-2.56	-2.94	0	0	94	0.8	14
145.5	3.2	95.1	-0.98	-1.13	0	0	95	0.9	14
146.5	3.1	94.9	0.08	-0.06	0	0	96	0.7	14
147.5	2.9	95.1	-0.0	-0.0	0	0	97	1.6	14
148.5	2.3	95.9	0.68	1.45	0	0	98	0.9	14
149.5	1.6	96.0	0.68	1.99	0	0	99	1.5	14
150.5	1.6	95.5	0.19	1.79	0	0	100	0.1	14
151.5	1.7	95.2	0.26	0.14	0	4	85	0.0	14
152.5	2.1	95.3	0.8	1.27	0	30	71	0.0	14
153.5	2.7	95.4	0.39	1.45	90	102	56	0.0	14
154.5	3.5	86.4	1.03	1.47	78	131	42	0.0	14
155.5	5.1	78.9	1.71	1.54	517	135	27	0.0	14
156.5	6.3	69.7	1.01	2.93	543	163	12	0.0	14
157.5	5.7	68.4	-1.67	-3.75	0	68	27	0.0	14
158.5	3.9	74.0	-4.62	-5.91	0	22	42	0.2	14
159.5	4.2	61.7	-3.27	-4.04	0	23	56	0.0	14
160.5	3.9	59.0	-1.0	-1.96	0	0	71	0.0	14
161.5	3.0	67.6	-2.25	-2.41	0	0	85	0.0	14
162.5	3.1	70.4	-1.59	-2.54	0	0	100	0.0	14
163.5	3.0	67.3	-2.12	-2.53	0	0	100	0.0	14
164.5	2.1	75.2	-1.36	-2.56	0	0	100	0.0	14
165.5	2.0	78.0	-0.9	-2.01	0	0	100	0.0	14
166.5	2.0	77.3	-1.58	-3.24	0	0	100	0.0	14
167.5	1.5	78.6	-1.14	-1.52	0	0	100	0.0	14
168.5	0.4	81.6	-0.18	-0.57	0	0	100	0.0	14
169.5	-0.4	89.3	-0.12	-0.27	0	0	100	0.0	14
170.5	-0.6	91.8	0.2	0.04	0	0	100	0.0	14
171.5	-0.9	93.0	-0.0	-0.0	0	0	100	0.0	14
172.5	-0.8	93.7	-0.0	-0.0	0	0	100	0.0	14
173.5	-0.2	94.3	-0.0	-0.0	0	0	100	0.0	14
174.5	0.1	94.7	0.68	0.73	0	0	100	0.0	14
175.5	0.2	95.1	0.76	0.93	0	0	94	0.0	14
176.5	0.3	91.7	0.43	1.33	0	48	88	0.0	14
177.5	0.8	78.7	0.29	2.38	0	80	81	0.0	14
178.5	2.1	63.6	0.85	2.77	586	113	75	0.0	14
179.5	3.0	54.6	0.68	1.45	541	119	69	0.0	14
180.5	3.8	46.0	0.03	1.5	346	145	62	0.0	14
181.5	4.6	40.7	0.18	0.78	618	110	54	0.0	14
182.5	4.4	38.9	0.38	1.24	429	66	46	0.0	14
183.5	3.0	47.5	-0.04	2.6	0	41	38	0.0	14
184.5	1.7	53.6	0.5	3.16	0	0	29	0.0	14
185.5	0.6	64.6	1.38	2.2	0	0	21	0.0	14
186.5	0.1	67.4	1.88	2.59	0	0	12	0.0	14
187.5	-0.4	68.0	1.54	2.46	0	0	11	0.0	14
188.5	-0.8	68.5	1.64	2.63	0	0	10	0.0	14
189.5	-0.6	64.9	1.08	3.54	0	0	9	0.0	14
190.5	-0.8	63.6	1.64	4.51	0	0	8	0.0	14
191.5	-1.0	62.3	1.68	4.6	0	0	7	0.0	14
192.5	-1.4	62.7	1.67	5.14	0	0	6	0.0	14
193.5	-1.8	63.2	1.38	5.53	0	0	5	0.0	14
194.5	-2.0	62.8	1.45	5.82	0	0	4	0.0	14
195.5	-2.3	63.1	1.32	4.61	0	0	3	0.0	14
196.5	-2.5	62.8	1.5	4.35	0	0	2	0.0	14
197.5	-2.7	62.7	1.52	5.29	0	0	1	0.0	14
198.5	-2.7	61.7	1.57	5.48	0	0	0	0.0	14
199.5	-2.8	61.2	1.44	3.95	0	0	2	0.0	14
200.5	-2.4	58.8	1.53	5.7	0	41	4	0.0	14
201.5	-1.3	54.6	1.33	6.26	138	107	6	0.0	14
202.5	0.5	48.1	1.23	4.95	654	90	8	0.0	14
203.5	1.8	43.1	1.49	4.88	776	62	10	0.0	14
204.5	3.3	38.0	0.43	4.08	752	63	12	0.0	14
205.5	4.1	35.4	0.86	3.7	689	61	10	0.0	14
206.5	3.9	36.4	0.3	3.49	548	51	8	0.0	14
207.5	2.1	42.9	0.88	2.55	0	47	6	0.0	14
208.5	0.2	55.8	1.7	1.7	0	0	4	0.0	14
209.5	-0.2	60.2	1.03	2.82	0	0	2	0.0	14
210.5	-0.6	64.2	1.45	1.79	0	0	0	0.0	14
211.5	-0.7	65.7	1.32	2.47	0	0	0	0.0	14
212.5	-0.6	65.5	1.26	1.68	0	0	0	0.0	14
213.5	-0.3	62.2	1.5	2.0	0	0	0	0.0	14
214.5	-0.9	63.5	1.33	3.45	0	0	0	0.0	14
215.5	-0.9	61.9	1.43	2.05	0	0	0	0.0	14
216.5	-1.1	61.2	1.57	2.32	0	0	0	0.0	14
217.5	-1.2	61.0	1.01	2.93	0	0	0	0.0	14
218.5	-1.5	60.9	1.08	2.03	0	0	0	0.0	14
219.5	-1.9	62.9	0.78	1.84	0	0	0	0.0	14
220.5	-2.3	63.8	1.32	1.76	0	0	0	0.0	14
221.5	-2.0	62.4	1.11	2.89	0	0	0	0.0	14
