#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-2.3	95.5	-1.88	0.68	0	0
0.5	-2.3	95.5	-1.88	0.68	0	0
1.5	-2.7	96.5	-0.84	1.12	0	0
2.5	-2.8	97.7	-0.12	0.99	0	0
3.5	-2.9	98.6	0.34	0.61	0	0
4.5	-2.8	99.7	0.38	0.33	0	0
5.5	-2.4	99.8	0.44	0.24	0	0
6.5	-2.1	99.9	0.4	0.02	0	0
7.5	-1.4	99.2	0.58	0.14	0	0
8.5	-0.8	98.6	0.44	0.54	0	50
9.5	0.1	95.8	0.89	0.45	67	96
10.5	1.3	90.9	-1.66	-2.38	427	121
11.5	2.2	84.6	-2.01	-1.94	706	130
12.5	2.3	80.0	-1.61	-1.92	747	97
13.5	1.8	78.1	-1.64	-2.02	724	69
14.5	0.7	74.2	-1.43	-2.29	621	49
15.5	-1.1	72.7	-1.23	1.32	0	32
16.5	-2.5	77.6	0.12	0.48	0	0
17.5	-3.3	83.2	0.14	0.27	0	0
18.5	-4.6	86.8	0.19	0.67	0	0
19.5	-4.9	88.5	0.66	0.76	0	0
20.5	-5.0	87.1	0.34	1.36	0	0
21.5	-5.4	91.8	-0.0	0.9	0	0
22.5	-5.6	89.4	0.19	1.08	0	0
23.5	-5.1	86.8	0.11	0.59	0	0
24.5	-5.5	92.6	-0.0	0.3	0	0
25.5	-4.7	88.8	0.27	0.54	0	0
26.5	-3.9	89.8	-0.28	-0.42	0	0
27.5	-3.5	91.4	-0.14	-0.14	0	0
28.5	-2.7	89.8	-0.18	-0.36	0	0
29.5	-2.1	91.5	0.18	0.36	0	0
30.5	-2.0	91.5	0.78	1.16	0	0
31.5	-1.8	94.2	-0.28	-0.28	0	7
32.5	-0.9	94.0	-1.13	-1.13	0	47
33.5	0.9	88.7	-0.54	-0.72	162	100
34.5	2.4	87.2	-1.39	-6.55	580	108
35.5	3.3	84.8	-1.95	-5.36	732	59
36.5	3.4	84.0	-3.75	-4.02	666	88
37.5	2.5	90.0	-3.09	-5.14	198	119
38.5	1.8	90.4	-3.96	-4.9	0	46
39.5	1.1	80.3	-3.92	-6.28	0	14
40.5	0.2	80.8	-3.16	-6.47	0	0
41.5	-0.4	85.5	-4.57	-6.07	0	0
42.5	-0.5	86.1	-3.62	-3.88	0	0
43.5	-0.5	82.4	-4.95	-4.95	0	0
44.5	-1.2	85.1	-5.02	-5.57	0	0
45.5	-1.7	83.7	-4.61	-4.3	0	0
46.5	-2.5	78.1	-2.81	-4.5	0	0
47.5	-3.1	74.3	-3.94	-3.08	0	0
48.5	-3.4	75.5	-4.24	-3.81	0	0
49.5	-3.6	76.4	-2.68	-3.98	0	0
50.5	-4.0	85.0	-1.42	-3.52	0	0
51.5	-4.0	89.9	-1.52	-3.26	0	0
52.5	-3.7	88.2	-3.02	-3.6	0	0
53.5	-3.8	89.0	-0.86	-3.7	0	0
54.5	-3.6	87.5	-1.5	-2.94	0	0
55.5	-3.7	91.5	-0.09	-2.6	0	2
56.5	-3.3	86.6	-0.22	-2.49	0	59
57.5	-3.2	88.3	0.0	-2.9	10	102
58.5	-2.8	88.6	-0.11	-3.1	49	131
59.5	-2.5	78.5	-3.56	-2.59	0	116
60.5	-2.6	80.2	-2.67	-1.94	0	114
61.5	-2.6	79.4	-2.56	-1.93	45	116
