#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-0.9	87.4	-0.69	0.11	0	0	50	0.0	50
0.5	-0.9	87.4	-0.69	0.11	0	0	50	0.0	50
1.5	-1.2	86.9	-0.32	0.73	0	0	54	0.0	50
2.5	-1.4	86.5	0.0	-0.6	0	0	58	0.0	50
3.5	-1.6	86.1	0.02	0.7	0	0	62	0.0	50
4.5	-1.7	85.7	-0.36	0.93	0	0	67	0.0	50
5.5	-1.7	85.5	-1.57	-1.68	0	0	71	0.0	50
6.5	-1.6	85.2	-0.86	-0.26	0	0	75	0.0	50
7.5	-1.6	85.6	-0.36	-0.71	0	5	79	0.0	50
8.5	-1.5	85.3	0.06	-0.19	0	51	83	0.0	50
9.5	-1.4	87.8	0.34	0.83	0	64	88	0.3	50
10.5	-1.1	92.0	1.2	1.84	0	89	92	0.9	50
11.5	-0.5	90.9	0.82	2.04	3	135	96	0.2	80
12.5	0.1	90.3	0.15	0.37	1	122	100	0.3	80
13.5	0.7	90.9	-0.2	-0.57	11	126	100	0.4	80
14.5	1.1	92.4	-0.02	-0.7	42	73	100	0.9	80
15.5	1.3	94.3	0.23	-0.45	0	39	100	0.7	80
16.5	1.0	94.5	0.04	-0.5	0	0	100	0.4	80
17.5	1.1	95.0	-0.03	0.6	0	0	100	0.4	50
18.5	0.9	95.4	-0.12	1.09	0	0	100	0.3	50
19.5	0.5	95.3	-0.64	0.27	0	0	100	0.0	50
20.5	0.6	95.1	0.08	0.49	0	0	100	0.0	50
21.5	0.3	95.2	-0.71	0.36	0	0	100	0.0	50
22.5	-0.2	95.9	0.59	0.68	0	0	100	0.0	50
23.5	-0.1	95.6	0.72	0.83	0	0	100	0.0	50
24.5	0.2	95.2	0.54	0.6	0	0	100	0.0	50
25.5	1.5	93.2	-1.46	-3.62	0	0	100	0.0	50
26.5	1.4	94.1	-1.73	-2.57	0	0	100	0.0	50
27.5	1.2	90.2	-3.07	-4.07	0	0	100	0.5	50
28.5	0.2	90.4	-4.5	-7.21	0	0	100	1.5	50
29.5	0.0	81.5	-3.86	-8.68	0	0	100	0.1	50
30.5	-1.2	80.3	-4.18	-9.85	0	0	100	0.1	50
31.5	-3.5	85.1	-4.21	-8.63	0	5	100	0.4	50
32.5	-3.7	82.1	-2.88	-7.14	0	34	100	0.0	50
33.5	-3.3	77.1	0.6	-2.43	50	101	100	0.0	50
34.5	-3.4	82.8	-1.22	-3.17	16	130	100	0.0	50
35.5	-3.4	82.2	-1.3	-3.99	162	151	100	0.1	50
36.5	-3.9	88.2	-0.43	-2.46	5	126	100	0.1	50
37.5	-4.2	90.7	-0.27	-1.17	0	83	100	0.6	50
38.5	-4.2	93.3	-0.27	-2.59	0	45	100	0.7	50
39.5	-4.2	94.3	0.62	-0.5	0	11	100	1.5	50
40.5	-4.0	87.8	-2.3	-4.33	0	0	100	0.3	50
41.5	-3.8	79.6	-4.31	-5.52	0	0	100	0.1	80
42.5	-3.9	82.8	-4.86	-6.22	0	0	100	0.1	80
43.5	-4.2	88.9	-4.17	-5.74	0	0	100	0.4	80
44.5	-4.4	92.3	-1.16	-4.04	0	0	100	0.2	80
45.5	-4.4	93.2	0.46	-2.36	0	0	100	0.1	80
46.5	-4.6	91.5	0.82	0.37	0	0	100	0.1	80
47.5	-4.8	91.7	-0.05	0.7	0	0	100	0.0	80
48.5	-5.0	94.1	-0.31	-0.26	0	0	100	0.3	80
49.5	-5.0	94.3	-0.38	0.32	0	0	100	0.9	80
50.5	-5.2	95.0	-0.54	-0.45	0	0	100	1.1	80
51.5	-4.9	93.9	-0.2	-1.39	0	0	100	1.2	80
52.5	-4.7	93.2	-0.04	-2.5	0	0	100	0.4	80
53.5	-4.7	93.1	-0.26	-2.99	0	0	100	0.2	80
