#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-4.5	63.6	-0.99	5.1	0	0	50	0.0	50
0.5	-4.5	63.6	-0.99	5.1	0	0	50	0.0	50
1.5	-1.7	59.0	-0.0	5.1	0	0	50	0.0	50
2.5	0.1	56.2	-2.54	5.98	0	0	50	0.0	50
3.5	1.7	54.1	-2.26	7.88	0	0	50	0.0	50
4.5	2.5	53.1	-2.66	8.7	0	0	50	0.0	50
5.5	2.3	54.4	-0.38	5.39	0	0	50	0.0	50
6.5	1.8	56.6	0.92	4.0	0	0	50	0.0	50
7.5	1.5	57.9	0.39	2.47	0	7	54	0.0	50
8.5	2.2	54.9	0.52	2.65	0	58	58	0.0	50
9.5	2.4	56.4	-0.94	3.06	505	90	62	0.0	50
10.5	5.0	45.3	-2.11	3.97	717	126	67	0.0	50
11.5	5.2	45.7	-1.84	4.54	738	109	71	0.0	50
12.5	5.0	46.1	-1.64	3.87	549	109	75	0.0	50
13.5	4.8	47.4	-0.24	4.59	453	100	69	0.0	50
14.5	4.3	48.3	-1.78	3.81	58	75	62	0.0	50
15.5	3.4	53.2	-2.49	2.16	0	30	56	0.0	50
16.5	1.6	63.2	-0.56	0.42	0	0	50	0.0	50
17.5	0.8	66.0	-0.5	-0.0	0	0	44	0.0	50
18.5	-0.2	69.0	0.11	1.3	0	0	38	0.0	50
19.5	-1.3	75.0	-0.35	0.35	0	0	36	0.0	50
20.5	-1.3	73.4	0.75	1.3	0	0	35	0.0	50
21.5	-2.3	78.7	-0.36	0.48	0	0	34	0.0	50
22.5	-2.8	79.7	-0.45	0.23	0	0	33	0.0	50
23.5	-3.0	78.9	-0.21	-0.21	0	0	32	0.0	50
24.5	-2.7	75.1	-0.0	0.6	0	0	31	0.0	50
25.5	-3.1	77.2	-0.18	0.36	0	0	30	0.0	50
26.5	-3.6	81.2	-0.36	0.18	0	0	29	0.0	50
27.5	-3.9	82.5	-0.33	-0.22	0	0	28	0.0	50
28.5	-3.6	80.2	-0.28	-0.09	0	0	27	0.0	50
29.5	-3.4	77.2	0.12	0.99	0	0	26	0.0	50
30.5	-3.5	76.5	0.76	1.63	0	0	25	0.0	50
31.5	-4.1	77.9	-0.11	0.59	0	6	27	0.0	50
32.5	-4.0	75.6	-0.3	-0.0	0	46	29	0.0	50
33.5	-2.9	72.5	-0.3	-0.0	465	76	31	0.0	50
34.5	-0.7	60.5	-0.48	0.12	669	71	33	0.0	50
35.5	1.8	52.0	-0.8	1.39	461	129	35	0.0	50
36.5	2.4	51.6	-2.33	2.33	656	96	38	0.0	50
37.5	2.7	51.1	-1.47	2.02	297	115	46	0.0	50
38.5	1.3	57.7	-1.9	1.77	152	83	54	0.0	50
39.5	0.1	62.0	-0.89	-0.11	0	28	62	0.0	50
40.5	-0.7	69.1	-0.27	-0.14	0	0	71	0.0	50
