#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-5.8	87.6	-0.43	-3.47	0	0	50	0.2	50
0.5	-5.8	87.6	-0.43	-3.47	0	0	50	0.2	50
1.5	-4.1	89.8	-0.63	-2.73	0	0	58	0.2	50
2.5	-2.9	91.3	-0.3	-2.48	0	0	67	0.1	50
3.5	-1.8	93.3	-0.29	-2.38	0	0	75	0.1	50
4.5	-1.3	94.7	-0.21	-1.99	0	0	83	0.0	50
5.5	-1.4	95.0	-1.13	-0.41	0	0	92	0.0	50
6.5	-1.5	95.4	-0.07	-0.07	0	0	100	0.0	50
7.5	-1.4	94.5	-0.1	-0.0	0	7	96	0.1	50
8.5	-1.3	93.0	-0.28	0.28	0	84	92	0.0	50
9.5	-0.9	89.3	-0.18	0.09	92	102	88	0.0	50
10.5	-0.4	88.0	-0.2	-0.0	483	102	83	0.0	50
11.5	0.4	81.6	-0.3	1.57	722	96	79	0.0	50
12.5	0.4	79.6	-0.45	1.0	630	99	75	0.0	50
13.5	0.1	79.3	-1.19	1.07	721	78	65	0.0	50
14.5	-1.0	82.8	-1.2	1.6	649	50	54	0.0	50
15.5	-2.0	82.1	-0.85	1.36	0	34	44	0.0	50
16.5	-2.7	83.4	-0.1	1.4	0	0	33	0.0	50
17.5	-3.5	84.7	0.21	1.48	0	0	23	0.0	50
18.5	-4.6	90.7	-0.11	0.89	0	0	12	0.0	50
19.5	-5.4	93.6	-0.09	0.18	0	0	14	0.0	50
20.5	-5.1	88.9	0.59	1.27	0	0	15	0.0	50
21.5	-5.7	93.6	-0.0	0.6	0	0	16	0.0	50
22.5	-6.2	93.0	-0.14	0.27	0	0	17	0.0	50
23.5	-6.2	93.4	-0.09	0.18	0	0	18	0.0	50
24.5	-6.7	93.6	-0.1	-0.0	0	0	19	0.0	50
25.5	-6.8	93.7	-0.1	-0.0	0	0	20	0.0	50
26.5	-6.7	93.7	-0.0	-0.0	0	0	21	0.0	50
27.5	-6.8	93.6	-0.07	-0.07	0	0	22	0.0	50
28.5	-6.7	93.7	-0.07	-0.07	0	0	23	0.0	50
29.5	-7.0	93.4	-0.05	-0.09	0	0	24	0.0	50
30.5	-6.6	93.8	-0.03	-0.09	0	0	25	0.0	50
31.5	-6.5	93.9	-0.09	-0.18	0	0	25	0.0	50
32.5	-6.6	93.8	-0.07	-0.07	0	30	25	0.0	50
33.5	-5.4	93.1	-0.07	-0.07	432	110	25	0.0	50
34.5	-3.5	89.1	-0.28	-0.28	744	90	25	0.0	50
35.5	-1.9	80.7	-0.06	-0.08	652	150	25	0.0	50
36.5	-0.7	75.6	-0.21	-0.21	180	92	25	0.0	50
37.5	-1.0	81.2	-0.14	-0.14	521	108	38	0.0	50
38.5	-1.3	78.8	-1.14	-0.63	289	69	50	0.0	50
39.5	-1.9	81.9	-0.0	0.2	0	24	62	0.0	50
40.5	-1.8	85.0	-0.11	0.69	0	0	75	0.0	50
41.5	-2.0	87.1	-0.48	0.12	0	0	88	0.0	50
42.5	-1.8	85.7	-1.36	-0.85	0	0	100	0.0	50
43.5	-2.0	88.4	-0.65	-0.47	0	0	100	0.0	50
44.5	-1.9	90.2	-0.48	0.16	0	0	100	0.0	50
45.5	-1.9	90.0	-0.21	0.21	0	0	100	0.0	50
46.5	-2.0	91.0	-0.14	0.14	0	0	100	0.0	50
47.5	-2.0	92.0	-0.21	-0.21	0	0	100	0.0	50
48.5	-1.9	91.0	-0.1	0.39	0	0	100	0.0	50
49.5	-2.0	92.3	-0.98	-1.51	0	0	100	0.0	50
50.5	-2.0	91.7	-0.57	-0.18	0	0	100	0.0	50
51.5	-1.9	90.7	0.0	-1.1	0	0	100	0.0	50
52.5	-1.9	90.4	-0.65	-1.89	0	0	100	0.0	50
53.5	-1.7	89.4	-0.2	-3.8	0	0	100	0.0	80
54.5	-2.1	92.0	-0.63	-2.73	0	0	100	0.0	80
55.5	-2.4	93.6	-0.56	-0.22	0	0	96	0.0	80
56.5	-2.3	92.9	-0.38	-0.12	0	41	92	0.0	80
57.5	-1.6	87.7	-0.73	-2.39	5	97	88	0.0	80
58.5	-0.9	82.7	-1.18	-2.54	85	139	83	0.0	80
59.5	-0.1	78.0	-0.89	-4.21	552	130	79	0.0	50
60.5	-0.6	79.9	-2.58	-4.29	360	136	75	0.0	50
61.5	-1.5	85.6	-1.95	-4.82	254	119	79	0.0	50
62.5	-2.4	93.8	-1.82	-5.61	62	80	83	0.0	50
63.5	-2.8	94.8	-1.08	-4.68	0	29	88	0.0	50
64.5	-3.4	96.6	-1.56	-4.54	0	0	92	0.0	50
65.5	-3.6	96.0	-0.89	-4.21	0	0	96	0.0	50
66.5	-3.5	94.3	-1.06	-2.91	0	0	100	0.0	50
67.5	-3.8	94.1	-1.41	-2.76	0	0	92	0.0	50
68.5	-4.9	94.4	-0.58	-0.39	0	0	83	0.0	50
69.5	-5.2	94.8	-0.44	0.54	0	0	75	0.0	50
70.5	-5.8	92.0	-0.75	1.41	0	0	67	0.0	50
71.5	-7.3	92.3	-1.2	1.6	0	0	58	0.0	50
72.5	-7.8	89.0	-0.5	1.31	0	0	50	0.0	50
73.5	-8.8	88.7	-0.19	0.98	0	0	42	0.0	50
74.5	-9.7	89.4	-0.0	0.3	0	0	33	0.0	50
75.5	-10.3	88.9	0.1	0.79	0	0	25	0.0	50
76.5	-10.5	88.3	-0.0	0.4	0	0	17	0.0	50
77.5	-11.1	89.7	-0.0	-0.0	0	0	8	0.0	50
78.5	-11.3	88.8	-0.07	0.07	0	0	0	0.0	50
79.5	-11.6	88.1	-0.0	-0.0	0	6	4	0.0	50
80.5	-11.3	82.5	-0.0	-0.0	0	32	8	0.0	50
81.5	-9.9	84.9	-0.22	-0.33	429	127	12	0.0	50
82.5	-7.7	74.3	-0.3	-0.4	747	118	17	0.0	50
83.5	-5.8	64.1	-0.17	-0.25	830	108	21	0.0	50
84.5	-4.4	55.9	-0.19	0.46	819	104	25	0.0	50
85.5	-3.7	50.7	-1.09	1.56	765	94	21	0.0	50
86.5	-3.5	49.8	-0.59	1.7	648	69	17	0.0	50
87.5	-4.5	52.3	-0.3	1.57	0	44	12	0.0	50
88.5	-5.8	57.3	-0.32	1.05	0	0	8	0.0	50
89.5	-7.3	70.5	-0.1	-0.0	0	0	4	0.0	50
90.5	-7.7	67.7	-0.21	0.21	0	0	0	0.0	50
