#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-4.3	86.1	0.57	-0.18	0	0	50	0.0	50
0.5	-4.3	86.1	0.57	-0.18	0	0	50	0.0	50
1.5	-2.7	89.8	0.37	-0.47	0	0	52	0.0	50
2.5	-1.7	92.3	0.26	0.15	0	0	54	0.0	50
3.5	-0.7	94.9	0.21	-0.21	0	0	56	0.0	50
4.5	-0.2	96.4	0.46	-0.2	0	0	58	0.0	50
5.5	-0.1	96.4	0.31	-0.51	0	0	60	0.0	50
6.5	0.0	96.4	0.48	-0.14	0	0	62	0.0	50
7.5	0.2	96.9	0.22	-0.34	0	0	67	0.3	50
8.5	0.3	97.9	-0.17	-0.25	0	30	71	0.8	50
9.5	0.2	98.9	-0.0	0.0	0	45	75	1.2	50
10.5	0.4	96.8	0.16	0.12	0	59	79	0.8	50
11.5	0.7	95.5	0.26	0.14	0	99	83	1.2	50
12.5	1.1	90.4	-0.18	-0.36	117	161	88	0.5	50
13.5	0.8	92.6	-0.24	0.18	125	124	77	0.9	50
14.5	0.6	95.3	-0.86	0.26	106	80	67	0.3	50
15.5	0.5	96.3	0.32	0.24	0	25	56	0.1	50
16.5	0.6	96.2	0.5	0.04	0	0	46	0.0	50
17.5	0.7	95.8	0.35	-0.35	0	0	35	0.0	50
18.5	0.7	96.2	0.47	-0.65	0	0	25	0.0	50
19.5	1.1	96.3	0.64	-0.27	0	0	25	0.0	50
20.5	1.7	95.7	0.58	-0.69	0	0	25	0.0	50
21.5	2.0	95.8	0.48	-0.16	0	0	25	0.0	50
22.5	2.4	96.1	0.36	-0.6	0	0	25	0.0	50
23.5	1.9	96.4	0.6	0.02	0	0	25	0.0	50
24.5	3.4	95.3	0.76	-0.66	0	0	25	0.3	50
25.5	3.4	93.7	0.5	-0.87	0	0	25	0.0	50
26.5	2.7	93.6	0.59	-0.09	0	0	25	0.0	50
27.5	2.4	95.5	0.58	-0.55	0	0	25	1.1	50
28.5	3.1	84.0	1.39	0.15	0	0	25	0.2	50
29.5	2.8	53.0	2.49	0.22	0	0	25	0.0	50
30.5	2.0	54.2	1.9	0.1	0	0	25	0.0	50
31.5	1.1	63.2	1.7	-0.03	0	0	38	0.0	50
32.5	0.5	74.3	0.78	-0.45	0	75	50	0.0	50
33.5	-0.8	93.4	-1.55	-0.69	0	99	62	0.0	50
34.5	-0.9	94.4	-1.98	-0.28	0	96	75	0.0	50
35.5	-0.8	89.1	-1.48	-0.21	0	105	88	0.0	50
36.5	-1.6	92.8	-1.96	-0.75	0	45	100	0.6	50
37.5	-1.7	95.9	-1.96	-0.38	0	65	100	0.6	50
38.5	-1.8	97.1	-0.54	0.72	1	71	100	0.2	50
39.5	-1.9	95.4	0.43	-0.26	0	6	100	0.7	50
40.5	-1.8	95.2	0.46	-0.53	0	0	100	1.9	50
41.5	-2.0	96.1	-1.33	-0.43	0	0	100	0.4	50
42.5	-1.9	95.9	-0.7	-1.32	0	0	100	0.8	50
43.5	-2.0	96.1	-0.78	-0.19	0	0	100	0.2	50
44.5	-2.0	96.1	-0.75	-0.29	0	0	100	0.1	50
45.5	-2.1	96.3	-1.63	-0.47	0	0	100	0.4	50
46.5	-2.0	96.0	-1.49	-0.82	0	0	100	1.7	50
47.5	-2.0	95.9	-1.29	-0.55	0	0	100	2.8	50
48.5	-1.9	95.4	-1.37	-0.29	0	0	100	3.1	50
49.5	-2.2	96.1	-0.68	-0.17	0	0	100	1.6	50
50.5	-2.3	96.4	-0.4	-0.0	0	0	100	1.6	50
51.5	-2.2	96.2	-0.2	-0.0	0	0	100	1.1	50
52.5	-2.2	96.2	-0.0	-0.0	0	0	100	1.8	50
53.5	-2.2	96.1	-0.2	-0.0	0	0	100	1.6	50
54.5	-2.2	96.0	-0.89	-0.14	0	0	100	0.9	50
55.5	-2.2	96.2	-1.56	-0.36	0	0	100	0.4	50
56.5	-2.1	97.0	-0.99	-0.16	0	12	100	0.1	50
57.5	-1.9	98.9	-0.67	-0.19	0	34	100	0.2	50
58.5	-1.7	98.6	-1.39	-0.15	0	72	100	0.0	50
59.5	-1.7	92.0	-1.88	-0.3	0	58	100	0.2	50
60.5	-1.8	90.1	-1.0	0.04	0	51	100	0.0	80
61.5	-2.0	90.9	-1.0	-0.05	0	30	100	0.4	80
62.5	-1.9	91.3	-1.38	-0.22	0	33	100	0.2	80
63.5	-2.0	91.6	-1.61	-0.55	0	12	100	0.2	80
