#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	1.5	68.5	2.63	-1.23	0	0	50	0.0	50
0.5	1.5	68.5	2.63	-1.23	0	0	50	0.0	50
1.5	3.1	61.3	2.85	-1.45	0	0	58	0.0	50
2.5	4.1	56.6	3.96	-1.68	0	0	67	0.0	50
3.5	5.0	52.5	2.77	-0.44	0	0	75	0.0	50
4.5	5.5	50.2	1.04	0.94	0	0	83	0.0	50
5.5	5.2	51.5	1.61	1.5	0	0	92	0.0	50
6.5	4.8	53.9	-0.35	1.15	0	0	100	0.0	50
7.5	4.6	55.8	0.67	0.22	0	0	100	0.0	50
8.5	4.4	57.5	1.18	0.23	0	55	100	0.0	50
9.5	5.2	53.2	-0.72	-0.96	0	134	100	0.0	50
10.5	5.7	51.0	1.33	-0.43	12	125	100	0.0	50
11.5	5.6	53.3	1.59	0.14	66	168	100	0.0	50
12.5	5.4	54.3	-0.12	0.48	87	162	100	0.0	50
13.5	5.1	57.1	0.45	1.11	125	132	100	0.0	50
14.5	4.2	61.3	0.62	0.91	233	78	100	0.0	50
15.5	4.2	60.9	1.79	0.22	0	45	100	0.0	50
16.5	4.0	61.8	1.68	-0.64	0	0	100	0.0	50
17.5	3.8	62.5	1.47	-0.29	0	0	100	0.0	50
18.5	3.7	63.6	1.4	0.0	0	0	100	0.0	50
19.5	3.8	62.9	0.9	-0.09	0	0	95	0.0	50
20.5	4.2	57.1	1.7	0.0	0	0	90	0.0	50
21.5	3.9	57.9	0.8	-0.41	0	0	84	0.0	50
22.5	3.6	59.5	0.66	-0.45	0	0	79	0.0	50
23.5	2.8	65.5	0.5	-0.5	0	0	74	0.0	50
24.5	2.3	66.0	0.69	-0.41	0	0	69	0.0	50
25.5	1.8	66.1	0.62	-0.32	0	0	64	0.0	50
26.5	1.6	65.1	0.22	-0.56	0	0	58	0.0	50
27.5	1.2	64.2	0.53	-0.85	0	0	53	0.0	50
28.5	1.2	61.1	0.73	-0.53	0	0	48	0.0	50
29.5	1.1	59.3	0.92	-0.39	0	0	43	0.1	50
30.5	1.5	55.7	1.16	-0.31	0	0	38	0.0	50
31.5	1.6	55.1	1.05	-0.32	0	0	42	0.0	50
32.5	3.4	48.7	1.77	-0.31	0	72	46	0.0	50
33.5	4.3	47.3	1.1	-0.1	0	120	50	0.0	50
34.5	5.3	45.2	0.95	0.74	140	148	54	0.0	50
35.5	5.5	46.0	1.2	1.6	252	147	58	0.0	50
36.5	5.9	44.3	0.5	1.63	533	158	62	0.0	50
37.5	5.2	47.2	0.1	1.5	108	127	69	0.0	50
38.5	4.5	52.9	0.1	1.1	49	81	75	0.0	50
39.5	3.9	53.6	0.57	-0.57	0	24	81	0.0	50
40.5	3.4	55.4	0.21	-1.08	0	0	88	0.0	50
