#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-3.8	82.5	0.17	0.47	0	0	50	0.2	50
0.5	-3.8	82.5	0.17	0.47	0	0	50	0.2	50
1.5	-2.5	88.1	0.5	0.5	0	0	58	0.1	50
2.5	-1.7	92.1	0.24	0.66	0	0	67	0.1	50
3.5	-0.9	96.1	0.09	0.49	0	0	75	0.2	50
4.5	-0.5	98.3	0.13	0.48	0	0	83	0.2	50
5.5	-0.5	98.2	0.17	0.47	0	0	92	0.2	50
6.5	-0.5	98.3	0.35	0.61	0	0	100	0.4	50
7.5	-0.4	97.6	0.38	0.32	0	0	98	0.3	50
8.5	-0.1	97.1	0.35	0.2	0	42	96	0.1	50
9.5	0.0	95.1	0.2	0.0	0	81	94	0.0	50
10.5	1.0	91.8	-0.18	0.36	515	176	92	0.0	50
11.5	0.5	93.7	-0.36	0.18	434	135	90	0.0	50
12.5	0.9	92.4	-0.0	0.3	69	153	88	0.0	50
13.5	1.7	87.6	0.28	0.09	68	126	79	0.0	50
14.5	1.6	92.9	0.14	-0.14	0	69	71	0.0	50
15.5	1.3	95.3	0.14	-0.14	0	22	62	0.0	50
16.5	1.0	93.5	0.28	-0.28	0	0	54	0.0	50
17.5	0.3	92.2	0.42	-0.42	0	0	46	0.0	50
18.5	-0.2	90.7	0.42	-0.42	0	0	38	0.0	50
19.5	-0.5	92.7	0.56	-0.22	0	0	34	0.0	50
20.5	-0.7	88.4	0.0	-0.7	0	0	31	0.0	50
21.5	-1.2	91.2	0.5	0.0	0	0	28	0.0	50
22.5	-0.9	90.4	0.57	-0.18	0	0	25	0.0	50
23.5	-1.2	91.2	0.0	-0.4	0	0	22	0.0	50
24.5	-1.4	91.2	0.38	-0.12	0	0	19	0.0	50
25.5	-1.1	89.5	0.62	-0.32	0	0	16	0.0	50
26.5	-1.0	90.0	0.35	-0.35	0	0	12	0.0	50
27.5	-1.6	88.8	-0.22	-0.33	0	0	9	0.0	50
28.5	-1.9	91.3	0.27	-0.14	0	0	6	0.0	50
29.5	-1.8	88.8	0.42	-0.28	0	0	3	0.0	80
30.5	-2.2	87.9	0.45	-0.23	0	0	0	0.0	80
31.5	-1.9	88.3	0.4	-0.3	0	0	10	0.0	80
32.5	-1.5	87.2	0.21	-0.21	0	61	21	0.0	80
33.5	-0.4	78.1	0.21	-0.21	0	130	31	0.0	80
34.5	0.5	74.5	0.27	0.14	74	140	42	0.0	80
35.5	1.0	77.2	0.07	-0.07	81	173	52	0.0	80
36.5	1.6	76.2	-0.0	0.1	145	163	62	0.0	50
37.5	1.1	77.8	-0.07	0.07	372	112	58	0.0	50
38.5	1.0	80.4	-0.0	0.2	278	80	54	0.0	50
39.5	0.1	84.3	0.28	-0.28	0	22	50	0.0	50
40.5	-0.3	85.6	-0.18	-0.36	0	0	46	0.0	50
41.5	-1.0	89.4	0.1	0.0	0	0	42	0.0	50
42.5	-1.6	91.7	0.21	-0.21	0	0	38	0.0	50
43.5	-1.9	93.0	0.38	-0.12	0	0	40	0.0	50
44.5	-2.0	92.4	0.25	-0.17	0	0	42	0.0	50
45.5	-1.9	91.3	0.28	-0.09	0	0	44	0.0	50
46.5	-1.9	90.0	0.42	-0.28	0	0	46	0.0	50
47.5	-1.6	87.1	0.35	-0.35	0	0	48	0.0	50
48.5	-1.3	87.0	0.21	-0.21	0	0	50	0.0	50
49.5	-0.8	86.0	0.14	-0.27	0	0	52	0.0	50
50.5	-0.5	85.1	0.27	-0.14	0	0	54	0.0	50
51.5	-0.7	87.1	0.0	-0.4	0	0	56	0.0	50
52.5	-1.6	91.6	0.0	-0.4	0	0	58	0.0	50
53.5	-1.9	93.3	-0.5	-0.5	0	0	60	0.0	50
54.5	-2.5	96.3	-0.0	0.5	0	0	62	0.0	50
55.5	-2.3	95.2	0.28	-0.28	0	0	67	0.0	50
