#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	0.5	92.7	-0.36	-0.16	0	0
0.5	0.5	92.7	-0.36	-0.16	0	0
1.5	0.1	92.5	-0.27	-0.13	0	0
2.5	-0.1	92.5	-0.27	-0.13	0	0
3.5	-0.4	92.5	-0.26	-0.14	0	0
4.5	-0.4	92.4	-0.28	-0.11	0	0
5.5	-0.5	92.4	-0.26	-0.14	0	0
6.5	-0.6	92.5	-0.24	-0.18	0	0
7.5	-0.7	92.3	-0.24	-0.18	0	0
8.5	-0.9	92.0	-0.09	-0.18	0	46
9.5	-0.5	90.3	-0.36	-0.18	0	78
10.5	-0.8	90.1	-0.56	-0.22	0	38
11.5	0.3	87.9	-0.69	-0.13	324	154
12.5	1.9	82.6	-0.84	-0.32	117	157
13.5	2.7	80.8	0.78	1.04	98	128
14.5	2.1	88.3	-0.36	0.71	0	75
15.5	2.1	88.0	-0.42	-0.28	0	20
16.5	2.0	89.0	-1.13	-0.65	0	0
17.5	1.5	92.1	-0.98	0.5	0	0
18.5	1.6	90.0	-0.54	-0.44	0	0
19.5	1.7	91.1	-0.64	-0.27	0	0
20.5	1.9	93.9	-1.1	-0.49	0	0
21.5	1.6	95.0	-0.39	-0.1	0	0
22.5	1.6	92.9	-0.56	-0.22	0	0
23.5	1.2	93.9	-0.56	-0.22	0	0
24.5	1.3	92.5	-0.5	-0.5	0	0
25.5	1.4	93.5	-0.59	-0.11	0	0
26.5	1.7	93.7	-0.33	-0.22	0	0
27.5	1.7	94.2	-0.18	-0.09	0	0
28.5	2.1	92.2	-0.56	-0.22	0	0
29.5	0.7	91.6	-0.0	-0.2	0	0
30.5	-0.9	92.1	0.0	-0.2	0	0
31.5	-0.9	89.8	-0.93	-0.38	0	0
32.5	-1.6	89.3	-0.45	-0.23	0	19
33.5	-2.2	86.9	-0.45	-0.23	0	27
34.5	-2.3	84.9	-0.67	-0.22	0	37
35.5	-0.5	74.7	-1.05	-0.32	339	153
