#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-0.1	86.3	-1.05	-0.32	0	0	0.0	14
0.5	-0.1	86.3	-1.05	-0.32	0	0	0.0	14
1.5	-0.2	83.4	-0.74	-0.31	0	0	0.0	14
2.5	-0.2	81.5	-0.75	-0.29	0	0	0.0	14
3.5	-0.2	79.6	-0.57	-0.18	0	0	0.0	14
4.5	-0.1	78.6	-0.91	-0.41	0	0	0.0	14
5.5	0.2	78.7	-0.39	-0.1	0	0	0.0	14
6.5	0.4	78.8	-0.51	-0.31	0	0	0.0	14
7.5	0.6	79.0	-0.49	-0.1	0	0	0.0	14
8.5	1.1	78.6	-0.62	-0.32	0	54	0.0	14
9.5	1.1	78.1	-0.48	-0.12	0	59	0.0	14
10.5	1.6	75.9	-0.65	-0.26	0	107	0.0	14
11.5	2.6	72.8	-0.54	-0.27	180	161	0.0	14
12.5	3.8	68.8	-0.54	-0.27	137	161	0.0	14
13.5	3.6	70.8	-0.6	-0.0	82	129	0.0	14
14.5	2.7	73.4	-0.45	-0.23	0	48	0.0	14
15.5	2.2	74.9	-0.09	-0.18	0	18	0.0	14
16.5	2.6	71.2	-0.28	-0.28	0	0	0.0	14
17.5	3.7	63.1	0.35	-0.35	0	0	0.0	14
18.5	2.4	69.8	-0.27	-0.14	0	0	0.0	14
19.5	1.1	76.3	-0.39	-0.1	0	0	0.0	14
20.5	0.7	77.4	-0.33	-0.22	0	0	0.0	14
21.5	0.8	78.5	-0.45	-0.23	0	0	0.0	14
22.5	1.6	76.5	-0.6	-0.36	0	0	0.0	14
23.5	1.9	78.0	-0.6	-0.36	0	0	0.0	14
24.5	6.4	50.6	-4.73	-1.91	0	0	0.0	14
25.5	6.4	50.4	-4.52	-1.3	0	0	0.0	14
26.5	7.1	46.2	-5.36	-1.64	0	0	0.0	14
27.5	3.2	70.2	0.89	0.11	0	0	0.0	14
28.5	4.5	64.5	-2.12	-0.9	0	0	0.0	14
29.5	3.5	72.1	-0.58	0.14	0	0	0.0	14
30.5	3.0	74.3	-0.96	-0.72	0	0	0.0	14
31.5	2.8	74.0	0.39	-0.58	0	0	0.0	14
32.5	3.0	73.8	-0.28	-0.28	0	75	0.0	14
33.5	3.8	72.2	-0.14	-0.27	0	88	0.0	14
34.5	4.9	66.5	-0.45	-0.23	0	54	0.0	14
35.5	5.0	70.5	-2.82	-1.03	0	72	0.0	14
36.5	6.8	53.6	-5.2	-1.79	0	114	0.0	14
37.5	7.8	41.5	-7.88	-2.26	0	78	0.0	14
