#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-1.5	74.8	-0.9	0.09	0	0	0.0	14
0.5	-1.5	74.8	-0.9	0.09	0	0	0.0	14
1.5	0.4	74.8	0.28	-0.28	0	0	0.0	14
2.5	1.6	75.3	-0.5	-0.0	0	0	0.0	14
3.5	2.7	76.6	-1.0	-0.0	0	0	0.0	14
4.5	3.1	77.8	-0.2	-0.0	0	0	0.0	14
5.5	2.9	80.0	-0.27	-0.14	0	0	0.0	14
6.5	2.7	81.9	0.28	-0.28	0	0	0.0	14
7.5	2.6	84.7	-1.2	-0.1	0	0	0.0	14
8.5	2.6	88.5	-0.3	-0.0	0	15	0.0	14
9.5	2.8	90.3	-0.69	0.1	0	40	0.0	14
10.5	3.7	84.0	-0.7	-0.0	0	69	0.0	14
11.5	4.0	83.6	0.48	-0.12	0	50	0.0	14
12.5	3.5	84.8	0.3	0.4	0	40	0.0	14
13.5	3.3	89.6	0.65	0.26	0	44	0.1	14
14.5	3.2	91.3	-0.59	0.11	0	36	0.1	14
15.5	3.1	91.8	-0.91	-0.41	0	16	0.0	14
16.5	2.8	91.9	-0.18	-0.36	0	0	0.0	14
17.5	2.2	92.1	-1.08	-0.21	0	0	0.0	14
18.5	1.4	91.4	-0.35	-0.35	0	0	0.0	14
19.5	0.9	91.3	-0.6	-0.36	0	0	0.0	14
20.5	0.3	92.5	-1.2	-0.0	0	0	0.0	14
21.5	-0.1	93.0	-0.8	-0.0	0	0	0.0	14
22.5	1.2	88.8	-1.28	-0.2	0	0	0.0	14
23.5	1.5	85.8	-0.89	-0.11	0	0	0.0	14
24.5	2.2	78.5	-2.0	-0.1	0	0	0.0	14
25.5	2.8	75.5	-2.19	-0.19	0	0	0.1	14
26.5	3.6	82.0	-0.42	-0.42	0	0	0.1	14
27.5	3.5	88.8	-1.08	-0.21	0	0	0.1	14
28.5	3.5	92.4	-0.42	-0.42	0	0	0.0	14
29.5	3.6	90.8	-0.5	-0.5	0	0	0.0	14
30.5	3.7	91.8	-1.57	-0.3	0	0	0.1	14
31.5	4.1	93.2	-0.66	-0.45	0	0	0.0	14
32.5	3.9	93.3	-0.57	0.57	0	41	0.0	14
33.5	3.8	92.1	-0.8	-0.0	0	61	0.0	14
34.5	4.5	91.6	-0.78	-0.15	0	83	0.0	14
35.5	5.4	89.6	-1.1	-0.0	38	145	0.0	14
36.5	6.9	81.9	-0.8	-0.0	117	152	0.0	14
37.5	8.2	73.0	-1.18	0.21	223	125	0.0	14
38.5	6.5	80.6	1.54	0.41	0	66	0.0	14
39.5	5.5	85.9	-1.0	-0.0	0	24	0.0	14
40.5	5.4	86.6	-2.0	0.1	0	0	0.0	14
41.5	5.9	79.8	-0.65	-0.26	0	0	0.0	14
42.5	5.8	77.4	-0.79	-0.11	0	0	0.0	14
43.5	6.9	69.6	-0.62	-0.91	0	0	0.0	14
44.5	7.0	69.2	-1.34	-0.41	0	0	0.0	14
45.5	8.4	64.9	-3.48	0.37	0	0	0.0	14
46.5	7.4	74.1	1.4	0.0	0	0	0.0	14
47.5	5.2	84.9	4.4	-1.34	0	0	3.2	14
48.5	5.6	75.8	-0.22	-1.58	0	0	0.2	14
49.5	4.1	86.5	0.85	-0.85	0	0	0.0	14
50.5	3.4	87.3	-0.34	-0.5	0	0	0.0	14
51.5	2.4	90.0	0.36	-0.71	0	0	0.0	14
52.5	2.1	88.6	-0.87	-0.5	0	0	0.0	14
53.5	1.4	88.3	-0.32	-0.62	0	0	0.0	14
54.5	2.0	80.6	-0.57	-0.7	0	0	0.1	14
55.5	2.6	72.0	-1.0	-0.67	0	0	0.0	14
56.5	2.9	75.8	1.71	0.56	0	21	0.0	14
57.5	4.0	67.3	-2.7	-0.09	0	49	0.0	14
58.5	5.0	60.0	-1.2	-0.49	0	36	0.0	14
59.5	3.9	75.1	-1.2	-0.0	0	81	0.0	14
60.5	4.4	73.6	-0.0	0.8	87	152	0.0	14
61.5	4.6	69.2	-1.26	0.31	274	115	0.0	14
62.5	3.3	78.4	0.87	0.22	0	79	0.0	14
63.5	2.8	83.6	-0.58	-0.39	0	32	0.0	14
64.5	2.1	86.0	-0.54	-0.27	0	0	0.0	14
65.5	1.2	84.7	-0.9	-0.0	0	0	0.0	14
66.5	1.2	79.5	-0.9	-0.0	0	0	0.0	14
67.5	1.4	80.1	1.19	0.17	0	0	0.0	14
68.5	1.6	78.3	-1.3	-0.0	0	0	0.0	14
69.5	1.1	87.8	1.0	0.0	0	0	1.6	14
70.5	0.6	94.8	-1.4	-0.0	0	0	1.2	14
71.5	0.8	95.0	-0.69	-0.13	0	0	0.1	14
72.5	0.7	94.9	-0.45	-0.23	0	0	0.1	14
73.5	0.2	94.6	0.35	-0.35	0	0	0.0	14
74.5	-0.6	93.2	-0.86	-0.28	0	0	0.0	14
75.5	-0.6	84.2	-1.65	-0.41	0	0	0.0	14
76.5	-0.2	76.2	-1.75	-0.4	0	0	0.0	14
77.5	-0.4	75.5	-1.39	-0.2	0	0	0.0	14
78.5	0.4	67.4	-1.8	-0.09	0	0	0.0	14
79.5	4.3	47.9	-3.6	0.13	0	0	0.0	14
80.5	4.2	67.2	-2.92	-0.68	0	9	0.1	14
81.5	2.4	87.6	-1.2	-0.0	0	24	0.5	14
82.5	3.3	88.8	-2.18	-0.31	0	32	0.9	14
83.5	4.1	87.6	-1.57	-0.3	0	42	1.0	14
84.5	4.9	85.6	-0.95	-0.74	0	29	1.9	14
85.5	4.9	88.9	-2.4	0.08	0	24	1.2	14
86.5	4.6	92.2	-1.7	-0.0	0	16	1.4	14
87.5	4.5	92.9	-1.4	0.1	0	4	2.1	14
88.5	4.4	93.8	-0.86	-0.28	0	0	1.6	14
89.5	4.2	94.7	-0.48	-0.12	0	0	0.9	14
90.5	4.6	93.7	-0.71	-0.36	0	0	0.5	14
91.5	4.5	93.8	-0.77	-0.22	0	0	0.7	14
92.5	4.7	93.2	-2.3	-0.0	0	0	0.9	14
93.5	5.0	90.9	-1.0	-0.1	0	0	0.4	14
94.5	5.0	91.4	-0.87	-0.22	0	0	0.2	14
95.5	5.2	89.5	-2.07	-0.33	0	0	0.2	14
96.5	5.9	85.2	-1.14	-0.63	0	0	0.1	14
97.5	5.0	91.4	0.42	-0.42	0	0	0.1	14
98.5	4.8	92.5	-1.4	-0.1	0	0	0.4	14
99.5	4.1	92.7	-0.8	-0.41	0	0	0.0	14
100.5	3.4	92.9	-1.1	-0.1	0	0	0.0	14
101.5	3.6	90.8	-1.1	-0.0	0	0	0.0	14
102.5	3.4	89.9	-1.5	-0.0	0	0	0.0	14
103.5	5.2	79.5	-1.9	-0.0	0	0	0.0	14
104.5	5.2	78.0	-0.4	-0.0	0	42	0.0	14
105.5	5.8	78.9	-0.14	-0.27	0	134	0.0	14
106.5	5.7	75.1	-0.78	0.19	0	70	0.0	14
107.5	6.1	73.1	-1.07	0.55	263	152	0.0	14
108.5	7.8	59.3	-1.69	0.21	438	131	0.0	14
109.5	6.8	61.6	-1.29	0.14	338	111	0.0	14
110.5	5.2	65.6	-1.6	-0.11	0	27	0.0	14
111.5	4.3	77.2	-0.59	0.09	0	15	0.0	14
112.5	3.7	79.8	-0.79	-0.11	0	0	0.0	14
113.5	2.8	80.4	-1.0	0.1	0	0	0.0	14
114.5	2.5	77.0	-0.9	-0.09	0	0	0.0	14
115.5	2.3	74.4	-0.9	-0.09	0	0	0.0	14
116.5	2.0	73.0	-0.69	-0.1	0	0	0.0	14
117.5	3.0	66.1	-1.6	0.11	0	0	0.0	14
118.5	2.6	63.1	-0.69	-0.11	0	0	0.0	14
119.5	2.2	64.8	-0.9	-0.0	0	0	0.0	14
