#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	-1.5	81.4	-1.0	0.05	0	0
0.5	-1.5	81.4	-1.0	0.05	0	0
1.5	-0.9	87.1	-0.7	0.39	0	0
2.5	-0.5	90.5	-0.34	0.49	0	0
3.5	0.0	94.2	0.04	0.5	0	0
4.5	0.3	95.7	0.22	0.45	0	0
5.5	0.4	94.9	0.48	0.16	0	0
6.5	0.5	94.5	0.5	0.0	0	0
7.5	0.7	93.4	0.49	-0.1	0	0
8.5	0.7	92.0	0.22	-0.67	301	40
9.5	1.5	86.9	0.19	0.46	486	95
10.5	2.3	84.9	1.36	0.63	311	108
11.5	2.0	89.2	0.83	0.72	59	144
12.5	2.1	85.5	0.79	0.11	11	149
13.5	1.8	85.5	0.22	0.87	1	102
14.5	1.9	87.4	0.22	0.67	4	77
15.5	1.8	88.5	0.67	0.22	0	22
16.5	1.9	88.6	-0.35	0.35	0	0
17.5	1.8	86.7	0.57	-0.18	0	0
18.5	2.2	89.4	1.06	-1.7	0	0
19.5	2.2	93.1	0.32	-1.05	0	0
20.5	2.0	96.4	-0.54	-0.27	0	0
21.5	2.0	95.8	-0.09	-1.3	0	0
22.5	2.0	95.5	0.0	-0.8	0	0
23.5	2.0	95.1	-0.31	-1.16	0	0
24.5	2.0	94.8	0.14	-0.99	0	0
25.5	1.8	95.2	-0.29	-2.78	0	0
26.5	2.0	91.4	-0.3	-2.48	0	0
27.5	2.0	93.4	-0.31	-1.77	0	0
28.5	1.2	94.3	-0.22	-1.58	0	0
29.5	1.1	96.1	-1.39	-1.3	0	0
30.5	1.1	96.0	-0.95	-0.74	0	0
31.5	1.4	95.9	-2.08	-1.2	0	0
32.5	1.2	93.3	-2.3	-0.7	0	30
33.5	1.0	92.9	-1.36	-0.63	7	85
34.5	1.1	87.0	-0.79	-0.91	59	128
35.5	0.9	90.0	-1.39	-0.98	54	147
36.5	0.8	96.0	-0.8	-0.0	97	151
37.5	0.8	97.6	-0.56	-0.22	17	116
38.5	1.3	88.7	-0.21	-1.48	107	88
39.5	1.2	73.6	-0.73	-3.42	0	40
40.5	1.3	78.2	-0.22	-3.09	0	0
41.5	0.8	72.4	0.12	-2.2	0	0
42.5	0.8	67.7	0.31	-2.98	0	0
43.5	0.4	62.6	0.0	-1.9	0	0
44.5	1.2	58.5	-0.66	-0.88	0	0
45.5	0.6	69.7	-0.11	-0.59	0	0
46.5	-0.4	73.1	0.09	-0.59	0	0
47.5	-1.8	77.8	0.0	-0.4	0	0
48.5	-2.4	84.4	0.25	-0.86	0	0
49.5	0.2	71.1	0.69	0.11	0	0
50.5	0.7	66.3	0.96	0.53	0	0
51.5	-1.1	72.1	1.05	0.32	0	0
52.5	0.4	66.9	1.2	0.51	0	0
53.5	0.4	66.2	1.93	0.82	0	0
54.5	-1.1	66.5	1.48	1.2	0	0
55.5	-0.8	74.7	1.56	1.09	0	0
56.5	-0.2	68.8	1.77	0.94	289	44
57.5	3.7	54.6	1.94	1.57	576	72
58.5	6.0	45.0	2.91	2.44	708	70
59.5	6.9	41.9	2.99	2.51	765	64
60.5	7.2	42.7	2.23	2.15	760	61
61.5	6.5	42.2	0.68	1.99	723	58
62.5	6.6	43.5	1.48	1.48	526	67
63.5	5.1	48.4	1.46	1.06	0	52
64.5	5.0	47.8	1.2	0.9	0	0
65.5	4.7	48.6	0.95	0.74	0	0
66.5	3.7	55.1	0.66	0.45	0	0
67.5	3.9	46.1	1.65	0.41	0	0
68.5	4.9	34.5	1.99	0.68	0	0
69.5	5.0	29.4	2.04	0.82	0	0
70.5	5.0	27.5	1.97	1.38	0	0
71.5	4.3	37.8	2.83	1.26	0	0
72.5	4.5	29.6	4.44	1.19	0	0
73.5	4.1	31.3	5.41	1.45	0	0
74.5	3.0	47.7	6.08	0.53	0	0
75.5	3.2	52.5	3.56	2.23	0	0
76.5	2.2	59.6	1.93	2.3	0	0
77.5	2.2	58.6	2.6	1.69	0	0
78.5	2.4	60.4	2.56	1.93	0	0
79.5	0.9	67.5	1.03	1.47	0	0
80.5	1.2	69.8	-0.35	0.83	374	46
81.5	2.4	68.5	-0.31	1.16	578	73
82.5	4.2	65.0	0.68	1.88	707	67
83.5	5.5	62.7	1.8	2.14	759	60
84.5	6.5	48.7	3.03	1.75	759	60
85.5	6.6	47.7	2.99	2.51	716	55
86.5	6.1	50.0	2.59	2.78	530	66
87.5	4.9	52.7	2.33	2.33	0	46
88.5	5.1	56.4	2.01	2.23	0	0
89.5	4.8	54.5	2.88	2.33	0	0
90.5	4.7	57.4	2.48	1.87	0	0
91.5	4.3	71.2	2.91	2.12	0	0
92.5	3.8	78.3	3.68	1.56	0	0
93.5	4.0	83.1	1.54	1.97	0	0
94.5	4.0	86.9	1.74	1.51	0	0
95.5	4.3	91.4	2.1	1.53	0	0
96.5	4.2	92.5	2.35	1.52	0	0
97.5	4.6	92.9	2.74	1.65	0	0
98.5	4.5	95.3	1.88	1.94	0	0
99.5	4.7	93.8	1.94	1.41	0	0
100.5	4.5	93.1	2.39	1.02	0	0
101.5	4.4	91.8	2.32	0.62	0	0
102.5	4.2	93.1	1.6	0.58	0	0
103.5	3.7	97.3	0.32	1.05	0	0
104.5	4.0	95.5	0.7	1.21	0	23
105.5	4.2	94.4	0.68	0.87	0	61
106.5	4.6	89.5	0.88	0.66	16	110
107.5	5.5	85.3	0.66	0.88	264	139
108.5	5.1	86.4	1.56	0.66	188	143
109.5	5.3	83.3	0.67	0.22	294	110
110.5	4.6	86.3	0.09	0.18	0	60
111.5	4.0	91.4	0.2	0.0	0	35
112.5	3.6	90.1	0.59	-0.11	0	0
113.5	2.9	93.0	0.09	-0.28	0	0
114.5	2.8	93.2	0.22	-0.67	0	0
115.5	3.5	88.5	0.91	-0.62	0	0
116.5	3.6	84.6	1.0	-0.1	0	0
117.5	3.0	88.7	0.97	-0.22	0	0
118.5	2.9	86.8	0.71	-0.36	0	0
119.5	2.0	90.5	0.0	-0.6	0	0
120.5	1.8	92.1	1.05	-0.34	0	0
121.5	2.7	87.2	1.02	0.41	0	0
122.5	3.2	86.7	1.13	0.82	0	0
123.5	2.4	89.6	1.34	0.41	0	0
124.5	2.5	89.4	2.01	1.31	0	0
125.5	2.5	83.2	1.38	1.16	0	0
126.5	2.1	95.1	1.28	0.96	0	0
127.5	1.9	95.5	0.45	0.66	0	0
128.5	0.1	91.4	0.18	0.57	80	43
129.5	2.0	80.7	1.54	1.43	347	78
130.5	2.8	79.3	0.89	1.9	595	67
131.5	1.9	89.3	0.68	1.45	694	74
132.5	6.1	67.0	1.12	1.0	589	95
133.5	6.1	65.2	0.49	1.52	374	104
134.5	5.0	63.0	-0.11	0.69	385	64
135.5	5.6	54.2	0.53	0.96	0	64
136.5	4.4	52.2	1.2	0.9	0	0
137.5	3.6	54.3	1.48	0.21	0	0
138.5	3.4	57.2	1.0	-1.38	0	0
139.5	3.5	60.7	0.41	-0.8	0	0
140.5	3.3	67.0	0.88	-1.46	0	0
141.5	3.7	64.6	1.09	-0.88	0	0
142.5	3.4	71.9	-0.59	-1.38	0	0
143.5	2.3	75.5	-1.14	0.37	0	0
144.5	2.0	71.5	1.59	-0.61	0	0
145.5	1.7	77.5	0.22	-0.67	0	0
146.5	2.7	75.9	0.0	-1.0	0	0
147.5	3.0	78.1	0.78	-0.78	0	0
148.5	2.9	86.4	0.5	-0.87	0	0
149.5	3.8	85.1	0.2	0.0	0	0
150.5	2.9	87.5	0.23	-0.45	0	0
151.5	3.0	85.7	0.54	-0.27	0	0
152.5	3.7	85.9	0.28	-0.42	146	38
153.5	5.0	80.0	0.88	0.17	252	84
154.5	4.7	84.9	0.09	0.59	21	123
155.5	5.3	79.0	0.51	0.31	27	127
156.5	4.5	81.5	0.1	0.39	11	121
157.5	4.5	81.9	-1.1	-0.0	4	116
158.5	4.8	78.3	-0.42	0.42	0	69
159.5	4.7	72.1	0.58	-0.69	0	36
160.5	3.8	78.2	0.36	-0.6	0	0
161.5	2.7	85.6	-0.57	-0.7	0	0
