#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	3.1	59.0	-0.67	-3.44	0	0	0.0	14
0.5	3.1	59.0	-0.67	-3.44	0	0	0.0	14
1.5	3.0	49.4	-0.4	-3.78	0	0	0.0	14
2.5	3.0	42.9	-1.11	-3.63	0	0	0.0	14
3.5	3.0	36.3	-0.71	-3.63	0	0	0.0	14
4.5	3.0	32.6	-0.88	-3.08	0	0	0.0	14
5.5	2.6	35.1	-0.8	-2.99	0	0	0.0	14
6.5	2.4	36.7	-1.16	-2.87	0	0	0.0	14
7.5	1.2	45.3	-1.27	-3.15	0	0	0.0	14
8.5	-0.9	59.8	-0.82	-1.6	329	47	0.0	14
9.5	-3.0	77.6	0.0	-1.5	520	65	0.0	14
10.5	2.1	51.4	-0.61	-1.59	746	63	0.0	14
11.5	4.8	33.9	-0.79	-2.05	800	61	0.0	14
12.5	4.3	38.9	-0.94	-1.77	795	61	0.0	14
13.5	1.9	55.5	-1.61	-1.5	750	57	0.0	14
14.5	0.9	55.7	-1.63	-1.63	559	62	0.0	14
15.5	1.3	48.1	-1.5	-3.38	0	54	0.0	14
16.5	-0.2	57.1	-0.77	-3.1	0	0	0.0	14
17.5	-0.5	55.1	-0.73	-2.91	0	0	0.0	14
18.5	-1.4	62.9	-1.01	-2.93	0	0	0.0	14
19.5	-2.4	72.6	-0.59	-3.04	0	0	0.0	14
20.5	-3.0	76.7	-0.2	-2.79	0	0	0.0	14
21.5	-3.3	81.2	0.0	-2.0	0	0	0.0	14
22.5	-3.5	79.6	-0.5	-0.62	0	0	0.0	14
23.5	-5.3	91.9	0.69	-0.4	0	0	0.0	14
24.5	-5.9	90.9	-0.22	-0.87	0	0	0.0	14
25.5	-6.0	94.3	-0.45	-0.78	0	0	0.0	14
26.5	-5.6	94.0	0.77	-0.22	0	0	0.0	14
27.5	-5.3	92.9	0.81	0.59	0	0	0.0	14
28.5	-5.7	92.5	0.38	-0.12	0	0	0.0	14
29.5	-6.1	87.0	0.67	-0.22	0	0	0.0	14
30.5	-5.7	86.2	0.67	0.22	0	0	0.0	14
31.5	-5.8	86.5	0.69	0.58	0	0	0.0	14
32.5	-5.9	79.0	0.67	0.22	0	30	0.0	14
33.5	-5.6	81.7	0.5	0.5	6	82	0.0	14
34.5	-4.8	83.7	0.1	0.39	154	143	0.0	14
35.5	-4.5	86.2	-0.12	0.38	214	145	0.0	14
36.5	-4.3	87.7	-0.1	0.39	191	165	0.0	14
37.5	-4.8	87.6	-0.1	0.49	106	138	0.0	14
38.5	-5.1	85.5	-0.22	0.56	8	90	0.0	14
39.5	-5.5	87.9	-0.12	0.38	0	35	0.0	14
40.5	-6.1	86.6	-0.12	0.38	0	0	0.0	14
41.5	-6.6	89.1	-0.19	0.46	0	0	0.0	14
42.5	-6.7	83.1	-0.22	0.67	0	0	0.0	14
43.5	-4.5	79.7	-0.28	0.86	0	0	0.0	14
44.5	-3.0	67.6	0.87	-0.22	0	0	0.0	14
45.5	-0.5	45.4	0.32	-0.62	0	0	0.0	14
