#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	6.0	90.3	0.4	1.86	0	0
0.5	6.0	90.3	0.4	1.86	0	0
1.5	6.2	91.3	0.04	1.2	0	0
2.5	6.3	91.5	0.06	0.6	0	0
3.5	6.4	91.4	0.04	0.4	0	0
4.5	6.4	91.2	0.04	0.3	0	0
5.5	6.2	91.1	0.11	0.38	0	0
6.5	6.0	90.7	0.2	0.46	0	0
7.5	5.8	90.1	0.15	0.68	0	0
8.5	5.4	90.7	0.41	0.8	0	39
9.5	7.0	85.0	-0.85	0.85	447	86
10.5	7.9	81.0	0.79	-0.11	675	58
11.5	8.6	75.9	0.97	0.24	710	56
12.5	8.6	75.5	0.69	0.1	540	95
13.5	7.8	75.6	1.41	-0.51	0	145
14.5	8.0	73.0	1.08	-0.19	0	78
15.5	7.5	75.4	-0.28	0.86	0	27
16.5	7.2	73.9	0.4	0.0	0	0
17.5	7.1	74.7	0.74	0.3	0	0
18.5	6.9	79.0	0.32	1.67	0	0
19.5	7.0	77.4	-1.7	1.83	0	0
20.5	6.7	77.4	1.67	-0.32	0	0
21.5	6.5	79.0	0.23	0.45	0	0
22.5	6.6	79.6	-0.56	0.83	0	0
23.5	6.3	81.1	0.85	0.85	0	0
24.5	6.4	80.7	0.14	0.27	0	0
25.5	6.4	80.5	-0.45	0.66	0	0
26.5	6.7	79.5	-0.78	0.78	0	0
27.5	7.6	81.9	-1.92	1.61	0	0
28.5	8.3	83.6	-0.54	2.34	0	0
29.5	9.3	81.4	0.76	0.93	0	0
30.5	8.5	84.2	0.64	-0.64	0	0
31.5	8.0	91.2	0.89	0.45	0	0
32.5	10.2	85.5	-1.24	4.33	0	11
33.5	9.4	89.3	1.18	-0.19	0	23
34.5	8.9	90.7	0.87	-0.5	0	28
35.5	9.0	92.2	-0.85	0.98	0	34
36.5	9.7	90.9	1.5	0.0	0	54
37.5	10.2	90.4	1.1	-0.49	0	67
