#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-0.8	91.7	0.28	0.28	0	0	0.0	14
0.5	-0.8	91.7	0.28	0.28	0	0	0.0	14
1.5	-1.0	91.4	0.28	0.28	0	0	0.0	14
2.5	-1.1	91.4	-0.14	0.14	0	0	0.0	14
3.5	-1.3	91.3	-0.0	-0.3	0	0	0.0	14
4.5	-1.3	91.3	0.33	-0.22	0	0	0.0	14
5.5	-1.3	91.4	-0.36	0.71	0	0	0.0	14
6.5	-1.4	91.6	0.54	0.27	0	0	0.0	14
7.5	-1.3	91.3	0.25	0.76	0	0	0.0	14
8.5	-1.2	91.1	-0.0	0.6	0	37	0.0	14
9.5	-0.8	89.7	0.14	-0.14	0	72	0.0	14
10.5	0.1	87.7	0.12	0.38	127	119	0.0	14
11.5	1.2	83.5	1.38	-0.59	543	193	0.0	14
12.5	1.3	83.1	1.47	-0.29	183	152	0.0	14
13.5	1.6	81.6	0.48	0.16	0	128	0.0	14
14.5	1.6	84.1	-0.22	0.33	0	61	0.0	14
15.5	1.5	88.0	0.07	-0.07	0	20	0.0	14
16.5	1.4	88.9	-0.14	0.14	0	0	0.0	14
17.5	1.2	90.4	-0.0	-0.0	0	0	0.0	14
18.5	1.3	91.5	0.38	-0.12	0	0	0.0	14
19.5	1.5	91.1	0.56	-0.22	0	0	0.0	14
20.5	1.2	93.9	-0.56	0.42	0	0	0.0	14
21.5	1.3	93.5	0.28	0.28	0	0	0.0	14
22.5	1.5	92.7	0.78	0.19	0	0	0.0	14
23.5	1.3	94.1	-0.45	0.89	0	0	0.1	14
24.5	1.2	94.7	-0.12	0.38	0	0	0.0	14
25.5	1.4	93.7	-0.0	0.2	0	0	0.0	14
26.5	1.4	94.7	-0.0	-0.0	0	0	0.2	14
27.5	1.4	95.0	-0.22	0.33	0	0	0.1	14
28.5	1.4	94.6	0.1	0.0	0	0	0.0	14
29.5	1.6	93.9	0.2	0.0	0	0	0.1	14
30.5	1.5	94.1	0.0	-0.4	0	0	0.0	14
31.5	1.2	93.9	0.21	0.21	0	0	0.0	14
32.5	1.0	93.3	0.4	-0.3	0	36	0.0	14
33.5	1.1	93.4	-0.18	0.36	421	77	0.0	14
34.5	1.4	92.8	-0.99	0.99	630	73	0.0	14
35.5	2.1	86.5	-0.0	0.5	729	79	0.0	14
36.5	2.5	85.9	0.1	0.0	571	121	0.0	14
37.5	2.2	84.2	-0.0	0.1	0	128	0.0	14
38.5	1.8	85.3	0.69	-0.11	0	30	0.0	14
39.5	1.2	86.9	-0.0	0.1	0	17	0.0	14
40.5	0.1	89.8	-0.51	0.31	0	0	0.0	14
41.5	0.1	85.8	-0.0	0.4	0	0	0.0	14
42.5	-0.6	86.0	-0.07	-0.07	0	0	0.0	14
43.5	-1.5	89.2	-0.14	0.14	0	0	0.0	14
44.5	-1.5	88.0	0.0	-0.2	0	0	0.0	14
45.5	-2.4	91.3	-0.0	-0.2	0	0	0.0	14
46.5	-2.1	89.3	0.3	0.0	0	0	0.0	14
47.5	-2.6	89.9	-0.0	-0.1	0	0	0.0	14
48.5	-3.1	91.3	-0.0	-0.2	0	0	0.0	14
49.5	-3.2	90.9	-0.14	0.14	0	0	0.0	14
50.5	-3.4	90.9	-0.0	-0.0	0	0	0.0	14
51.5	-3.9	92.4	-0.0	-0.0	0	0	0.0	14
52.5	-3.9	93.5	0.1	0.0	0	0	0.0	14
53.5	-4.7	94.4	-0.0	-0.0	0	0	0.0	14
54.5	-4.5	94.2	0.2	0.0	0	0	0.0	14
55.5	-4.4	93.2	0.07	0.07	0	0	0.0	14
56.5	-4.6	94.1	0.27	-0.14	0	32	0.0	14
57.5	-3.8	91.1	-0.0	0.5	526	88	0.0	14
58.5	-1.8	82.8	0.42	0.42	734	62	0.0	14
59.5	-0.8	81.4	-0.07	0.07	766	61	0.0	14
60.5	-0.1	78.0	1.73	-0.5	579	120	0.0	14
61.5	-0.4	80.5	0.18	0.36	0	130	0.0	14
62.5	-0.4	79.0	0.9	0.0	0	30	0.0	14
63.5	-1.0	84.8	2.4	-0.69	0	14	0.0	14
64.5	-2.1	89.2	-0.48	0.36	0	0	0.0	14
65.5	-2.6	90.4	-0.0	0.4	0	0	0.0	14
66.5	-2.9	91.2	-0.0	-0.1	0	0	0.0	14
67.5	-3.1	91.2	-0.21	0.21	0	0	0.0	14
68.5	-3.7	92.0	-0.18	0.09	0	0	0.0	14
69.5	-3.6	92.0	0.3	0.0	0	0	0.0	14
70.5	-4.0	91.3	-0.21	0.21	0	0	0.0	14
71.5	-3.5	89.8	-0.0	0.6	0	0	0.0	14
72.5	-3.7	89.6	0.8	0.0	0	0	0.0	14
73.5	-4.2	92.2	-0.14	0.14	0	0	0.0	14
74.5	-4.5	94.1	0.1	0.0	0	0	0.0	14
75.5	-4.2	93.3	-0.35	0.35	0	0	0.0	14
76.5	-4.2	92.5	-0.39	0.58	0	0	0.0	14
