#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	5.0	78.1	-0.0	-0.2	0	0	0.0	14
0.5	5.0	78.1	-0.0	-0.2	0	0	0.0	14
1.5	4.8	75.4	-0.0	0.9	0	0	0.0	14
2.5	4.5	74.4	0.58	-0.14	0	0	0.0	14
3.5	4.3	73.6	0.21	0.21	0	0	0.0	14
4.5	4.0	74.3	-0.0	0.3	0	0	0.0	14
5.5	3.8	76.5	-0.19	0.78	0	0	0.0	14
6.5	3.6	79.1	0.5	-0.5	0	0	0.0	14
7.5	3.6	81.1	-0.0	0.5	0	0	0.0	14
8.5	3.7	82.5	0.28	-0.09	0	17	0.0	14
9.5	4.1	84.8	0.18	0.09	0	39	0.0	14
10.5	5.7	79.2	-0.3	0.74	0	80	0.0	14
11.5	6.3	74.9	0.78	-0.63	0	91	0.0	14
12.5	6.1	77.9	1.76	-1.32	0	77	0.0	14
13.5	6.1	82.7	2.52	-2.71	0	50	0.0	14
14.5	6.1	87.0	-0.16	0.99	0	28	0.0	14
15.5	5.6	90.7	-0.47	1.1	0	10	0.0	14
16.5	5.2	91.1	1.15	0.33	0	0	0.0	14
17.5	4.6	92.2	-0.22	0.67	0	0	0.0	14
18.5	4.0	92.9	0.4	0.0	0	0	0.0	14
19.5	3.1	93.9	0.67	0.22	0	0	0.0	14
20.5	2.2	94.6	-0.42	0.42	0	0	0.0	14
21.5	2.0	95.8	0.89	0.12	0	0	0.0	14
22.5	1.6	96.3	0.67	-0.22	0	0	0.0	14
23.5	2.3	93.8	0.34	1.05	0	0	0.0	14
24.5	2.2	91.2	0.89	0.45	0	0	0.0	14
25.5	3.0	85.6	-0.31	0.51	0	0	0.0	14
26.5	3.0	86.9	0.42	0.42	0	0	0.0	14
27.5	3.9	83.6	0.35	0.35	0	0	0.0	14
28.5	4.0	85.0	1.11	-0.45	0	0	0.0	14
29.5	3.9	84.9	-0.3	0.74	0	0	0.0	14
30.5	3.8	88.4	-0.84	0.71	0	0	0.0	14
31.5	3.9	89.0	-0.32	0.62	0	0	0.0	14
32.5	4.4	87.2	-0.39	0.58	0	39	0.0	14
33.5	5.1	83.5	-0.18	0.36	21	95	0.0	14
34.5	5.4	82.1	0.4	0.0	15	124	0.0	14
35.5	6.8	72.1	0.71	0.36	58	153	0.0	14
36.5	7.2	69.9	1.53	-0.95	18	134	0.0	14
37.5	7.7	68.6	-0.56	0.83	0	138	0.0	14
38.5	7.5	69.6	1.29	-0.55	0	56	0.0	14
39.5	6.4	76.3	0.99	0.99	0	20	0.0	14
40.5	6.6	76.7	-0.15	1.19	0	0	0.0	14
41.5	8.8	65.6	-2.1	1.7	0	0	0.0	14
42.5	7.7	72.4	0.34	0.83	0	0	0.0	14
43.5	7.2	75.5	1.01	1.24	0	0	0.0	14
44.5	7.2	78.4	-0.17	1.89	0	0	0.0	14
45.5	7.2	81.4	-0.74	2.28	0	0	0.1	14
46.5	7.8	80.5	1.79	-0.19	0	0	0.0	14
47.5	7.9	78.8	3.49	-6.3	0	0	2.0	14
48.5	7.2	80.6	3.17	-2.76	0	0	0.9	14
49.5	7.1	77.2	5.04	-1.64	0	0	0.0	14
50.5	6.9	78.0	3.63	-0.71	0	0	0.0	14
51.5	5.4	88.2	0.36	0.71	0	0	0.0	14
52.5	4.2	94.1	0.25	1.28	0	0	0.0	14
53.5	4.0	93.8	0.36	-0.18	0	0	0.0	14
54.5	3.6	93.8	-0.36	0.71	0	0	0.0	14
55.5	4.6	90.1	-0.47	1.21	0	0	0.0	14
56.5	4.5	87.8	2.45	-1.14	0	52	0.0	14
57.5	5.5	84.0	-1.07	1.19	26	95	0.0	14
58.5	6.1	81.0	2.18	-1.59	0	93	0.0	14
59.5	5.8	77.6	5.89	-2.75	0	49	0.4	14
60.5	5.6	78.7	3.25	-0.57	14	131	0.0	14
61.5	5.2	82.3	2.58	-1.32	0	102	0.0	14
62.5	5.1	80.4	2.36	0.42	0	42	0.0	14
63.5	4.3	84.9	0.13	0.69	0	17	0.0	14
64.5	4.2	86.8	-0.22	0.87	0	0	0.0	14
65.5	3.6	88.9	0.39	0.58	0	0	0.0	14
66.5	3.1	90.2	-0.64	0.64	0	0	0.0	14
67.5	2.6	91.1	0.9	0.0	0	0	0.0	14
68.5	2.5	91.3	0.98	0.5	0	0	0.0	14
69.5	2.3	91.9	-0.0	0.9	0	0	0.0	14
70.5	2.8	92.5	2.12	-0.61	0	0	0.2	14
71.5	3.0	93.3	2.68	-1.74	0	0	1.7	14
72.5	2.6	93.1	-0.75	1.41	0	0	0.3	14
73.5	2.3	93.9	-0.72	0.54	0	0	0.0	14
74.5	2.2	94.9	-0.51	1.2	0	0	0.0	14
75.5	1.9	95.3	-0.7	1.21	0	0	0.0	14
76.5	1.8	95.3	-0.8	1.27	0	0	0.0	14
77.5	1.7	93.9	1.7	-0.12	0	0	0.0	14
78.5	1.6	92.0	1.35	-0.36	0	0	0.0	14
79.5	1.3	92.8	-0.5	0.87	0	0	0.0	14
80.5	1.8	91.1	0.34	0.5	0	9	0.0	14
81.5	1.9	91.3	-0.31	1.26	0	20	0.7	14
82.5	2.4	92.7	0.78	-0.15	0	27	1.5	14
83.5	2.6	93.4	0.48	-0.12	0	23	1.7	14
84.5	2.6	94.8	0.14	-0.14	0	25	0.9	14
85.5	2.7	95.1	0.3	0.0	0	17	0.9	14
86.5	2.9	95.6	-0.56	0.83	0	14	0.9	14
87.5	2.9	95.8	0.5	0.0	0	6	0.7	14
88.5	3.1	95.7	-0.58	0.93	0	0	0.6	14
89.5	3.3	95.8	-1.12	1.54	0	0	0.6	14
90.5	3.5	95.4	0.97	-0.24	0	0	0.5	14
91.5	3.6	95.5	-0.32	0.62	0	0	0.6	14
92.5	4.2	95.7	1.12	0.43	0	0	0.3	14
93.5	5.1	95.3	0.71	0.36	0	0	0.2	14
94.5	5.5	95.7	0.95	-0.31	0	0	0.1	14
95.5	5.5	95.1	1.06	-0.3	0	0	0.3	14
96.5	4.9	95.3	0.89	-0.14	0	0	0.3	14
97.5	4.7	95.5	0.42	-0.42	0	0	0.2	14
98.5	4.6	95.3	-0.64	0.64	0	0	0.2	14
99.5	4.5	95.3	0.8	0.0	0	0	0.1	14
100.5	4.3	95.0	0.58	0.14	0	0	0.0	14
101.5	4.2	94.9	-0.0	0.5	0	0	0.0	14
102.5	4.3	95.2	-0.64	0.64	0	0	0.0	14
103.5	4.2	95.2	-0.26	0.65	0	0	0.0	14
104.5	5.2	94.5	-0.12	0.99	0	44	0.0	14
105.5	6.4	97.7	0.5	0.75	367	91	0.0	14
106.5	6.6	88.8	1.72	-1.2	474	95	0.0	14
107.5	7.6	76.0	0.78	0.19	555	94	0.0	14
108.5	8.5	77.2	1.12	1.66	358	141	0.0	14
109.5	8.1	74.5	1.5	0.1	0	127	0.0	14
110.5	7.1	76.9	0.86	0.28	0	30	0.0	14
111.5	6.9	78.8	-0.99	0.99	0	13	0.0	14
112.5	6.7	79.1	-0.5	0.75	0	0	0.0	14
113.5	6.3	76.5	0.85	0.85	0	0	0.0	14
114.5	4.7	82.5	0.62	0.32	0	0	0.0	14
115.5	3.8	86.1	0.5	0.5	0	0	0.0	14
116.5	3.2	88.2	-0.0	0.4	0	0	0.0	14
117.5	2.9	89.3	0.28	-0.28	0	0	0.0	14
118.5	2.5	90.3	0.5	0.0	0	0	0.0	14
119.5	2.1	86.3	0.62	0.32	0	0	0.0	14
120.5	3.1	77.3	-0.0	1.1	0	0	0.0	14
121.5	3.9	66.8	-0.7	-0.0	0	0	0.0	14
122.5	6.4	53.0	-1.1	0.69	0	0	0.0	14
123.5	13.6	26.3	-10.88	9.13	0	0	0.0	14
124.5	14.4	18.9	-14.33	8.96	0	0	0.0	14
125.5	14.2	19.6	-13.02	9.12	0	0	0.0	14
126.5	14.3	19.2	-12.69	9.91	0	0	0.0	14
127.5	14.5	19.1	-12.03	10.09	0	0	0.0	14
128.5	14.9	18.5	-12.82	10.38	0	53	0.0	14
129.5	15.6	17.6	-10.85	9.77	231	97	0.0	14
130.5	16.0	18.0	-10.41	8.43	243	134	0.0	14
131.5	16.6	17.6	-9.79	7.11	523	119	0.0	14
132.5	16.5	18.0	-9.74	7.34	275	140	0.0	14
133.5	14.9	20.4	-4.93	5.11	0	98	0.0	14
134.5	11.6	30.4	7.75	-2.37	0	51	0.0	14
135.5	9.1	59.2	8.26	-7.71	0	20	0.0	14
136.5	7.4	70.4	2.02	-8.77	0	0	0.0	14
137.5	5.2	83.5	5.14	-6.13	0	0	1.5	14
138.5	4.0	89.3	11.6	-3.77	0	0	1.3	14
139.5	3.7	91.1	10.27	-3.34	0	0	0.3	14
140.5	3.7	90.1	3.37	-2.83	0	0	0.1	14
141.5	3.8	91.0	1.09	-0.88	0	0	0.7	14
142.5	3.3	92.5	-0.0	2.0	0	0	1.1	14
143.5	2.9	92.9	-2.09	2.02	0	0	0.8	14
144.5	2.6	94.2	-1.7	1.7	0	0	0.3	14
145.5	2.6	94.2	0.93	0.38	0	0	0.0	14
146.5	2.7	94.5	0.17	1.09	0	0	0.0	14
147.5	2.7	94.8	-0.86	0.69	0	0	0.0	14
148.5	2.6	94.7	0.48	0.16	0	0	0.0	14
149.5	2.1	95.4	0.88	0.17	0	0	0.0	14
150.5	1.9	95.0	0.32	0.62	0	0	0.0	14
151.5	1.4	95.2	-0.59	1.16	0	0	0.0	14
152.5	1.9	94.5	-0.0	0.8	0	24	0.0	14
153.5	3.0	94.2	-0.78	0.78	441	94	0.0	14
154.5	4.3	74.4	-1.61	1.01	454	127	0.0	14
155.5	4.8	71.1	3.66	-1.33	15	144	0.0	14
156.5	4.8	67.5	8.65	-2.81	0	93	0.0	14
157.5	3.1	81.8	7.46	-3.64	0	40	0.6	14
158.5	2.4	82.0	5.55	-1.7	0	17	0.4	14
159.5	2.4	86.0	-1.95	2.41	0	19	0.0	14
160.5	2.2	88.5	2.52	-1.63	0	0	0.2	14
161.5	1.6	91.3	2.66	-2.85	0	0	0.5	14
