#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-8.9	70.6	4.66	-2.92	0	0	50	1.4	80
0.5	-8.9	70.6	4.66	-2.92	0	0	50	1.4	80
1.5	-8.6	79.0	4.9	-1.41	0	0	58	1.6	80
2.5	-8.3	84.7	5.2	-1.79	0	0	67	2.0	80
3.5	-8.0	90.1	4.51	-1.64	0	0	75	1.8	80
4.5	-7.8	92.7	5.52	-2.82	0	0	83	1.7	80
5.5	-7.8	92.7	6.46	-4.19	0	0	92	4.8	80
6.5	-7.8	92.7	5.89	-3.4	0	0	100	0.6	80
7.5	-7.7	92.8	6.35	-2.44	0	0	100	0.3	80
8.5	-7.7	92.8	7.33	-2.67	0	36	100	1.7	80
9.5	-7.4	93.1	6.66	-2.16	0	105	100	0.3	80
10.5	-7.2	93.2	7.47	-2.57	0	136	100	0.6	80
11.5	-7.0	93.4	5.75	-2.81	0	118	100	0.4	80
12.5	-7.0	93.4	7.57	-3.86	0	76	100	0.4	80
13.5	-6.9	93.5	8.13	-2.48	0	91	100	0.2	80
14.5	-6.8	93.6	6.07	-2.33	0	35	100	0.1	80
15.5	-6.6	93.7	4.92	-5.66	0	19	100	0.3	80
16.5	-6.8	93.6	5.32	-5.7	0	0	100	0.5	80
17.5	-7.1	93.4	7.46	-6.04	0	0	100	0.9	80
18.5	-7.0	93.2	6.69	-4.02	0	0	100	0.4	80
19.5	-7.1	93.3	5.47	-2.91	0	0	97	0.0	80
20.5	-7.1	93.3	4.46	-4.31	0	0	94	0.1	80
21.5	-7.0	93.4	4.86	-2.58	0	0	91	0.1	80
22.5	-7.2	93.3	3.96	-4.9	0	0	88	0.0	80
23.5	-7.0	93.4	6.62	-4.3	0	0	84	0.0	80
24.5	-7.2	93.2	6.45	-3.43	0	0	81	0.0	80
25.5	-7.4	93.0	5.82	-4.07	0	0	78	0.0	80
26.5	-7.6	92.4	3.8	-3.55	0	0	75	0.0	80
27.5	-7.8	92.2	3.22	-3.7	0	0	72	0.0	80
28.5	-7.6	90.3	2.88	-2.17	0	0	69	0.0	80
29.5	-8.0	89.6	1.91	-1.29	0	0	66	0.0	80
30.5	-8.1	91.9	1.41	-2.76	0	0	62	0.0	80
31.5	-7.9	92.6	2.83	-3.5	0	0	69	0.0	80
32.5	-7.8	92.7	4.79	-1.74	0	34	75	0.0	80
33.5	-7.7	92.8	4.98	-1.81	0	62	81	0.0	80
34.5	-7.6	92.9	5.2	-1.01	0	118	88	0.0	80
35.5	-7.5	93.0	5.07	-1.55	0	116	94	0.0	80
36.5	-7.5	93.0	4.9	-1.41	0	118	100	0.0	80
37.5	-7.4	93.0	4.81	-0.94	0	105	100	0.0	80
38.5	-7.4	93.0	4.28	-0.38	0	65	100	0.0	80
39.5	-7.5	93.0	5.28	-1.12	0	25	100	0.0	80
40.5	-7.8	92.8	6.0	0.1	0	0	100	0.0	80
41.5	-7.7	92.8	6.21	-2.77	0	0	100	0.0	80
42.5	-7.5	91.9	5.37	-0.56	0	0	100	0.0	80
43.5	-7.5	92.2	5.4	-0.19	0	0	100	0.0	80
44.5	-7.5	92.8	4.49	0.24	0	0	100	0.0	80
45.5	-7.2	91.3	2.0	-0.1	0	0	100	0.3	80
46.5	-6.7	90.8	0.46	-0.19	0	0	100	0.3	80
47.5	-6.3	90.1	0.0	-0.1	0	0	100	0.6	80
48.5	-6.8	92.3	-3.1	-0.11	0	0	100	0.4	80
49.5	-7.0	92.0	-1.2	0.1	0	0	100	0.2	80
50.5	-6.9	92.9	-2.5	-0.0	0	0	100	1.8	80
51.5	-7.4	90.2	-2.22	0.6	0	0	100	0.4	80
52.5	-7.9	92.7	-7.67	0.67	0	0	100	2.4	80
53.5	-8.2	92.3	-9.38	0.66	0	0	100	0.3	80
54.5	-8.0	92.3	-10.64	1.12	0	0	100	0.1	80
55.5	-8.2	92.3	-8.62	1.21	0	0	100	0.2	80
56.5	-8.0	92.5	-2.69	1.09	0	29	100	0.1	80
57.5	-7.3	87.2	-2.08	0.72	0	82	100	0.1	80
58.5	-6.5	88.2	-2.0	0.1	0	192	100	0.3	80
59.5	-6.2	85.6	-2.93	0.62	0	223	100	0.4	80
60.5	-5.7	83.9	-1.5	-0.0	0	229	100	0.3	80
61.5	-5.7	89.4	-1.53	-0.47	69	140	100	1.0	80
62.5	-5.0	90.4	-1.27	0.29	0	92	100	1.3	80
63.5	-4.0	90.8	-3.05	0.54	0	36	100	2.0	80
64.5	-3.4	87.6	-2.68	0.82	0	0	100	1.1	80
65.5	-3.4	87.2	-2.05	1.91	0	0	100	0.6	80
66.5	-4.2	94.9	-5.07	1.55	0	0	100	1.5	80
67.5	-5.1	95.1	-10.36	0.91	0	0	98	0.9	80
68.5	-5.2	75.5	-9.28	0.65	0	0	96	0.0	80
69.5	-5.2	77.1	-7.68	1.35	0	0	94	0.0	80
70.5	-5.0	72.8	-5.51	2.11	0	0	92	0.0	80
71.5	-4.1	65.3	-0.97	0.22	0	0	90	0.0	80
72.5	-4.6	72.6	-0.69	0.11	0	0	88	0.4	80
73.5	-5.5	89.9	-1.9	-0.0	0	0	85	1.2	80
74.5	-4.0	88.2	-2.95	0.52	0	0	83	0.7	80
75.5	-1.4	73.7	-3.72	2.15	0	0	81	0.1	80
76.5	-0.9	75.9	-4.14	3.47	0	0	79	0.1	80
77.5	-2.5	95.7	-7.46	4.48	0	0	77	0.3	80
78.5	-2.3	92.5	-5.43	3.39	0	0	75	0.0	80
79.5	-1.7	85.5	-2.76	1.17	0	0	71	0.0	80
80.5	-2.9	96.8	-5.75	2.32	0	36	67	0.0	80
81.5	-2.2	90.7	-4.85	2.37	0	43	62	0.0	80
82.5	-1.6	86.2	-4.37	2.22	0	59	58	0.0	80
83.5	-1.6	90.2	-6.11	3.82	0	131	54	0.0	80
84.5	-1.3	88.5	-5.6	3.1	0	246	50	0.0	80
85.5	-1.8	94.0	-4.73	1.63	553	92	42	3.1	80
86.5	-1.6	98.0	-6.11	2.22	0	236	33	0.0	80
87.5	-1.3	92.0	-4.58	1.06	0	65	25	0.0	80
88.5	-1.4	90.9	-3.69	0.92	0	0	17	0.0	80
89.5	-1.8	89.3	-4.52	1.3	0	0	8	0.0	80
90.5	-1.7	82.5	-4.82	1.95	0	0	0	0.0	80
91.5	-1.3	75.4	-4.45	1.8	0	0	0	0.0	80
92.5	-2.4	82.3	-4.3	-0.08	0	0	0	0.0	80
93.5	-2.3	86.6	-6.3	1.11	0	0	0	0.0	80
94.5	-2.2	76.3	-4.66	-0.57	0	0	0	0.0	80
95.5	0.3	43.5	-2.22	-0.6	0	0	0	0.0	80
96.5	1.8	20.1	-0.67	-0.19	0	0	0	0.0	80
97.5	2.4	15.2	-0.39	-0.1	0	0	0	0.0	80
98.5	3.1	14.1	-0.07	-0.07	0	0	0	0.0	80
99.5	2.9	15.1	-0.1	-0.0	0	0	0	0.0	80
100.5	2.0	19.4	0.39	-0.1	0	0	0	0.0	80
101.5	2.0	19.9	1.89	-0.2	0	0	0	0.0	80
102.5	2.5	19.9	2.9	0.0	0	0	0	0.0	80
103.5	2.9	22.5	0.2	0.0	0	0	6	0.0	80
104.5	3.8	15.8	-0.0	-0.0	0	36	12	0.0	80
105.5	3.7	23.1	-0.14	-0.14	0	93	19	0.0	80
106.5	4.2	24.9	0.79	0.1	0	181	25	0.0	80
107.5	3.8	22.9	-0.38	-0.12	0	88	31	0.0	80
108.5	4.2	19.1	-0.1	-0.0	0	206	38	0.0	80
109.5	4.6	25.4	1.37	0.29	513	185	31	0.0	80
110.5	4.3	26.5	0.49	0.1	0	154	25	0.0	80
111.5	4.2	27.1	0.84	0.32	0	36	19	0.0	80
112.5	3.3	30.2	0.87	0.22	0	0	12	0.0	80
113.5	3.3	31.2	1.32	0.7	0	0	6	0.0	80
114.5	3.6	29.8	1.4	0.1	0	0	0	0.0	80
115.5	2.9	31.2	1.2	-0.1	0	0	0	0.0	80
116.5	3.1	28.5	1.3	-0.09	0	0	0	0.0	80
117.5	3.0	27.0	1.5	-0.1	0	0	0	0.0	80
118.5	3.2	25.8	1.57	-0.3	0	0	0	0.0	80
119.5	3.4	24.9	2.5	0.0	0	0	0	0.0	80
120.5	3.2	25.2	1.9	0.1	0	0	0	0.0	80
121.5	2.9	25.4	1.7	-0.09	0	0	0	0.0	80
122.5	2.9	25.1	3.19	0.22	0	0	0	0.0	80
123.5	3.5	23.2	3.8	0.13	0	0	0	0.0	80
124.5	3.2	21.8	1.0	0.0	0	0	0	0.0	80
125.5	2.8	18.9	0.79	-0.1	0	0	0	0.0	80
126.5	3.0	21.0	1.1	-0.1	0	0	0	0.0	80
127.5	3.1	19.0	1.55	-0.39	0	0	0	0.0	80
128.5	3.0	19.7	0.98	-0.19	0	23	0	0.0	80
129.5	3.0	17.4	1.0	0.0	0	36	0	0.0	80
130.5	4.0	11.3	1.47	0.31	0	48	0	0.0	80
131.5	4.9	12.2	1.76	0.71	0	57	0	0.0	80
132.5	5.1	12.8	0.78	0.19	0	209	0	0.0	80
133.5	5.9	11.5	0.35	0.35	516	189	0	0.0	80
134.5	5.2	12.3	0.74	0.31	0	142	0	0.0	80
135.5	4.9	13.6	-0.0	-0.0	0	32	0	0.0	80
136.5	4.3	14.2	0.18	0.09	0	0	0	0.0	80
137.5	4.1	14.3	0.48	0.12	0	0	0	0.0	80
138.5	3.9	14.2	0.07	0.07	0	0	0	0.0	80
139.5	3.5	14.1	0.09	0.18	0	0	0	0.0	80
140.5	2.8	16.2	0.3	0.0	0	0	0	0.0	80
141.5	2.8	15.0	0.1	0.0	0	0	0	0.0	80
142.5	2.7	18.0	2.09	-0.22	0	0	0	0.0	80
143.5	1.8	21.5	0.46	-0.19	0	0	0	0.0	80
144.5	1.9	20.4	0.39	0.1	0	0	0	0.0	80
145.5	1.9	17.8	0.2	0.0	0	0	0	0.0	80
146.5	1.2	22.2	0.18	0.09	0	0	0	0.0	80
147.5	1.5	19.4	-0.0	0.5	0	0	0	0.0	80
148.5	0.5	23.8	0.18	-0.09	0	0	0	0.0	80
149.5	1.2	20.3	-0.0	-0.0	0	0	0	0.0	80
150.5	0.9	25.4	-0.0	-0.0	0	0	0	0.0	80
151.5	0.8	26.1	0.1	0.0	0	0	2	0.0	80
152.5	0.8	25.7	0.79	0.11	0	24	4	0.0	80
153.5	1.5	26.7	4.0	0.0	0	62	6	0.0	80
154.5	1.4	28.4	5.55	-0.78	0	183	8	0.0	80
155.5	1.5	30.8	7.5	-0.26	0	90	10	0.0	80
156.5	0.9	32.4	3.16	0.5	0	215	12	0.0	80
157.5	0.5	35.2	1.13	0.41	519	205	12	0.0	80
158.5	-1.3	40.8	-0.39	0.1	0	155	12	0.0	80
159.5	-1.6	39.8	-1.88	-0.3	0	53	12	0.0	80
160.5	-1.2	40.3	-2.01	-0.61	0	0	12	0.0	80
161.5	-1.8	42.2	-0.83	-0.72	0	0	12	0.0	80
162.5	-2.1	44.1	-0.45	-0.23	0	0	12	0.0	80
163.5	-1.9	50.5	0.14	-0.14	0	0	20	0.0	80
164.5	-1.5	49.4	4.94	-1.61	0	0	27	0.0	80
165.5	-1.3	43.4	1.64	-0.95	0	0	34	0.0	80
166.5	-1.5	45.5	1.39	-0.56	0	0	42	0.0	80
167.5	-0.7	46.0	-0.56	-0.22	0	0	49	0.0	80
168.5	-0.8	52.1	-0.1	-0.0	0	0	56	0.0	80
169.5	-1.0	61.2	-0.19	-0.78	0	0	64	0.0	80
170.5	-1.1	64.7	0.33	-0.22	0	0	71	0.0	80
171.5	-2.5	69.1	-1.86	-0.36	0	0	78	0.0	80
172.5	-4.7	83.5	-3.2	-0.8	0	0	85	0.3	80
173.5	-3.7	92.9	-1.0	-0.0	0	0	93	0.8	80
174.5	-3.2	95.5	2.3	0.0	0	0	100	0.7	80
175.5	-4.6	95.2	-4.39	-0.31	0	0	98	2.3	80
176.5	-4.9	95.3	-4.58	1.06	0	54	96	1.7	80
177.5	-4.8	94.0	-4.56	1.14	0	191	94	0.9	80
178.5	-4.4	87.3	-2.93	1.01	0	290	92	0.0	80
179.5	-3.9	85.9	-4.67	2.28	0	299	90	0.0	80
180.5	-4.0	86.5	-4.62	2.15	0	277	88	0.0	80
181.5	-3.6	81.7	-3.8	1.24	102	151	90	0.0	80
182.5	-3.4	76.1	-2.28	0.74	139	107	92	0.0	80
183.5	-3.4	70.8	-0.88	0.2	0	41	94	0.0	80
