#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	-3.2	23.7	-3.97	-1.37	0	0	50	0.0	80
0.5	-3.2	23.7	-3.97	-1.37	0	0	50	0.0	80
1.5	-1.9	21.6	-3.66	-0.52	0	0	42	0.0	80
2.5	-0.9	20.2	-3.45	-0.61	0	0	33	0.0	80
3.5	0.0	18.8	-3.5	-0.12	0	0	25	0.0	80
4.5	0.5	17.9	-3.28	-0.4	0	0	17	0.0	80
5.5	0.5	17.9	-2.99	-0.8	0	0	8	0.0	80
6.5	0.6	18.0	-2.33	-0.9	0	0	0	0.0	80
7.5	0.5	18.1	-3.08	-1.18	0	0	0	0.0	80
8.5	0.1	17.8	-3.8	0.2	0	21	0	0.0	80
9.5	0.4	17.8	-4.66	1.51	0	35	0	0.0	80
10.5	0.1	19.2	-5.02	0.89	0	43	0	0.0	80
11.5	0.2	19.1	-4.92	0.87	0	50	0	0.0	80
12.5	0.4	18.0	-4.93	2.2	0	176	0	0.0	80
13.5	-0.1	19.8	-5.44	2.77	505	183	0	0.0	80
14.5	-0.4	19.5	-5.48	1.57	0	115	0	0.0	80
15.5	-0.6	20.0	-4.23	-1.21	0	26	0	0.0	80
16.5	-1.3	20.8	-3.94	-0.7	0	0	0	0.0	80
17.5	-0.9	20.5	-3.69	-0.32	0	0	0	0.0	80
18.5	-0.6	21.2	-2.88	-0.3	0	0	0	0.0	80
19.5	-0.7	20.6	-1.79	-0.19	0	0	0	0.0	80
20.5	-1.7	23.2	0.53	0.73	0	0	0	0.0	80
21.5	-1.7	22.6	3.14	1.02	0	0	0	0.0	80
22.5	-2.1	22.3	4.23	1.21	0	0	0	0.0	80
23.5	-2.0	22.7	4.02	1.23	0	0	0	0.0	80
24.5	-2.2	23.1	3.63	1.11	0	0	0	0.0	80
25.5	-2.8	25.1	4.99	0.35	0	0	0	0.0	80
26.5	-3.3	28.2	5.09	0.27	0	0	0	0.0	80
27.5	-3.1	26.8	5.64	0.79	0	0	0	0.0	80
28.5	-3.4	26.6	6.28	0.55	0	0	0	0.0	80
29.5	-3.5	27.5	6.38	0.45	0	0	0	0.0	80
30.5	-3.8	26.4	6.18	0.54	0	0	0	0.0	80
31.5	-3.9	27.5	6.26	-0.66	0	0	0	0.0	80
32.5	-3.9	27.3	6.08	-0.53	0	22	0	0.0	80
33.5	-4.4	28.5	5.58	1.18	0	34	0	0.0	80
34.5	-4.5	29.7	5.61	-0.99	0	45	0	0.0	80
35.5	-4.2	34.0	6.7	-1.18	0	50	0	0.0	80
36.5	-3.5	35.6	6.4	-2.58	0	182	0	0.0	80
37.5	-3.2	39.8	7.32	-2.38	507	179	0	0.0	80
38.5	-3.5	40.6	7.08	-2.16	0	122	0	0.0	80
39.5	-4.0	44.0	8.07	-0.71	0	27	0	0.0	80
40.5	-4.6	42.6	8.2	-0.14	0	0	0	0.0	80
41.5	-5.0	42.7	7.84	-2.4	0	0	0	0.0	80
42.5	-5.0	40.0	8.51	-2.6	0	0	0	0.0	80
43.5	-5.7	42.8	9.39	-0.33	0	0	0	0.0	80
44.5	-5.9	44.1	9.08	0.64	0	0	0	0.0	80
45.5	-6.0	39.9	8.2	1.3	0	0	0	0.0	80
46.5	-6.2	41.8	7.74	0.95	0	0	0	0.0	80
47.5	-6.1	44.2	6.39	-0.34	0	0	0	0.0	80
48.5	-5.0	30.3	5.0	0.09	0	0	0	0.0	80
49.5	-4.2	30.4	4.88	-0.43	0	0	0	0.0	80
50.5	-3.3	23.4	3.08	-0.32	0	0	0	0.0	80
51.5	-2.9	22.2	1.85	0.43	0	0	0	0.0	80
52.5	-2.4	21.3	2.87	0.4	0	0	0	0.0	80
53.5	-3.3	24.1	3.5	-0.12	0	0	0	0.0	80
54.5	-3.4	25.8	4.48	-0.39	0	0	0	0.0	80
55.5	-3.6	28.1	4.73	-0.83	0	0	0	0.0	80
56.5	-3.9	28.0	5.35	-0.75	0	22	0	0.0	80
57.5	-3.8	26.5	5.6	0.1	0	33	0	0.0	80
58.5	-3.5	28.3	5.37	0.56	0	44	0	0.0	80
59.5	-3.2	25.0	5.38	0.47	0	50	0	0.0	80
60.5	-2.6	23.6	5.81	1.02	0	188	0	0.0	80
61.5	-2.6	31.5	6.18	1.66	510	185	0	0.0	80
62.5	-3.0	29.3	6.75	0.83	0	128	0	0.0	80
63.5	-3.8	29.6	5.39	0.28	0	28	0	0.0	80
64.5	-3.9	28.4	4.66	-1.51	0	0	0	0.0	80
65.5	-4.7	30.5	4.61	-1.32	0	0	0	0.0	80
66.5	-5.6	36.5	5.1	0.18	0	0	0	0.0	80
67.5	-5.8	32.8	6.11	-2.22	0	0	0	0.0	80
68.5	-5.5	28.0	6.07	-0.64	0	0	0	0.0	80
69.5	-5.2	28.9	6.04	-0.85	0	0	0	0.0	80
70.5	-5.1	31.0	5.47	0.57	0	0	0	0.0	80
71.5	-5.5	35.7	5.8	-0.2	0	0	0	0.0	80
72.5	-5.4	36.1	5.8	-0.1	0	0	0	0.0	80
73.5	-4.7	32.7	6.28	-0.55	0	0	0	0.0	80
74.5	-4.0	24.5	3.06	-1.24	0	0	0	0.0	80
75.5	-3.6	24.2	-0.0	-0.0	0	0	0	0.0	80
76.5	-3.4	24.9	0.0	-0.4	0	0	0	0.0	80
77.5	-3.7	25.7	-1.74	-1.51	0	0	0	0.0	80
78.5	-4.2	24.3	-4.23	-2.85	0	0	0	0.0	80
79.5	-3.8	22.9	-4.04	-1.47	0	0	0	0.0	80
80.5	-3.8	24.9	-3.24	-1.31	0	20	0	0.0	80
81.5	-2.9	19.1	3.5	-0.18	0	33	0	0.0	80
82.5	-3.0	20.6	3.7	-0.19	0	42	0	0.0	80
83.5	-2.7	27.2	4.7	-0.08	0	50	0	0.0	80
84.5	-3.1	23.5	2.19	2.19	0	192	0	0.0	80
85.5	-3.0	22.3	-4.67	0.49	512	187	0	0.0	80
86.5	-3.1	23.4	-4.29	0.22	0	131	0	0.0	80
87.5	-3.3	24.6	-3.4	0.12	0	27	0	0.0	80
88.5	-4.2	24.8	-3.9	0.2	0	0	0	0.0	80
89.5	-3.9	24.6	-3.4	-0.12	0	0	0	0.0	80
90.5	-3.8	24.9	-3.1	-0.11	0	0	0	0.0	80
91.5	-4.4	25.3	-3.56	-0.5	0	0	6	0.0	80
92.5	-4.8	27.7	-4.23	-1.54	0	0	12	0.0	80
93.5	-5.7	30.7	-3.98	-0.99	0	0	19	0.0	80
94.5	-6.1	31.9	-3.8	-0.88	0	0	25	0.0	80
95.5	-6.7	36.0	-4.12	-0.8	0	0	31	0.0	80
96.5	-6.4	34.2	-3.37	-0.47	0	0	38	0.0	80
97.5	-6.4	31.8	-2.23	-1.14	0	0	44	0.0	80
98.5	-7.0	33.8	-2.59	-1.88	0	0	50	0.0	80
99.5	-6.7	31.6	-2.34	-1.14	0	0	56	0.0	80
100.5	-8.0	37.4	-3.8	-1.54	0	0	62	0.0	80
101.5	-8.4	38.8	-4.73	-1.63	0	0	69	0.0	80
102.5	-9.5	44.6	-6.46	-0.68	0	0	75	0.0	80
103.5	-9.9	43.1	-6.79	0.36	0	0	79	0.0	80
104.5	-10.5	47.6	-6.41	1.96	0	28	83	0.0	80
105.5	-11.4	84.3	-8.59	3.3	0	53	88	0.1	80
106.5	-10.1	90.6	-8.25	2.06	0	90	92	0.0	80
107.5	-9.5	91.2	-9.23	1.13	0	122	96	0.0	80
108.5	-9.3	91.4	-8.79	0.46	0	131	100	0.0	80
109.5	-9.3	91.4	-8.09	0.42	9	140	100	0.0	80
110.5	-9.6	91.2	-8.39	0.44	0	87	100	0.0	80
111.5	-9.8	91.0	-8.47	0.74	0	34	100	0.0	80
112.5	-10.2	90.5	-8.99	0.31	0	0	100	0.0	80
113.5	-10.5	90.3	-9.7	0.17	0	0	100	0.0	80
114.5	-11.1	89.7	-7.68	0.54	0	0	100	0.0	80
115.5	-11.1	90.0	-7.52	2.74	0	0	100	0.0	80
116.5	-10.8	90.5	-8.0	1.27	0	0	100	0.0	80
117.5	-10.8	91.0	-7.21	1.66	0	0	100	0.0	80
