#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	2.1	89.7	1.3	1.39	0	0
0.5	2.1	89.7	1.3	1.39	0	0
1.5	1.6	90.3	1.54	1.43	0	0
2.5	1.2	90.7	1.81	1.42	0	0
3.5	0.8	90.8	1.94	1.41	0	0
4.5	0.4	90.9	2.02	1.47	0	0
5.5	0.2	90.8	1.76	1.48	0	0
6.5	0.0	90.5	1.4	1.13	0	0
7.5	0.1	89.8	1.13	1.13	0	0
8.5	0.4	88.4	1.17	0.94	0	24
9.5	0.9	87.6	1.4	0.12	0	58
10.5	1.3	85.9	2.03	-0.54	2	102
11.5	1.8	84.4	1.07	0.55	24	136
12.5	2.4	82.6	0.26	0.65	160	143
13.5	3.2	79.0	-0.16	0.48	322	93
14.5	3.0	83.3	-0.41	-0.8	268	57
15.5	2.2	87.5	-0.48	-0.16	0	29
16.5	1.1	89.9	0.38	0.93	0	0
17.5	0.8	90.3	0.99	1.85	0	0
18.5	0.2	91.3	1.14	0.63	0	0
19.5	0.0	91.8	0.85	0.85	0	0
20.5	0.3	89.9	1.51	0.98	0	0
21.5	0.8	87.7	2.1	0.11	0	0
22.5	0.1	89.8	1.79	0.19	0	0
23.5	-0.4	90.4	1.32	1.07	0	0
24.5	-0.7	90.2	1.2	0.51	0	0
25.5	-0.8	90.8	0.62	1.47	0	0
26.5	-1.1	91.1	1.28	0.96	0	0
27.5	-0.9	91.0	0.99	0.99	0	0
28.5	-0.7	90.6	1.03	1.23	0	0
29.5	-1.3	91.1	1.04	0.94	0	0
30.5	-1.8	88.3	0.69	1.1	0	0
31.5	-2.3	85.7	0.53	0.96	0	0
32.5	-1.2	89.5	0.74	0.95	242	41
33.5	0.4	87.5	0.21	0.21	394	63
34.5	1.9	84.0	-0.36	-0.71	525	70
35.5	2.5	85.3	-0.56	-0.42	391	123
36.5	3.2	82.3	-1.1	-0.0	373	121
37.5	3.4	82.6	-0.96	0.29	376	89
38.5	3.1	87.0	-1.13	0.41	232	64
39.5	2.3	90.0	-0.35	0.35	0	32
40.5	0.7	92.2	0.22	0.67	0	0
41.5	-0.2	93.5	0.5	0.5	0	0
42.5	-1.1	93.8	0.09	-0.18	0	0
43.5	-2.0	94.5	0.33	-0.22	0	0
44.5	-1.4	95.4	0.87	-0.22	0	0
45.5	-2.5	94.5	0.18	0.36	0	0
46.5	-3.0	93.0	-0.18	0.36	0	0
47.5	-3.8	90.4	0.27	-0.14	0	0
48.5	-3.7	93.3	0.35	-0.35	0	0
49.5	-3.7	93.4	0.66	-0.45	0	0
50.5	-3.1	93.9	0.67	-0.19	0	0
51.5	-3.4	93.6	0.5	0.0	0	0
52.5	-3.0	93.7	-0.0	0.5	0	0
53.5	-4.9	87.5	0.28	0.28	0	0
54.5	-5.6	86.6	0.09	0.18	0	0
55.5	-4.5	92.7	0.22	0.56	0	0
56.5	-3.6	92.0	0.18	-0.09	308	37
57.5	-2.5	94.1	0.18	-0.36	203	82
58.5	-1.7	95.2	0.14	-0.14	42	118
59.5	-1.0	95.9	0.07	-0.07	4	125
