#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	-7.0	72.1	1.18	1.22	0	0	0.0	14
0.5	-7.0	72.1	1.18	1.22	0	0	0.0	14
1.5	-6.3	72.4	1.13	0.65	0	0	0.0	14
2.5	-5.6	72.8	0.66	0.24	0	0	0.0	14
3.5	-5.0	73.6	0.52	1.3	0	0	0.0	14
4.5	-4.4	74.1	0.61	1.15	0	0	0.0	14
5.5	-4.1	75.7	-0.52	-0.3	0	0	0.0	14
6.5	-3.7	77.4	1.18	-0.19	0	0	0.0	30
7.5	-3.5	80.8	-0.45	0.66	0	0	0.0	30
8.5	-3.3	86.1	-0.1	-3.0	0	15	0.1	30
9.5	-2.5	83.2	4.01	2.81	0	61	0.0	30
10.5	-1.8	76.6	4.69	3.41	87	131	0.0	30
11.5	-1.3	74.2	4.98	1.81	11	132	0.0	30
12.5	-1.3	76.6	4.23	1.21	0	109	0.0	30
13.5	-0.7	74.9	4.42	1.27	10	107	0.0	30
14.5	-0.3	70.4	4.83	3.02	0	49	0.0	30
15.5	-0.8	80.5	4.12	3.34	0	11	0.0	30
16.5	-0.6	77.6	3.58	3.34	0	0	0.0	30
17.5	-0.2	73.2	4.52	3.79	0	0	0.0	30
18.5	-0.3	73.0	5.75	4.49	0	0	0.0	30
19.5	-0.3	69.6	4.96	4.79	0	0	0.0	30
20.5	-0.2	70.4	5.21	4.37	0	0	0.0	30
21.5	-0.8	81.3	5.59	4.21	0	0	0.1	30
22.5	-1.2	88.3	4.52	3.79	0	0	0.0	30
23.5	-1.1	86.2	4.9	3.96	0	0	0.0	30
24.5	-0.9	81.0	3.77	3.28	0	0	0.0	30
25.5	-0.4	71.1	5.89	5.12	0	0	0.0	30
26.5	-0.3	74.1	6.06	4.24	0	0	0.0	30
27.5	-0.7	83.7	5.74	3.05	0	0	0.0	30
28.5	-0.8	86.2	6.02	2.94	0	0	0.1	30
29.5	-0.9	89.7	5.23	1.7	0	0	0.2	50
30.5	-1.1	93.9	3.47	0.49	0	0	1.1	50
31.5	-1.2	93.9	4.22	0.82	0	0	0.2	50
32.5	-1.0	91.1	4.5	0.96	0	36	0.0	50
33.5	-0.8	90.9	4.14	0.73	0	72	0.1	50
34.5	-0.7	87.8	4.76	0.58	7	117	0.0	50
35.5	-1.0	87.1	4.49	0.24	11	138	0.1	50
36.5	-0.9	86.6	4.3	0.15	14	138	0.0	50
37.5	-1.1	84.8	4.08	-0.36	3	102	0.0	50
38.5	-1.5	81.7	3.5	-1.94	2	66	0.0	50
39.5	-1.9	77.1	3.71	-1.5	0	21	0.0	50
40.5	-2.3	85.5	2.5	-0.72	0	0	0.0	50
41.5	-2.6	88.5	3.17	-0.91	0	0	0.0	50
42.5	-3.0	86.9	3.44	-0.67	0	0	0.0	50
43.5	-3.2	89.4	3.09	-0.27	0	0	0.1	50
44.5	-3.3	93.3	1.44	-0.7	0	0	0.4	50
45.5	-3.7	94.6	0.34	-1.77	0	0	0.7	50
46.5	-4.1	94.6	0.35	-1.66	0	0	1.2	50
47.5	-4.5	95.5	0.44	-1.54	0	0	1.4	50
48.5	-4.8	96.6	1.15	-1.99	0	0	0.9	50
49.5	-5.4	93.5	1.31	-2.01	0	0	0.3	50
50.5	-5.7	90.2	3.06	-1.24	0	0	0.0	50
51.5	-6.3	87.9	2.63	-1.64	0	0	0.0	50
52.5	-6.5	89.0	2.58	-1.09	0	0	0.1	50
53.5	-6.7	87.2	2.74	-1.65	0	0	0.0	50
54.5	-7.0	85.1	2.13	-1.66	0	0	0.0	80
55.5	-7.4	84.4	2.77	-0.44	0	0	0.0	80
56.5	-7.4	83.5	2.38	0.29	23	46	0.0	80
57.5	-7.3	83.0	2.66	0.47	34	92	0.0	80
58.5	-7.2	77.5	2.69	1.09	269	127	0.0	80
59.5	-6.5	74.5	2.65	1.79	414	123	0.0	80
60.5	-6.0	69.6	2.56	1.14	541	95	0.0	80
61.5	-5.7	68.3	3.48	2.35	518	90	0.0	80
62.5	-6.1	70.0	4.19	2.72	105	77	0.0	80
63.5	-6.5	70.8	3.77	2.45	0	36	0.0	80
64.5	-6.8	74.5	3.88	2.82	0	0	0.0	80
65.5	-7.5	80.1	2.88	2.78	0	0	0.0	80
66.5	-7.2	82.3	3.42	1.67	0	0	0.0	80
67.5	-7.2	86.4	3.39	2.65	0	0	0.0	80
68.5	-7.4	86.7	5.04	3.94	0	0	0.0	80
69.5	-7.0	80.8	5.6	3.5	0	0	0.0	80
70.5	-6.4	75.9	6.07	2.33	0	0	0.0	80
71.5	-6.4	75.9	4.48	1.72	0	0	0.0	80
72.5	-6.0	75.1	3.53	1.88	0	0	0.0	80
73.5	-5.7	74.7	3.45	1.33	0	0	0.0	80
74.5	-5.7	72.3	3.52	0.75	0	0	0.0	80
75.5	-5.8	69.8	6.4	2.85	0	0	0.0	80
76.5	-5.7	72.2	4.97	2.11	0	0	0.0	80
77.5	-5.2	69.7	5.9	4.95	0	0	0.0	80
78.5	-5.6	81.6	6.7	4.19	0	0	0.0	80
79.5	-5.8	89.9	6.88	4.82	0	0	0.3	80
80.5	-5.1	91.1	8.05	4.65	0	29	0.0	80
81.5	-5.7	92.5	5.82	-1.45	0	35	0.3	80
