#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	3.4	83.9	-1.39	1.44	0	0	91
0.5	3.4	83.9	-1.39	1.44	0	0	91
1.5	3.1	80.9	-2.02	0.86	0	0	95
2.5	2.8	79.0	-1.85	0.99	0	0	97
3.5	2.5	77.2	-1.68	1.09	0	0	99
4.5	2.3	76.5	-1.12	1.28	0	0	100
5.5	2.2	77.1	0.06	1.2	0	0	100
6.5	2.0	77.3	0.4	0.45	0	0	100
7.5	2.0	77.8	0.26	0.15	0	0	100
8.5	2.1	77.4	-0.0	-0.0	0	20	100
9.5	2.5	77.0	0.0	-0.1	0	51	100
10.5	2.9	77.0	0.79	-0.1	0	78	100
11.5	3.2	74.5	0.89	0.45	0	105	100
12.5	3.5	71.7	1.2	0.51	0	117	100
13.5	3.6	70.9	1.9	0.62	0	74	100
14.5	3.3	71.4	1.6	1.2	0	34	100
15.5	2.7	75.7	1.3	0.11	0	15	100
16.5	2.1	82.1	1.31	-0.92	0	0	100
17.5	1.5	92.8	1.31	-0.5	0	0	100
18.5	1.3	94.1	0.54	-0.45	0	0	100
19.5	1.4	94.4	0.1	0.0	0	0	100
20.5	1.3	93.9	0.14	-0.14	0	0	100
21.5	1.4	92.9	0.65	0.26	0	0	100
22.5	1.4	93.1	1.08	0.19	0	0	100
23.5	1.1	94.9	0.69	-0.1	0	0	100
24.5	1.0	94.6	-0.0	-0.0	0	0	100
25.5	1.0	93.9	0.33	-0.22	0	0	100
26.5	1.3	92.3	0.5	0.5	0	0	100
27.5	1.1	93.5	0.79	-0.1	0	0	100
28.5	0.9	93.8	0.2	0.0	0	0	100
29.5	1.0	93.2	1.05	-0.32	0	0	100
30.5	1.1	92.2	1.1	-0.1	0	0	100
31.5	1.2	91.7	0.2	0.0	0	0	100
32.5	1.2	92.1	0.25	-0.17	45	41	100
33.5	1.4	91.4	0.51	-0.61	0	62	100
34.5	2.1	89.1	0.18	-0.09	376	112	100
35.5	2.9	84.2	-0.8	-0.41	95	151	100
36.5	3.3	83.9	-1.63	-1.32	0	85	100
37.5	3.4	81.6	-2.12	-0.9	0	36	98
