#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	1.0	80.5	1.34	0.87	0	0	50	0.0	14
0.5	1.0	80.5	1.34	0.87	0	0	50	0.0	14
1.5	-0.7	78.3	1.09	0.88	0	0	58	0.0	14
2.5	-1.7	76.9	0.49	0.1	0	0	67	0.0	14
3.5	-2.8	75.3	0.81	0.4	0	0	75	0.0	14
4.5	-3.2	74.6	0.7	-0.04	0	0	83	0.0	14
5.5	-3.0	74.4	1.17	0.57	0	0	92	0.0	65
6.5	-2.9	73.9	1.16	1.38	0	0	100	0.0	65
7.5	-2.7	72.7	0.91	0.79	0	0	98	0.0	65
8.5	-2.4	72.4	1.27	0.29	0	15	96	0.0	65
9.5	-2.2	71.3	0.58	-0.14	0	59	94	0.0	65
10.5	-1.6	70.7	1.02	1.1	9	121	92	0.0	65
11.5	-1.1	70.4	1.64	0.44	194	153	90	0.0	14
12.5	-0.1	68.6	1.5	0.55	22	139	88	0.0	14
13.5	0.8	66.8	1.78	1.11	63	136	85	0.0	14
14.5	1.0	69.2	2.58	1.09	3	85	83	0.0	14
15.5	0.5	72.6	2.45	1.36	0	28	81	0.0	14
16.5	0.7	72.1	1.8	2.4	0	0	79	0.0	14
17.5	0.3	70.7	1.8	2.77	0	0	77	0.0	14
18.5	0.2	71.0	2.76	3.29	0	0	75	0.0	14
19.5	-0.2	76.4	3.2	2.88	0	0	77	0.0	14
20.5	-0.6	85.8	2.91	2.44	0	0	79	0.0	14
21.5	-0.9	89.0	1.81	1.87	0	0	81	0.2	14
22.5	-0.8	86.1	1.86	1.51	0	0	83	0.0	14
23.5	-0.8	83.3	1.99	0.93	0	0	85	0.1	14
24.5	-1.1	91.6	2.43	1.58	0	0	88	0.0	14
25.5	-0.8	92.1	1.43	1.54	0	0	90	0.0	14
26.5	-0.9	86.7	1.21	0.88	0	0	92	0.0	14
27.5	-0.4	87.0	1.65	1.6	0	0	94	0.1	14
28.5	-0.5	91.7	1.86	1.35	0	0	96	0.2	14
29.5	-0.7	92.5	1.7	1.7	0	0	98	0.1	30
30.5	-0.5	91.5	1.63	0.98	0	0	100	0.1	30
31.5	-0.2	88.9	0.62	1.8	0	0	100	0.0	30
32.5	0.0	79.2	1.63	1.63	0	28	100	0.0	30
33.5	0.2	76.7	1.12	2.01	0	60	100	0.0	30
34.5	-0.3	84.8	2.59	2.5	0	68	100	0.0	30
35.5	-0.6	93.0	2.09	2.02	0	67	100	0.7	50
36.5	-0.2	92.1	1.74	2.32	4	129	100	0.1	50
37.5	0.5	72.2	1.76	1.14	284	123	100	0.0	50
38.5	0.2	56.7	2.39	-2.95	63	93	100	0.0	50
39.5	0.2	56.7	1.57	-2.32	0	25	100	0.0	50
40.5	-0.6	58.3	1.46	-1.22	0	0	100	0.0	50
41.5	-1.0	59.8	1.92	-1.61	0	0	100	0.0	50
42.5	-1.6	59.5	1.83	-1.7	0	0	100	0.0	50
43.5	-1.7	61.3	1.81	-2.01	0	0	100	0.0	50
44.5	-2.2	71.3	-0.37	-0.82	0	0	100	0.0	50
45.5	-2.1	76.0	-0.21	0.45	0	0	100	0.0	50
46.5	-2.5	77.2	0.59	0.08	0	0	100	0.0	50
47.5	-2.8	83.7	1.29	1.53	0	0	100	0.1	50
48.5	-2.9	88.3	0.77	1.74	0	0	100	0.0	50
49.5	-3.1	88.1	-0.16	0.48	0	0	100	0.2	50
50.5	-3.4	90.6	0.6	0.06	0	0	100	0.0	50
51.5	-3.6	91.5	1.06	0.28	0	0	100	0.0	50
52.5	-3.8	92.3	0.89	0.45	0	0	100	0.1	50
53.5	-3.8	92.0	1.1	0.86	0	0	100	0.0	50
54.5	-4.8	91.2	1.05	0.32	0	0	100	0.0	50
55.5	-5.5	85.8	0.69	0.1	0	0	90	0.0	50
56.5	-5.6	73.3	-0.23	-0.33	41	44	79	0.0	50
57.5	-4.0	74.0	-1.86	-0.36	149	102	69	0.0	50
58.5	-3.2	68.9	-0.91	-0.42	414	129	58	0.0	50
59.5	-3.8	69.7	0.76	-0.79	61	149	48	0.0	50
60.5	-3.2	58.7	-0.17	-0.98	97	153	38	0.0	50
61.5	-2.9	56.9	-0.17	-1.09	589	109	40	0.0	50
62.5	-2.7	55.9	0.08	-1.1	549	57	42	0.0	50
63.5	-3.3	55.7	0.44	-1.54	376	33	44	0.0	50
64.5	-4.4	58.9	0.69	-0.58	0	0	46	0.0	50
65.5	-5.4	67.8	0.46	0.53	0	0	48	0.0	50
66.5	-7.5	74.2	0.77	0.92	0	0	50	0.0	50
67.5	-8.9	82.7	0.87	0.97	0	0	54	0.0	50
68.5	-8.4	84.4	1.38	1.58	0	0	58	0.0	50
69.5	-7.9	83.0	1.48	1.48	0	0	62	0.0	50
70.5	-7.2	82.1	1.13	1.4	0	0	67	0.0	50
71.5	-7.2	82.6	0.97	0.26	0	0	71	0.0	50
72.5	-6.5	82.1	0.36	0.48	0	0	75	0.0	50
73.5	-6.9	81.3	2.04	1.27	0	0	79	0.0	50
74.5	-7.8	83.0	0.91	0.41	0	0	83	0.0	50
75.5	-8.4	85.6	0.32	0.39	0	0	88	0.0	50
76.5	-8.3	87.9	0.09	-0.05	0	0	92	0.0	50
77.5	-7.3	87.9	0.2	-0.02	0	0	96	0.0	50
78.5	-7.0	85.6	0.9	-0.08	0	0	100	0.0	50
79.5	-6.2	83.8	1.55	0.39	0	0	100	0.0	50
80.5	-5.8	87.1	1.95	1.22	0	33	100	0.4	50
81.5	-5.3	87.7	3.26	2.64	56	96	100	0.0	50
82.5	-4.2	79.3	2.14	2.38	7	133	100	0.0	50
83.5	-3.4	75.9	2.82	2.54	11	163	100	0.0	50
84.5	-3.6	81.6	3.4	2.95	2	132	100	0.0	50
85.5	-3.4	86.6	2.76	2.76	3	114	85	0.0	50
86.5	-3.7	88.2	2.19	2.05	93	101	71	0.1	50
87.5	-3.3	75.6	1.54	1.84	27	43	56	0.0	50
88.5	-2.7	63.8	-0.84	0.32	0	0	42	0.0	50
89.5	-3.7	50.5	-0.86	-0.83	0	0	27	0.0	80
90.5	-4.6	44.6	-0.34	-2.17	0	0	12	0.0	80
91.5	-5.2	44.3	2.23	-3.07	0	0	15	0.0	80
92.5	-5.6	46.6	-1.33	-0.43	0	0	17	0.0	80
93.5	-5.7	53.8	-1.08	-2.03	0	0	19	0.0	80
94.5	-6.1	56.3	-0.28	-1.98	0	0	21	0.0	80
95.5	-6.2	64.9	-3.05	-0.54	0	0	23	0.0	80
96.5	-6.8	62.1	-3.6	-1.75	0	0	25	0.0	80
97.5	-8.5	58.0	-4.46	-5.13	0	0	27	0.0	80
98.5	-10.3	58.2	-2.7	-4.68	0	0	29	0.0	80
99.5	-10.7	64.2	-2.46	-5.8	0	0	31	0.0	80
100.5	-11.3	64.6	-2.19	-6.01	0	0	33	0.0	80
101.5	-10.9	63.2	-3.86	-7.91	0	0	35	0.0	80
102.5	-10.9	63.0	-4.46	-8.05	0	0	38	0.0	80
103.5	-10.8	64.2	-4.65	-8.74	0	0	35	0.0	80
104.5	-10.8	64.0	-4.69	-7.8	130	42	33	0.0	80
105.5	-10.2	64.8	-5.34	-8.22	66	94	31	0.0	80
106.5	-9.1	62.8	-5.39	-7.7	494	101	29	0.0	80
107.5	-8.3	61.8	-6.14	-6.58	736	97	27	0.0	80
108.5	-8.4	62.9	-6.18	-6.4	768	104	25	0.0	80
109.5	-8.4	61.4	-5.78	-6.89	746	109	23	0.0	80
110.5	-8.0	58.9	-6.87	-5.97	690	70	21	0.0	80
111.5	-8.6	60.8	-5.4	-6.44	408	51	19	0.0	80
112.5	-9.6	61.1	-4.35	-7.53	0	0	17	0.0	80
113.5	-9.4	59.8	-5.74	-8.19	0	0	15	0.0	80
114.5	-9.6	60.4	-5.96	-8.52	0	0	12	0.0	80
115.5	-9.2	62.7	-8.07	-9.28	0	0	19	0.0	80
116.5	-9.4	61.9	-7.65	-9.12	0	0	25	0.0	80
117.5	-9.7	62.8	-5.88	-8.09	0	0	31	0.0	80
118.5	-9.9	63.0	-4.96	-7.63	0	0	38	0.0	80
119.5	-9.9	62.8	-4.85	-8.4	0	0	44	0.0	80
120.5	-9.8	63.6	-4.56	-7.29	0	0	50	0.0	80
121.5	-9.5	65.0	-5.11	-7.04	0	0	56	0.0	80
122.5	-9.9	66.2	-3.6	-6.24	0	0	62	0.0	80
123.5	-9.7	66.5	-3.36	-4.97	0	0	69	0.0	80
124.5	-9.8	67.0	-3.52	-4.35	0	0	75	0.0	80
125.5	-9.8	69.0	-5.13	-4.31	0	0	81	0.0	80
126.5	-10.2	74.6	-5.66	-2.76	0	0	88	0.0	80
127.5	-10.5	76.3	-5.66	-3.4	0	0	83	0.0	80
128.5	-10.1	77.3	-5.34	-3.88	93	44	79	0.0	80
129.5	-10.0	76.0	-5.14	-3.47	0	66	75	0.0	80
130.5	-9.9	73.7	-5.56	-3.75	9	123	71	0.0	80
131.5	-9.7	71.1	-4.65	-3.63	0	107	67	0.0	65
132.5	-9.0	68.4	-4.11	-2.67	96	165	62	0.0	65
133.5	-8.6	67.4	-3.12	-2.35	128	150	56	0.0	65
134.5	-8.3	64.1	-3.54	-3.67	364	82	50	0.0	65
135.5	-8.4	63.6	-3.46	-3.46	290	56	44	0.0	65
136.5	-9.1	64.0	-1.85	-2.36	0	0	38	0.0	65
137.5	-10.5	65.1	-0.32	-1.67	0	0	31	0.0	65
138.5	-12.1	70.0	0.53	-0.85	0	0	25	0.0	65
139.5	-11.8	71.5	0.48	0.15	0	0	27	0.0	65
140.5	-11.0	75.2	0.22	-0.2	0	0	29	0.0	65
141.5	-12.3	80.5	0.57	0.2	0	0	31	0.0	65
142.5	-13.5	79.4	1.02	0.64	0	0	33	0.0	65
143.5	-14.5	81.6	0.35	0.19	0	0	35	0.0	65
144.5	-15.5	83.9	0.51	0.48	0	0	38	0.0	65
145.5	-16.3	84.3	0.87	0.5	0	0	40	0.0	65
146.5	-16.5	80.4	0.37	0.15	0	0	42	0.0	65
147.5	-17.1	81.2	0.1	-0.02	0	0	44	0.0	65
148.5	-16.9	81.7	0.39	0.31	0	0	46	0.0	65
149.5	-16.6	83.7	0.36	0.18	0	0	48	0.0	65
150.5	-16.9	84.0	0.61	0.35	0	0	50	0.0	65
151.5	-16.4	83.9	0.76	0.25	0	0	56	0.0	65
152.5	-14.8	86.0	1.08	0.19	28	43	62	0.0	65
153.5	-12.8	82.4	1.28	0.96	83	100	69	0.0	65
154.5	-11.9	74.8	1.36	0.85	167	151	75	0.0	65
155.5	-11.2	69.8	0.54	0.26	78	163	81	0.0	65
156.5	-9.9	60.6	0.3	-0.05	69	153	88	0.0	65
157.5	-10.1	66.9	0.63	-0.49	20	143	90	0.0	65
158.5	-10.0	76.2	0.4	-0.57	3	88	92	0.0	65
159.5	-9.7	80.9	1.02	-0.41	0	39	94	0.0	65
160.5	-9.7	84.0	1.0	-0.1	0	0	96	0.1	65
161.5	-9.6	86.3	0.84	0.32	0	0	98	0.1	80
162.5	-9.5	87.7	1.52	0.77	0	0	100	0.1	80
163.5	-9.9	88.3	1.37	0.61	0	0	100	0.0	80
164.5	-9.7	88.2	1.19	0.53	0	0	100	0.0	80
165.5	-9.6	88.4	0.9	0.44	0	0	100	0.2	80
166.5	-9.5	88.6	0.88	0.82	0	0	100	0.1	80
167.5	-9.4	88.8	0.83	0.72	0	0	100	0.2	80
168.5	-9.2	88.4	1.09	0.71	0	0	100	0.2	80
169.5	-9.3	89.3	1.02	0.64	0	0	100	0.0	80
170.5	-11.4	88.9	0.36	-1.25	0	0	100	0.0	80
171.5	-10.8	86.0	-0.31	-1.26	0	0	100	0.0	80
172.5	-10.4	83.6	-0.84	-1.24	0	0	100	0.0	80
173.5	-10.0	83.0	-2.64	-2.14	0	0	100	0.0	80
174.5	-11.3	80.4	-1.78	-2.28	0	0	100	0.0	80
175.5	-11.0	77.8	-0.98	-2.19	0	0	96	0.0	80
176.5	-10.2	80.6	-4.24	-2.25	145	43	92	0.0	80
177.5	-10.6	79.4	-5.75	-2.81	371	81	88	0.0	80
178.5	-10.8	76.3	-4.77	-3.47	1	112	83	0.0	80
179.5	-10.3	75.4	-4.24	-2.65	69	162	79	0.0	80
180.5	-10.0	68.5	-4.44	-2.89	80	183	75	0.0	80
181.5	-9.9	67.8	-4.51	-3.65	127	153	75	0.0	80
182.5	-9.8	65.2	-4.03	-4.97	312	94	75	0.0	80
183.5	-10.3	65.2	-2.1	-3.64	379	40	75	0.0	80
184.5	-11.2	67.8	-0.13	-2.4	0	0	75	0.0	80
185.5	-11.8	69.0	-0.15	-2.19	0	0	75	0.0	80
186.5	-12.0	72.7	-1.17	-3.4	0	0	75	0.0	80
187.5	-12.6	72.5	-1.34	-4.4	0	0	75	0.0	80
188.5	-12.7	71.3	-1.47	-3.83	0	0	75	0.0	80
189.5	-13.0	67.1	-1.42	-3.52	0	0	75	0.0	80
190.5	-13.7	67.5	-0.96	-2.95	0	0	75	0.0	80
191.5	-14.0	68.1	0.06	-0.7	0	0	75	0.0	80
192.5	-14.7	69.5	-0.99	-3.04	0	0	75	0.0	80
193.5	-15.1	71.2	-0.68	-2.92	0	0	75	0.0	80
194.5	-15.9	70.0	0.4	-2.06	0	0	75	0.0	80
195.5	-17.5	73.1	0.6	0.36	0	0	75	0.0	80
196.5	-17.9	74.7	0.89	0.65	0	0	75	0.0	80
197.5	-18.2	76.2	1.06	0.92	0	0	75	0.0	80
198.5	-17.6	76.7	1.28	0.96	0	0	75	0.0	80
199.5	-16.4	75.3	1.36	0.63	0	0	65	0.0	80
200.5	-15.5	72.2	1.09	0.71	0	36	54	0.0	80
201.5	-15.2	72.6	1.11	0.67	17	95	44	0.0	80
202.5	-14.3	70.7	1.21	1.05	367	119	33	0.0	80
203.5	-11.8	66.2	1.34	1.2	552	109	23	0.0	80
204.5	-10.5	67.8	0.65	0.26	599	94	12	0.0	80
205.5	-9.6	65.0	-0.33	0.22	388	122	23	0.0	80
206.5	-9.5	64.1	-0.04	0.09	243	96	33	0.0	80
207.5	-9.6	64.4	0.8	0.42	186	48	44	0.0	80
208.5	-10.4	66.6	1.5	0.8	0	0	54	0.0	80
209.5	-10.4	66.8	1.55	0.69	0	0	65	0.0	80
210.5	-10.7	69.6	1.93	0.82	0	0	75	0.0	80
211.5	-11.2	71.0	0.46	0.2	0	0	76	0.0	80
212.5	-11.3	73.0	0.75	0.29	0	0	77	0.0	80
213.5	-11.0	72.2	0.85	0.31	0	0	78	0.0	80
214.5	-10.2	72.2	1.16	0.59	0	0	79	0.0	80
215.5	-10.4	75.2	1.0	0.1	0	0	80	0.0	80
216.5	-9.9	79.5	1.13	0.65	0	0	81	0.0	80
217.5	-10.1	81.5	0.99	0.14	0	0	82	0.0	80
218.5	-10.1	82.2	0.88	0.2	0	0	83	0.0	80
219.5	-10.4	83.0	0.45	0.23	0	0	84	0.0	80
220.5	-10.6	85.2	0.69	0.13	0	0	85	0.0	80
221.5	-10.8	86.0	0.68	0.17	0	0	86	0.0	80
222.5	-11.8	87.1	0.95	0.89	0	0	88	0.0	80
223.5	-12.6	87.4	0.89	0.65	0	0	79	0.0	80
224.5	-12.6	86.8	0.36	0.71	4	40	71	0.0	80
225.5	-10.5	81.2	0.74	0.95	16	95	62	0.0	80
226.5	-8.4	75.6	1.19	1.07	364	121	54	0.0	80
227.5	-7.2	69.7	0.37	0.34	630	108	46	0.0	80
228.5	-6.0	65.0	0.29	0.08	720	85	38	0.0	80
229.5	-5.2	64.7	0.35	0.19	527	110	46	0.0	80
230.5	-4.9	65.5	0.24	-0.18	267	99	54	0.0	80
231.5	-5.1	66.5	0.31	-0.26	222	48	62	0.0	80
232.5	-6.2	70.7	0.8	-0.04	0	0	71	0.0	80
233.5	-7.0	75.9	0.93	0.38	0	0	79	0.0	80
234.5	-7.3	78.4	1.67	0.67	0	0	88	0.0	80
235.5	-7.6	78.7	0.83	0.35	0	0	89	0.0	80
236.5	-7.3	81.3	1.39	0.56	0	0	90	0.0	80
237.5	-7.3	81.8	1.53	0.74	0	0	91	0.0	80
238.5	-7.2	82.0	0.96	0.28	0	0	92	0.0	80
239.5	-7.0	82.0	0.1	0.03	0	0	93	0.0	80
240.5	-6.5	83.0	0.28	0.11	0	0	94	0.0	80
241.5	-6.0	83.9	-0.05	-0.3	0	0	95	0.0	80
242.5	-5.1	81.3	-1.46	-1.22	0	0	96	0.0	80
243.5	-5.2	78.9	-1.66	-2.13	0	0	97	0.0	80
244.5	-5.5	75.7	-1.45	-2.62	0	0	98	0.0	80
245.5	-5.7	77.0	-2.25	-2.68	0	0	99	0.0	80
246.5	-6.3	78.4	-1.73	-3.72	0	0	100	0.0	80
247.5	-7.1	79.8	-0.33	-3.18	0	0	100	0.0	80
248.5	-7.0	79.5	0.16	-1.79	0	16	100	0.0	80
249.5	-6.7	79.7	-0.08	-2.4	0	44	100	0.0	80
250.5	-6.5	79.8	-0.31	-2.18	0	72	100	0.0	80
251.5	-6.1	78.7	-0.4	-2.06	0	90	100	0.0	80
252.5	-5.6	75.7	-0.86	-0.26	0	111	100	0.0	80
253.5	-5.3	72.5	-0.62	-1.47	295	133	100	0.0	80
254.5	-5.4	72.0	-0.58	-2.33	510	80	100	0.0	80
255.5	-5.4	71.8	-0.03	-1.8	386	39	100	0.0	80
256.5	-6.8	74.6	0.07	-1.9	0	0	100	0.0	80
257.5	-6.9	76.7	0.74	-0.31	0	0	100	0.0	80
258.5	-6.8	75.9	0.49	-0.1	0	0	100	0.0	80
259.5	-7.5	76.9	0.5	0.06	0	0	100	0.0	80
260.5	-7.2	76.7	0.77	0.22	0	0	100	0.0	80
261.5	-6.7	74.8	0.69	-0.41	0	0	100	0.0	80
262.5	-6.5	75.7	-0.67	-2.2	0	0	100	0.0	80
263.5	-6.9	76.5	-0.17	-1.59	0	0	100	0.0	80
264.5	-6.9	75.8	-0.17	-1.59	0	0	100	0.0	80
265.5	-7.7	76.0	0.57	-0.18	0	0	100	0.0	80
266.5	-7.3	75.6	0.15	-0.68	0	0	100	0.0	80
267.5	-7.3	75.6	-0.3	-1.06	0	0	100	0.0	80
268.5	-6.9	75.0	0.1	0.0	0	0	100	0.0	80
269.5	-6.8	75.8	0.19	0.06	0	0	100	0.0	80
270.5	-6.6	75.7	-0.21	-0.34	0	0	100	0.0	80
271.5	-6.5	78.5	-0.6	0.04	0	0	100	0.0	80
272.5	-6.7	78.5	-0.61	0.35	0	26	100	0.0	80
273.5	-6.4	77.2	-0.41	-0.44	0	69	100	0.0	80
274.5	-6.3	76.4	0.07	-1.0	0	95	100	0.0	80
275.5	-6.0	74.6	0.55	0.23	13	141	100	0.0	80
276.5	-5.4	72.3	0.88	0.48	78	162	100	0.0	80
277.5	-4.9	69.6	0.43	0.55	348	136	100	0.0	80
278.5	-5.1	69.4	0.64	0.27	435	85	100	0.0	80
279.5	-5.3	69.3	0.8	0.06	277	49	100	0.0	80
280.5	-6.4	71.5	0.24	0.18	0	0	100	0.0	80
281.5	-7.4	76.9	0.38	0.32	0	0	100	0.0	80
282.5	-7.7	78.9	0.47	0.52	0	0	100	0.0	80
283.5	-8.2	81.0	1.38	1.58	0	0	100	0.0	80
284.5	-9.0	84.0	1.99	2.38	0	0	100	0.0	80
285.5	-9.5	88.3	1.87	2.48	0	0	100	0.0	80
286.5	-9.5	89.2	1.78	2.54	0	0	100	0.0	80
287.5	-9.8	88.6	1.43	1.54	0	0	100	0.0	80
288.5	-10.3	88.4	1.19	0.15	0	0	100	0.0	80
289.5	-9.7	88.3	0.97	0.26	0	0	100	0.0	80
290.5	-9.4	88.3	1.66	0.35	0	0	100	0.0	80
291.5	-9.0	87.0	2.3	2.07	0	0	100	0.0	80
292.5	-8.5	86.1	1.64	0.73	0	0	100	0.0	80
293.5	-8.0	85.0	1.2	0.72	0	0	100	0.0	80
294.5	-7.8	84.9	1.7	0.59	0	0	100	0.0	80
295.5	-7.7	85.1	0.6	0.06	0	0	98	0.0	80
296.5	-7.0	84.3	0.61	0.35	0	21	96	0.0	80
297.5	-5.4	80.7	-0.22	-1.79	0	76	94	0.0	80
298.5	-4.5	75.3	-1.8	-3.12	12	131	92	0.0	80
299.5	-4.6	75.2	-3.45	-2.89	0	79	90	0.0	80
300.5	-4.7	76.2	-4.15	-3.13	0	113	88	0.0	80
301.5	-4.6	75.6	-2.83	-3.37	0	102	90	0.0	80
302.5	-4.7	74.5	-2.96	-3.78	0	51	92	0.0	80
303.5	-5.1	73.2	-2.58	-4.86	0	34	94	0.0	80
304.5	-5.6	74.1	-2.41	-5.17	0	3	96	0.0	80
305.5	-6.0	73.7	-2.89	-5.93	0	0	98	0.0	80
306.5	-6.1	74.4	-3.84	-5.49	0	0	100	0.0	80
307.5	-6.5	74.4	-3.76	-5.79	0	0	100	0.0	80
308.5	-6.7	73.9	-3.3	-5.95	0	0	100	0.0	80
309.5	-6.8	74.1	-2.91	-5.7	0	0	100	0.0	80
310.5	-7.2	74.6	-3.13	-6.71	0	0	100	0.0	80
311.5	-7.4	77.8	-2.52	-5.66	0	0	100	0.0	80
