#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.7	84.5	0.07	0.07	0	0	50	0.0	14
0.5	2.7	84.5	0.07	0.07	0	0	50	0.0	14
1.5	3.9	88.2	0.38	-0.12	0	0	48	0.0	14
2.5	4.7	90.7	0.28	-0.42	0	0	46	0.0	14
3.5	5.5	93.0	0.49	0.1	0	0	44	0.0	14
4.5	5.9	94.3	0.56	-0.22	0	0	42	0.0	14
5.5	5.8	94.4	0.36	0.18	0	0	40	0.0	14
6.5	5.7	94.7	-0.0	0.6	0	0	38	0.0	14
7.5	5.9	93.9	-0.48	0.16	0	0	44	0.0	14
8.5	5.9	93.5	0.36	0.18	250	37	50	0.0	14
9.5	7.2	88.5	1.5	0.1	562	53	56	0.0	14
10.5	8.0	82.6	3.59	1.24	522	98	62	0.0	14
11.5	7.6	83.1	5.21	2.32	247	143	69	0.0	14
12.5	8.1	82.2	5.1	0.99	523	108	75	0.0	14
13.5	8.5	78.3	5.29	1.52	513	89	79	0.0	14
14.5	8.5	78.1	5.22	0.92	56	86	83	0.0	14
15.5	8.1	81.3	5.67	1.95	0	16	88	0.1	14
16.5	7.9	82.6	5.58	1.18	0	0	92	0.1	14
17.5	8.1	81.0	4.84	0.77	0	0	96	0.1	14
18.5	8.6	75.9	6.93	0.97	0	0	100	0.0	14
19.5	8.2	82.3	7.13	1.0	0	0	99	0.4	14
20.5	8.0	84.5	6.58	1.28	0	0	98	0.0	14
21.5	8.4	81.1	6.77	1.32	0	0	97	0.0	14
22.5	8.8	78.9	7.46	1.45	0	0	96	0.1	14
23.5	8.9	80.0	6.68	1.3	0	0	95	0.0	14
24.5	8.9	85.7	5.11	1.76	0	0	94	0.3	14
25.5	10.3	80.2	6.38	3.54	0	0	93	0.1	14
26.5	10.5	83.3	6.0	3.6	0	0	92	0.2	14
27.5	10.5	85.0	5.4	3.24	0	0	91	0.5	14
28.5	10.4	88.8	5.48	2.67	0	0	90	1.8	14
29.5	10.8	87.9	5.61	2.86	0	0	89	0.7	14
30.5	11.0	86.9	7.02	2.01	0	0	88	0.7	14
31.5	11.0	87.5	7.32	2.38	0	0	88	1.4	14
32.5	11.2	86.3	8.02	2.15	0	14	88	0.3	14
33.5	11.4	84.9	8.04	0.99	0	41	88	0.1	14
34.5	11.6	83.8	6.79	0.36	0	19	88	0.3	14
35.5	12.2	77.9	7.58	3.38	0	52	88	0.0	14
36.5	13.5	70.1	6.07	4.41	0	55	88	0.0	14
37.5	15.2	60.7	7.35	5.54	0	55	88	0.0	14
38.5	15.6	58.2	8.6	6.02	0	56	88	0.0	14
39.5	15.4	57.9	11.17	6.45	0	23	88	0.4	14
40.5	15.8	50.2	9.34	6.54	0	0	88	0.0	14
41.5	15.2	48.8	11.05	4.92	0	0	88	0.0	14
42.5	12.7	61.5	8.19	0.43	0	0	88	0.2	14
43.5	12.4	54.5	9.41	1.32	0	0	86	0.0	14
44.5	11.6	57.0	6.34	2.96	0	0	85	0.0	14
45.5	11.3	50.6	6.39	2.33	0	0	84	0.0	14
46.5	11.0	49.7	4.54	2.32	0	0	83	0.0	14
47.5	10.7	53.3	4.23	3.19	0	0	82	0.0	14
48.5	10.4	52.0	2.18	3.23	0	0	81	0.0	14
49.5	10.0	54.3	3.07	2.86	0	0	80	0.0	14
50.5	7.9	76.9	1.5	1.61	0	0	79	0.2	14
51.5	7.2	83.6	-0.41	0.8	0	0	78	0.0	14
52.5	6.8	87.0	0.48	-0.12	0	0	77	0.0	14
53.5	6.9	82.9	-0.0	0.2	0	0	76	0.0	14
54.5	7.5	70.4	0.82	1.01	0	0	75	0.0	14
