#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	5.3	92.8	-0.21	0.21	0	0	50	0.0	14
0.5	5.3	92.8	-0.21	0.21	0	0	50	0.0	14
1.5	5.0	93.6	0.14	-0.14	0	0	58	0.0	14
2.5	4.8	94.4	-0.1	-0.0	0	0	67	0.1	14
3.5	4.6	94.9	0.11	-0.59	0	0	75	0.1	14
4.5	4.6	95.1	-0.1	-0.49	0	0	83	0.1	14
5.5	4.7	95.1	0.1	0.0	0	0	92	0.1	14
6.5	4.8	95.1	0.2	0.0	0	0	100	0.2	14
7.5	4.9	95.2	0.48	0.12	0	0	96	0.6	14
8.5	4.9	95.2	0.28	-0.42	0	4	92	0.1	14
9.5	5.3	95.6	0.09	-0.28	0	25	88	0.0	14
10.5	6.0	95.7	0.0	-0.5	0	61	83	0.0	14
11.5	7.3	96.7	-0.14	-0.14	39	130	79	0.0	14
12.5	8.3	82.7	-0.27	1.17	191	151	75	0.0	14
13.5	8.6	72.0	0.52	2.44	126	127	75	0.0	14
14.5	8.9	65.0	0.86	3.7	415	110	75	0.0	14
15.5	7.7	68.1	1.52	3.26	164	40	75	0.0	14
16.5	6.8	74.6	0.52	2.44	0	0	75	0.0	14
17.5	6.0	79.9	0.52	1.93	0	0	75	0.0	14
18.5	5.4	86.7	1.3	1.09	0	0	75	0.0	14
19.5	5.4	89.3	1.94	1.41	0	0	77	0.0	14
20.5	5.3	89.3	0.99	0.99	0	0	79	0.0	14
21.5	5.2	87.6	2.18	1.76	0	0	81	0.0	14
22.5	5.4	85.8	2.34	2.03	0	0	83	0.0	14
23.5	5.6	85.4	0.92	1.31	0	0	85	0.0	14
24.5	5.8	84.1	0.88	1.09	0	0	88	0.0	14
25.5	6.1	80.4	2.17	2.88	0	0	90	0.0	14
26.5	6.2	77.8	3.11	2.18	0	0	92	0.0	14
27.5	6.0	79.6	3.23	2.18	0	0	94	0.0	14
28.5	6.1	79.2	2.06	2.45	0	0	96	0.0	14
29.5	6.5	75.6	1.6	2.77	0	0	98	0.0	14
30.5	6.8	71.7	3.15	2.46	0	0	100	0.0	14
31.5	6.9	71.2	2.57	1.73	0	0	96	0.0	14
32.5	7.5	69.2	1.66	2.13	65	42	92	0.0	14
33.5	8.6	65.7	2.5	2.59	293	80	88	0.0	14
34.5	9.3	64.2	3.81	3.68	104	136	83	0.0	14
35.5	9.7	63.2	4.17	4.03	106	155	79	0.0	14
36.5	10.5	60.2	5.21	2.77	268	143	75	0.0	14
37.5	11.2	59.2	5.14	3.47	153	127	79	0.0	14
38.5	10.9	60.7	4.02	4.32	0	50	83	0.0	14
39.5	11.1	61.7	4.3	3.74	0	7	88	0.0	14
