#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	0.5	83.3	0.57	0.7	0	0
0.5	0.5	83.3	0.57	0.7	0	0
1.5	-0.5	81.0	0.72	0.83	0	0
2.5	-1.1	80.1	0.72	0.96	0	0
3.5	-1.6	78.9	0.72	1.2	0	0
4.5	-1.8	79.1	0.66	1.35	0	0
5.5	-1.7	79.7	0.47	1.53	0	0
6.5	-1.4	80.0	-0.1	1.5	0	0
7.5	-1.2	78.7	-0.07	1.4	0	0
8.5	-1.1	76.7	0.62	1.9	0	16
9.5	-1.0	76.2	0.39	0.45	0	82
10.5	-0.6	71.4	-0.17	0.11	279	122
11.5	0.3	66.3	-0.65	0.25	439	130
12.5	0.8	61.7	-0.74	0.52	570	88
13.5	0.6	65.7	0.17	1.99	563	72
14.5	0.1	66.0	1.31	2.01	426	59
15.5	-0.9	70.7	1.13	2.67	0	17
16.5	-1.6	75.0	0.26	1.88	0	0
17.5	-2.6	77.3	1.06	2.48	0	0
18.5	-2.8	80.0	-0.65	0.89	0	0
19.5	-1.7	74.1	0.52	1.93	0	0
20.5	-2.2	75.8	0.23	1.28	0	0
21.5	-1.9	76.9	0.13	1.49	0	0
22.5	-0.8	79.4	-0.25	0.65	0	0
23.5	-0.2	73.9	-0.0	1.0	0	0
24.5	0.1	80.9	-1.6	-0.03	0	0
25.5	0.3	82.2	-0.66	-1.35	0	0
26.5	0.1	91.7	-1.43	1.54	0	0
27.5	0.8	92.9	-3.09	-1.64	0	0
28.5	0.8	92.5	-1.94	-1.03	0	0
29.5	0.7	92.7	-1.0	-0.0	0	0
30.5	1.0	92.7	-0.4	0.06	0	0
31.5	1.5	92.5	-0.31	-1.16	0	0
32.5	2.3	92.7	-1.68	-1.26	0	22
33.5	3.2	91.9	-1.05	-1.82	0	30
34.5	3.3	90.9	-0.45	-0.66	1	109
35.5	3.4	90.2	-1.67	-0.67	0	97
36.5	3.8	85.7	-0.2	0.67	50	150
37.5	4.2	83.3	-0.86	-0.26	141	130
38.5	3.9	87.2	0.1	1.1	0	58
39.5	3.4	89.2	-0.69	0.41	0	33
40.5	2.9	92.2	0.35	1.15	0	0
41.5	2.8	92.2	0.48	0.64	0	0
42.5	2.8	92.4	0.25	0.43	0	0
43.5	2.9	93.1	0.34	1.05	0	0
44.5	2.5	94.2	0.7	0.39	0	0
45.5	1.3	93.9	0.06	0.6	0	0
46.5	2.1	93.9	0.66	1.56	0	0
47.5	1.3	93.1	0.23	0.33	0	0
48.5	1.7	94.0	0.53	0.96	0	0
49.5	2.3	94.2	0.41	1.54	0	0
50.5	2.4	94.3	-0.1	0.49	0	0
51.5	2.3	94.4	0.38	0.93	0	0
52.5	1.8	94.4	0.34	0.72	0	0
53.5	1.8	93.8	0.15	1.39	0	0
54.5	1.4	93.5	0.28	1.98	0	0
55.5	0.7	92.0	0.28	1.06	0	0
56.5	0.8	91.9	0.5	0.87	0	28
57.5	1.2	92.8	-0.34	0.37	0	51
58.5	3.3	85.9	-0.39	0.32	480	122
59.5	3.9	76.2	-0.96	-0.29	653	97
60.5	4.7	63.8	-0.34	0.49	342	141
61.5	4.8	59.6	0.67	1.0	496	113
62.5	3.7	62.0	1.32	1.76	208	80
63.5	2.6	67.0	0.94	0.9	0	23
64.5	1.0	73.6	0.4	0.69	0	0
65.5	0.7	78.0	0.4	0.69	0	0
66.5	0.2	82.7	0.38	0.13	0	0
67.5	0.5	79.3	0.43	0.25	0	0
68.5	0.6	77.9	0.3	0.4	0	0
69.5	-0.1	79.1	0.42	0.42	0	0
70.5	0.0	80.0	0.63	0.49	0	0
71.5	1.2	74.3	0.35	0.48	0	0
72.5	1.1	73.7	0.89	0.45	0	0
73.5	1.2	80.7	0.35	-0.61	0	0
74.5	1.4	90.2	-0.3	0.52	0	0
75.5	2.0	93.8	-1.24	0.38	0	0
76.5	1.9	93.9	-0.27	0.54	0	0
77.5	1.8	94.6	1.04	0.94	0	0
78.5	2.3	87.3	6.17	2.62	0	0
79.5	1.6	91.3	6.96	1.86	0	0
80.5	1.2	90.1	5.29	0.37	0	11
81.5	0.5	89.6	-1.02	-3.56	0	27
82.5	0.3	89.6	-0.36	-1.25	0	90
83.5	0.6	85.3	-0.96	-0.53	206	150
84.5	0.6	81.3	1.51	0.98	703	90
85.5	-0.3	83.7	0.76	1.17	694	66
86.5	-0.3	80.2	0.9	1.44	418	76
87.5	-1.8	76.9	1.93	2.56	0	21
88.5	-2.1	78.7	2.41	3.44	0	0
89.5	-2.8	78.7	2.64	3.77	0	0
90.5	-3.3	77.0	2.24	3.32	0	0
91.5	-4.2	78.8	0.83	2.57	0	0
92.5	-4.7	79.3	1.18	2.54	0	0
93.5	-5.4	81.1	0.38	2.67	0	0
94.5	-6.0	81.7	0.4	2.26	0	0
95.5	-7.1	82.1	0.7	2.3	0	0
96.5	-7.1	82.5	0.15	1.19	0	0
97.5	-6.4	84.5	0.3	1.06	0	0
98.5	-5.0	80.9	0.65	1.01	0	0
99.5	-4.6	79.3	0.67	1.11	0	0
100.5	-3.9	78.6	0.41	1.34	0	0
101.5	-3.6	81.2	0.31	1.16	0	0
102.5	-3.1	79.5	0.82	1.93	0	0
103.5	-2.7	79.5	0.4	1.86	0	0
104.5	-2.9	79.9	0.7	1.66	0	32
105.5	-4.0	85.1	0.63	1.14	0	51
106.5	-2.7	79.1	-1.09	0.51	542	114
107.5	-0.8	69.0	0.16	0.48	744	65
108.5	-0.3	67.8	0.55	0.84	442	141
109.5	-1.0	73.8	0.28	1.06	19	125
110.5	-0.4	75.0	1.19	0.74	34	85
111.5	0.3	71.8	2.8	0.05	0	23
112.5	0.1	76.5	-1.0	-0.05	0	0
113.5	-0.1	81.2	0.27	0.75	0	0
114.5	-0.1	84.6	-0.2	0.46	0	0
115.5	0.1	84.0	-0.0	1.4	0	0
116.5	-0.1	83.5	1.21	0.88	0	0
117.5	-0.2	83.9	1.08	1.04	0	0
118.5	0.5	81.6	1.13	0.82	0	0
119.5	0.7	82.1	1.12	1.28	0	0
120.5	0.8	83.4	1.56	1.09	0	0
121.5	1.1	88.9	2.46	1.54	0	0
122.5	0.9	91.6	-0.07	0.5	0	0
123.5	0.9	92.6	0.79	0.12	0	0
124.5	1.0	93.2	0.42	0.42	0	0
125.5	1.1	94.1	0.28	0.42	0	0
126.5	1.1	94.4	0.42	0.28	0	0
127.5	-0.2	95.4	0.45	0.23	0	0
128.5	0.2	94.6	0.37	0.59	0	34
129.5	1.6	94.5	1.14	-0.37	0	52
130.5	2.1	94.2	0.9	0.08	0	45
131.5	2.5	92.0	1.36	0.34	0	95
132.5	3.0	83.6	2.08	-0.26	0	108
133.5	3.8	68.7	2.38	-1.06	5	122
134.5	3.2	73.1	0.27	1.07	13	87
135.5	3.0	77.9	1.47	0.29	0	33
136.5	2.7	81.0	1.32	1.37	0	0
137.5	3.1	72.4	3.3	-0.12	0	0
138.5	2.8	74.6	2.35	0.5	0	0
139.5	2.3	75.5	1.14	0.37	0	0
140.5	1.8	78.0	0.95	1.41	0	0
141.5	2.5	63.9	1.43	0.46	0	0
142.5	2.0	68.7	0.95	1.53	0	0
143.5	1.9	70.9	3.33	1.62	0	0
144.5	0.3	83.5	0.49	1.1	0	0
145.5	0.7	79.4	2.75	2.0	0	0
146.5	-0.3	76.6	2.41	1.95	0	0
147.5	-0.8	78.7	1.36	2.1	0	0
148.5	-1.9	78.2	0.55	1.61	0	0
149.5	-3.5	81.4	0.61	1.59	0	0
150.5	-4.4	82.3	0.45	1.95	0	0
151.5	-5.1	83.5	0.16	1.49	0	0
152.5	-4.9	80.3	0.29	2.38	0	22
153.5	-5.6	81.5	0.08	1.5	0	52
154.5	-3.6	74.6	0.02	1.1	496	135
155.5	-1.5	60.3	0.56	2.23	739	83
156.5	-1.7	57.4	0.39	1.14	574	111
157.5	-2.0	58.4	0.84	1.81	257	128
158.5	-2.3	60.9	1.17	1.5	72	93
159.5	-2.4	64.4	0.62	0.79	0	43
160.5	-2.3	67.9	0.57	1.28	0	0
161.5	-2.3	69.4	1.01	2.5	0	0
162.5	-2.9	72.2	0.93	1.43	0	0
163.5	-3.0	74.9	0.67	0.74	0	0
164.5	-3.4	77.0	0.58	1.05	0	0
165.5	-3.0	77.4	0.92	0.39	0	0
166.5	-2.7	77.0	0.75	0.29	0	0
167.5	-2.5	77.5	0.82	0.88	0	0
168.5	-2.0	78.3	0.44	0.54	0	0
169.5	-1.5	78.6	0.65	0.25	0	0
170.5	-1.1	77.9	0.27	0.54	0	0
171.5	-0.1	74.1	-0.05	1.5	0	0
172.5	-0.5	75.8	0.23	1.28	0	0
173.5	-0.8	77.1	-0.41	1.13	0	0
174.5	-1.0	78.8	0.73	1.08	0	0
175.5	-0.5	80.4	0.34	1.05	0	0
176.5	-0.3	81.8	0.32	0.62	0	42
177.5	1.1	76.0	0.33	1.56	0	103
178.5	2.0	69.4	-0.49	0.34	24	138
179.5	3.1	62.6	-0.66	-0.23	196	166
180.5	3.1	57.6	0.32	0.24	244	155
181.5	3.1	65.6	4.47	-1.45	5	114
182.5	3.0	63.7	3.74	-1.91	0	69
183.5	3.0	64.5	1.6	-2.05	0	22
184.5	2.8	66.3	1.09	-0.51	0	0
185.5	2.2	75.3	0.9	0.63	0	0
186.5	2.1	79.5	0.43	0.26	0	0
187.5	1.7	85.4	0.64	0.48	0	0
188.5	1.6	88.1	0.71	0.36	0	0
189.5	1.4	91.1	0.45	0.4	0	0
190.5	1.2	93.8	0.39	0.45	0	0
191.5	1.2	94.4	0.5	0.06	0	0
192.5	1.2	94.3	0.3	0.0	0	0
193.5	1.2	94.2	0.3	0.0	0	0
194.5	1.3	94.0	0.4	0.0	0	0
195.5	1.3	94.1	0.4	0.0	0	0
196.5	1.5	94.1	0.4	0.0	0	0
197.5	1.5	94.4	0.4	0.0	0	0
198.5	1.7	94.2	0.3	0.0	0	0
199.5	1.8	94.3	0.3	0.0	0	0
200.5	2.0	95.3	0.3	0.0	0	28
201.5	2.2	97.6	0.32	0.38	0	58
202.5	2.4	97.6	0.18	0.47	0	69
203.5	3.1	95.2	0.28	0.42	26	144
204.5	3.5	80.2	0.3	0.52	54	154
205.5	3.8	85.2	-0.0	0.6	0	99
206.5	3.6	89.5	0.12	0.59	0	49
207.5	3.3	91.8	0.39	0.46	0	25
208.5	3.1	93.0	0.08	0.06	0	0
209.5	3.1	93.9	0.62	0.65	0	0
210.5	3.0	93.9	0.34	0.5	0	0
211.5	3.0	93.9	0.67	0.6	0	0
212.5	2.9	93.8	0.39	0.45	0	0
213.5	2.7	93.6	0.25	0.31	0	0
214.5	2.8	93.6	0.17	0.68	0	0
215.5	2.8	93.9	0.17	1.19	0	0
216.5	2.8	94.0	0.57	0.94	0	0
217.5	2.8	93.5	1.17	1.5	0	0
218.5	2.9	92.8	1.51	1.86	0	0
