#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	3.1	87.9	0.41	1.65	0	0	0.0	50
0.5	3.1	87.9	0.41	1.65	0	0	0.0	50
1.5	3.0	86.4	0.11	1.3	0	0	0.0	50
2.5	2.9	86.1	0.66	0.76	0	0	0.0	50
3.5	2.8	86.1	0.76	0.93	0	0	0.0	50
4.5	2.6	87.0	0.28	0.29	0	0	0.0	50
5.5	2.6	88.4	0.86	0.25	0	0	0.1	50
6.5	2.4	90.5	-0.74	-0.31	0	0	0.2	50
7.5	2.5	92.1	-0.11	0.89	0	0	0.4	50
8.5	2.3	94.0	-0.1	0.49	0	5	1.4	50
9.5	3.0	92.5	-0.04	0.4	0	14	3.0	50
10.5	3.4	92.0	-0.7	0.05	0	22	2.7	50
11.5	3.8	91.7	-0.74	-0.31	0	39	3.1	50
12.5	3.6	92.5	-0.93	-0.36	0	26	4.4	50
13.5	3.0	93.8	-0.78	-0.45	0	19	2.2	50
14.5	3.0	94.1	-0.64	-0.27	0	16	0.2	50
15.5	2.8	94.5	0.3	0.52	0	7	0.1	50
16.5	2.4	94.9	0.14	0.99	0	0	0.0	50
17.5	2.6	93.2	-0.36	-0.18	0	0	0.0	50
18.5	2.7	94.0	0.38	0.59	0	0	0.0	50
19.5	2.8	94.5	-1.16	-1.38	0	0	0.0	50
20.5	3.2	93.9	1.09	0.71	0	0	0.0	50
21.5	2.6	94.7	-0.37	-1.14	0	0	0.0	50
22.5	2.7	94.3	0.81	-0.4	0	0	0.0	50
23.5	2.6	93.8	-0.16	-0.99	0	0	0.0	50
24.5	2.6	94.2	0.67	0.6	0	0	0.0	50
25.5	4.0	93.1	-1.62	1.18	0	0	0.0	50
26.5	8.0	78.5	1.18	2.54	0	0	1.2	50
27.5	7.4	68.4	-2.22	3.69	0	0	0.0	50
28.5	7.5	53.7	-1.7	2.35	0	0	0.0	50
29.5	7.0	48.3	3.2	3.44	0	0	0.0	50
30.5	6.0	49.7	2.86	3.07	0	0	0.0	50
31.5	5.6	49.3	1.07	3.12	0	0	0.0	50
32.5	5.4	49.6	0.77	1.52	0	29	0.0	50
33.5	6.1	42.5	-0.68	1.45	0	60	0.0	50
34.5	5.3	49.0	2.68	2.41	0	38	0.0	50
35.5	3.6	71.6	1.6	0.08	0	56	0.1	50
36.5	3.1	78.8	1.23	1.58	0	26	0.5	50
37.5	2.8	85.2	1.17	1.87	0	20	1.9	50
38.5	2.3	88.6	1.13	0.65	0	20	2.6	50
39.5	2.4	89.7	1.14	1.52	0	7	0.3	50
40.5	2.1	91.0	0.88	1.46	0	0	0.7	50
41.5	1.9	90.5	0.97	1.75	0	0	0.7	50
42.5	1.9	90.6	0.68	0.73	0	0	0.4	50
43.5	1.6	92.9	2.05	1.91	0	0	0.2	50
44.5	2.0	91.5	1.0	0.67	0	0	1.9	50
45.5	1.0	93.6	1.09	1.56	0	0	0.8	50
46.5	1.4	94.0	2.25	1.82	0	0	0.4	50
47.5	1.2	94.0	1.67	1.99	0	0	1.5	50
48.5	1.4	93.4	1.66	1.29	0	0	1.3	50
49.5	1.9	93.5	0.76	-2.49	0	0	0.7	50
50.5	2.6	90.5	1.32	-0.46	0	0	0.2	50
51.5	3.3	81.1	2.25	0.48	0	0	0.0	50
52.5	3.4	77.8	2.8	0.1	0	0	0.3	50
53.5	3.1	82.6	0.68	-0.87	0	0	0.0	30
54.5	3.0	83.3	1.06	-0.92	0	0	0.1	30
55.5	3.0	81.1	2.67	-1.13	0	0	0.2	30
56.5	2.8	81.0	2.9	-0.15	0	18	0.1	30
57.5	2.8	85.3	-0.41	-1.65	0	35	0.0	30
58.5	2.2	90.2	0.06	-1.6	0	29	0.1	30
59.5	2.1	91.7	-0.05	-1.4	0	38	0.3	30
60.5	1.9	91.8	1.09	-1.3	0	60	0.8	30
61.5	2.3	90.2	2.25	-0.48	0	59	0.1	30
62.5	2.5	88.5	3.7	0.13	0	28	0.0	30
63.5	2.5	87.0	5.6	0.0	0	9	0.0	30
64.5	2.2	86.9	5.16	-0.63	0	0	0.0	30
65.5	1.9	87.0	6.11	-1.08	0	0	0.0	30
66.5	1.8	83.1	4.46	-1.11	0	0	0.0	30
67.5	1.0	82.1	6.6	-1.16	0	0	0.0	30
68.5	0.4	80.6	5.65	-1.3	0	0	0.0	30
69.5	-0.2	80.9	5.14	-1.97	0	0	0.0	30
70.5	-0.8	81.1	4.84	-2.16	0	0	0.0	30
71.5	-1.0	79.6	3.4	-2.29	0	0	0.0	30
72.5	-1.1	78.5	2.29	-1.61	0	0	0.0	30
73.5	-1.4	77.8	1.94	-1.88	0	0	0.0	30
74.5	-1.5	76.0	0.55	-0.84	0	0	0.0	30
75.5	-1.3	76.2	0.84	-0.71	0	0	0.0	30
76.5	-1.5	80.1	-0.79	-0.1	0	0	0.0	30
77.5	-2.0	83.2	-0.5	0.05	0	0	0.0	30
78.5	-2.1	86.1	-0.89	-0.16	0	0	0.0	30
79.5	-2.2	80.8	-0.98	-0.5	0	0	0.0	30
80.5	-2.8	78.2	0.26	0.42	0	18	0.0	30
81.5	-2.7	83.1	-0.39	0.09	0	57	0.0	30
82.5	-1.7	73.6	-0.39	0.32	440	127	0.0	30
83.5	-1.2	63.0	0.26	1.88	707	68	0.0	30
84.5	-1.1	60.8	0.41	1.54	744	63	0.0	30
85.5	-1.3	62.8	0.54	2.03	704	59	0.0	30
86.5	-1.4	61.8	0.79	2.58	399	78	0.0	30
87.5	-2.3	66.6	0.74	2.6	0	19	0.0	30
88.5	-2.4	68.7	0.94	3.06	0	0	0.0	30
89.5	-1.7	68.8	-0.07	1.3	0	0	0.0	30
90.5	-1.6	69.6	-0.13	1.09	0	0	0.0	30
91.5	-1.5	67.8	0.32	1.05	0	0	0.0	30
92.5	-1.5	70.7	0.36	1.04	0	0	0.0	30
93.5	-1.0	69.2	0.41	0.8	0	0	0.0	30
94.5	-1.0	70.1	0.2	2.29	0	0	0.0	30
95.5	-0.9	74.1	-0.62	-0.32	0	0	0.0	30
96.5	-1.2	80.7	-1.95	-0.79	0	0	0.1	30
97.5	-1.6	87.8	-1.04	-0.36	0	0	0.8	30
98.5	-1.9	91.8	-0.0	0.0	0	0	2.4	30
99.5	-1.9	93.1	-0.15	0.14	0	0	2.0	30
100.5	-1.8	93.5	-0.3	-0.4	0	0	2.1	30
101.5	-1.7	93.7	-0.05	-0.08	0	0	2.2	80
102.5	-1.5	93.2	0.12	0.38	0	0	2.3	80
