#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	PRECIPITATION	ALBEDO
0.0	0.5	90.1	0.66	0.76	0	0	0.0	14
0.5	0.5	90.1	0.66	0.76	0	0	0.0	14
1.5	0.0	89.9	0.52	0.97	0	0	0.0	14
2.5	-0.3	89.6	0.37	0.59	0	0	0.0	14
3.5	-0.7	89.4	0.64	1.02	0	0	0.0	14
4.5	-0.9	89.4	0.27	0.64	0	0	0.0	14
5.5	-1.1	89.4	-0.19	0.46	0	0	0.0	14
6.5	-1.3	89.7	0.47	0.88	0	0	0.0	14
7.5	-1.1	89.0	0.27	0.54	0	0	0.0	14
8.5	-1.1	88.4	0.38	0.59	0	34	0.0	14
9.5	0.2	86.6	0.23	0.45	0	79	0.0	14
10.5	2.8	85.3	0.26	0.3	313	120	0.0	14
11.5	3.4	84.2	-0.56	-0.22	24	151	0.0	14
12.5	5.4	69.7	-0.3	0.26	442	120	0.0	14
13.5	5.6	69.1	0.89	-0.45	108	129	0.0	14
14.5	3.4	79.3	0.57	0.82	0	58	0.0	14
15.5	2.9	81.9	0.37	0.59	0	28	0.0	14
16.5	2.7	82.4	0.27	0.64	0	0	0.0	14
17.5	2.6	81.7	1.64	2.02	0	0	0.0	14
18.5	1.6	86.0	-0.3	-0.02	0	0	0.0	14
19.5	1.7	85.8	0.46	0.53	0	0	0.0	14
20.5	1.6	86.2	0.52	0.6	0	0	0.0	14
21.5	1.9	85.4	0.25	0.76	0	0	0.0	14
22.5	2.3	84.3	0.06	1.6	0	0	0.0	14
23.5	2.8	85.7	-0.3	0.74	0	0	0.0	14
24.5	2.5	86.1	-0.41	0.69	0	0	0.0	14
25.5	2.3	87.0	0.72	0.83	0	0	0.0	14
26.5	2.2	88.8	-0.04	0.5	0	0	0.0	14
27.5	4.0	81.5	2.06	1.24	0	0	0.0	14
28.5	4.1	79.2	0.82	1.93	0	0	0.0	14
29.5	3.4	83.8	0.14	0.79	0	0	0.0	14
30.5	2.3	88.0	0.19	0.78	0	0	0.0	14
31.5	2.0	86.4	0.33	0.38	0	0	0.0	14
32.5	2.3	87.5	-0.0	-0.6	0	32	0.0	14
33.5	3.3	88.2	-0.52	-0.6	0	34	0.0	14
34.5	4.2	88.5	-0.76	-0.49	0	39	0.0	14
35.5	4.9	87.7	-1.2	-0.49	0	63	0.0	14
36.5	5.0	85.4	-0.69	0.98	0	55	0.0	14
37.5	5.6	82.5	-0.8	0.41	0	75	0.0	14
38.5	6.1	79.8	0.19	-0.46	0	66	0.0	14
39.5	7.2	71.1	-0.6	-0.92	0	21	0.0	14
40.5	7.7	71.0	2.62	-1.45	0	0	0.0	14
41.5	6.9	81.4	3.69	1.27	0	0	2.6	14
42.5	5.4	78.7	1.14	3.73	0	0	1.5	14
43.5	4.0	89.7	1.01	2.07	0	0	0.3	14
44.5	4.0	88.9	1.11	2.89	0	0	0.0	14
45.5	4.9	80.2	2.37	2.29	0	0	0.0	14
46.5	4.3	83.9	1.06	0.75	0	0	0.0	14
47.5	4.1	87.3	1.63	2.52	0	0	0.0	14
48.5	4.0	88.5	1.77	2.04	0	0	0.0	14
49.5	4.1	87.1	1.27	2.61	0	0	0.0	14
50.5	3.9	87.9	0.88	1.8	0	0	0.0	14
51.5	3.2	90.0	1.06	1.7	0	0	0.0	14
52.5	2.3	91.6	0.09	1.0	0	0	0.0	14
53.5	1.4	91.9	-0.07	1.9	0	0	0.0	14
54.5	1.3	91.1	0.16	0.99	0	0	0.0	14
55.5	0.3	92.2	0.42	0.8	0	0	0.0	14
56.5	0.5	93.7	-0.28	0.12	0	62	0.0	14
57.5	2.4	89.7	0.13	0.15	0	91	0.0	14
58.5	3.1	91.5	-0.28	-0.11	0	38	0.0	14
59.5	3.8	90.9	-0.23	-0.45	0	45	0.0	14
60.5	4.2	87.6	-1.14	0.39	0	43	0.0	14
61.5	4.6	84.3	-1.02	-0.41	0	51	0.0	14
62.5	4.7	86.6	-1.12	-0.84	0	51	0.0	14
63.5	4.3	86.9	-1.48	-0.6	0	23	0.0	14
64.5	4.3	86.6	0.5	0.75	0	0	0.0	14
65.5	4.3	87.5	-1.11	-0.67	0	0	0.0	14
66.5	4.3	90.1	-0.8	-0.41	0	0	0.0	14
67.5	4.5	91.0	-0.49	1.2	0	0	0.0	14
68.5	4.7	91.4	-0.52	-0.97	0	0	0.9	14
69.5	5.6	91.8	1.24	0.66	0	0	0.7	14
70.5	9.0	77.8	0.27	1.68	0	0	1.6	14
71.5	8.7	71.0	-0.0	2.1	0	0	0.1	14
72.5	8.7	60.7	1.85	3.2	0	0	0.0	14
73.5	6.7	61.9	2.57	4.64	0	0	0.1	14
74.5	6.0	61.6	1.28	-0.23	0	0	0.0	14
75.5	5.1	65.9	0.59	0.68	0	0	0.0	14
76.5	3.6	76.0	1.2	3.71	0	0	0.0	14
77.5	2.0	81.4	0.85	0.98	0	0	0.0	14
78.5	0.8	85.4	0.7	0.97	0	0	0.0	14
79.5	0.1	87.5	0.26	0.3	0	0	0.0	14
80.5	0.2	87.1	0.09	1.0	0	26	0.0	14
81.5	1.2	85.6	0.12	0.69	0	88	0.0	14
82.5	2.1	87.7	-0.3	-0.02	80	142	0.0	14
83.5	3.8	77.8	-0.9	-0.06	121	184	0.0	14
84.5	4.9	76.8	-0.93	-0.58	281	149	0.0	14
85.5	5.5	66.6	-1.21	-0.88	366	112	0.0	14
86.5	5.4	67.1	0.27	0.54	382	72	0.0	14
87.5	3.5	69.1	0.52	0.6	0	31	0.0	14
88.5	1.7	75.0	0.37	0.59	0	0	0.0	14
89.5	1.5	76.3	0.27	0.54	0	0	0.0	14
90.5	3.2	78.2	-0.31	-0.95	0	0	0.0	14
91.5	9.5	55.7	3.69	5.47	0	0	0.0	14
92.5	6.7	76.4	0.45	3.67	0	0	0.4	14
93.5	6.2	80.8	0.4	-1.24	0	0	0.1	14
94.5	5.2	89.1	0.59	1.7	0	0	0.1	14
95.5	6.1	78.4	0.68	1.77	0	0	0.0	14
96.5	7.5	56.6	1.55	2.91	0	0	0.0	14
97.5	8.9	40.9	3.21	3.57	0	0	0.0	14
98.5	8.2	45.8	3.22	3.7	0	0	0.0	14
99.5	7.9	49.7	2.6	1.5	0	0	0.0	14
100.5	7.2	55.5	-0.06	3.5	0	0	0.0	14
101.5	7.2	46.8	0.49	3.47	0	0	0.0	14
102.5	7.0	40.0	1.24	2.06	0	0	0.0	14
103.5	6.4	37.1	2.46	2.63	0	0	0.0	14
104.5	6.9	34.5	3.31	2.59	0	38	0.0	14
105.5	6.3	40.2	4.42	1.61	0	49	0.0	14
106.5	6.9	42.4	1.94	1.88	505	150	0.0	14
107.5	6.6	44.6	-2.06	0.4	810	63	0.0	14
108.5	6.1	47.3	0.91	2.65	749	85	0.0	14
109.5	5.8	46.8	0.58	2.02	517	100	0.0	14
110.5	5.0	49.2	0.48	1.94	360	79	0.0	14
111.5	3.9	53.4	0.64	1.02	0	39	0.0	14
112.5	2.8	57.1	0.19	0.78	0	0	0.0	14
113.5	1.6	61.5	0.41	0.8	0	0	0.0	14
114.5	1.4	61.7	0.23	0.45	0	0	0.0	14
115.5	1.1	66.3	0.23	0.55	0	0	0.0	14
116.5	2.4	60.8	0.12	0.48	0	0	0.0	14
117.5	3.0	68.8	-0.45	0.39	0	0	0.0	14
118.5	3.6	66.6	-0.52	-0.6	0	0	0.0	14
119.5	9.3	51.8	4.99	-0.35	0	0	0.0	14
