#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	6.0	85.2	1.06	2.48	0	0	93
0.5	6.0	85.2	1.06	2.48	0	0	93
1.5	6.6	84.5	1.7	2.35	0	0	91
2.5	6.9	83.5	2.18	2.34	0	0	89
3.5	7.4	82.1	2.64	2.14	0	0	88
4.5	7.6	80.7	2.88	2.17	0	0	87
5.5	7.6	79.6	2.78	1.95	0	0	86
6.5	7.6	78.4	2.9	1.96	0	0	86
7.5	7.7	77.7	2.74	1.46	0	0	83
8.5	7.6	77.4	1.16	0.29	174	40	79
9.5	8.5	74.6	2.58	0.79	427	67	75
10.5	9.2	71.9	3.25	0.99	531	110	71
11.5	9.2	72.3	2.99	0.21	141	137	67
12.5	9.7	70.0	3.59	0.9	387	129	62
13.5	9.7	68.3	3.17	1.22	124	118	69
14.5	9.8	67.5	1.74	2.07	31	71	75
15.5	9.2	68.2	0.42	1.96	0	25	81
16.5	8.9	70.9	1.18	1.97	0	0	88
17.5	8.2	81.1	1.76	1.64	0	0	94
18.5	7.8	85.6	0.72	3.12	0	0	100
19.5	8.5	78.0	1.87	4.2	0	0	99
20.5	9.0	73.5	2.83	2.83	0	0	98
21.5	9.8	72.6	6.44	2.47	0	0	97
22.5	9.9	74.1	7.89	2.87	0	0	96
23.5	10.1	74.1	7.6	1.76	0	0	95
24.5	10.6	73.6	7.4	2.12	0	0	94
25.5	11.0	75.8	6.47	1.73	0	0	93
26.5	11.3	76.6	7.51	2.44	0	0	92
27.5	11.3	78.9	8.72	3.52	0	0	91
28.5	11.0	80.4	7.66	3.9	0	0	90
29.5	11.0	83.2	6.72	2.85	0	0	89
30.5	11.0	85.8	5.37	3.1	0	0	88
31.5	10.6	91.1	1.64	3.87	0	0	90
32.5	10.8	88.6	2.22	3.69	0	10	92
33.5	10.7	90.3	2.41	2.68	0	29	94
34.5	11.0	90.7	2.35	3.12	0	45	96
35.5	11.2	89.1	3.43	2.06	0	36	98
36.5	11.5	88.0	2.55	2.55	0	56	100
37.5	11.5	88.7	5.29	0.28	0	12	96
38.5	11.4	86.8	7.29	1.28	0	4	92
39.5	12.8	80.3	9.22	3.0	0	10	88
40.5	13.5	72.5	8.37	2.72	0	0	83
41.5	13.7	66.4	11.54	3.97	0	0	79
42.5	13.8	58.8	11.09	3.39	0	0	75
43.5	13.2	52.9	11.65	4.24	0	0	76
44.5	11.9	58.4	9.4	3.42	0	0	77
45.5	10.5	64.6	9.77	3.56	0	0	78
46.5	10.0	62.1	8.64	3.15	0	0	79
47.5	9.4	64.5	7.88	3.18	0	0	80
48.5	9.2	66.7	7.09	2.44	0	0	81
49.5	8.9	65.4	7.38	2.83	0	0	82
50.5	9.0	63.6	8.12	3.12	0	0	83
51.5	8.5	67.6	7.88	3.18	0	0	84
52.5	8.2	68.5	7.36	2.25	0	0	85
53.5	8.0	70.6	7.09	2.44	0	0	86
54.5	8.0	71.1	6.72	2.58	0	0	88
55.5	8.6	65.4	5.72	1.43	0	0	85
56.5	8.9	62.3	5.01	0.97	0	27	83
57.5	9.1	62.4	3.8	2.02	0	59	81
58.5	10.7	54.4	4.42	3.1	391	134	79
59.5	10.8	53.1	5.53	2.58	106	149	77
60.5	11.5	50.5	4.85	1.21	407	134	75
61.5	10.9	48.3	5.53	1.38	139	122	77
62.5	10.4	52.7	5.77	1.99	5	70	79
63.5	9.9	55.5	3.22	2.01	0	12	81
64.5	8.8	65.2	4.4	2.15	0	0	83
65.5	8.4	68.4	3.48	2.35	0	0	85
66.5	8.3	73.1	4.35	1.5	0	0	88
67.5	8.1	77.8	5.77	1.99	0	0	89
68.5	8.3	78.6	6.86	2.77	0	0	90
69.5	8.5	77.3	6.11	2.22	0	0	91
70.5	8.6	76.6	6.63	2.81	0	0	92
71.5	7.9	84.0	6.58	2.39	0	0	93
72.5	7.9	84.7	6.75	2.19	0	0	94
73.5	7.7	86.5	4.85	0.68	0	0	95
74.5	7.4	88.6	4.17	0.51	0	0	96
75.5	7.0	87.8	5.93	0.94	0	0	97
76.5	6.0	89.7	2.94	-1.5	0	0	98
77.5	5.6	90.2	3.18	-0.39	0	0	99
78.5	5.3	88.8	2.76	0.49	0	0	100
79.5	5.0	89.9	0.64	1.25	0	0	98
80.5	5.5	91.8	-0.11	1.3	0	19	96
81.5	6.1	91.8	-1.29	1.91	0	54	94
82.5	6.4	93.0	-1.14	2.56	0	55	92
83.5	6.7	92.6	-0.61	2.63	0	62	90
84.5	7.0	91.9	0.08	2.4	0	47	88
85.5	7.1	88.4	0.61	2.63	0	52	90
86.5	7.1	88.5	1.08	1.8	0	23	92
87.5	7.1	85.6	3.92	2.0	0	6	94
88.5	6.5	87.0	5.2	1.79	0	0	96
89.5	6.1	86.7	5.26	0.65	0	0	98
90.5	4.7	81.1	6.05	-2.08	0	0	100
91.5	4.0	74.2	4.29	-0.22	0	0	97
92.5	3.6	74.5	3.57	-0.44	0	0	94
93.5	2.8	79.7	4.63	-1.6	0	0	91
94.5	1.9	80.2	4.15	-2.21	0	0	88
95.5	0.9	81.8	3.6	-1.75	0	0	84
96.5	0.5	79.2	3.74	-1.91	0	0	81
97.5	-0.1	78.0	3.25	-0.99	0	0	78
98.5	-0.4	74.7	3.0	-1.6	0	0	75
99.5	-1.0	74.9	4.16	-1.43	0	0	72
100.5	-1.1	71.8	4.1	0.07	0	0	69
101.5	-1.2	74.6	3.08	0.32	0	0	66
102.5	-1.2	69.6	3.7	0.19	0	0	62
103.5	-1.6	76.0	3.29	0.29	0	0	69
104.5	-2.1	84.0	2.96	0.91	0	14	75
105.5	-2.2	87.2	2.56	1.14	0	43	81
106.5	-2.0	84.9	2.81	1.31	0	44	88
107.5	-1.9	84.5	2.87	1.16	0	41	94
108.5	-1.8	84.2	2.61	1.0	0	59	100
109.5	-1.7	84.4	2.36	1.1	0	65	100
110.5	-1.5	81.8	2.26	0.82	0	41	100
111.5	-1.6	84.5	1.54	0.93	0	8	100
112.5	-1.5	84.9	0.91	0.41	0	0	100
113.5	-1.7	86.3	0.14	0.27	0	0	100
114.5	-1.7	85.3	-0.27	-0.14	0	0	100
115.5	-1.5	83.5	0.1	-0.69	0	0	100
116.5	-1.6	86.0	0.21	-1.69	0	0	100
117.5	-1.6	86.9	-0.13	-0.69	0	0	100
118.5	-1.6	86.4	-0.87	-0.5	0	0	100
119.5	-1.5	88.2	0.21	-1.48	0	0	100
120.5	-1.6	89.9	0.48	-0.88	0	0	100
121.5	-1.3	86.2	-0.33	-1.56	0	0	100
122.5	-1.0	81.8	-2.49	-2.32	0	0	100
123.5	-1.1	82.8	-1.59	-2.54	0	0	100
124.5	-1.2	81.5	-2.45	-2.06	0	0	100
125.5	-1.3	81.8	-1.72	-2.46	0	0	100
126.5	-1.6	79.7	-2.24	-3.2	0	0	100
127.5	-1.9	78.8	-2.11	-2.8	0	0	94
128.5	-1.9	76.2	-1.6	-2.77	2	40	88
129.5	-1.8	77.1	-1.63	-3.21	0	65	81
130.5	-1.6	75.0	-1.1	-2.47	85	131	75
131.5	-0.9	70.9	-1.23	-2.41	394	122	69
132.5	-1.0	68.3	-1.24	-2.06	58	141	62
133.5	-1.0	67.1	-1.7	-1.7	0	97	65
134.5	-1.1	67.3	-1.65	-2.26	0	62	67
135.5	-1.5	68.2	-1.5	-2.0	0	21	69
136.5	-1.9	69.4	-1.7	-1.83	0	0	71
137.5	-1.9	70.2	-2.07	-1.74	0	0	73
138.5	-1.8	68.4	-2.22	-2.3	0	0	75
139.5	-2.1	69.1	-3.34	-2.71	0	0	77
140.5	-2.4	69.1	-3.65	-2.96	0	0	79
141.5	-2.5	68.8	-3.17	-1.22	0	0	81
142.5	-2.5	69.6	-2.41	-1.23	0	0	83
143.5	-2.4	70.2	-1.38	-1.71	0	0	85
144.5	-2.4	69.6	-2.89	-1.11	0	0	88
145.5	-2.7	74.7	-3.24	-1.58	0	0	90
146.5	-2.9	73.1	-2.41	-1.23	0	0	92
147.5	-3.0	74.8	-2.29	-1.43	0	0	94
148.5	-2.9	77.1	-1.7	-1.83	0	0	96
149.5	-3.2	83.8	-1.12	-2.01	0	0	98
150.5	-3.2	77.2	-4.54	-1.84	0	0	100
151.5	-3.7	72.2	-3.43	-1.39	0	0	96
152.5	-3.6	73.5	-2.41	-1.23	0	38	92
153.5	-3.4	74.0	-2.1	-0.94	413	73	88
154.5	-2.7	69.7	-2.11	-1.84	98	138	83
155.5	-2.5	67.7	-2.56	-1.93	105	159	79
156.5	-2.5	65.7	-2.33	-0.9	51	145	75
157.5	-1.9	63.7	-1.91	-1.29	140	133	75
158.5	-2.5	77.1	-1.4	-2.99	70	84	75
159.5	-3.3	79.3	-0.41	-2.57	0	23	75
160.5	-3.4	75.2	-2.7	-3.22	0	0	75
161.5	-3.5	74.2	-3.32	-2.89	0	0	75
162.5	-4.0	76.1	-2.52	-2.71	0	0	75
163.5	-4.3	75.0	-2.59	-3.31	0	0	77
164.5	-4.8	76.5	-2.65	-3.51	0	0	79
165.5	-5.2	76.4	-1.48	-3.5	0	0	81
166.5	-5.4	76.3	-1.11	-2.89	0	0	83
167.5	-5.4	77.6	-1.14	-2.56	0	0	85
168.5	-5.4	80.1	-1.58	-2.43	0	0	88
169.5	-5.3	74.8	-3.83	-1.47	0	0	90
170.5	-5.2	76.6	-3.51	-2.11	0	0	92
171.5	-5.3	77.5	-2.45	-2.06	0	0	94
172.5	-5.4	76.8	-3.73	-2.33	0	0	96
173.5	-5.4	77.9	-2.91	-2.12	0	0	98
174.5	-5.5	73.7	-4.51	-1.64	0	0	100
175.5	-5.6	73.4	-3.63	-1.11	0	0	98
176.5	-5.4	74.8	-3.24	-1.31	0	28	96
177.5	-5.2	73.1	-3.62	-1.69	1	83	94
178.5	-4.8	74.4	-3.97	-2.11	3	118	92
179.5	-4.3	72.5	-3.81	-1.78	60	148	90
180.5	-4.0	69.3	-4.54	-2.73	162	161	88
181.5	-3.9	67.5	-4.45	-1.8	102	131	88
182.5	-3.9	69.5	-3.97	-2.11	46	82	88
183.5	-4.3	71.0	-2.92	-2.28	0	23	88
184.5	-4.7	74.0	-1.2	-1.48	0	0	88
185.5	-4.7	73.6	-1.43	-2.05	0	0	88
186.5	-4.9	74.4	-1.62	-2.4	0	0	88
187.5	-5.3	77.1	-1.62	-2.16	0	0	89
188.5	-5.9	80.5	-0.61	-2.63	0	0	90
189.5	-6.2	79.0	-0.99	-2.72	0	0	91
190.5	-6.3	81.3	-0.52	-1.83	0	0	92
191.5	-6.2	81.1	0.0	-1.9	0	0	93
192.5	-6.3	81.8	0.72	-2.7	0	0	94
193.5	-6.4	83.4	-0.09	-2.6	0	0	95
194.5	-6.3	81.6	-0.12	-2.2	0	0	96
195.5	-6.1	81.1	0.08	-2.3	0	0	97
196.5	-5.9	82.3	-1.11	-2.89	0	0	98
197.5	-6.2	82.6	-1.02	-3.14	0	0	99
198.5	-6.3	83.9	-1.11	-2.89	0	0	100
199.5	-6.3	81.3	-1.18	-3.08	0	0	100
200.5	-6.4	82.6	-1.3	-3.57	0	17	100
201.5	-6.2	83.0	-1.48	-3.17	0	45	100
202.5	-6.2	82.9	-1.31	-2.81	0	65	100
203.5	-6.2	81.9	-1.31	-3.24	0	73	100
204.5	-6.2	80.5	-1.3	-3.57	0	81	100
205.5	-6.0	81.1	-2.22	-3.69	0	60	100
206.5	-6.0	79.8	-2.39	-2.95	0	44	100
207.5	-6.0	80.1	-2.63	-1.23	0	29	100
208.5	-6.0	78.9	-2.72	-0.99	0	0	100
209.5	-6.0	80.1	-2.67	-1.94	0	0	100
210.5	-6.8	78.4	-1.23	-4.02	0	0	100
211.5	-6.9	81.2	-1.97	-4.04	0	0	100
212.5	-7.0	83.5	-1.52	-3.59	0	0	100
213.5	-7.1	82.9	-0.7	-3.02	0	0	100
214.5	-7.1	82.2	-0.5	-2.14	0	0	100
215.5	-7.4	81.8	-0.1	-2.8	0	0	100
216.5	-7.5	83.4	-0.41	-2.57	0	0	100
217.5	-7.6	84.6	0.1	-2.9	0	0	100
218.5	-7.9	84.8	0.11	-3.1	0	0	100
219.5	-8.0	85.1	-0.29	-3.29	0	0	100
220.5	-8.0	84.9	-0.2	-2.89	0	0	100
221.5	-8.0	84.7	-0.42	-2.97	0	0	100
222.5	-8.0	84.4	-0.11	-3.1	0	0	100
223.5	-8.1	83.8	-0.32	-3.08	0	0	96
224.5	-7.9	84.3	0.0	-2.1	0	14	92
225.5	-7.7	85.5	-0.28	-2.28	0	51	88
226.5	-7.5	85.0	0.09	-2.7	14	124	83
227.5	-7.1	80.9	-0.3	-2.48	66	152	79
228.5	-6.7	79.8	-0.6	-2.22	3	119	75
229.5	-6.4	78.9	-1.14	-2.45	2	111	79
230.5	-6.3	79.6	-1.38	-2.2	49	85	83
231.5	-6.3	76.1	-0.9	-2.76	0	30	88
232.5	-6.5	74.8	-1.14	-2.23	0	0	92
233.5	-6.5	75.5	-3.02	-2.92	0	0	96
234.5	-6.4	74.7	-3.22	-3.0	0	0	100
235.5	-6.4	77.1	-2.01	-2.23	0	0	100
236.5	-6.3	78.1	-1.59	-2.18	0	0	100
237.5	-6.1	79.0	-1.77	-1.9	0	0	100
238.5	-5.8	76.6	-1.93	-1.74	0	0	100
239.5	-5.5	73.6	-4.26	-1.72	0	0	100
240.5	-5.5	73.4	-4.97	-2.11	0	0	100
241.5	-5.6	72.7	-5.23	-2.01	0	0	100
242.5	-5.8	73.1	-4.92	-1.69	0	0	100
243.5	-5.9	74.9	-6.04	-1.4	0	0	100
244.5	-5.9	74.9	-5.38	-1.14	0	0	100
245.5	-5.8	75.3	-4.52	-1.3	0	0	100
246.5	-5.9	76.1	-3.8	-0.88	0	0	100
247.5	-5.9	75.2	-5.1	-0.99	0	0	100
248.5	-5.9	74.0	-5.97	-1.27	0	31	100
249.5	-5.6	74.5	-5.82	-1.45	0	67	100
250.5	-5.3	77.6	-5.09	-0.27	0	77	100
251.5	-4.9	78.0	-4.07	-1.4	0	72	100
252.5	-4.2	70.2	-4.79	-1.02	0	81	100
253.5	-3.9	66.0	-5.67	-1.63	0	60	100
254.5	-3.7	69.4	-6.03	-2.44	0	42	100
255.5	-3.5	68.5	-6.34	-2.96	0	13	100
256.5	-3.8	68.0	-7.22	-3.68	0	0	100
