#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.4	75.3	2.9	1.96	0	0	50	0.0	14
0.5	3.4	75.3	2.9	1.96	0	0	50	0.0	14
1.5	4.8	71.6	2.3	1.93	0	0	58	0.0	14
2.5	5.8	69.0	1.71	1.03	0	0	67	0.0	14
3.5	6.7	67.5	1.26	1.68	0	0	75	0.0	14
4.5	7.1	66.8	1.26	2.27	0	0	83	0.0	14
5.5	6.9	70.1	2.15	2.23	0	0	92	0.0	14
6.5	7.0	71.4	3.44	2.23	0	0	100	0.0	14
7.5	6.6	79.7	3.09	2.69	0	0	100	0.4	14
8.5	5.8	91.9	0.57	2.94	0	11	100	1.8	14
9.5	6.2	92.3	0.99	3.46	0	20	100	0.9	14
10.5	6.3	92.2	0.56	4.57	0	33	100	0.9	14
11.5	6.5	92.5	1.41	4.9	0	33	100	1.1	14
12.5	6.9	92.4	2.15	5.06	0	31	100	0.8	14
13.5	7.5	92.4	3.1	5.37	0	25	100	2.3	14
14.5	8.4	91.4	6.88	5.0	0	23	100	2.4	14
15.5	8.9	90.9	6.69	4.02	0	4	100	1.5	14
16.5	9.0	93.2	5.89	3.4	0	0	100	5.6	14
17.5	9.7	88.0	6.44	2.74	0	0	100	0.5	14
18.5	9.8	85.7	6.67	2.97	0	0	100	0.0	14
19.5	10.3	80.8	6.65	3.68	0	0	94	0.0	14
20.5	10.7	77.8	6.82	3.78	0	0	88	0.0	14
21.5	10.5	77.2	6.72	4.53	0	0	81	0.0	14
22.5	10.6	75.1	7.35	4.07	0	0	75	0.0	14
23.5	9.5	79.8	9.53	4.65	0	0	69	0.6	14
24.5	8.9	86.6	10.05	4.47	0	0	62	1.4	14
25.5	8.2	86.4	9.51	2.37	0	0	56	1.0	14
26.5	7.3	81.1	8.06	-0.85	0	0	50	0.0	14
27.5	6.0	82.0	8.38	0.59	0	0	44	0.2	14
28.5	5.6	77.1	8.17	1.44	0	0	38	0.1	14
29.5	5.2	67.4	8.71	1.23	0	0	31	0.0	14
30.5	5.2	66.4	5.9	1.92	0	0	25	0.0	14
31.5	5.1	65.7	4.9	2.72	0	0	38	0.0	14
32.5	5.3	66.5	5.74	3.45	0	25	50	0.0	14
33.5	5.7	63.0	6.56	3.64	41	92	62	0.0	14
34.5	6.1	60.4	6.02	2.94	56	130	75	0.0	14
35.5	5.0	72.4	6.3	3.49	3	120	88	0.0	14
36.5	3.3	87.3	4.14	2.8	0	69	100	0.3	14
37.5	2.9	89.3	4.63	2.78	0	32	98	1.6	14
38.5	2.7	88.4	3.96	1.93	0	39	96	0.4	14
39.5	3.6	84.9	2.53	2.12	0	22	94	0.1	14
40.5	3.4	85.6	2.84	2.22	0	0	92	0.0	14
41.5	3.3	85.8	2.99	2.17	0	0	90	0.0	14
42.5	3.1	86.4	1.74	1.93	0	0	88	0.0	14
43.5	3.2	86.6	1.08	2.03	0	0	88	0.1	14
44.5	3.2	86.6	1.03	1.47	0	0	88	0.0	14
45.5	2.9	91.7	-0.18	1.69	0	0	88	0.4	14
46.5	2.5	92.0	1.9	1.77	0	0	88	0.2	14
47.5	2.1	91.7	2.5	1.01	0	0	88	0.0	14
48.5	2.1	91.4	3.15	1.53	0	0	88	0.0	14
49.5	2.3	90.9	0.8	1.02	0	0	88	0.0	14
50.5	2.5	91.9	1.08	1.04	0	0	88	0.0	14
51.5	2.8	90.9	0.68	0.73	0	0	88	0.0	14
52.5	2.3	93.9	-0.45	1.0	0	0	88	0.0	14
53.5	2.3	92.8	-0.41	-0.57	0	0	88	0.0	14
54.5	2.2	93.5	-0.05	0.5	0	0	88	0.0	14
55.5	2.0	93.9	-0.38	-0.12	0	0	90	0.0	14
56.5	2.5	93.7	-0.29	0.09	0	24	92	0.1	14
57.5	3.0	93.5	0.74	-0.3	0	73	94	0.1	14
58.5	3.3	90.9	0.85	-1.36	0	89	96	0.0	14
59.5	3.3	88.8	1.18	-2.43	0	68	98	0.3	14
60.5	2.2	88.6	1.38	-4.81	0	41	100	0.0	14
61.5	1.7	84.5	0.08	-4.5	0	27	88	0.0	14
62.5	0.8	81.4	-0.66	-4.15	0	25	75	0.0	14
63.5	0.1	78.5	-0.15	-4.2	0	8	62	0.0	14
64.5	-0.6	76.7	0.07	-4.0	0	0	50	0.0	14
65.5	-1.7	78.7	1.1	-3.84	0	0	38	0.0	14
66.5	-2.4	76.4	0.48	-3.06	0	0	25	0.0	14
67.5	-2.9	75.6	0.95	-1.87	0	0	30	0.0	14
68.5	-3.2	72.0	0.82	-1.93	0	0	35	0.0	14
69.5	-3.6	77.4	0.36	-0.71	0	0	41	0.0	14
70.5	-4.6	82.3	-0.3	-0.0	0	0	46	0.0	14
71.5	-4.7	82.8	-0.33	-0.23	0	0	51	0.0	14
72.5	-4.7	86.6	-0.78	-0.19	0	0	56	0.0	14
73.5	-3.9	87.7	-0.88	1.09	0	0	61	0.0	14
74.5	-3.2	86.7	-0.47	2.05	0	0	67	0.0	14
75.5	-2.8	85.2	1.39	-0.2	0	0	72	0.0	14
76.5	-2.8	86.9	0.65	1.01	0	0	77	0.0	14
77.5	-2.7	85.7	0.12	1.4	0	0	82	0.0	14
78.5	-2.8	85.4	0.31	0.95	0	0	88	0.0	14
79.5	-2.8	83.7	0.53	0.73	0	0	79	0.0	14
80.5	-2.7	82.9	-0.19	1.18	180	44	71	0.0	14
81.5	-1.5	76.3	0.2	0.56	486	70	62	0.0	14
82.5	-0.7	72.8	-0.56	0.42	437	111	54	0.0	14
83.5	-0.3	71.7	-0.5	0.98	110	153	46	0.0	14
84.5	0.6	65.8	0.38	0.71	550	108	38	0.0	14
85.5	1.2	61.8	0.77	0.64	653	60	48	0.0	14
86.5	1.3	63.2	1.44	0.7	504	52	58	0.0	14
87.5	0.6	67.9	1.48	-0.21	249	28	69	0.0	14
88.5	-0.1	74.6	0.59	0.81	0	0	79	0.0	14
89.5	-0.1	76.2	0.35	0.72	0	0	90	0.0	14
90.5	0.0	74.3	0.79	1.95	0	0	100	0.0	14
91.5	0.1	71.8	0.97	2.08	0	0	100	0.0	14
92.5	0.1	71.2	0.95	1.64	0	0	100	0.0	14
93.5	0.3	72.0	1.53	3.15	0	0	100	0.0	14
94.5	0.5	71.8	3.04	3.04	0	0	100	0.0	14
95.5	-0.3	84.5	2.46	2.63	0	0	100	0.0	14
96.5	-0.4	87.3	1.48	2.38	0	0	100	0.3	14
97.5	-0.3	88.0	2.89	1.6	0	0	100	0.2	14
98.5	-0.1	85.7	3.69	2.4	0	0	100	0.0	14
99.5	-0.2	90.4	4.57	3.57	0	0	100	0.4	14
100.5	-0.1	91.3	3.28	3.77	0	0	100	0.7	14
101.5	0.1	91.3	2.53	3.48	0	0	100	0.8	14
102.5	0.4	90.2	3.28	3.64	0	0	100	0.3	50
103.5	0.7	89.9	3.6	3.02	0	0	100	0.3	50
104.5	1.2	88.7	5.73	4.01	0	16	100	0.0	50
105.5	1.5	87.8	5.12	3.32	0	36	100	0.2	50
106.5	2.2	85.3	4.81	3.24	0	54	100	0.0	50
107.5	2.8	83.3	5.14	3.09	0	67	100	0.0	50
108.5	2.9	84.1	7.03	4.22	0	74	100	0.1	50
109.5	3.0	85.0	7.37	4.43	0	54	100	0.0	50
110.5	3.4	83.2	7.15	3.8	0	24	100	0.0	50
111.5	3.5	85.8	6.89	3.21	0	5	100	0.0	50
112.5	3.9	84.4	8.04	3.58	0	0	100	0.0	50
113.5	4.6	81.2	7.73	3.28	0	0	100	0.0	30
114.5	4.4	83.2	7.75	2.67	0	0	100	0.0	30
115.5	4.2	85.6	7.51	2.44	0	0	100	0.1	30
116.5	4.5	83.5	6.9	2.38	0	0	100	0.0	30
117.5	4.6	81.6	6.52	2.25	0	0	100	0.0	30
118.5	3.9	85.4	6.4	1.6	0	0	100	0.3	30
119.5	4.1	82.9	5.88	2.26	0	0	100	0.0	30
120.5	4.1	81.5	5.89	2.75	0	0	100	0.0	30
121.5	3.6	86.6	6.21	2.77	0	0	100	0.4	30
122.5	3.3	89.3	7.56	2.9	0	0	100	0.5	30
123.5	2.8	91.4	7.92	2.12	0	0	100	1.3	30
124.5	2.8	90.8	5.35	2.49	0	0	100	0.9	30
125.5	2.6	90.5	5.97	3.04	0	0	100	0.5	14
126.5	2.3	92.9	5.98	2.54	0	0	100	3.3	14
127.5	2.0	90.3	5.04	0.8	0	0	100	0.0	14
128.5	2.2	84.3	5.68	0.5	37	46	100	0.4	14
129.5	3.0	79.9	1.93	2.56	173	98	100	0.0	14
130.5	3.1	78.2	2.56	2.08	0	26	100	0.0	14
131.5	3.7	73.6	4.42	1.27	0	93	100	0.0	14
132.5	3.3	77.1	5.58	1.92	13	136	100	0.0	14
133.5	2.4	83.0	4.52	1.3	0	96	98	0.0	14
134.5	2.7	77.7	6.09	1.18	47	82	96	0.0	14
135.5	2.2	80.8	5.58	1.18	0	11	94	0.1	14
136.5	2.1	78.8	6.5	-0.23	0	0	92	0.0	14
137.5	1.8	78.0	5.36	0.66	0	0	90	0.0	14
138.5	0.9	89.1	2.85	1.45	0	0	88	0.1	14
139.5	0.3	92.8	4.24	-0.75	0	0	89	1.0	14
140.5	0.2	87.8	4.2	-0.15	0	0	90	0.0	14
141.5	-0.2	85.6	3.15	1.74	0	0	91	0.0	14
142.5	-0.4	84.6	2.76	2.31	0	0	92	0.0	14
143.5	-0.5	83.9	3.03	1.04	0	0	93	0.0	14
144.5	-0.7	85.1	4.11	1.58	0	0	94	0.0	14
145.5	-0.7	84.1	3.08	1.44	0	0	95	0.0	14
146.5	-0.7	84.1	1.51	1.86	0	0	96	0.0	14
147.5	-0.8	84.3	0.65	1.89	0	0	97	0.0	14
148.5	-0.9	83.5	2.33	0.9	0	0	98	0.0	14
149.5	-0.8	86.3	-0.17	0.98	0	0	99	0.0	80
150.5	-0.6	87.3	1.34	1.05	0	0	100	0.0	80
151.5	-0.6	88.0	1.76	1.32	0	0	100	0.0	80
152.5	-0.5	90.2	2.6	0.74	0	15	100	0.1	80
153.5	-1.7	85.0	-1.01	-5.2	0	37	100	0.0	80
154.5	-2.5	85.5	-2.7	-3.72	0	43	100	0.0	80
155.5	-3.4	84.9	-3.47	-4.77	0	93	100	0.0	80
156.5	-3.5	79.1	-2.78	-4.63	27	150	100	0.0	80
157.5	-3.5	78.3	-1.64	-3.87	159	136	98	0.0	80
158.5	-3.8	75.4	-1.3	-2.25	48	83	96	0.0	80
159.5	-4.0	75.0	-0.57	-1.49	115	34	94	0.0	80
160.5	-4.4	81.7	-0.97	0.24	0	0	92	0.0	80
161.5	-4.2	80.1	-0.23	-1.28	0	0	90	0.0	80
162.5	-4.2	78.8	-3.0	-3.22	0	0	88	0.0	80
163.5	-4.8	80.7	-2.21	-1.72	0	0	88	0.0	80
164.5	-5.0	78.6	-0.52	-0.97	0	0	88	0.0	80
165.5	-5.9	83.9	-1.32	-0.7	0	0	88	0.0	80
166.5	-6.8	89.9	-0.45	-0.89	0	0	88	0.0	80
167.5	-6.7	89.0	1.2	-1.2	0	0	88	0.0	80
168.5	-6.7	87.2	1.32	-1.76	0	0	88	0.0	80
169.5	-6.6	85.4	1.31	-2.36	0	0	88	0.0	80
170.5	-6.7	85.7	1.32	-1.88	0	0	88	0.0	80
171.5	-6.7	85.7	0.5	-1.31	0	0	88	0.0	80
172.5	-7.0	85.4	1.16	-0.31	0	0	88	0.0	80
173.5	-7.0	86.7	1.31	-0.92	0	0	88	0.0	80
174.5	-7.1	87.1	1.38	-0.59	0	0	88	0.0	80
175.5	-7.8	91.8	1.2	-0.72	0	0	75	0.0	80
176.5	-8.1	92.0	-0.33	-0.22	202	44	62	0.0	80
177.5	-7.3	90.4	0.8	-0.42	333	78	50	0.0	80
178.5	-6.7	87.3	1.28	-0.96	419	110	38	0.0	80
179.5	-6.0	82.4	1.1	-1.02	666	82	25	0.0	80
180.5	-5.4	77.3	0.71	-0.84	756	66	12	0.0	80
181.5	-4.9	75.0	0.86	-0.83	714	57	10	0.0	80
182.5	-4.7	70.4	0.25	-0.32	586	47	8	0.0	80
183.5	-4.9	71.7	0.18	0.1	266	29	6	0.0	80
184.5	-6.5	82.1	1.09	-0.51	0	0	4	0.0	80
185.5	-7.4	85.3	1.04	-0.36	0	0	2	0.0	80
186.5	-8.6	90.2	0.88	-0.66	0	0	0	0.0	80
187.5	-9.3	91.2	0.89	-0.12	0	0	7	0.0	80
188.5	-9.6	91.1	0.3	0.0	0	0	15	0.0	80
189.5	-10.1	90.6	0.67	-0.2	0	0	22	0.0	80
190.5	-10.3	90.5	-0.1	-0.59	0	0	29	0.0	80
191.5	-10.7	90.1	-0.14	0.58	0	0	36	0.0	80
192.5	-10.9	90.0	0.65	-0.47	0	0	44	0.0	80
193.5	-10.6	90.2	-0.0	0.3	0	0	51	0.0	80
194.5	-10.5	90.3	-0.06	0.19	0	0	58	0.0	80
195.5	-10.3	90.5	-0.56	0.42	0	0	66	0.0	80
196.5	-9.9	90.8	-0.42	0.42	0	0	73	0.0	80
197.5	-9.3	91.4	-0.45	0.78	0	0	80	0.0	80
198.5	-9.2	91.4	0.19	-0.07	0	0	88	0.0	80
199.5	-9.5	91.2	0.61	0.34	0	0	88	0.0	80
200.5	-8.8	91.2	-0.28	0.28	382	36	88	0.0	80
201.5	-6.9	86.7	-0.77	0.92	607	58	88	0.0	80
202.5	-4.8	76.8	0.8	1.72	638	74	88	0.0	80
203.5	-4.0	71.5	0.9	1.33	385	139	88	0.0	80
204.5	-2.9	67.0	1.05	1.21	505	132	88	0.0	80
205.5	-2.8	66.1	1.68	1.41	56	124	88	0.0	80
206.5	-2.8	67.9	1.52	1.14	0	68	88	0.0	80
207.5	-2.9	71.6	0.18	0.36	0	25	88	0.0	80
208.5	-3.0	72.8	0.07	0.5	0	0	88	0.0	80
209.5	-3.1	73.8	0.49	-0.11	0	0	88	0.0	80
210.5	-4.0	80.7	0.43	-0.25	0	0	88	0.0	80
211.5	-5.3	88.1	0.38	-0.59	0	0	89	0.0	80
212.5	-6.0	91.5	0.81	-0.59	0	0	90	0.0	80
213.5	-6.6	93.2	0.36	-0.18	0	0	91	0.0	80
214.5	-6.3	93.2	-0.06	0.5	0	0	92	0.0	80
215.5	-5.2	90.9	-0.52	0.86	0	0	93	0.3	80
216.5	-4.6	94.4	-1.34	1.05	0	0	94	0.7	80
217.5	-4.0	92.0	-1.07	0.9	0	0	95	0.2	80
218.5	-3.9	92.4	-0.26	0.65	0	0	96	0.7	80
219.5	-4.1	92.1	0.56	-0.57	0	0	97	0.2	80
220.5	-4.6	94.3	1.15	-0.8	0	0	98	0.1	80
221.5	-4.6	93.1	1.06	-1.06	0	0	99	0.2	80
222.5	-4.5	93.5	1.21	-0.88	0	0	100	0.3	80
223.5	-4.4	91.8	0.92	-0.6	0	0	100	0.1	80
224.5	-4.1	90.2	0.56	-0.57	0	33	100	0.1	80
225.5	-3.6	90.5	0.89	-0.95	0	78	100	0.2	80
226.5	-3.1	89.4	1.06	-0.75	6	120	100	0.1	80
