#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	0.3	85.1	-0.52	-2.95	0	0	50	0.0	14
0.5	0.3	85.1	-0.52	-2.95	0	0	50	0.0	14
1.5	-1.6	84.0	-0.6	-2.84	0	0	58	0.0	14
2.5	-2.9	83.3	-0.59	-3.04	0	0	67	0.0	14
3.5	-4.1	82.7	-0.88	-2.55	0	0	75	0.0	14
4.5	-4.8	82.1	-0.9	-2.76	0	0	83	0.0	14
5.5	-4.9	82.4	-1.16	-2.87	0	0	92	0.0	14
6.5	-5.0	82.8	-1.64	-2.63	0	0	100	0.0	14
7.5	-5.1	82.8	-2.09	-2.68	0	0	100	0.0	14
8.5	-5.0	83.5	-2.78	-2.88	0	14	100	0.0	14
9.5	-5.2	82.0	-3.36	-2.35	0	36	100	0.0	14
10.5	-5.0	82.1	-3.89	-3.15	0	52	100	0.0	14
11.5	-4.9	80.0	-4.51	-3.65	0	68	100	0.0	14
12.5	-4.7	78.7	-3.72	-2.7	0	72	100	0.0	14
13.5	-4.4	76.5	-4.19	-2.72	0	62	83	0.0	14
14.5	-4.2	75.8	-3.5	-1.71	0	52	67	0.0	14
15.5	-4.3	78.1	-2.06	-1.24	29	27	50	0.0	14
16.5	-4.8	82.6	-0.57	-0.57	0	0	33	0.0	14
17.5	-5.0	87.7	-0.31	-0.51	0	0	17	0.0	14
18.5	-5.1	85.5	0.0	-1.2	0	0	0	0.0	14
19.5	-5.4	83.7	-0.59	-1.38	0	0	0	0.0	14
20.5	-5.7	83.1	-0.72	-1.87	0	0	0	0.0	14
21.5	-5.9	82.5	0.29	-1.27	0	0	0	0.0	14
22.5	-6.1	82.1	0.29	-1.16	0	0	0	0.0	14
23.5	-6.2	83.3	-0.41	-1.34	0	0	0	0.0	14
24.5	-6.8	84.8	-0.28	-2.68	0	0	0	0.0	14
25.5	-7.2	85.3	-0.19	-2.69	0	0	0	0.0	14
26.5	-7.1	82.7	-0.32	-2.58	0	0	0	0.0	14
27.5	-7.5	81.7	0.21	-1.69	0	0	0	0.0	14
28.5	-7.9	80.8	0.62	-1.03	0	0	0	0.0	14
29.5	-8.1	83.3	0.71	-0.36	0	0	0	0.0	14
30.5	-8.4	78.0	0.62	-0.5	0	0	0	0.0	14
31.5	-8.4	78.2	0.4	0.0	0	0	0	0.0	14
32.5	-8.1	76.6	-0.24	-0.97	350	37	0	0.0	14
33.5	-6.8	68.7	-2.34	-2.03	570	55	0	0.0	14
34.5	-5.6	64.6	-2.73	-2.64	638	71	0	0.0	14
35.5	-4.7	58.7	-4.09	-3.68	421	123	0	0.0	14
36.5	-3.9	50.3	-5.65	-3.96	569	86	0	0.0	14
37.5	-3.4	48.0	-5.39	-2.86	581	67	2	0.0	14
38.5	-3.7	53.1	-5.8	-3.35	457	52	4	0.0	14
39.5	-4.7	62.1	-4.48	-3.02	243	26	6	0.0	14
40.5	-5.8	69.2	-3.78	-2.96	0	0	8	0.0	14
41.5	-6.8	73.7	-2.52	-3.11	0	0	10	0.0	14
42.5	-7.2	67.5	-5.89	-1.58	0	0	12	0.0	14
43.5	-7.6	69.3	-6.43	-3.86	0	0	17	0.0	14
44.5	-8.2	69.4	-6.62	-3.52	0	0	21	0.0	14
45.5	-8.5	70.8	-6.44	-4.03	0	0	25	0.0	14
46.5	-9.0	71.9	-7.4	-3.3	0	0	29	0.0	14
47.5	-9.3	73.6	-6.28	-3.92	0	0	33	0.0	14
48.5	-9.6	75.6	-5.91	-3.55	0	0	38	0.0	14
49.5	-9.4	75.8	-4.97	-4.03	0	0	42	0.0	14
50.5	-9.5	77.0	-4.6	-4.0	0	0	46	0.0	14
51.5	-9.5	77.0	-4.44	-3.73	0	0	50	0.0	14
52.5	-9.7	78.0	-3.89	-3.89	0	0	54	0.0	14
53.5	-9.8	79.0	-5.09	-5.09	0	0	58	0.0	14
54.5	-9.8	79.0	-4.83	-4.5	0	0	62	0.0	14
55.5	-9.9	79.1	-3.8	-3.55	0	0	67	0.0	14
56.5	-9.8	80.0	-4.16	-4.46	0	39	71	0.0	14
57.5	-9.7	78.6	-3.92	-4.67	24	89	75	0.0	14
58.5	-9.5	80.5	-3.2	-3.44	31	125	79	0.0	14
59.5	-9.3	80.4	-1.6	-2.89	46	150	83	0.0	30
60.5	-9.0	79.3	-1.74	-2.68	63	152	88	0.0	30
61.5	-9.0	79.0	-1.81	-2.01	40	120	75	0.0	30
62.5	-8.6	76.5	-1.22	-1.95	42	80	62	0.0	30
63.5	-8.9	76.4	-1.58	-1.38	110	31	50	0.0	30
64.5	-9.4	79.3	-0.95	-0.74	0	0	38	0.0	30
