#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	2.2	77.5	0.44	-1.54	0	0	17
0.5	2.2	77.5	0.44	-1.54	0	0	17
1.5	2.3	81.5	0.41	-1.54	0	0	11
2.5	2.3	84.0	0.39	-1.45	0	0	7
3.5	2.4	86.5	0.44	-1.43	0	0	3
4.5	2.3	87.5	0.49	-1.42	0	0	1
5.5	2.3	87.2	0.52	-1.51	0	0	3
6.5	2.2	86.9	0.59	-1.38	0	0	5
7.5	2.3	86.0	0.54	-1.4	0	7	12
8.5	2.2	85.6	0.68	-1.77	0	30	21
9.5	3.6	81.3	0.09	-0.59	450	91	31
10.5	5.2	75.2	-0.28	0.42	649	84	42
11.5	5.6	75.9	-0.22	0.67	407	141	52
12.5	6.0	75.5	-0.48	0.36	178	140	62
13.5	6.4	73.7	-0.14	0.27	1	101	69
14.5	6.7	72.3	-0.0	0.2	0	44	75
15.5	6.6	75.8	0.32	-0.62	0	10	81
16.5	6.0	77.6	0.0	-0.6	0	0	88
17.5	5.8	80.5	0.0	-0.3	0	0	94
18.5	5.3	87.5	0.11	-0.69	0	0	100
19.5	5.1	89.5	0.11	-0.89	0	0	100
20.5	4.6	96.7	0.21	-1.18	0	0	100
21.5	4.6	96.4	0.3	-1.88	0	0	100
22.5	4.3	97.2	0.21	-1.08	0	0	100
23.5	3.8	96.1	0.2	-1.59	0	0	100
24.5	3.9	92.9	1.0	-0.1	0	0	100
25.5	3.6	94.8	0.7	0.0	0	0	100
26.5	3.5	96.9	0.09	-0.28	0	0	100
27.5	3.5	96.9	0.0	-0.3	0	0	100
28.5	3.4	97.3	0.0	-0.6	0	0	100
29.5	3.1	97.8	0.1	-1.0	0	0	100
30.5	2.8	97.9	0.1	-1.0	0	0	100
31.5	2.7	97.8	0.1	-0.69	0	0	100
32.5	2.8	98.1	-0.11	-0.69	0	23	100
33.5	3.4	97.6	-0.12	-0.38	0	50	100
34.5	3.7	97.6	-0.1	0.39	0	76	100
35.5	4.0	97.2	-0.3	0.4	0	97	100
36.5	4.2	97.6	-0.58	0.39	0	89	100
37.5	4.5	94.4	-0.22	0.56	0	87	100
38.5	5.0	91.7	0.0	-0.3	0	68	100
39.5	5.3	88.9	0.3	0.4	0	22	100
40.5	4.8	92.8	0.14	0.27	0	0	100
41.5	4.5	94.4	0.0	-0.4	0	0	100
42.5	4.4	94.5	0.09	-0.9	0	0	100
43.5	4.6	91.7	-0.1	-0.79	0	0	92
44.5	4.4	90.2	0.1	-1.4	0	0	83
45.5	4.2	86.9	0.2	-1.28	0	0	75
46.5	3.4	86.5	0.32	-2.58	0	0	67
47.5	2.7	86.0	0.28	-2.68	0	0	58
48.5	2.5	85.9	0.73	-1.43	0	0	50
49.5	2.3	85.3	0.62	-2.32	0	0	42
50.5	2.1	85.8	0.68	-1.77	0	0	33
51.5	1.8	86.1	0.73	-1.43	0	0	25
52.5	1.8	84.3	0.4	-1.75	0	0	17
53.5	1.4	84.7	0.75	-1.3	0	0	8
54.5	1.3	85.1	0.29	-1.16	0	0	0
55.5	1.2	83.8	0.51	-2.04	0	6	2
56.5	1.3	83.2	0.64	-1.25	0	33	4
57.5	2.7	76.7	0.0	-0.7	380	97	6
58.5	3.6	79.3	-0.83	0.72	588	75	8
59.5	4.3	74.3	-0.95	0.74	620	79	10
60.5	4.6	73.2	-0.58	0.69	526	110	12
61.5	4.9	74.5	-0.45	0.78	138	129	17
62.5	5.8	72.5	-0.22	0.77	401	66	21
63.5	5.7	74.6	0.11	0.69	144	32	25
64.5	4.6	76.4	0.0	-0.5	0	0	29
65.5	3.7	80.0	0.19	-0.98	0	0	33
66.5	3.7	80.7	0.0	-0.2	0	0	38
67.5	3.8	79.3	0.18	-0.36	0	0	40
68.5	3.7	79.6	0.3	-0.4	0	0	42
69.5	3.2	81.5	0.32	-0.84	0	0	44
70.5	2.5	84.2	0.44	-0.54	0	0	46
71.5	1.9	84.0	0.45	-0.89	0	0	48
72.5	1.7	82.5	0.31	-1.16	0	0	50
73.5	1.6	79.5	0.45	-0.78	0	0	52
74.5	1.1	83.4	0.11	-0.59	0	0	54
75.5	0.8	83.3	0.49	-1.52	0	0	56
76.5	1.0	79.2	0.77	-1.52	0	0	58
77.5	1.0	79.6	0.7	-1.21	0	0	60
78.5	0.9	79.1	0.8	-1.72	0	0	62
79.5	0.9	77.3	0.31	-1.98	0	0	62
80.5	1.5	76.2	0.4	-1.75	0	34	62
81.5	2.1	73.3	0.1	-1.9	0	76	62
82.5	2.9	69.0	0.09	-1.3	17	131	62
83.5	3.2	69.2	0.25	0.76	86	150	62
84.5	3.8	66.4	1.03	1.23	535	123	62
85.5	4.2	67.6	0.98	2.19	657	59	54
86.5	4.7	65.6	0.29	1.27	498	53	46
87.5	4.3	69.1	-0.0	1.1	193	31	38
88.5	3.5	74.7	0.68	0.59	0	0	29
89.5	2.7	78.6	0.5	-0.5	0	0	21
90.5	1.6	82.7	0.2	-0.88	0	0	12
91.5	1.3	83.8	0.22	-0.97	0	0	11
92.5	1.0	85.8	0.22	-0.97	0	0	10
93.5	0.6	87.2	0.31	-1.26	0	0	9
94.5	0.6	87.4	0.09	-0.9	0	0	8
95.5	0.4	88.6	0.09	-1.8	0	0	7
96.5	0.2	91.5	0.2	-1.59	0	0	6
97.5	0.3	90.2	0.2	-0.88	0	0	5
98.5	0.2	89.8	0.32	-1.36	0	0	4
99.5	-0.1	93.7	0.54	-1.4	0	0	3
100.5	-0.4	95.1	0.39	-1.45	0	0	2
101.5	-0.6	89.7	0.59	-1.38	0	0	1
102.5	-0.4	85.7	0.62	-1.03	0	0	0
103.5	-0.1	81.3	0.5	-0.98	0	6	0
104.5	0.5	79.0	0.64	-0.77	0	28	0
105.5	2.7	69.4	0.5	-0.5	419	139	0
106.5	3.8	75.8	-0.45	0.78	545	98	0
107.5	5.1	70.9	-0.45	0.66	656	74	0
