#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover
0.0	5.8	89.7	0.6	-0.54	0	0	86
0.5	5.8	89.7	0.6	-0.54	0	0	86
1.5	5.9	89.8	0.63	-0.49	0	0	91
2.5	5.9	89.7	0.58	-0.39	0	0	94
3.5	6.0	89.5	0.68	-0.42	0	0	98
4.5	6.1	89.4	0.62	-0.33	0	0	100
5.5	6.2	89.6	0.73	-0.53	0	0	100
6.5	6.2	89.2	0.87	-0.5	0	0	100
7.5	6.3	89.4	0.89	-0.65	0	0	100
8.5	6.2	90.1	0.84	-0.55	0	5	100
9.5	6.4	89.6	0.94	-0.34	0	18	100
10.5	6.8	86.2	1.05	0.58	0	32	100
11.5	6.9	90.1	0.95	-0.74	0	48	100
12.5	7.2	86.7	0.85	0.29	0	46	100
13.5	7.1	89.3	0.59	-0.09	0	23	100
14.5	7.3	87.5	0.54	0.44	0	8	100
15.5	7.4	86.6	0.29	0.52	0	5	100
16.5	7.3	90.0	-0.1	-0.28	0	0	100
17.5	7.5	88.4	0.54	0.44	0	0	100
18.5	7.3	91.2	0.25	-0.86	0	0	100
19.5	7.5	88.1	0.29	0.52	0	0	100
20.5	7.4	90.5	0.3	-0.63	0	0	100
21.5	7.4	90.0	0.14	0.38	0	0	100
22.5	7.4	90.9	0.13	-0.27	0	0	100
23.5	7.4	88.9	0.54	0.25	0	0	100
24.5	7.3	90.7	0.4	0.05	0	0	100
25.5	7.4	90.5	0.48	0.12	0	0	100
26.5	7.4	91.1	-0.14	-0.38	0	0	100
27.5	7.5	91.1	-0.6	0.06	0	0	100
28.5	7.5	90.0	-0.34	0.72	0	0	100
29.5	7.4	89.1	0.2	0.56	0	0	100
30.5	7.3	90.3	-0.47	0.17	0	0	100
31.5	7.3	90.2	-0.0	-0.4	0	0	100
32.5	7.4	88.9	0.24	0.97	0	4	100
33.5	7.3	88.7	0.07	1.4	0	9	100
34.5	7.2	89.3	-0.33	1.56	0	8	100
35.5	7.1	88.9	-0.2	1.28	0	13	100
36.5	7.1	90.3	-0.44	0.79	0	17	100
37.5	7.2	90.1	-0.2	1.28	0	11	100
38.5	7.1	89.3	-0.35	1.97	0	6	100
39.5	6.9	89.3	-0.29	1.37	0	0	100
40.5	6.9	90.4	-0.51	1.09	0	0	100
41.5	6.8	90.5	-0.18	0.57	0	0	100
42.5	6.4	90.6	-0.08	-1.5	0	0	100
43.5	6.1	90.2	0.52	-1.62	0	0	100
44.5	6.0	86.9	1.4	0.02	0	0	100
45.5	6.0	90.3	-0.0	-0.5	0	0	100
46.5	6.3	87.8	0.71	1.09	0	0	100
47.5	5.8	90.6	-0.05	-1.4	0	0	100
48.5	5.7	90.3	0.88	-1.21	0	0	100
49.5	5.6	88.9	1.06	-0.92	0	0	100
50.5	5.0	90.0	1.06	-0.92	0	0	100
51.5	4.8	91.1	0.47	-1.53	0	0	100
52.5	4.9	88.7	0.96	-1.02	0	0	100
53.5	5.0	89.3	0.96	-1.02	0	0	100
54.5	4.5	91.0	0.14	-2.0	0	0	100
55.5	4.3	90.8	0.28	-1.58	0	0	98
56.5	4.6	90.3	0.36	-1.46	0	25	96
57.5	5.2	89.3	0.03	-1.8	13	86	94
58.5	5.5	87.3	0.48	0.35	162	135	92
59.5	6.6	86.4	-0.91	-0.42	220	142	90
60.5	7.3	84.3	-0.41	0.57	82	140	88
61.5	7.9	81.9	-0.07	0.6	138	115	79
62.5	8.9	80.3	0.02	0.6	413	79	71
63.5	9.0	79.4	-0.62	0.79	250	38	62
64.5	8.5	79.4	0.28	1.06	0	0	54
65.5	7.5	85.3	0.22	-1.79	0	0	46
66.5	6.8	83.9	0.78	-1.16	0	0	38
67.5	6.3	83.7	0.88	-1.09	0	0	34
68.5	5.9	82.3	0.7	-1.32	0	0	31
69.5	5.3	82.6	0.58	-1.6	0	0	28
70.5	5.3	80.8	0.39	-1.55	0	0	25
71.5	5.7	80.4	0.75	-0.8	0	0	22
72.5	5.8	79.0	0.34	-1.26	0	0	19
73.5	5.3	80.7	0.56	-1.71	0	0	16
74.5	4.9	80.1	0.63	-2.21	0	0	12
75.5	4.4	79.5	0.68	-1.77	0	0	9
76.5	4.1	80.6	0.61	-2.01	0	0	6
77.5	4.0	80.1	0.92	-1.66	0	0	3
