#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	1.5	69.5	0.47	-1.63	0	0	50	0.0	14
0.5	1.5	69.5	0.47	-1.63	0	0	50	0.0	14
1.5	0.6	64.9	0.41	-0.91	0	0	44	0.0	14
2.5	-0.1	62.3	0.21	-0.98	0	0	38	0.0	14
3.5	-0.9	59.8	0.68	-1.45	0	0	31	0.0	14
4.5	-1.3	59.3	1.06	-1.58	0	0	25	0.0	14
5.5	-1.7	60.3	0.98	-1.51	0	0	19	0.0	30
6.5	-2.1	61.3	0.68	-1.99	0	0	12	0.0	30
7.5	-2.0	61.1	0.9	-2.01	0	7	12	0.0	30
8.5	-2.2	61.5	0.64	-1.25	0	35	12	0.0	30
9.5	-0.8	58.8	0.1	-1.1	401	85	12	0.0	30
10.5	0.5	59.8	-0.07	0.8	409	130	12	0.0	30
11.5	1.5	57.5	-0.34	0.83	428	146	12	0.0	30
12.5	2.2	51.3	-0.52	0.97	415	143	12	0.0	30
13.5	3.1	50.2	-0.52	1.3	475	89	12	0.0	30
14.5	3.2	52.0	-0.13	1.8	297	77	12	0.0	30
15.5	2.6	55.4	-0.2	1.39	116	34	12	0.0	30
16.5	1.8	59.0	0.22	1.58	0	0	12	0.0	30
17.5	0.2	62.3	0.53	-1.72	0	0	12	0.0	30
18.5	-0.3	64.4	0.52	-1.3	0	0	12	0.0	30
19.5	-0.9	67.8	0.25	-1.78	0	0	17	0.0	30
20.5	-1.3	70.5	0.65	-1.01	0	0	21	0.0	30
21.5	-1.7	72.9	0.43	-1.33	0	0	25	0.0	30
22.5	-1.9	73.9	0.21	-0.77	0	0	29	0.0	30
23.5	-2.0	75.7	0.46	-0.77	0	0	33	0.0	30
24.5	-2.2	77.7	0.79	-1.62	0	0	38	0.0	30
25.5	-2.4	79.5	0.52	-2.24	0	0	42	0.0	30
26.5	-2.5	80.5	0.46	-1.0	0	0	46	0.0	30
27.5	-3.0	81.1	0.72	-1.87	0	0	50	0.0	30
28.5	-3.4	80.7	0.67	-1.67	0	0	54	0.0	30
29.5	-3.3	80.2	0.75	-0.8	0	0	58	0.0	30
30.5	-3.6	80.7	0.37	-1.14	0	0	62	0.0	30
31.5	-3.4	80.8	0.65	-1.89	0	0	60	0.0	30
32.5	-2.8	81.0	0.48	-2.25	0	54	58	0.0	30
33.5	-1.6	80.5	0.31	-1.47	108	111	56	0.0	30
34.5	-0.7	79.8	0.4	0.06	143	154	54	0.0	30
35.5	0.2	74.5	-0.8	0.04	256	158	52	0.0	30
36.5	1.4	68.0	0.41	0.8	461	131	50	0.0	30
37.5	2.3	62.4	1.02	0.8	464	106	46	0.0	30
38.5	3.3	57.3	0.43	1.12	498	90	42	0.0	30
39.5	2.5	58.9	-0.33	0.95	149	35	38	0.0	30
40.5	1.6	63.8	0.45	-0.66	0	0	33	0.0	30
41.5	0.6	68.6	0.9	-2.01	0	0	29	0.0	30
42.5	0.4	64.4	0.39	-2.47	0	0	25	0.0	30
43.5	1.1	53.6	0.05	-2.7	0	0	30	0.0	30
44.5	1.8	43.9	-0.06	-3.6	0	0	35	0.0	30
45.5	2.4	38.0	-0.3	-3.49	0	0	41	0.0	30
46.5	3.0	33.2	-0.08	-4.7	0	0	46	0.0	30
47.5	3.0	31.3	-0.25	-4.79	0	0	51	0.0	30
48.5	3.2	29.7	0.4	-5.69	0	0	56	0.0	30
49.5	3.1	29.3	-0.11	-6.1	0	0	61	0.0	30
50.5	3.0	28.9	0.73	-5.96	0	0	67	0.0	30
51.5	2.9	28.5	0.9	-6.44	0	0	72	0.0	30
52.5	2.9	27.8	2.04	-7.63	0	0	77	0.0	30
53.5	2.7	27.4	1.39	-7.88	0	0	82	0.0	30
54.5	2.5	27.0	0.32	-6.19	0	0	88	0.0	30
55.5	2.4	26.8	-0.72	-5.86	0	0	88	0.0	30
56.5	2.5	26.6	-0.59	-6.77	0	73	88	0.0	30
57.5	2.6	26.0	-1.16	-7.31	70	108	88	0.0	30
58.5	2.8	25.7	-1.11	-6.3	133	154	88	0.0	30
59.5	2.9	25.1	-0.61	-6.97	183	171	88	0.0	30
60.5	3.0	25.5	-0.87	-4.92	398	140	88	0.0	30
61.5	3.0	25.0	-0.87	-4.92	557	96	75	0.0	30
62.5	2.5	25.0	0.0	-5.0	498	108	62	0.0	30
63.5	2.5	25.0	0.0	-3.0	260	33	50	0.0	30
64.5	2.0	27.0	0.0	-3.0	0	0	38	0.0	30
65.5	2.0	27.0	-0.52	-2.95	0	0	25	0.0	30
66.5	1.0	28.0	-0.35	-1.97	0	0	12	0.0	30
67.5	1.0	28.0	0.17	-1.99	0	0	12	0.0	30
68.5	0.0	29.0	0.17	-1.99	0	0	12	0.0	30
69.5	0.0	28.6	0.47	-1.53	0	0	12	0.0	30
70.5	-0.4	30.2	-0.3	-1.67	0	0	12	0.0	30
71.5	-0.6	32.1	-0.62	-1.47	0	0	12	0.0	30
72.5	-1.0	32.2	-0.49	-1.84	0	0	12	0.0	30
73.5	-1.3	33.7	-0.55	-1.92	0	0	12	0.0	30
74.5	-2.1	37.4	0.54	-2.54	0	0	12	0.0	30
