#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	2.9	89.7	-0.24	0.32	0	0	50	0.6	14
0.5	2.9	89.7	-0.24	0.32	0	0	50	0.6	14
1.5	2.5	90.6	-0.06	0.08	0	0	58	0.7	14
2.5	2.3	91.0	0.03	-0.9	0	0	67	0.7	14
3.5	2.2	91.5	0.11	-0.17	0	0	75	0.1	14
4.5	2.0	92.0	0.14	-0.79	0	0	83	0.1	14
5.5	2.1	92.1	0.12	-1.4	0	0	92	0.0	14
6.5	2.3	92.3	0.17	-0.1	0	0	100	0.2	14
7.5	2.4	92.4	0.12	0.27	0	2	100	0.1	14
8.5	2.4	92.5	0.11	-0.17	0	12	100	0.3	14
9.5	2.6	92.9	0.02	-0.3	0	39	100	0.0	14
10.5	2.9	91.5	-0.07	0.8	0	54	100	0.0	14
11.5	3.1	90.6	0.11	-0.79	0	62	100	0.0	14
12.5	3.2	89.5	-0.17	-0.78	0	62	100	0.0	14
13.5	3.8	82.8	-0.08	0.7	12	119	100	0.0	14
14.5	3.9	79.0	0.27	1.17	0	60	100	0.0	14
15.5	4.1	79.0	0.03	1.5	0	14	100	0.0	14
16.5	4.0	79.3	-0.22	1.58	0	0	100	0.0	14
17.5	3.9	79.1	0.45	1.0	0	0	100	0.0	14
18.5	3.8	81.6	0.4	1.86	0	0	100	0.0	14
19.5	3.7	80.8	0.16	0.36	0	0	100	0.0	14
20.5	3.8	81.3	0.38	0.14	0	0	100	0.0	14
21.5	3.6	82.1	0.9	1.07	0	0	100	0.0	14
22.5	3.6	82.3	0.76	0.93	0	0	100	0.0	14
23.5	3.6	82.7	0.66	-0.23	0	0	100	0.0	14
24.5	3.4	82.4	1.19	0.15	0	0	100	0.0	14
25.5	3.2	82.7	0.14	-0.99	0	0	100	0.0	14
26.5	2.9	84.7	0.03	-1.8	0	0	100	0.0	14
27.5	2.9	85.4	0.31	-1.26	0	0	100	0.0	14
28.5	3.0	82.8	0.32	-1.05	0	0	100	0.0	14
29.5	3.0	81.2	0.96	-0.53	0	0	100	0.0	14
30.5	3.1	79.4	0.31	-1.16	0	0	100	0.0	14
31.5	3.2	79.0	0.6	0.02	0	3	100	0.0	14
32.5	3.4	77.2	-0.14	-0.48	0	17	100	0.0	14
33.5	3.5	74.8	0.78	-0.45	0	24	100	0.0	14
34.5	3.7	73.4	1.2	-0.72	0	39	100	0.0	14
35.5	3.9	71.9	-0.1	-0.59	0	62	100	0.0	14
36.5	4.0	70.6	0.11	0.69	0	56	100	0.0	14
37.5	4.2	71.4	0.57	0.82	0	45	100	0.0	14
38.5	4.2	72.5	1.02	0.96	0	15	100	0.0	14
39.5	3.8	72.6	0.7	0.39	0	10	100	0.0	14
40.5	3.8	74.7	0.15	-0.78	0	0	100	0.0	14
41.5	3.9	76.2	0.56	0.83	0	0	100	0.0	14
42.5	3.8	76.6	0.6	0.0	0	0	100	0.0	14
43.5	3.7	78.3	0.63	-0.78	0	0	100	0.0	14
44.5	3.8	79.8	0.69	0.86	0	0	100	0.0	14
45.5	3.8	81.9	0.6	0.8	0	0	100	0.0	14
46.5	3.7	83.1	0.73	1.08	0	0	100	0.0	14
47.5	3.7	84.6	0.23	1.18	0	0	100	0.0	14
48.5	3.6	84.1	0.38	-0.59	0	0	100	0.0	14
49.5	3.6	84.0	0.45	0.23	0	0	100	0.0	14
50.5	3.6	83.3	0.9	-0.05	0	0	100	0.0	14
51.5	3.5	84.2	0.9	0.09	0	0	100	0.0	14
52.5	3.5	83.7	0.28	-0.53	0	0	100	0.0	14
53.5	3.4	84.2	0.54	-1.4	0	0	100	0.0	14
54.5	3.4	82.3	0.44	-1.64	0	0	100	0.0	14
55.5	3.3	82.2	0.69	-0.86	0	4	98	0.0	14
56.5	3.1	77.7	0.44	-2.05	0	47	96	0.0	14
57.5	4.2	71.4	-0.08	-1.1	277	100	94	0.0	14
58.5	5.0	69.0	-0.1	1.5	423	115	92	0.0	14
59.5	5.2	69.0	-0.72	2.5	26	160	90	0.0	14
60.5	5.5	67.3	-1.17	1.5	26	142	88	0.0	14
61.5	4.8	78.8	-0.48	2.25	0	84	90	0.0	14
62.5	4.2	83.4	-0.4	3.28	0	74	92	0.0	14
63.5	4.2	82.4	-0.72	1.87	0	15	94	0.0	14
64.5	4.2	82.5	-0.34	1.46	0	0	96	0.0	14
65.5	4.1	83.3	0.04	1.2	0	0	98	0.0	14
66.5	4.1	83.6	0.08	1.2	0	0	100	0.0	14
67.5	4.0	84.4	-0.13	1.09	0	0	99	0.1	14
68.5	3.8	85.3	-0.03	1.6	0	0	98	0.0	14
69.5	3.5	87.2	0.2	1.39	0	0	97	0.0	14
70.5	3.4	87.8	-0.15	1.69	0	0	96	0.0	14
71.5	3.4	87.4	-0.0	2.1	0	0	95	0.0	14
72.5	3.3	87.1	0.83	0.86	0	0	94	0.0	14
73.5	3.2	87.2	0.12	-0.79	0	0	93	0.0	14
74.5	3.3	87.8	0.81	-0.4	0	0	92	0.0	14
75.5	3.4	88.5	0.6	0.52	0	0	91	0.0	14
76.5	3.2	88.0	0.23	-1.08	0	0	90	0.0	14
77.5	3.1	88.5	0.27	-1.37	0	0	89	0.0	14
78.5	2.4	88.9	0.36	-2.27	0	0	88	0.0	14
79.5	2.2	89.0	0.5	-2.14	0	3	75	0.0	14
80.5	2.4	87.3	0.34	-2.17	0	54	62	0.0	14
81.5	3.8	81.5	1.27	0.59	416	102	50	0.0	14
82.5	4.6	76.9	-0.19	1.79	560	86	38	0.0	14
83.5	5.2	71.9	-1.15	0.96	588	100	25	0.0	14
84.5	8.8	30.0	1.35	-6.36	713	81	12	0.0	14
85.5	8.4	21.3	0.13	-7.6	724	62	12	0.0	14
86.5	7.7	20.4	-2.41	-7.0	573	67	12	0.0	14
87.5	6.5	21.3	-4.91	-5.27	294	41	12	0.0	14
88.5	5.5	22.3	-2.96	-6.34	0	0	12	0.0	14
89.5	5.2	23.1	-4.03	-6.21	0	0	12	0.0	14
90.5	4.9	23.8	-3.0	-5.65	0	0	12	0.0	14
91.5	4.8	24.1	-2.63	-5.17	0	0	12	0.0	14
92.5	4.3	24.5	-1.42	-3.52	0	0	12	0.0	14
93.5	3.7	26.0	0.13	-2.5	0	0	12	0.0	14
94.5	3.4	27.2	0.51	-4.17	0	0	12	0.0	14
95.5	2.7	28.8	-0.11	-2.1	0	0	12	0.0	14
96.5	2.9	32.6	2.13	-0.53	0	0	12	0.0	14
97.5	1.0	40.7	1.02	-2.39	0	0	12	0.0	14
