#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor
0.0	4.1	92.6	-0.26	0.65	0	0
0.5	4.1	92.6	-0.26	0.65	0	0
1.5	5.1	93.2	-0.07	0.6	0	0
2.5	5.8	93.7	0.16	0.68	0	0
3.5	6.5	93.9	0.19	0.67	0	0
4.5	6.7	94.2	0.18	0.68	0	0
5.5	6.5	94.1	0.07	0.7	0	0
6.5	6.2	93.9	-0.06	0.8	0	0
7.5	6.3	92.0	-0.22	0.77	0	0
8.5	5.9	92.4	0.57	0.57	350	40
9.5	8.0	82.8	0.11	0.59	590	47
10.5	9.4	73.7	-0.6	0.36	655	57
11.5	10.0	71.3	-0.25	1.07	631	72
12.5	10.5	69.3	-0.19	1.18	503	88
13.5	10.8	68.3	-0.21	1.48	383	104
14.5	10.1	69.6	-0.09	0.9	17	65
15.5	9.3	72.9	-0.0	1.1	0	19
16.5	8.7	77.4	0.23	0.45	0	0
17.5	8.8	78.2	-0.5	0.98	0	0
18.5	8.3	83.3	-0.83	0.35	0	0
19.5	7.8	88.4	0.57	0.57	0	0
20.5	7.4	91.0	0.23	1.18	0	0
21.5	7.2	92.7	0.39	-0.58	0	0
22.5	7.0	93.1	-0.22	0.87	0	0
23.5	6.9	92.3	0.28	0.28	0	0
24.5	7.4	89.9	-0.54	0.27	0	0
25.5	9.3	79.8	-0.78	-1.16	0	0
26.5	10.6	79.8	-0.32	-1.67	0	0
27.5	9.6	89.7	-0.22	-1.38	0	0
28.5	9.7	89.2	-1.0	-0.0	0	0
29.5	9.5	93.9	0.57	0.57	0	0
30.5	9.6	96.3	-0.72	0.54	0	0
31.5	11.1	85.5	-0.87	4.11	0	0
32.5	12.3	76.9	-0.5	3.56	0	17
33.5	12.6	75.6	-1.78	2.54	0	29
34.5	12.2	80.5	-0.87	4.92	0	56
35.5	14.0	69.0	-1.2	6.8	0	47
36.5	14.2	70.1	-0.97	4.19	19	123
37.5	15.2	62.9	-0.17	1.09	0	44
38.5	12.7	84.3	2.84	-2.22	0	8
39.5	11.9	91.3	1.46	0.36	0	9
40.5	16.8	48.7	6.81	2.89	0	0
41.5	17.2	38.6	7.75	3.95	0	0
42.5	16.6	37.6	10.9	3.33	0	0
43.5	14.3	52.3	9.37	2.51	0	0
44.5	13.4	51.1	8.81	1.24	0	0
45.5	12.5	44.9	10.01	1.95	0	0
46.5	11.9	47.5	7.24	1.54	0	0
47.5	11.3	51.9	5.85	1.35	0	0
48.5	11.1	49.4	5.98	-0.42	0	0
49.5	10.9	51.6	5.18	-1.1	0	0
50.5	10.5	53.6	3.9	0.14	0	0
51.5	10.7	49.3	6.79	1.69	0	0
52.5	10.9	44.6	4.79	0.34	0	0
53.5	10.3	48.1	4.7	0.08	0	0
54.5	11.1	42.6	5.92	2.15	0	0
55.5	10.2	44.8	4.56	1.14	0	0
56.5	9.9	47.6	1.06	1.58	6	40
57.5	11.3	45.7	1.54	-0.44	275	99
58.5	11.1	46.5	1.63	-0.5	0	87
59.5	11.3	47.8	0.8	-1.39	0	112
60.5	12.0	48.7	2.06	0.4	182	146
61.5	11.4	57.0	-0.5	2.35	21	111
62.5	11.9	47.6	0.57	3.25	14	72
63.5	11.5	48.9	-1.84	1.84	0	16
64.5	10.4	57.4	1.71	0.56	0	0
65.5	10.3	56.5	-0.36	-0.71	0	0
66.5	10.5	55.4	-1.48	-1.48	0	0
67.5	10.1	62.5	3.83	-0.74	0	0
68.5	10.2	64.7	0.43	1.33	0	0
69.5	11.6	51.6	3.67	2.04	0	0
70.5	10.5	62.2	1.14	3.31	0	0
71.5	10.0	65.9	-0.3	3.49	0	0
72.5	9.6	69.2	1.29	0.18	0	0
73.5	9.6	68.5	-0.62	0.5	0	0
74.5	9.0	74.5	1.09	0.17	0	0
75.5	8.4	82.2	0.19	-1.18	0	0
76.5	7.9	87.5	0.87	-0.5	0	0
77.5	8.4	79.9	3.8	-0.13	0	0
78.5	8.0	84.1	0.53	-1.72	0	0
79.5	7.6	87.0	-1.6	1.2	0	0
80.5	7.6	89.1	-0.63	1.14	0	31
81.5	7.9	84.8	-0.63	1.14	0	50
82.5	8.0	84.8	-0.22	1.38	0	88
83.5	8.3	83.8	-0.3	1.88	0	109
84.5	8.5	82.9	-0.1	1.4	0	96
85.5	8.5	82.9	-0.09	0.59	0	85
86.5	8.4	85.1	0.09	0.9	0	44
87.5	8.2	89.7	0.99	-0.16	0	9
88.5	8.1	79.5	2.49	0.76	0	0
89.5	7.4	79.2	3.73	0.72	0	0
90.5	5.2	88.0	4.63	-0.82	0	0
91.5	4.0	81.6	4.3	0.08	0	0
92.5	4.4	69.0	5.28	0.46	0	0
93.5	4.2	65.5	4.7	-0.08	0	0
94.5	3.4	68.1	3.66	0.52	0	0
95.5	3.1	69.2	2.27	-1.26	0	0
96.5	2.1	72.1	5.51	-1.48	0	0
97.5	1.4	71.7	6.5	-0.11	0	0
98.5	1.0	68.3	5.1	0.18	0	0
99.5	0.7	64.0	4.1	0.0	0	0
100.5	0.2	69.6	3.82	-0.81	0	0
101.5	-0.1	65.9	5.1	-0.18	0	0
102.5	-0.1	65.8	4.44	-1.53	0	0
103.5	-0.5	71.0	3.9	-0.9	0	0
104.5	-0.7	75.7	2.32	-0.62	0	27
105.5	-0.5	74.6	1.96	-1.0	0	68
106.5	-0.2	70.9	1.64	-1.15	16	122
107.5	-0.3	76.7	0.71	-2.19	4	117
108.5	-0.5	77.3	0.68	-1.99	0	78
109.5	-0.5	76.1	0.44	-1.75	0	79
110.5	-0.4	74.1	0.62	-0.91	0	57
111.5	-0.5	73.4	0.74	-1.19	0	24
112.5	-0.8	75.2	0.92	-0.92	0	0
113.5	-1.2	77.9	0.86	-0.28	0	0
114.5	-1.1	77.8	1.2	0.0	0	0
115.5	-0.8	76.9	0.8	-0.89	0	0
116.5	-1.0	79.2	0.68	-0.59	0	0
117.5	-1.1	81.0	0.4	-0.3	0	0
118.5	-0.9	81.7	0.53	-0.85	0	0
119.5	-0.9	83.9	0.64	-0.64	0	0
120.5	-0.8	82.7	0.32	-0.62	0	0
121.5	-0.6	84.5	0.41	-0.91	0	0
122.5	-0.5	83.1	0.55	-1.07	0	0
123.5	-0.6	84.1	0.1	-1.4	0	0
124.5	-0.8	83.4	0.1	-1.0	0	0
125.5	-0.9	83.5	-0.1	-1.2	0	0
126.5	-0.9	82.3	0.11	-1.6	0	0
127.5	-0.7	78.3	0.0	-0.6	0	0
128.5	-0.6	74.6	-0.27	-1.07	0	26
129.5	-0.3	69.1	-0.94	-1.04	0	48
130.5	-0.3	66.4	-0.99	-0.99	0	59
131.5	-0.1	67.9	-0.44	-1.54	0	83
132.5	0.0	67.2	-0.82	-3.3	0	61
133.5	0.1	66.7	-0.83	-2.57	0	54
134.5	0.2	67.9	-0.34	-1.77	0	32
135.5	0.2	68.4	-0.94	-3.27	0	8
136.5	0.0	71.0	1.15	-1.64	0	0
137.5	-0.1	68.4	0.58	-2.53	0	0
138.5	-0.4	65.8	1.01	-2.17	0	0
139.5	-0.7	67.8	1.74	-1.93	0	0
140.5	-0.9	68.9	1.98	-1.84	0	0
141.5	-1.4	69.3	1.38	-1.97	0	0
142.5	-1.6	67.7	1.93	-2.3	0	0
143.5	-1.7	69.8	1.71	-1.38	0	0
144.5	-1.8	68.7	1.97	-1.38	0	0
145.5	-1.7	69.6	1.86	-1.67	0	0
146.5	-1.7	69.0	2.05	-1.43	0	0
147.5	-1.8	70.0	1.43	-1.54	0	0
148.5	-2.2	74.4	2.23	-1.14	0	0
149.5	-2.1	75.0	1.38	-1.0	0	0
150.5	-2.2	75.3	1.09	-1.17	0	0
151.5	-2.3	74.6	1.3	-1.39	0	0
152.5	-2.2	72.2	0.62	-2.32	0	27
153.5	-2.2	67.1	0.5	-2.35	1	79
154.5	-2.2	66.1	-0.3	-2.88	0	73
155.5	-1.6	63.0	0.72	-1.97	135	144
156.5	-1.5	61.6	0.6	-2.22	26	131
157.5	-1.6	59.6	0.55	-1.92	0	90
158.5	-1.4	59.3	-0.83	-2.57	36	80
159.5	-1.7	64.6	-1.29	-3.04	0	29
160.5	-2.4	68.7	-0.94	-2.74	0	0
161.5	-2.4	73.6	-0.31	-2.18	0	0
162.5	-3.2	83.1	0.69	-0.98	0	0
163.5	-3.5	84.5	0.38	-1.24	0	0
164.5	-3.9	82.5	0.69	-1.1	0	0
165.5	-3.6	79.6	0.12	-2.2	0	0
166.5	-3.6	76.8	0.0	-2.6	0	0
167.5	-3.8	75.9	0.52	-2.24	0	0
168.5	-3.9	77.5	0.1	-2.8	0	0
169.5	-4.0	74.6	-0.5	-2.86	0	0
170.5	-4.1	74.8	-0.19	-2.69	0	0
171.5	-4.2	75.8	0.12	-2.2	0	0
172.5	-4.3	75.3	-0.42	-2.16	0	0
173.5	-4.1	73.5	-0.86	-2.02	0	0
174.5	-4.2	72.3	-0.6	-2.22	0	0
175.5	-4.2	69.4	-1.38	-1.97	0	0
176.5	-4.2	69.4	-2.24	-1.51	0	28
177.5	-3.8	69.1	-1.31	-2.36	0	66
178.5	-3.9	69.6	-0.31	-1.98	3	110
179.5	-3.5	69.4	-0.24	-0.97	16	125
180.5	-3.1	68.3	0.44	-1.43	8	145
181.5	-2.8	67.0	-1.2	-0.0	74	127
182.5	-2.6	66.3	0.12	0.48	33	80
183.5	-2.5	67.5	-0.79	-0.11	0	26
184.5	-2.5	66.9	-1.29	-0.94	0	0
185.5	-2.5	68.8	-1.36	-0.85	0	0
186.5	-3.0	70.7	-0.73	-1.64	0	0
187.5	-3.4	72.5	-0.65	-1.46	0	0
188.5	-3.9	73.7	0.6	-1.48	0	0
189.5	-4.0	74.1	0.48	-1.32	0	0
190.5	-4.0	75.8	0.3	-1.57	0	0
191.5	-4.2	76.4	-0.41	-1.54	0	0
192.5	-4.6	80.0	0.37	-1.14	0	0
193.5	-4.7	79.7	0.72	-1.54	0	0
194.5	-4.7	80.2	0.59	-1.7	0	0
195.5	-4.8	82.2	0.61	-1.59	0	0
196.5	-4.7	83.8	0.63	-1.36	0	0
197.5	-4.4	84.1	0.8	-0.89	0	0
198.5	-4.2	83.1	0.72	-0.83	0	0
199.5	-4.0	81.9	0.63	-1.36	0	0
200.5	-4.0	81.2	0.61	-1.59	0	11
201.5	-3.9	80.0	0.31	-2.18	0	28
202.5	-3.7	80.1	0.8	-1.39	0	40
203.5	-3.7	79.6	0.62	-1.9	0	47
204.5	-3.6	79.1	0.0	-2.0	0	44
205.5	-3.7	78.8	0.0	-2.3	0	48
206.5	-3.8	80.3	0.0	-2.6	0	29
207.5	-3.9	80.5	-0.49	-2.76	0	12
208.5	-4.1	79.5	0.18	-2.09	0	0
209.5	-4.3	83.0	0.28	-1.78	0	0
210.5	-4.4	82.7	0.59	-1.81	0	0
211.5	-4.4	83.3	0.18	-2.59	0	0
212.5	-4.5	83.3	-0.63	-2.73	0	0
213.5	-4.8	84.6	-0.3	-2.48	0	0
214.5	-5.0	83.5	-0.42	-2.36	0	0
215.5	-5.2	84.9	-0.32	-2.58	0	0
216.5	-5.4	86.0	-0.28	-2.28	0	0
217.5	-5.5	85.9	-0.73	-2.91	0	0
218.5	-5.7	85.7	-0.6	-2.84	0	0
219.5	-5.8	89.3	-0.1	-2.9	0	0
220.5	-5.8	88.3	0.31	-1.98	0	0
221.5	-5.8	87.1	-0.18	-2.09	0	0
222.5	-5.9	90.6	-0.48	-3.06	0	0
223.5	-6.0	88.4	0.33	-2.68	0	0
