#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	3.5	88.4	-0.0	0.7	0	0	50	0.0	14
0.5	3.5	88.4	-0.0	0.7	0	0	50	0.0	14
1.5	4.4	90.6	-0.0	0.8	0	0	50	0.0	14
2.5	4.9	92.1	0.11	0.59	0	0	50	0.0	14
3.5	5.4	93.5	0.22	0.67	0	0	50	0.0	14
4.5	5.5	94.3	0.45	0.23	0	0	50	0.0	14
5.5	5.3	94.1	0.11	0.59	0	0	50	0.0	14
6.5	5.0	94.0	0.12	1.19	0	0	50	0.0	14
7.5	5.1	92.1	-0.6	-0.0	0	0	42	0.0	14
8.5	4.7	92.5	0.57	0.57	370	42	33	0.0	14
9.5	6.8	82.9	0.11	0.59	619	50	25	0.0	14
10.5	8.2	73.8	-0.6	0.36	669	66	17	0.0	14
11.5	8.8	71.3	-0.25	1.07	667	76	8	0.0	14
12.5	9.3	69.3	-0.19	1.18	528	94	0	0.0	14
13.5	9.6	68.3	-0.21	1.48	405	110	17	0.0	14
14.5	8.9	69.6	-0.09	0.9	18	70	33	0.0	14
15.5	8.1	72.9	-0.0	1.1	0	20	50	0.0	14
16.5	7.5	77.5	0.23	0.45	0	0	67	0.0	14
17.5	7.6	78.3	-0.5	0.98	0	0	83	0.0	14
18.5	7.1	83.4	-0.83	0.35	0	0	100	0.0	14
19.5	6.6	88.5	0.57	0.57	0	0	100	0.0	14
20.5	6.2	91.1	0.23	1.18	0	0	100	0.3	14
21.5	6.0	92.8	0.39	-0.58	0	0	100	0.0	14
22.5	5.8	93.2	-0.22	0.87	0	0	100	0.0	14
23.5	5.7	92.4	0.28	0.28	0	0	100	0.0	14
24.5	6.2	90.0	-0.54	0.27	0	0	100	0.0	14
25.5	8.1	79.9	-0.78	-1.16	0	0	100	0.0	14
26.5	9.4	79.9	-0.32	-1.67	0	0	100	0.2	14
27.5	8.4	89.8	-0.22	-1.38	0	0	100	0.0	14
28.5	8.5	89.3	-1.0	-0.0	0	0	100	0.1	14
29.5	8.3	94.0	0.57	0.57	0	0	100	1.9	14
30.5	8.4	96.4	-0.72	0.54	0	0	100	1.9	14
31.5	9.9	85.6	-0.87	4.11	0	0	100	0.1	14
32.5	11.1	76.9	-0.5	3.56	0	18	100	0.0	14
33.5	11.4	75.6	-1.78	2.54	0	31	100	0.1	14
34.5	11.0	80.6	-0.87	4.92	0	59	100	0.2	14
35.5	12.8	69.0	-1.2	6.8	0	50	100	0.0	14
36.5	13.0	70.1	-0.97	4.19	20	131	100	0.2	14
37.5	14.0	62.9	-0.17	1.09	0	47	100	0.0	14
38.5	11.5	84.4	2.84	-2.22	0	8	100	1.0	14
39.5	10.7	91.4	1.46	0.36	0	10	100	1.4	14
40.5	15.6	48.7	6.81	2.89	0	0	100	0.6	14
41.5	16.0	38.6	7.75	3.95	0	0	100	0.0	14
42.5	15.4	37.6	10.9	3.33	0	0	100	0.0	14
43.5	13.1	52.3	9.37	2.51	0	0	94	0.1	14
44.5	12.2	51.1	8.81	1.24	0	0	88	0.0	14
45.5	11.3	44.9	10.01	1.95	0	0	81	0.0	14
46.5	10.7	47.5	7.24	1.54	0	0	75	0.0	14
47.5	10.1	51.9	5.85	1.35	0	0	69	0.0	14
48.5	9.9	49.4	5.98	-0.42	0	0	62	0.0	14
49.5	9.7	51.6	5.18	-1.1	0	0	56	0.0	14
50.5	9.3	53.6	3.9	0.14	0	0	50	0.0	14
51.5	9.5	49.3	6.79	1.69	0	0	44	0.0	14
52.5	9.7	44.6	4.79	0.34	0	0	38	0.0	14
53.5	9.1	48.1	4.7	0.08	0	0	31	0.0	14
54.5	9.9	42.6	5.92	2.15	0	0	25	0.0	14
55.5	9.0	44.8	4.56	1.14	0	0	33	0.0	14
56.5	8.7	47.6	1.06	1.58	12	42	42	0.0	14
57.5	10.1	45.7	1.54	-0.44	289	105	50	0.0	14
58.5	9.9	46.5	1.63	-0.5	0	92	58	0.0	14
59.5	10.1	47.8	0.8	-1.39	0	118	67	0.0	14
60.5	10.8	48.7	2.06	0.4	193	154	75	0.0	14
