#Time	TAir	RelHum	WindX	WindY	IDirNorm	IDiffHor	SkyCover	PRECIPITATION	ALBEDO
0.0	5.1	87.2	-0.78	-0.19	0	0	50	0.0	14
0.5	5.1	87.2	-0.78	-0.19	0	0	50	0.0	14
1.5	4.4	87.7	0.69	0.1	0	0	58	0.0	14
2.5	3.9	88.4	0.48	0.36	0	0	67	0.0	14
3.5	3.4	89.5	0.57	-0.18	0	0	75	0.0	14
4.5	3.2	90.2	-0.27	-0.14	0	0	83	0.0	14
5.5	3.2	90.8	0.79	0.11	0	0	92	0.0	14
6.5	3.3	91.5	0.42	0.42	0	0	100	0.0	14
7.5	3.6	92.2	-0.17	1.19	0	0	100	0.2	14
8.5	4.0	92.7	0.58	0.14	0	25	100	0.0	14
9.5	5.0	93.2	-0.22	-0.77	0	74	100	0.0	14
10.5	6.2	88.1	0.33	-0.22	0	75	100	0.0	14
11.5	6.3	86.7	-0.6	-0.0	0	39	100	0.0	14
12.5	6.1	88.8	-0.0	1.0	0	44	100	0.1	14
13.5	6.3	88.8	0.62	0.5	0	51	100	0.0	14
14.5	6.6	87.8	0.41	0.69	0	63	100	0.0	14
15.5	5.6	88.6	0.91	0.79	0	25	100	0.0	14
16.5	4.8	91.2	0.77	0.46	0	0	100	0.0	14
17.5	3.6	92.4	0.74	0.31	0	0	100	0.0	14
18.5	2.7	92.7	1.38	0.59	0	0	100	0.0	14
19.5	1.8	93.2	0.75	0.29	0	0	100	0.0	14
20.5	1.5	92.8	1.2	0.1	0	0	100	0.0	14
21.5	1.2	93.9	0.79	0.1	0	0	100	0.0	14
22.5	2.2	92.7	0.7	0.97	0	0	100	0.0	14
23.5	2.9	92.7	0.72	0.83	0	0	100	0.0	14
24.5	3.3	92.9	0.59	0.81	0	0	100	0.0	14
25.5	3.7	92.7	0.67	0.22	0	0	100	0.1	14
26.5	3.9	93.4	0.34	-0.5	0	0	100	0.0	14
27.5	4.1	93.5	0.54	-0.27	0	0	100	0.0	14
28.5	4.2	93.8	-0.28	0.28	0	0	100	0.0	14
29.5	4.4	93.6	0.56	0.22	0	0	100	0.0	14
30.5	4.5	93.2	0.7	0.0	0	0	100	0.0	14
